cited_locus	resolves_to	kind	note
Ps.115.10	Ps.115.1	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.11	Ps.115.2	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.12	Ps.115.3	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.13	Ps.115.4	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.14	Ps.115.5	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.15	Ps.115.6	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.16	Ps.115.7	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.17	Ps.115.8	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.18	Ps.115.9	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.19	Ps.115.10	renumber	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.125.6	Ps.125.6	merge	the sowing and the sheaves are one verse here and two in the concordance's witness
Ps.125.7	Ps.125.6	merge	the sowing and the sheaves are one verse here and two in the concordance's witness
Ps.135.26	Ps.135.26	merge	the last two *confitemini* are one verse here and two in the concordance's witness
Ps.135.27	Ps.135.26	merge	the last two *confitemini* are one verse here and two in the concordance's witness
Ps.147.12	Ps.147.1	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.13	Ps.147.2	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.14	Ps.147.3	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.15	Ps.147.4	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.16	Ps.147.5	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.17	Ps.147.6	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.18	Ps.147.7	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.19	Ps.147.8	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.20	Ps.147.9	renumber	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.15.10	Ps.15.10	merge	the Vulgate carries *notas mihi fecisti vias vitae* at the end of verse 10 where the concordance's witness gives it a verse 11 of its own; the 1962 Missal cites that communion as Psalm 15:11, so the number is cited and has to resolve somewhere
Ps.15.11	Ps.15.10	merge	the Vulgate carries *notas mihi fecisti vias vitae* at the end of verse 10 where the concordance's witness gives it a verse 11 of its own; the 1962 Missal cites that communion as Psalm 15:11, so the number is cited and has to resolve somewhere
Ps.19.9		split	this edition gives *Domine salvum fac regem* a verse of its own, as the published Vulgate scheme does and the concordance's witness does not
Ps.42.4	Ps.42.4	merge	the verse boundary moves inside this psalm: this edition's verse 4 carries *confitebor tibi in cithara* as well, which the concordance's witness numbers 5
Ps.42.5		unrecorded	the cited verse is divided between this edition's 4 and 5 and no printed verse carries it whole, so there is no number here to send a citation of it to
Ps.42.6	Ps.42.5	merge	this edition's verse 5 opens with the *quare tristis* the concordance's witness numbers 5 and closes with the whole of its 6
