cited_locus	resolves_to	kind	note
Dan.13.1	Sus.1.1	renumber	vulgate Dan 13:1 stands in this edition at Sus 1:1
Dan.13.10	Sus.1.10	renumber	vulgate Dan 13:10 stands in this edition at Sus 1:10
Dan.13.11	Sus.1.11	renumber	vulgate Dan 13:11 stands in this edition at Sus 1:11
Dan.13.12	Sus.1.12	renumber	vulgate Dan 13:12 stands in this edition at Sus 1:12
Dan.13.13	Sus.1.13	renumber	vulgate Dan 13:13 stands in this edition at Sus 1:13
Dan.13.14	Sus.1.14	renumber	vulgate Dan 13:14 stands in this edition at Sus 1:14
Dan.13.15	Sus.1.15	renumber	vulgate Dan 13:15 stands in this edition at Sus 1:15
Dan.13.16	Sus.1.16	renumber	vulgate Dan 13:16 stands in this edition at Sus 1:16
Dan.13.17	Sus.1.17	renumber	vulgate Dan 13:17 stands in this edition at Sus 1:17
Dan.13.18	Sus.1.18	renumber	vulgate Dan 13:18 stands in this edition at Sus 1:18
Dan.13.19	Sus.1.19	renumber	vulgate Dan 13:19 stands in this edition at Sus 1:19
Dan.13.2	Sus.1.2	renumber	vulgate Dan 13:2 stands in this edition at Sus 1:2
Dan.13.20	Sus.1.20	renumber	vulgate Dan 13:20 stands in this edition at Sus 1:20
Dan.13.21	Sus.1.21	renumber	vulgate Dan 13:21 stands in this edition at Sus 1:21
Dan.13.22	Sus.1.22	renumber	vulgate Dan 13:22 stands in this edition at Sus 1:22
Dan.13.23	Sus.1.23	renumber	vulgate Dan 13:23 stands in this edition at Sus 1:23
Dan.13.24	Sus.1.24	renumber	vulgate Dan 13:24 stands in this edition at Sus 1:24
Dan.13.25	Sus.1.25	renumber	vulgate Dan 13:25 stands in this edition at Sus 1:25
Dan.13.26	Sus.1.26	renumber	vulgate Dan 13:26 stands in this edition at Sus 1:26
Dan.13.27	Sus.1.27	renumber	vulgate Dan 13:27 stands in this edition at Sus 1:27
Dan.13.28	Sus.1.28	renumber	vulgate Dan 13:28 stands in this edition at Sus 1:28
Dan.13.29	Sus.1.29	renumber	vulgate Dan 13:29 stands in this edition at Sus 1:29
Dan.13.3	Sus.1.3	renumber	vulgate Dan 13:3 stands in this edition at Sus 1:3
Dan.13.30	Sus.1.30	renumber	vulgate Dan 13:30 stands in this edition at Sus 1:30
Dan.13.31	Sus.1.31	renumber	vulgate Dan 13:31 stands in this edition at Sus 1:31
Dan.13.32	Sus.1.32	renumber	vulgate Dan 13:32 stands in this edition at Sus 1:32
Dan.13.33	Sus.1.33	renumber	vulgate Dan 13:33 stands in this edition at Sus 1:33
Dan.13.34	Sus.1.34	renumber	vulgate Dan 13:34 stands in this edition at Sus 1:34
Dan.13.35	Sus.1.35	renumber	vulgate Dan 13:35 stands in this edition at Sus 1:35
Dan.13.36	Sus.1.36	renumber	vulgate Dan 13:36 stands in this edition at Sus 1:36
Dan.13.37	Sus.1.37	renumber	vulgate Dan 13:37 stands in this edition at Sus 1:37
Dan.13.38	Sus.1.38	renumber	vulgate Dan 13:38 stands in this edition at Sus 1:38
Dan.13.39	Sus.1.39	renumber	vulgate Dan 13:39 stands in this edition at Sus 1:39
Dan.13.4	Sus.1.4	renumber	vulgate Dan 13:4 stands in this edition at Sus 1:4
Dan.13.40	Sus.1.40	renumber	vulgate Dan 13:40 stands in this edition at Sus 1:40
Dan.13.41	Sus.1.41	renumber	vulgate Dan 13:41 stands in this edition at Sus 1:41
Dan.13.42	Sus.1.42	renumber	vulgate Dan 13:42 stands in this edition at Sus 1:42
Dan.13.43	Sus.1.43	renumber	vulgate Dan 13:43 stands in this edition at Sus 1:43
Dan.13.44	Sus.1.44	renumber	vulgate Dan 13:44 stands in this edition at Sus 1:44
Dan.13.45	Sus.1.45	renumber	vulgate Dan 13:45 stands in this edition at Sus 1:45
Dan.13.46	Sus.1.46	renumber	vulgate Dan 13:46 stands in this edition at Sus 1:46
Dan.13.47	Sus.1.47	renumber	vulgate Dan 13:47 stands in this edition at Sus 1:47
Dan.13.48	Sus.1.48	renumber	vulgate Dan 13:48 stands in this edition at Sus 1:48
Dan.13.49	Sus.1.49	renumber	vulgate Dan 13:49 stands in this edition at Sus 1:49
Dan.13.5	Sus.1.5	renumber	vulgate Dan 13:5 stands in this edition at Sus 1:5
