cited_locus	resolves_to	kind	note
Dan.13.65	Dan.14.1	renumber	vulgate Dan 13:65 stands in this edition at Dan 14:1
Dan.14.1	Dan.14.2	renumber	vulgate Dan 14:1 stands in this edition at Dan 14:2
Dan.14.10	Dan.14.11	renumber	vulgate Dan 14:10 stands in this edition at Dan 14:11
Dan.14.11	Dan.14.12	renumber	vulgate Dan 14:11 stands in this edition at Dan 14:12
Dan.14.12	Dan.14.13	renumber	vulgate Dan 14:12 stands in this edition at Dan 14:13
Dan.14.13	Dan.14.14	renumber	vulgate Dan 14:13 stands in this edition at Dan 14:14
Dan.14.14	Dan.14.15	renumber	vulgate Dan 14:14 stands in this edition at Dan 14:15
Dan.14.15	Dan.14.16	renumber	vulgate Dan 14:15 stands in this edition at Dan 14:16
Dan.14.16	Dan.14.17	renumber	vulgate Dan 14:16 stands in this edition at Dan 14:17
Dan.14.17	Dan.14.18	renumber	vulgate Dan 14:17 stands in this edition at Dan 14:18
Dan.14.18	Dan.14.19	renumber	vulgate Dan 14:18 stands in this edition at Dan 14:19
Dan.14.19	Dan.14.20	renumber	vulgate Dan 14:19 stands in this edition at Dan 14:20
Dan.14.2	Dan.14.3	renumber	vulgate Dan 14:2 stands in this edition at Dan 14:3
Dan.14.20	Dan.14.21	renumber	vulgate Dan 14:20 stands in this edition at Dan 14:21
Dan.14.21	Dan.14.22	renumber	vulgate Dan 14:21 stands in this edition at Dan 14:22
Dan.14.22	Dan.14.23	renumber	vulgate Dan 14:22 stands in this edition at Dan 14:23
Dan.14.23	Dan.14.24	renumber	vulgate Dan 14:23 stands in this edition at Dan 14:24
Dan.14.24	Dan.14.25	renumber	vulgate Dan 14:24 stands in this edition at Dan 14:25
Dan.14.25	Dan.14.26	renumber	vulgate Dan 14:25 stands in this edition at Dan 14:26
Dan.14.26	Dan.14.27	renumber	vulgate Dan 14:26 stands in this edition at Dan 14:27
Dan.14.27	Dan.14.28	renumber	vulgate Dan 14:27 stands in this edition at Dan 14:28
Dan.14.28	Dan.14.29	renumber	vulgate Dan 14:28 stands in this edition at Dan 14:29
Dan.14.29	Dan.14.30	renumber	vulgate Dan 14:29 stands in this edition at Dan 14:30
Dan.14.3	Dan.14.4	renumber	vulgate Dan 14:3 stands in this edition at Dan 14:4
Dan.14.30	Dan.14.31	renumber	vulgate Dan 14:30 stands in this edition at Dan 14:31
Dan.14.31	Dan.14.32	renumber	vulgate Dan 14:31 stands in this edition at Dan 14:32
Dan.14.32	Dan.14.33	renumber	vulgate Dan 14:32 stands in this edition at Dan 14:33
Dan.14.33	Dan.14.34	renumber	vulgate Dan 14:33 stands in this edition at Dan 14:34
Dan.14.34	Dan.14.35	renumber	vulgate Dan 14:34 stands in this edition at Dan 14:35
Dan.14.35	Dan.14.36	renumber	vulgate Dan 14:35 stands in this edition at Dan 14:36
Dan.14.36	Dan.14.37	renumber	vulgate Dan 14:36 stands in this edition at Dan 14:37
Dan.14.37	Dan.14.38	renumber	vulgate Dan 14:37 stands in this edition at Dan 14:38
Dan.14.38	Dan.14.39	renumber	vulgate Dan 14:38 stands in this edition at Dan 14:39
Dan.14.39	Dan.14.40	renumber	vulgate Dan 14:39 stands in this edition at Dan 14:40
Dan.14.4	Dan.14.5	renumber	vulgate Dan 14:4 stands in this edition at Dan 14:5
Dan.14.40	Dan.14.41	renumber	vulgate Dan 14:40 stands in this edition at Dan 14:41
Dan.14.41	Dan.14.42	renumber	vulgate Dan 14:41 stands in this edition at Dan 14:42
Dan.14.42		absent	vulgate Dan 14:42 has no counterpart in greek: let all the inhabitants of the whole earth fear the God of Daniel; Bel ends at 42, which is Vulgate 14:41
Dan.14.5	Dan.14.6	renumber	vulgate Dan 14:5 stands in this edition at Dan 14:6
Dan.14.6	Dan.14.7	renumber	vulgate Dan 14:6 stands in this edition at Dan 14:7
Dan.14.7	Dan.14.8	renumber	vulgate Dan 14:7 stands in this edition at Dan 14:8
Dan.14.8	Dan.14.9	renumber	vulgate Dan 14:8 stands in this edition at Dan 14:9
Dan.14.9	Dan.14.10	renumber	vulgate Dan 14:9 stands in this edition at Dan 14:10
Dan.3.100	Dan.4.3	renumber	vulgate Dan 3:100 stands in this edition at Dan 4:3
Dan.3.52		unrecorded	vulgate Dan 3:52 is greek SgThree 1:29-30 in greek, which is more than one verse, and a reference to one verse cannot select it without cutting it
Dan.3.53	Dan.3.54	renumber	vulgate Dan 3:53 stands in this edition at Dan 3:54
Dan.3.54	Dan.3.56	renumber	vulgate Dan 3:54 stands in this edition at Dan 3:56
Dan.3.56	Dan.3.57	renumber	vulgate Dan 3:56 stands in this edition at Dan 3:57
Dan.3.57	Dan.3.58	renumber	vulgate Dan 3:57 stands in this edition at Dan 3:58
Dan.3.58	Dan.3.60	renumber	vulgate Dan 3:58 stands in this edition at Dan 3:60
Dan.3.60	Dan.3.61	renumber	vulgate Dan 3:60 stands in this edition at Dan 3:61
Dan.3.61	Dan.3.62	renumber	vulgate Dan 3:61 stands in this edition at Dan 3:62
Dan.3.62	Dan.3.63	renumber	vulgate Dan 3:62 stands in this edition at Dan 3:63
Dan.3.63	Dan.3.64	renumber	vulgate Dan 3:63 stands in this edition at Dan 3:64
Dan.3.64	Dan.3.65	renumber	vulgate Dan 3:64 stands in this edition at Dan 3:65
Dan.3.65	Dan.3.66	renumber	vulgate Dan 3:65 stands in this edition at Dan 3:66
Dan.3.66	Dan.3.67	renumber	vulgate Dan 3:66 stands in this edition at Dan 3:67
Dan.3.67		unrecorded	greek SgThree 1:45 is not mapped onto world-english-catholic: this edition prints one couplet of cold where the Greek prints two: its 3:71 reads "cold and heat", and nothing in the tracked text settles whether that is the Greek's 45 or its 49
Dan.3.69		unrecorded	greek SgThree 1:49 is not mapped onto world-english-catholic: see SgThree 45: one of the two couplets is unprinted here and which one is not established
Dan.3.70	Dan.3.72	renumber	vulgate Dan 3:70 stands in this edition at Dan 3:72
Dan.3.71	Dan.3.69	renumber	vulgate Dan 3:71 stands in this edition at Dan 3:69
Dan.3.72	Dan.3.70	renumber	vulgate Dan 3:72 stands in this edition at Dan 3:70
Dan.3.77	Dan.3.78	renumber	vulgate Dan 3:77 stands in this edition at Dan 3:78
Dan.3.78	Dan.3.77	renumber	vulgate Dan 3:78 stands in this edition at Dan 3:77
Dan.3.98	Dan.4.1	renumber	vulgate Dan 3:98 stands in this edition at Dan 4:1
Dan.3.99	Dan.4.2	renumber	vulgate Dan 3:99 stands in this edition at Dan 4:2
Dan.4.1	Dan.4.4	renumber	vulgate Dan 4:1 stands in this edition at Dan 4:4
Dan.4.10	Dan.4.13	renumber	vulgate Dan 4:10 stands in this edition at Dan 4:13
Dan.4.11	Dan.4.14	renumber	vulgate Dan 4:11 stands in this edition at Dan 4:14
Dan.4.12	Dan.4.15	renumber	vulgate Dan 4:12 stands in this edition at Dan 4:15
Dan.4.13	Dan.4.16	renumber	vulgate Dan 4:13 stands in this edition at Dan 4:16
Dan.4.14	Dan.4.17	renumber	vulgate Dan 4:14 stands in this edition at Dan 4:17
Dan.4.15	Dan.4.18	renumber	vulgate Dan 4:15 stands in this edition at Dan 4:18
Dan.4.16	Dan.4.19	renumber	vulgate Dan 4:16 stands in this edition at Dan 4:19
Dan.4.17	Dan.4.20	renumber	vulgate Dan 4:17 stands in this edition at Dan 4:20
Dan.4.18	Dan.4.21	renumber	vulgate Dan 4:18 stands in this edition at Dan 4:21
Dan.4.19	Dan.4.22	renumber	vulgate Dan 4:19 stands in this edition at Dan 4:22
Dan.4.2	Dan.4.5	renumber	vulgate Dan 4:2 stands in this edition at Dan 4:5
Dan.4.20	Dan.4.23	renumber	vulgate Dan 4:20 stands in this edition at Dan 4:23
Dan.4.21	Dan.4.24	renumber	vulgate Dan 4:21 stands in this edition at Dan 4:24
Dan.4.22	Dan.4.25	renumber	vulgate Dan 4:22 stands in this edition at Dan 4:25
Dan.4.23	Dan.4.26	renumber	vulgate Dan 4:23 stands in this edition at Dan 4:26
Dan.4.24	Dan.4.27	renumber	vulgate Dan 4:24 stands in this edition at Dan 4:27
Dan.4.25	Dan.4.28	renumber	vulgate Dan 4:25 stands in this edition at Dan 4:28
Dan.4.26	Dan.4.29	renumber	vulgate Dan 4:26 stands in this edition at Dan 4:29
Dan.4.27	Dan.4.30	renumber	vulgate Dan 4:27 stands in this edition at Dan 4:30
Dan.4.28	Dan.4.31	renumber	vulgate Dan 4:28 stands in this edition at Dan 4:31
Dan.4.29	Dan.4.32	renumber	vulgate Dan 4:29 stands in this edition at Dan 4:32
Dan.4.3	Dan.4.6	renumber	vulgate Dan 4:3 stands in this edition at Dan 4:6
Dan.4.30	Dan.4.33	renumber	vulgate Dan 4:30 stands in this edition at Dan 4:33
Dan.4.31	Dan.4.34	renumber	vulgate Dan 4:31 stands in this edition at Dan 4:34
Dan.4.32	Dan.4.35	renumber	vulgate Dan 4:32 stands in this edition at Dan 4:35
Dan.4.33	Dan.4.36	renumber	vulgate Dan 4:33 stands in this edition at Dan 4:36
Dan.4.34	Dan.4.37	renumber	vulgate Dan 4:34 stands in this edition at Dan 4:37
Dan.4.4	Dan.4.7	renumber	vulgate Dan 4:4 stands in this edition at Dan 4:7
Dan.4.5	Dan.4.8	renumber	vulgate Dan 4:5 stands in this edition at Dan 4:8
Dan.4.6	Dan.4.9	renumber	vulgate Dan 4:6 stands in this edition at Dan 4:9
Dan.4.7	Dan.4.10	renumber	vulgate Dan 4:7 stands in this edition at Dan 4:10
Dan.4.8	Dan.4.11	renumber	vulgate Dan 4:8 stands in this edition at Dan 4:11
Dan.4.9	Dan.4.12	renumber	vulgate Dan 4:9 stands in this edition at Dan 4:12
Ecclus.1.1		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.10		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.11		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.12		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.13		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.14		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.15		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.16		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.17		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.18		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.19		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.2		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.20		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.21		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.22		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.23		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.24		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.25		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.26		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.27		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.28		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.29		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.3		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.30		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.31		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.32		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.33		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.34		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.35		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.36		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.37		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
Ecclus.1.38		unrecorded	vulgate Ecclus 1:1-40 is not mapped onto greek: the Vulgate and the Greek divide Ecclesiasticus differently in all fifty-one chapters and no verse-level correspondence has been established; see the artifact record
