# Derived by scripture-chronology build; do not hand-edit.
# One row a maximal run of consecutive verses the corpus answers alike,
# in canonical vulgate numbering. guidance/scripture-chronology.md §13.
locus	verses	status	relations	subjects
Gen.1.1-25	25	dated	narrated-event	israel.primeval.creation
Gen.1.26-31	6	dated	narrated-event	israel.primeval.creation,israel.primeval.creation-of-adam
Gen.2.1-3	3	dated	narrated-event	israel.primeval.creation
Gen.2.4-6	3	research-pending		
Gen.2.7-25	19	dated	narrated-event	israel.primeval.creation-of-adam
Gen.3.1-24	24	research-pending		
Gen.4.1-24	24	research-pending		
Gen.4.25-26	2	dated	narrated-event	israel.primeval.birth-of-seth
Gen.5.1-2	2	research-pending		
Gen.5.3-4	2	dated	narrated-event	israel.primeval.birth-of-seth
Gen.5.5	1	dated	narrated-event	israel.primeval.death-of-adam
Gen.5.6-31	26	research-pending		
Gen.6.1-2	2	research-pending		
Gen.6.3	1	dated	narrated-event	israel.primeval.noe-warned
Gen.6.4-12	9	research-pending		
Gen.6.13-22	10	dated	narrated-event	israel.primeval.noe-warned
Gen.7.1-10	10	dated	narrated-event	israel.primeval.deluge
Gen.7.11	1	dated	narrated-event	israel.primeval.deluge,israel.primeval.deluge-begins
Gen.7.12	1	dated	narrated-event	israel.primeval.deluge,israel.primeval.deluge-rain
Gen.7.13-16	4	dated	narrated-event	israel.primeval.deluge
Gen.7.17	1	dated	narrated-event	israel.primeval.deluge,israel.primeval.deluge-rain
Gen.7.18-24	7	dated	narrated-event	israel.primeval.deluge,israel.primeval.deluge-waters-prevail
Gen.8.1-2	2	dated	narrated-event	israel.primeval.deluge
Gen.8.3-12	10	dated	narrated-event	israel.primeval.deluge,israel.primeval.deluge-waters-abate
Gen.8.13-14	2	dated	narrated-event	israel.primeval.deluge,israel.primeval.deluge-ends
Gen.8.15-22	8	dated	narrated-event	israel.primeval.deluge
Gen.9.1-29	29	research-pending		
Gen.10.1-32	32	research-pending		
Gen.11.1-9	9	research-pending		
Gen.11.10	1	dated	narrated-event	israel.patriarchs.begetting-of-arphaxad
Gen.11.11-25	15	research-pending		
Gen.11.26-27	2	dated	narrated-event	israel.patriarchs.birth-of-abram
Gen.11.28-32	5	research-pending		
Gen.12.1-4	4	dated	narrated-event	israel.patriarchs.call-of-abram
Gen.12.5	1	dated	narrated-event	israel.patriarchs.abram-enters-chanaan,israel.patriarchs.call-of-abram
Gen.12.6-9	4	dated	narrated-event	israel.patriarchs.abram-enters-chanaan
Gen.12.10-20	11	research-pending		
Gen.13.1-18	18	research-pending		
Gen.14.1-24	24	research-pending		
Gen.15.1-21	21	research-pending		
Gen.16.1-16	16	research-pending		
Gen.17.1-27	27	dated	narrated-event	israel.patriarchs.covenant-of-circumcision
Gen.18.1-33	33	research-pending		
Gen.19.1-38	38	research-pending		
Gen.20.1-18	18	research-pending		
Gen.21.1-8	8	dated	narrated-event	israel.patriarchs.birth-of-isaac
Gen.21.9-34	26	research-pending		
Gen.22.1-24	24	research-pending		
Gen.23.1-20	20	research-pending		
Gen.24.1-67	67	research-pending		
Gen.25.1-18	18	research-pending		
Gen.25.19-26	8	dated	narrated-event	israel.patriarchs.birth-of-jacob
Gen.25.27-34	8	research-pending		
Gen.26.1-35	35	research-pending		
Gen.27.1-46	46	research-pending		
Gen.28.1-22	22	research-pending		
Gen.29.1-35	35	research-pending		
Gen.30.1-43	43	research-pending		
Gen.31.1-55	55	research-pending		
Gen.32.1-32	32	research-pending		
Gen.33.1-20	20	research-pending		
Gen.34.1-31	31	research-pending		
Gen.35.1-29	29	research-pending		
Gen.36.1-43	43	research-pending		
Gen.37.1-36	36	research-pending		
Gen.38.1-30	30	research-pending		
Gen.39.1-23	23	research-pending		
Gen.40.1-23	23	research-pending		
Gen.41.1-57	57	research-pending		
Gen.42.1-38	38	research-pending		
Gen.43.1-34	34	research-pending		
Gen.44.1-34	34	research-pending		
Gen.45.1-28	28	research-pending		
Gen.46.1-34	34	dated	narrated-event	israel.egypt.descent
Gen.47.1-12	12	dated	narrated-event	israel.egypt.descent
Gen.47.13-31	19	research-pending		
Gen.48.1-22	22	research-pending		
Gen.49.1-32	32	research-pending		
Gen.50.1-25	25	research-pending		
Ex.1.1-22	22	dated	narrated-event	israel.egypt.sojourn
Ex.2.1-10	10	dated	narrated-event	israel.exodus.birth-of-moses
Ex.2.11-25	15	research-pending		
Ex.3.1-22	22	dated	narrated-event	israel.exodus.burning-bush
Ex.4.1-17	17	dated	narrated-event	israel.exodus.burning-bush
Ex.4.18-31	14	research-pending		
Ex.5.1-23	23	dated	narrated-event	israel.exodus.moses-before-pharao
Ex.6.1-30	30	research-pending		
Ex.7.1-5	5	research-pending		
Ex.7.6-13	8	dated	narrated-event	israel.exodus.moses-before-pharao
Ex.7.14-25	12	research-pending		
Ex.8.1-32	32	research-pending		
Ex.9.1-35	35	research-pending		
Ex.10.1-29	29	research-pending		
Ex.11.1-10	10	research-pending		
Ex.12.1-39	39	dated	narrated-event	israel.exodus.the-exodus
Ex.12.40-41	2	dated	narrated-event	israel.egypt.sojourn,israel.exodus.the-exodus
Ex.12.42-51	10	dated	narrated-event	israel.exodus.the-exodus
Ex.13.1-22	22	dated	narrated-event	israel.exodus.the-exodus
Ex.14.1-31	31	dated	narrated-event	israel.exodus.the-exodus
Ex.15.1-27	27	research-pending		
Ex.16.1-36	36	dated	narrated-event	israel.wilderness.manna
Ex.17.1-16	16	research-pending		
Ex.18.1-27	27	research-pending		
Ex.19.1-25	25	dated	narrated-event	israel.wilderness.arrival-at-sinai
Ex.20.1-26	26	research-pending		
Ex.21.1-36	36	research-pending		
Ex.22.1-31	31	research-pending		
Ex.23.1-33	33	research-pending		
Ex.24.1-11	11	research-pending		
Ex.24.12-18	7	dated	narrated-event	israel.wilderness.forty-days-on-the-mount
Ex.25.1-40	40	research-pending		
Ex.26.1-37	37	research-pending		
Ex.27.1-21	21	research-pending		
Ex.28.1-43	43	research-pending		
Ex.29.1-46	46	research-pending		
Ex.30.1-38	38	research-pending		
Ex.31.1-18	18	research-pending		
Ex.32.1-35	35	dated	narrated-event	israel.wilderness.golden-calf
Ex.33.1-23	23	research-pending		
Ex.34.1-26	26	research-pending		
Ex.34.27-28	2	dated	narrated-event	israel.wilderness.forty-days-on-the-mount
Ex.34.29-35	7	research-pending		
Ex.35.1-35	35	research-pending		
Ex.36.1-38	38	research-pending		
Ex.37.1-29	29	research-pending		
Ex.38.1-31	31	research-pending		
Ex.39.1-43	43	research-pending		
