# Post-audit correction ledger for the cold audit of corpus 2330d63a5.
# One row per standing audit finding; every one of the 104 appears exactly once.
# Dispositions: fixed | withdrawn-after-new-evidence | blocked-source | maintainer-disposition
finding_id	claim_id	severity	audit_result	correction_disposition	source_record	source_locus	changed_claim_or_scope	changed_files	correction_summary	test_or_check	re_review_required	notes
A2-002	event:israel.patriarchs.birth-of-abram#0	critical	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", CE vol. 3 (1908), the Flood-to-Abraham table, final row	event:israel.patriarchs.call-of-abram#1,#2,#3 (moved from event:israel.patriarchs.birth-of-abram#0,#1,#2)	src/sources/chronology/events.yaml, tools/tests/test_chronology.py	The three text-family intervals 367/1017/1147 are re-subjected to israel.patriarchs.call-of-abram, which is the endpoint the table's own row names ('Hence, number of years from Flood to Call of Abraham'), reached by adding Abraham's 75 years at his call. They are alternates beneath the rank-1 Genesis 12:4 claim, which outranks them and does not disagree with them. Birth and call remain two events; the birth's note records the table's Flood-to-birth row 292/942/1072 without authoring it, because the article states it nowhere as a claim.	TrackedHardCaseTests.test_a_source_interval_lands_on_the_endpoint_the_source_names	yes	Verified to fail against a corpus with the old anchor restored. Commit fda963b41.
A2-003	event:israel.patriarchs.birth-of-abram#1	critical	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", CE vol. 3 (1908), the Flood-to-Abraham table, final row	event:israel.patriarchs.call-of-abram#1,#2,#3 (moved from event:israel.patriarchs.birth-of-abram#0,#1,#2)	src/sources/chronology/events.yaml, tools/tests/test_chronology.py	The three text-family intervals 367/1017/1147 are re-subjected to israel.patriarchs.call-of-abram, which is the endpoint the table's own row names ('Hence, number of years from Flood to Call of Abraham'), reached by adding Abraham's 75 years at his call. They are alternates beneath the rank-1 Genesis 12:4 claim, which outranks them and does not disagree with them. Birth and call remain two events; the birth's note records the table's Flood-to-birth row 292/942/1072 without authoring it, because the article states it nowhere as a claim.	TrackedHardCaseTests.test_a_source_interval_lands_on_the_endpoint_the_source_names	yes	Verified to fail against a corpus with the old anchor restored. Commit fda963b41.
A2-004	event:israel.patriarchs.birth-of-abram#2	critical	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", CE vol. 3 (1908), the Flood-to-Abraham table, final row	event:israel.patriarchs.call-of-abram#1,#2,#3 (moved from event:israel.patriarchs.birth-of-abram#0,#1,#2)	src/sources/chronology/events.yaml, tools/tests/test_chronology.py	The three text-family intervals 367/1017/1147 are re-subjected to israel.patriarchs.call-of-abram, which is the endpoint the table's own row names ('Hence, number of years from Flood to Call of Abraham'), reached by adding Abraham's 75 years at his call. They are alternates beneath the rank-1 Genesis 12:4 claim, which outranks them and does not disagree with them. Birth and call remain two events; the birth's note records the table's Flood-to-birth row 292/942/1072 without authoring it, because the article states it nowhere as a claim.	TrackedHardCaseTests.test_a_source_interval_lands_on_the_endpoint_the_source_names	yes	Verified to fail against a corpus with the old anchor restored. Commit fda963b41.
E1-007	event:israel.patriarchs.birth-of-abram#0	critical	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", CE vol. 3 (1908), the Flood-to-Abraham table, final row	event:israel.patriarchs.call-of-abram#1,#2,#3 (moved from event:israel.patriarchs.birth-of-abram#0,#1,#2)	src/sources/chronology/events.yaml, tools/tests/test_chronology.py	The three text-family intervals 367/1017/1147 are re-subjected to israel.patriarchs.call-of-abram, which is the endpoint the table's own row names ('Hence, number of years from Flood to Call of Abraham'), reached by adding Abraham's 75 years at his call. They are alternates beneath the rank-1 Genesis 12:4 claim, which outranks them and does not disagree with them. Birth and call remain two events; the birth's note records the table's Flood-to-birth row 292/942/1072 without authoring it, because the article states it nowhere as a claim.	TrackedHardCaseTests.test_a_source_interval_lands_on_the_endpoint_the_source_names	yes	Verified to fail against a corpus with the old anchor restored. Commit fda963b41.
LEAD-009	event:israel.patriarchs.birth-of-abram#0, #1, #2	critical	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", CE vol. 3 (1908), the Flood-to-Abraham table, final row	event:israel.patriarchs.call-of-abram#1,#2,#3 (moved from event:israel.patriarchs.birth-of-abram#0,#1,#2)	src/sources/chronology/events.yaml, tools/tests/test_chronology.py	The three text-family intervals 367/1017/1147 are re-subjected to israel.patriarchs.call-of-abram, which is the endpoint the table's own row names ('Hence, number of years from Flood to Call of Abraham'), reached by adding Abraham's 75 years at his call. They are alternates beneath the rank-1 Genesis 12:4 claim, which outranks them and does not disagree with them. Birth and call remain two events; the birth's note records the table's Flood-to-birth row 292/942/1072 without authoring it, because the article states it nowhere as a claim.	TrackedHardCaseTests.test_a_source_interval_lands_on_the_endpoint_the_source_names	yes	Verified to fail against a corpus with the old anchor restored. Commit fda963b41.
A2-026	event:israel.judges.period#0	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:Acts.13.20	Acts 13:20, in context Acts 13:17-21 (tracked Douay-Rheims)	event:israel.judges.period#0	src/sources/chronology/events.yaml	The stored relative.statement was a reordering the tracked Douay does not contain, which attached the four hundred and fifty years to the judges - exactly the attachment the claim's own note denies (failure mode 15.1(1)). The statement is restored to the Douay's own word order (edited under A2-029, which owns that block) and the label now carries the whole verse verbatim instead of the leading clause alone, so the display no longer asserts the punctuation the note disclaims.	A regression asserting that every relative.statement in events.yaml that quotes a Scripture verse is a substring-preserving quotation of the tracked Douay would have caught this; not authored here.	yes	OVERLAP: three findings touch israel.judges.period. A2-026 owns the claim note and the label; A2-029 owns the relative.of + relative.statement block; LEAD-015 owns the event-level note. The three old-strings are disjoint, so they may be applied in any order. The claim is NOT re-typed as duration: the Douay's word order puts the four hundred and fifty years before the judges are mentioned, so a duration of 450 years on this subject would assert the length the note denies. See LEAD-015 notes.
A2-029	event:israel.judges.period#0	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:Acts.13.20	Acts 13:19-21 (tracked Douay-Rheims)	event:israel.judges.period#0	src/sources/chronology/events.yaml	israel.monarchy.saul-accession is the period's terminus, not its origin: Saul enters only at v.21, after the judges. The anchor is moved to israel.conquest.division-of-the-land, which is what the verse's own 'after these things' names (v.19, the destroying of seven nations and the dividing of their land by lot), and the statement is restored to the Douay's word order. This is a sequence statement carrying no offset, the same shape israel.conquest.division-of-the-land and israel.judges.ark-comes-to-cariathiarim already use correctly.		yes	Removing this anchor also dissolves the LEAD-015 chain: demand-for-a-king -> judges.period no longer reaches saul-accession (a modern-critical 1020 B.C. the profile marks alternate and declines to display). The new anchor is forward-directed - division-of-the-land -> war-against-the-kings-of-chanaan -> crossing-of-the-jordan - and introduces no cycle. OVERLAP: see A2-026 notes.
A3-006	event:israel.monarchy.absalom-revolt#0	major	CHANGES_REQUIRED	fixed	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.second-kings-15-absalom-conspiracy-chronology; bible:douay-rheims:2Kings.15.7	Haydock, artifact PDF page 430 (printed p. 400), note on 2 Kings 15 ver. 7; 2 Kings (2 Samuel) 15:7	event:israel.monarchy.absalom-revolt#0	src/sources/chronology/events.yaml	The anchor israel.monarchy.david-reign is an origin no inspected source proposes. Haydock names two rival origins, Vatable's (the people's petition for a king) and Salien's (David's first anointing), neither of which is Scripture's and neither of which this profile may adopt as its own (guidance section 4.3). The anchor is therefore moved to israel.monarchy.absalom-preparations - the chapter's own antecedent, which the same Haydock page separates from verse 7 by its year markers - and carries sequence only; the statement becomes the verse verbatim, and the note records both reported origins and the four/forty manuscript problem in the commentators' own voices. The Haydock passage record is added to sources, because the note characterises it (failure mode 15.1(4)) and previously did so without naming it.		yes	The pre-existing note said Haydock 'cites Salien and Usher'; page 430 in fact names Vatable and Salien for the origin of the forty and Kennicott, Grotius, Josephus and Theodoret for the four/forty problem, with Salien and Usher named only as chronologies that 'explain it well enough'. Corrected. If the lead prefers the audit's optional improvement, adding the word 'four' explicitly to the note is safe; I have quoted Haydock's own sentence instead. The alternate claim on this event (Haydock's A.M. 2980 / A.C. 1024 marker) is untouched.
A3-027	event:israel.restoration.nehemias-tidings-of-jerusalem#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10737c-8f80f067; bible:douay-rheims:2Esd.1.1	Van Hoonacker, "Book of Nehemiah", Catholic Encyclopedia vol. 10 (New York, 1911), section 1 (1)-(2); 2 Esdras (Nehemias) 1:1	event:israel.restoration.nehemias-tidings-of-jerusalem#0; NEW event israel.restoration.reign-of-artaxerxes-i (one claim)	src/sources/chronology/events.yaml	The claim's own note asserted that the corpus holds no first year of Artaxerxes to count the twentieth year from; the registered source prints the reign as 'Artaxerxes I (B. C. 465-24)' in its own voice, so the premise was false and the substituted anchor (an interval of 485-424 B.C. covering two reigns) gave the regnal year no determinate origin. A minimal new event israel.restoration.reign-of-artaxerxes-i is authored from that printed span, and the tidings are re-anchored on it so the twentieth year is measured from the first year of the king.		yes	AUTHORS ONE NEW EVENT. It is the smallest identity the sources require and is precedented: apostolic-age.accession-of-vespasian is held on exactly the same ground ('Held only because it is the anchor of the patristic reckoning'). Nothing else is authored around it: no Persian king list, no A.D./B.C. conversion, and the article's own B.C. 445 for the mission is explicitly refused in the new event's note because Van Hoonacker grounds it on 'the opinion of most historians of Israel' plus the Elephantine papyri (guidance section 4.3, failure mode 15.1(3)). If the lead declines the new event, the fallback is to keep relative.statement as a sequence about the calamity and leave the regnal number in the label only; but then the corpus keeps a numbered regnal offset with no origin, which is what the finding is about. NOTE: israel.restoration.nehemias-mission and any other claim counting Artaxerxes' regnal years should be checked against the new anchor by whoever owns them - I have not touched them.
A4-004	event:israel.exodus.the-plagues-of-egypt#0	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:Ex.5.1; bible:douay-rheims:Ex.7.25; bible:douay-rheims:Ex.7.20; bible:douay-rheims:Ex.12.29	Exodus 5:1; 7:20-21; 7:25; 12:29	event:israel.exodus.the-plagues-of-egypt#0	src/sources/chronology/events.yaml	Exodus 7:25 measures the seven days from the striking of the river, not from the audience of Exodus 5, so anchor plus stored clause asserted an interval Scripture does not state (failure mode 15.1(2)). The seven days are removed from relative.statement and from the label and carried in the note as the interval inside the series that they are; the anchor israel.exodus.moses-before-pharao is kept, because it is where the series itself opens, and the statement and label now say only that. Exodus 5:1 and 12:29 are added to sources because the statement now quotes them.		yes	The audit's first option - author the striking of the river and anchor the seven days on it - is NOT taken, and should not be: the claim's subject is the whole ten-plague series, so 'seven days after the river was struck' would be a false date for the series whichever anchor carried it. The seven days belong to an event this corpus does not hold; the smallest identity that would carry them is israel.exodus.first-plague-the-river-struck (Exodus 7:20-21, 7:25), with the seven days then belonging to the SECOND plague rather than to this subject. I have not authored it, because it would need a second event for the second plague to be the thing the seven days date.
