ordinal	token	file	testament	douay_title	modern_name	missal_latin_abbreviation	alternate_names
1	Gen	01-genesis.tsv	old	The Book of Genesis	Genesis	Gen.	The Book of Genesis;Gen.;Gn
2	Ex	02-exodus.tsv	old	The Book of Exodus	Exodus	Exod.	The Book of Exodus;Exod.;Ex
3	Lev	03-leviticus.tsv	old	The Book of Leviticus	Leviticus	Levit.	The Book of Leviticus;Levit.;Lev
4	Num	04-numbers.tsv	old	The Book of Numbers	Numbers	Num.	The Book of Numbers;Num.;Nm
5	Deut	05-deuteronomy.tsv	old	The Book of Deuteronomy	Deuteronomy	Deut.	The Book of Deuteronomy;Deut.;Dt
6	Jos	06-josue.tsv	old	The Book of Josue	Joshua	Jos.	The Book of Josue;Jos.;Josue; Jos
7	Judg	07-judges.tsv	old	The Book of Judges	Judges	Judic.	The Book of Judges;Judic.;Jdg; Judg
8	Ruth	08-ruth.tsv	old	The Book of Ruth	Ruth	Ruth	The Book of Ruth;Ruth;Rt
9	1Kings	09-1-kings.tsv	old	The First Book of Samuel, otherwise called the First Book of Kings	1 Samuel	1 Reg.	The First Book of Samuel, otherwise called the First Book of Kings;1 Reg.;1 Kings; 1 Samuel; 1 Sm
10	2Kings	10-2-kings.tsv	old	The Second Book of Samuel, otherwise called the Second Book of Kings	2 Samuel	2 Reg.	The Second Book of Samuel, otherwise called the Second Book of Kings;2 Reg.;2 Kings; 2 Samuel; 2 Sm
11	3Kings	11-3-kings.tsv	old	The Third Book of Kings	1 Kings	3 Reg.	The Third Book of Kings;3 Reg.;3 Kings; 1 Kings (modern)
12	4Kings	12-4-kings.tsv	old	The Fourth Book of Kings	2 Kings	4 Reg.	The Fourth Book of Kings;4 Reg.;4 Kings; 2 Kings (modern)
13	1Par	13-1-paralipomenon.tsv	old	The First Book of Paralipomenon	1 Chronicles	1 Paral.	The First Book of Paralipomenon;1 Paral.;1 Paralipomenon; 1 Par
14	2Par	14-2-paralipomenon.tsv	old	The Second Book of Paralipomenon	2 Chronicles	2 Paral.	The Second Book of Paralipomenon;2 Paral.;2 Paralipomenon; 2 Par
15	1Esd	15-1-esdras.tsv	old	The First Book of Esdras	Ezra	1 Esdr.	The First Book of Esdras;1 Esdr.;1 Esdras; Esdras
16	2Esd	16-2-esdras.tsv	old	The Book of Nehemias, which is called the Second of Esdras	Nehemiah	2 Esdr.	The Book of Nehemias, which is called the Second of Esdras;2 Esdr.;2 Esdras; Nehemias; Neh
17	Tob	17-tobias.tsv	old	The Book of Tobias	Tobit	Tob.	The Book of Tobias;Tob.;Tobias; Tb
18	Jdt	18-judith.tsv	old	The Book of Judith	Judith	Judith	The Book of Judith;Judith;Jdt
19	Esth	19-esther.tsv	old	The Book of Esther	Esther	Esth.	The Book of Esther;Esth.;Est
20	Job	20-job.tsv	old	The Book of Job	Job	Job	The Book of Job;Job;Jb
21	Ps	21-psalms.tsv	old	The Book of Psalms	Psalms	Ps.	The Book of Psalms;Ps.;Psalmi; Pss
