cited_locus	resolves_to	kind	note
Ps.15.10	Ps.15.10	merged-verse	the Vulgate carries *notas mihi fecisti vias vitae* at the end of verse 10 where the concordance's witness gives it a verse 11 of its own; the 1962 Missal cites that communion as Psalm 15:11, so the number is cited and has to resolve somewhere
Ps.15.11	Ps.15.10	merged-verse	the Vulgate carries *notas mihi fecisti vias vitae* at the end of verse 10 where the concordance's witness gives it a verse 11 of its own; the 1962 Missal cites that communion as Psalm 15:11, so the number is cited and has to resolve somewhere
Ps.42.4	Ps.42.4	merged-verse	the verse boundary moves inside this psalm: this edition's verse 4 carries *confitebor tibi in cithara* as well, which the concordance's witness numbers 5
Ps.42.5		numbering-not-recorded	the cited verse is divided between this edition's 4 and 5 and no printed verse carries it whole, so there is no number here to send a citation of it to
Ps.42.6	Ps.42.5	merged-verse	this edition's verse 5 opens with the *quare tristis* the concordance's witness numbers 5 and closes with the whole of its 6
Ps.115.10	Ps.115.1	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.11	Ps.115.2	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.12	Ps.115.3	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.13	Ps.115.4	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.14	Ps.115.5	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.15	Ps.115.6	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.16	Ps.115.7	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.17	Ps.115.8	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.18	Ps.115.9	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.19	Ps.115.10	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.125.6	Ps.125.6	merged-verse	the sowing and the sheaves are one verse here and two in the concordance's witness
Ps.125.7	Ps.125.6	merged-verse	the sowing and the sheaves are one verse here and two in the concordance's witness
Ps.135.26	Ps.135.26	merged-verse	the last two *confitemini* are one verse here and two in the concordance's witness
Ps.135.27	Ps.135.26	merged-verse	the last two *confitemini* are one verse here and two in the concordance's witness
Ps.147.12	Ps.147.1	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.13	Ps.147.2	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.14	Ps.147.3	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.15	Ps.147.4	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.16	Ps.147.5	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.17	Ps.147.6	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.18	Ps.147.7	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.19	Ps.147.8	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.20	Ps.147.9	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
