book	chapter	verse	text
1Par	1	1	Adam, Seth, Enos,
1Par	1	2	Cainan, Malaleel, Jared,
1Par	1	3	Henoch, Mathusale, Lamech,
1Par	1	4	Noë, Sem, Cham, et Japtheth.
1Par	1	5	Filii Japheth: Gomer, et Magog, et Madai, et Javan, Thubal, Mosoch, Thiras.
1Par	1	6	Porro filii Gomer: Ascenez, et Riphath, et Thogorma.
1Par	1	7	Filii autem Javan: Elisa et Tharsis, Cethim et Dodanim.
1Par	1	8	Filii Cham: Chus, et Mesraim, et Phut, et Chanaan.
1Par	1	9	Filii autem Chus: Saba, et Hevila, Sabatha, et Regma, et Sabathacha. Porro filii Regma: Saba, et Dadan.
1Par	1	10	Chus autem genuit Nemrod: iste cœpit esse potens in terra.
1Par	1	11	Mesraim vero genuit Ludim, et Anamim, et Laabim, et Nephtuim,
1Par	1	12	Phetrusim quoque, et Casluim: de quibus egressi sunt Philisthiim, et Caphtorim.
1Par	1	13	Chanaan vero genuit Sidonem primogenitum suum, Hethæum quoque,
1Par	1	14	et Jebusæum, et Amorrhæum, et Gergesæum,
1Par	1	15	Hevæumque et Aracæum, et Sinæum.
1Par	1	16	Aradium quoque, et Samaræum, et Hamathæum.
1Par	1	17	Filii Sem: Ælam, et Assur, et Arphaxad, et Lud, et Aram, et Hus, et Hul, et Gether, et Mosoch.
1Par	1	18	Arphaxad autem genuit Sale, qui et ipse genuit Heber.
1Par	1	19	Porro Heber nati sunt duo filii: nomen uni Phaleg, quia in diebus ejus divisa est terra; et nomen fratris ejus Jectan.
1Par	1	20	Jectan autem genuit Elmodad, et Saleph, et Asarmoth, et Jare,
1Par	1	21	Adoram quoque, et Huzal, et Decla,
1Par	1	22	Hebal etiam, et Abimaël, et Saba, necnon
1Par	1	23	et Ophir, et Hevila, et Jobab: omnes isti filii Jectan.
1Par	1	24	Sem, Arphaxad, Sale,
1Par	1	25	Heber, Phaleg, Ragau,
1Par	1	26	Serug, Nachor, Thare,
1Par	1	27	Abram: iste est Abraham.
1Par	1	28	Filii autem Abraham, Isaac et Ismahel.
1Par	1	29	Et hæ generationes eorum. Primogenitus Ismahelis, Nabaioth, et Cedar, et Adbeel, et Mabsam,
1Par	1	30	et Masma, et Duma, Massa, Hadad, et Thema,
1Par	1	31	Jetur, Naphis, Cedma: hi sunt filii Ismahelis.
1Par	1	32	Filii autem Ceturæ concubinæ Abraham, quos genuit: Zamran, Jecsan, Madan, Madian, Jesboc, et Sue. Porro filii Jecsan: Saba, et Dadan. Filii autem Dadan: Assurim, et Latussim, et Laomim.
1Par	1	33	Filii autem Madian: Epha, et Epher, et Henoch, et Abida, et Eldaa: omnes hi filii Ceturæ.
1Par	1	34	Genuit autem Abraham Isaac: cujus fuerunt filii Esau, et Israël.
1Par	1	35	Filii Esau: Eliphaz, Rahuel, Jehus, Ihelom, et Core.
1Par	1	36	Filii Eliphaz: Theman, Omar, Sephi, Gathan, Cenez, Thamna, Amalec.
1Par	1	37	Filii Rahuel: Nahath, Zara, Samma, Meza.
1Par	1	38	Filii Seir: Lotan, Sobal, Sebeon, Ana, Dison, Eser, Disan.
1Par	1	39	Filii Lotan: Hori, Homam. Soror autem Lotan fuit Thamna.
1Par	1	40	Filii Sobal: Alian, et Manahath, et Ebal, Sephi et Onam. Filii Sebeon: Aja et Ana. Filii Ana: Dison.
1Par	1	41	Filii Dison: Hamram, et Heseban, et Jethran, et Charan.
1Par	1	42	Filii Eser: Balaan, et Zavan, et Jacan. Filii Disan: Hus et Aran.
1Par	1	43	Isti sunt reges qui imperaverunt in terra Edom, antequam esset rex super filios Israël. Bale filius Beor: et nomen civitatis ejus, Denaba.
1Par	1	44	Mortuus est autem Bale, et regnavit pro eo Jobab filius Zare de Bosra.
1Par	1	45	Cumque et Jobab fuisset mortuus, regnavit pro eo Husam de terra Themanorum.
1Par	1	46	Obiit quoque et Husam, et regnavit pro eo Adad filius Badad, qui percussit Madian in terra Moab: et nomen civitatis ejus Avith.
1Par	1	47	Cumque et Adad fuisset mortuus, regnavit pro eo Semla de Masreca.
1Par	1	48	Sed et Semla mortuus est, et regnavit pro eo Saul de Rohoboth, quæ juxta amnem sita est.
1Par	1	49	Mortuo quoque Saul, regnavit pro eo Balanan filius Achobor.
1Par	1	50	Sed et hic mortuus est, et regnavit pro eo Adad: cujus urbis nomen fuit Phau, et appellata est uxor ejus Meetabel filia Matred filiæ Mezaab.
1Par	1	51	Adad autem mortuo, duces pro regibus in Edom esse cœperunt: dux Thamna, dux Alva, dux Jetheth,
1Par	1	52	dux Oolibama, dux Ela, dux Phinon,
1Par	1	53	dux Cenez, dux Theman, dux Mabsar,
1Par	1	54	dux Magdiel, dux Hiram: hi duces Edom.
1Par	2	1	Filii autem Israël: Ruben, Simeon, Levi, Juda, Issachar, et Zabulon,
1Par	2	2	Dan, Joseph, Benjamin, Nephthali, Gad, et Aser.
1Par	2	3	Filii Juda: Her, Onan, et Sela: hi tres nati sunt ei de filia Sue Chananitide. Fuit autem Her primogenitus Juda malus coram Domino, et occidit eum.
1Par	2	4	Thamar autem nurus ejus peperit ei Phares et Zara: omnes ergo filii Juda, quinque.
1Par	2	5	Filii autem Phares: Hesron et Hamul.
1Par	2	6	Filii quoque Zaræ: Zamri, et Ethan, et Eman, Chalchal quoque, et Dara, simul quinque.
1Par	2	7	Filii Charmi: Achar, qui turbavit Israël, et peccavit in furto anathematis.
1Par	2	8	Filii Ethan: Azarias.
1Par	2	9	Filii autem Hesron qui nati sunt ei: Jerameel, et Ram, et Calubi.
1Par	2	10	Porro Ram genuit Aminadab. Aminadab autem genuit Nahasson, principem filiorum Juda.
1Par	2	11	Nahasson quoque genuit Salma, de quo ortus est Booz.
1Par	2	12	Booz vero genuit Obed, qui et ipse genuit Isai.
1Par	2	13	Isai autem genuit primogenitum Eliab, secundum Abinadab, tertium Simmaa,
1Par	2	14	quartum Nathanaël, quintum Raddai,
1Par	2	15	sextum Asom, septimum David.
1Par	2	16	Quorum sorores fuerunt Sarvia et Abigail. Filii Sarviæ: Abisai, Joab, et Asaël, tres.
1Par	2	17	Abigail autem genuit Amasa, cujus pater fuit Jether Ismahelites.
1Par	2	18	Caleb vero filius Hesron accepit uxorem nomine Azuba, de qua genuit Jerioth: fueruntque filii ejus Jaser, et Sobab, et Ardon.
1Par	2	19	Cumque mortua fuisset Azuba, accepit uxorem Caleb Ephratha, quæ peperit ei Hur.
1Par	2	20	Porro Hur genuit Uri, et Uri genuit Bezeleel.
1Par	2	21	Post hæc ingressus est Hesron ad filiam Machir patris Galaad, et accepit eam cum esset annorum sexaginta: quæ peperit ei Segub.
1Par	2	22	Sed et Segub genuit Jair, et possedit viginti tres civitates in terra Galaad.
1Par	2	23	Cepitque Gessur et Aram oppida Jair, et Canath, et viculos ejus sexaginta civitatum: omnes isti filii Machir patris Galaad.
1Par	2	24	Cum autem mortuus esset Hesron, ingressus est Caleb ad Ephratha. Habuit quoque Hesron uxorem Abia, quæ peperit ei Assur patrem Thecuæ.
1Par	2	25	Nati sunt autem filii Jerameel primogeniti Hesron, Ram primogenitus ejus, et Buna, et Aram, et Asom, et Achia.
1Par	2	26	Duxit quoque uxorem alteram Jerameel, nomine Atara, quæ fuit mater Onam.
1Par	2	27	Sed et filii Ram primogeniti Jerameel fuerunt Moos, Jamin, et Achar.
1Par	2	28	Onam autem habuit filios Semei et Jada. Filii autem Semei: Nadab et Abisur.
1Par	2	29	Nomen vero uxoris Abisur, Abihail, quæ peperit ei Ahobban et Molid.
1Par	2	30	Filii autem Nadab fuerunt Saled et Apphaim. Mortuus est autem Saled absque liberis.
1Par	2	31	Filius vero Apphaim, Jesi: qui Jesi genuit Sesan. Porro Sesan genuit Oholai.
1Par	2	32	Filii autem Jada fratris Semei: Jether, et Jonathan. Sed et Jether mortuus est absque liberis.
1Par	2	33	Porro Jonathan genuit Phaleth, et Ziza. Isti fuerunt filii Jerameel.
1Par	2	34	Sesan autem non habuit filios, sed filias: et servum ægyptium nomine Jeraa.
1Par	2	35	Deditque ei filiam suam uxorem: quæ peperit ei Ethei.
1Par	2	36	Ethei autem genuit Nathan, et Nathan genuit Zabad.
1Par	2	37	Zabad quoque genuit Ophlal, et Ophlal genuit Obed.
1Par	2	38	Obed genuit Jehu, Jehu genuit Azariam,
1Par	2	39	Azarias genuit Helles, et Helles genuit Elasa.
1Par	2	40	Elasa genuit Sisamoi, Sisamoi genuit Sellum,
1Par	2	41	Sellum genuit Icamiam, Icamia autem genuit Elisama.
1Par	2	42	Filii autem Caleb fratris Jerameel: Mesa primogenitus ejus; ipse est pater Ziph: et filii Maresa patris Hebron.
1Par	2	43	Porro filii Hebron, Core, et Taphua, et Recem, et Samma.
1Par	2	44	Samma autem genuit Raham, patrem Jercaam, et Recem genuit Sammai.
1Par	2	45	Filius Sammai, Maon: et Maon pater Bethsur.
1Par	2	46	Epha autem concubina Caleb peperit Haran, et Mosa, et Gezez. Porro Haran genuit Gezez.
1Par	2	47	Filii autem Jahaddai, Regom, et Joathan, et Gesan, et Phalet, et Epha, et Saaph.
1Par	2	48	Concubina Caleb Maacha, peperit Saber, et Tharana.
1Par	2	49	Genuit autem Saaph pater Madmena Sue, patrem Machbena et patrem Gabaa. Filia vero Caleb fuit Achsa.
1Par	2	50	Hi erant filii Caleb, filii Hur primogeniti Ephratha, Sobal pater Cariathiarim.
1Par	2	51	Salma pater Bethlehem, Hariph pater Bethgader.
1Par	2	52	Fuerunt autem filii Sobal patris Cariathiarim, qui videbat dimidium requietionum.
1Par	2	53	Et de cognatione Cariathiarim, Jethrei, et Aphuthei, et Semathei, et Maserei. Ex his egressi sunt Saraitæ, et Esthaolitæ.
1Par	2	54	Filii Salma, Bethlehem, et Netophathi, coronæ domus Joab, et dimidium requietionis Sarai:
1Par	2	55	cognationes quoque scribarum habitantium in Jabes, canentes atque resonantes, et in tabernaculis commorantes. Hi sunt Cinæi, qui venerunt de Calore patris domus Rechab.
1Par	3	1	David vero hos habuit filios, qui ei nati sunt in Hebron: primogenitum Amnon ex Achinoam Jezrahelitide, secundum Daniel de Abigail Carmelitide,
1Par	3	2	tertium Absalom filium Maacha filiæ Tholmai regis Gessur, quartum Adoniam filium Aggith,
1Par	3	3	quintum Saphathiam ex Abital, sextum Jethraham de Egla uxore sua.
1Par	3	4	Sex ergo nati sunt ei in Hebron, ubi regnavit septem annis et sex mensibus. Triginta autem et tribus annis regnavit in Jerusalem.
1Par	3	5	Porro in Jerusalem nati sunt ei filii, Simmaa, et Sobab, et Nathan, et Salomon, quatuor de Bethsabee filia Ammiel:
1Par	3	6	Jebaar quoque et Elisama,
1Par	3	7	et Eliphaleth, et Noge, et Nepheg, et Japhia,
1Par	3	8	necnon Elisama, et Eliada, et Elipheleth, novem:
1Par	3	9	omnes hi, filii David absque filiis concubinarum: habueruntque sororem Thamar.
1Par	3	10	Filius autem Salomonis, Roboam: cujus Abia filius genuit Asa. De hoc quoque natus est Josaphat,
1Par	3	11	pater Joram: qui Joram genuit Ochoziam, ex quo ortus est Joas:
1Par	3	12	et hujus Amasias filius genuit Azariam. Porro Azariæ filius Joatham
1Par	3	13	procreavit Achaz patrem Ezechiæ, de quo natus est Manasses.
1Par	3	14	Sed et Manasses genuit Amon patrem Josiæ.
1Par	3	15	Filii autem Josiæ fuerunt: primogenitus Johanan, secundus Joakim, tertius Sedecias, quartus Sellum.
1Par	3	16	De Joakim natus est Jechonias, et Sedecias.
1Par	3	17	Filii Jechoniæ fuerunt: Asir, Salathiel,
1Par	3	18	Melchiram, Phadaia, Senneser, et Jecemia, Sama, et Nadabia.
1Par	3	19	De Phadaia orti sunt Zorobabel et Semei. Zorobabel genuit Mosollam, Hananiam, et Salomith sororem eorum:
1Par	3	20	Hasaban quoque, et Ohol, et Barachian, et Hasadian, Josabhesed, quinque.
1Par	3	21	Filius autem Hananiæ, Phaltias pater Jeseiæ, cujus filius Raphaia: hujus quoque filius, Arnan, de quo natus est Obdia, cujus filius fuit Sechenias.
1Par	3	22	Filius Secheniæ, Semeia: cujus filii Hattus, et Jegaal, et Baria, et Naaria, et Saphat, sex numero.
1Par	3	23	Filius Naariæ, Elioënai, et Ezechias, et Ezricam, tres.
1Par	3	24	Filii Elioënai, Oduia, et Eliasub, et Pheleia, et Accub, et Johanan, et Dalaia, et Anani, septem.
1Par	4	1	Filii Juda: Phares, Hesron, et Charmi, et Hur, et Sobal.
1Par	4	2	Raia vero filius Sobal genuit Jahath, de quo nati sunt Ahumai, et Laad: hæ cognationes Sarathi.
1Par	4	3	Ista quoque stirps Etam: Jezrahel, et Jesema, et Jedebos. Nomen quoque sororis eorum, Asalelphuni.
1Par	4	4	Phanuel autem pater Gedor, et Ezer pater Hosa: isti sunt filii Hur primogeniti Ephratha patris Bethlehem.
1Par	4	5	Assur vero patri Thecuæ erant duæ uxores, Halaa et Naara.
1Par	4	6	Peperit autem ei Naara, Oozam, et Hepher, et Themani, et Ahasthari: isti sunt filii Naara.
1Par	4	7	Porro filii Halaa, Sereth, Isaar et Ethnan.
1Par	4	8	Cos autem genuit Anob, et Soboba, et cognationem Aharehel filii Arum.
1Par	4	9	Fuit autem Jabes inclytus præ fratribus suis, et mater ejus vocavit nomen illius Jabes, dicens: Quia peperi eum in dolore.
1Par	4	10	Invocavit vero Jabes Deum Israël, dicens: Si benedicens benedixeris mihi, et dilataveris terminos meos, et fuerit manus tua mecum, et feceris me a malitia non opprimi. Et præstitit Deus quæ precatus est.
1Par	4	11	Caleb autem frater Sua genuit Mahir, qui fuit pater Esthon.
1Par	4	12	Porro Esthon genuit Bethrapha, et Phesse, et Tehinna patrem urbis Naas: hi sunt viri Recha.
1Par	4	13	Filii autem Cenez, Othoniel, et Saraia. Porro filii Othoniel, Hathath, et Maonathi.
1Par	4	14	Maonathi genuit Ophra, Saraia autem genuit Joab patrem Vallis artificum: ibi quippe artifices erant.
1Par	4	15	Filii vero Caleb filii Jephone, Hir, et Ela, et Naham. Filii quoque Ela: Cenez.
1Par	4	16	Filii quoque Jaleleel: Ziph, et Zipha, Thiria, et Asraël.
1Par	4	17	Et filii Ezra, Jether, et Mered, et Epher, et Jalon, genuitque Mariam, et Sammai, et Jesba patrem Esthamo.
1Par	4	18	Uxor quoque ejus Judaia, peperit Jared patrem Gedor, et Heber patrem Socho, et Icuthiel patrem Zanoë: hi autem filii Bethiæ filiæ Pharaonis, quam accepit Mered.
1Par	4	19	Et filii uxoris Odaiæ sororis Naham patris Ceila, Garmi, et Esthamo, qui fuit de Machathi.
1Par	4	20	Filii quoque Simon, Amnon, et Rinna filius Hanan, et Thilon. Et filii Jesi, Zoheth, et Benzoheth.
1Par	4	21	Filii Sela, filii Juda: Her pater Lecha, et Laada pater Maresa, et cognationes domus operantium byssum in domo juramenti.
1Par	4	22	Et qui stare fecit solem, virique Mendacii, et Securus, et Incendens, qui principes fuerunt in Moab, et qui reversi sunt in Lahem: hæc autem verba vetera.
1Par	4	23	Hi sunt figuli habitantes in plantationibus et in sepibus, apud regem in operibus ejus: commoratique sunt ibi.
1Par	4	24	Filii Simeon: Namuel et Jamin, Jarib, Zara, Saul.
1Par	4	25	Sellum filius ejus, Mapsam filius ejus, Masma filius ejus.
1Par	4	26	Filii Masma: Hamuel filius ejus, Zachur filius ejus, Semei filius ejus.
1Par	4	27	Filii Semei sedecim, et filiæ sex: fratres autem ejus non habuerunt filios multos, et universa cognatio non potuit adæquare summam filiorum Juda.
1Par	4	28	Habitaverunt autem in Bersabee, et Molada, et Hasarsuhal,
1Par	4	29	et in Bala, et in Asom, et in Tholad,
1Par	4	30	et in Bathuel, et in Horma, et in Siceleg,
1Par	4	31	et in Bethmarchaboth, et in Hasarsusim, et in Bethberai, et in Saarim: hæ civitates eorum usque ad regem David.
1Par	4	32	Villæ quoque eorum: Etam, et Aën, Remmon, et Thochen, et Asan, civitates quinque.
1Par	4	33	Et universi viculi eorum per circuitum civitatum istarum usque ad Baal: hæc est habitatio eorum, et sedium distributio.
1Par	4	34	Mosobab quoque et Jemlech, et Josa filius Amasiæ,
1Par	4	35	et Joël, et Jehu filius Josabiæ filii Saraiæ filii Asiel,
1Par	4	36	et Elioënai, et Jacoba, et Isuhaia, et Asaia, et Adiel, et Ismiel, et Banaia,
1Par	4	37	Ziza quoque filius Sephei filii Allon filii Idaia filii Semri filii Samaia.
1Par	4	38	Isti sunt nominati principes in cognationibus suis, et in domo affinitatum suarum multiplicati sunt vehementer.
1Par	4	39	Et profecti sunt ut ingrederentur in Gador usque ad orientem vallis, et ut quærerent pascua gregibus suis.
1Par	4	40	Inveneruntque pascuas uberes, et valde bonas, et terram latissimam et quietam et fertilem, in qua ante habitaverant de stirpe Cham.
