book	chapter	verse	text
Jdt	1	1	Arphaxad itaque, rex Medorum, subjugaverat multas gentes imperio suo, et ipse ædificavit civitatem potentissimam, quam appellavit Ecbatanis,
Jdt	1	2	ex lapidibus quadratis et sectis: fecit muros ejus in altitudinem cubitorum septuaginta, et in latitudinem cubitorum triginta: turres vero ejus posuit in altitudinem cubitorum centum.
Jdt	1	3	Per quadrum vero earum latus utrumque vicenorum pedum spatio tendebatur, posuitque portas ejus in altitudinem turrium:
Jdt	1	4	et gloriabatur quasi potens in potentia exercitus sui, et in gloria quadrigarum suarum.
Jdt	1	5	Anno igitur duodecimo regni sui, Nabuchodonosor rex Assyriorum, qui regnabat in Ninive civitate magna, pugnavit contra Arphaxad, et obtinuit eum
Jdt	1	6	in campo magno qui appellatur Ragau, circa Euphraten, et Tigrin, et Jadason, in campo Erioch regis Elicorum.
Jdt	1	7	Tunc exaltatum est regnum Nabuchodonosor, et cor ejus elevatum est: et misit ad omnes qui habitabant in Cilicia, et Damasco, et Libano,
Jdt	1	8	et ad gentes quæ sunt in Carmelo et Cedar, et inhabitantes Galilæam in campo magno Esdrelon,
Jdt	1	9	et ad omnes qui erant in Samaria, et trans flumen Jordanem usque ad Jerusalem, et omnem terram Jesse quousque perveniatur ad terminos Æthiopiæ.
Jdt	1	10	Ad hos omnes misit nuntios Nabuchodonosor rex Assyriorum:
Jdt	1	11	qui omnes uno animo contradixerunt, et remiserunt eos vacuos, et sine honore abjecerunt.
Jdt	1	12	Tunc indignatus Nabuchodonosor rex adversus omnem terram illam, juravit per thronum et regnum suum quod defenderet se de omnibus regionibus his.
Jdt	2	1	Anno tertiodecimo Nabuchodonosor regis, vigesima et secunda die mensis primi, factum est verbum in domo Nabuchodonosor regis Assyriorum ut defenderet se.
Jdt	2	2	Vocavitque omnes majores natu, omnesque duces et bellatores suos, et habuit cum eis mysterium consilii sui:
Jdt	2	3	dixitque cogitationem suam in eo esse, ut omnem terram suo subjugaret imperio.
Jdt	2	4	Quod dictum cum placuisset omnibus, vocavit Nabuchodonosor rex Holofernem principem militiæ suæ,
Jdt	2	5	et dixit ei: Egredere adversus omne regnum occidentis, et contra eos præcipue, qui contempserunt imperium eum.
Jdt	2	6	Non parcet oculus tuus ulli regno, omnemque urbem munitam subjugabis mihi.
Jdt	2	7	Tunc Holofernes vocavit duces et magistratus virtutis Assyriorum, et dinumeravit viros in expeditionem sicut præcepit ei rex, centum viginti millia peditum pugnatorum, et equitum sagittariorum duodecim millia.
Jdt	2	8	Omnemque expeditionem suam fecit præire in multitudine innumerabilium camelorum, cum his quæ exercitibus sufficerent copiose, boum quoque armenta, gregesque ovium, quorum non erat numerus.
Jdt	2	9	Frumentum ex omni Syria in transitu suo parari constituit.
Jdt	2	10	Aurum vero et argentum de domo regis assumpsit multum nimis.
Jdt	2	11	Et profectus est ipse, et omnis exercitus cum quadrigis, et equitibus, et sagittariis: qui cooperuerunt faciem terræ sicut locustæ.
Jdt	2	12	Cumque pertransisset fines Assyriorum, venit ad magnos montes Ange, qui sunt a sinistro Ciliciæ: ascenditque omnia castella eorum, et obtinuit omnem munitionem.
Jdt	2	13	Effregit autem civitatem opinatissimam Melothi, prædavitque omnes filios Tharsis et filios Ismaël qui erant contra faciem deserti, et ad austrum terræ Cellon.
Jdt	2	14	Et transivit Euphraten, et venit in Mesopotamiam: et fregit omnes civitates excelsas quæ erant ibi, a torrente Mambre usquequo perveniatur ad mare:
Jdt	2	15	et occupavit terminos ejus, a Cilicia usque ad fines Japheth qui sunt ad austrum.
Jdt	2	16	Abduxitque omnes filios Madian, et prædavit omnem locupletationem eorum, omnesque resistentes sibi occidit in ore gladii.
Jdt	2	17	Et post hæc descendit in campos Damasci in diebus messis, et succendit omnia sata, omnesque arbores, et vineas fecit incidi:
Jdt	2	18	et cecidit timor illius super omnes inhabitantes terram.
