book	chapter	verse	text
Ps	1	1	Beatus vir qui non abiit in consilio impiorum, et in via peccatorum non stetit, et in cathedra pestilentiæ non sedit;
Ps	1	2	sed in lege Domini voluntas ejus, et in lege ejus meditabitur die ac nocte.
Ps	1	3	Et erit tamquam lignum quod plantatum est secus decursus aquarum, quod fructum suum dabit in tempore suo: et folium ejus non defluet; et omnia quæcumque faciet prosperabuntur.
Ps	1	4	Non sic impii, non sic; sed tamquam pulvis quem projicit ventus a facie terræ.
Ps	1	5	Ideo non resurgent impii in judicio, neque peccatores in concilio justorum:
Ps	1	6	quoniam novit Dominus viam justorum, et iter impiorum peribit.
Ps	2	1	Quare fremuerunt gentes, et populi meditati sunt inania?
Ps	2	2	Astiterunt reges terræ, et principes convenerunt in unum adversus Dominum, et adversus christum ejus.
Ps	2	3	Dirumpamus vincula eorum, et projiciamus a nobis jugum ipsorum.
Ps	2	4	Qui habitat in cælis irridebit eos, et Dominus subsannabit eos.
Ps	2	5	Tunc loquetur ad eos in ira sua, et in furore suo conturbabit eos.
Ps	2	6	Ego autem constitutus sum rex ab eo super Sion, montem sanctum ejus, prædicans præceptum ejus.
Ps	2	7	Dominus dixit ad me: Filius meus es tu; ego hodie genui te.
Ps	2	8	Postula a me, et dabo tibi gentes hæreditatem tuam, et possessionem tuam terminos terræ.
Ps	2	9	Reges eos in virga ferrea, et tamquam vas figuli confringes eos.
Ps	2	10	Et nunc, reges, intelligite; erudimini, qui judicatis terram.
Ps	2	11	Servite Domino in timore, et exsultate ei cum tremore.
Ps	2	12	Apprehendite disciplinam, nequando irascatur Dominus, et pereatis de via justa.
Ps	2	13	Cum exarserit in brevi ira ejus, beati omnes qui confidunt in eo.
Ps	3	1	Psalmus David, cum fugeret a facie Absalom filii sui.
Ps	3	2	Domine, quid multiplicati sunt qui tribulant me? Multi insurgunt adversum me;
Ps	3	3	multi dicunt animæ meæ: Non est salus ipsi in Deo ejus.
Ps	3	4	Tu autem Domine, susceptor meus es, gloria mea, et exaltans caput meum.
Ps	3	5	Voce mea ad Dominum clamavi; et exaudivit me de monte sancto suo.
Ps	3	6	Ego dormivi, et soporatus sum; et exsurrexi, quia Dominus suscepit me.
Ps	3	7	Non timebo millia populi circumdantis me. Exsurge, Domine; salvum me fac, Deus meus.
Ps	3	8	Quoniam tu percussisti omnes adversantes mihi sine causa; dentes peccatorum contrivisti.
Ps	3	9	Domini est salus; et super populum tuum benedictio tua.
Ps	4	1	In finem, in carminibus. Psalmus David.
Ps	4	2	Cum invocarem exaudivit me Deus justitiæ meæ, in tribulatione dilatasti mihi. Miserere mei, et exaudi orationem meam.
Ps	4	3	Filii hominum, usquequo gravi corde? ut quid diligitis vanitatem, et quæritis mendacium?
Ps	4	4	Et scitote quoniam mirificavit Dominus sanctum suum; Dominus exaudiet me cum clamavero ad eum.
Ps	4	5	Irascimini, et nolite peccare; quæ dicitis in cordibus vestris, in cubilibus vestris compungimini.
Ps	4	6	Sacrificate sacrificium justitiæ, et sperate in Domino. Multi dicunt: Quis ostendit nobis bona?
Ps	4	7	Signatum est super nos lumen vultus tui, Domine: dedisti lætitiam in corde meo.
Ps	4	8	A fructu frumenti, vini, et olei sui, multiplicati sunt.
Ps	4	9	In pace in idipsum dormiam, et requiescam;
Ps	4	10	quoniam tu, Domine, singulariter in spe constituisti me.
Ps	5	1	In finem, pro ea quæ hæreditatem consequitur. Psalmus David.
Ps	5	2	Verba mea auribus percipe, Domine; intellige clamorem meum.
Ps	5	3	Intende voci orationis meæ, rex meus et Deus meus.
Ps	5	4	Quoniam ad te orabo, Domine: mane exaudies vocem meam.
Ps	5	5	Mane astabo tibi, et videbo quoniam non Deus volens iniquitatem tu es.
Ps	5	6	Neque habitabit juxta te malignus, neque permanebunt injusti ante oculos tuos.
Ps	5	7	Odisti omnes qui operantur iniquitatem; perdes omnes qui loquuntur mendacium. Virum sanguinum et dolosum abominabitur Dominus.
Ps	5	8	Ego autem in multitudine misericordiæ tuæ introibo in domum tuam; adorabo ad templum sanctum tuum in timore tuo.
Ps	5	9	Domine, deduc me in justitia tua: propter inimicos meos dirige in conspectu tuo viam meam.
Ps	5	10	Quoniam non est in ore eorum veritas; cor eorum vanum est.
Ps	5	11	Sepulchrum patens est guttur eorum; linguis suis dolose agebant: judica illos, Deus. Decidant a cogitationibus suis; secundum multitudinem impietatum eorum expelle eos, quoniam irritaverunt te, Domine.
Ps	5	12	Et lætentur omnes qui sperant in te; in æternum exsultabunt, et habitabis in eis. Et gloriabuntur in te omnes qui diligunt nomen tuum,
Ps	5	13	quoniam tu benedices justo. Domine, ut scuto bonæ voluntatis tuæ coronasti nos.
Ps	6	1	In finem, in carminibus. Psalmus David. Pro octava.
Ps	6	2	Domine, ne in furore tuo arguas me, neque in ira tua corripias me.
Ps	6	3	Miserere mei, Domine, quoniam infirmus sum; sana me, Domine, quoniam conturbata sunt ossa mea.
Ps	6	4	Et anima mea turbata est valde; sed tu, Domine, usquequo?
Ps	6	5	Convertere, Domine, et eripe animam meam; salvum me fac propter misericordiam tuam.
Ps	6	6	Quoniam non est in morte qui memor sit tui; in inferno autem quis confitebitur tibi?
Ps	6	7	Laboravi in gemitu meo; lavabo per singulas noctes lectum meum: lacrimis meis stratum meum rigabo.
Ps	6	8	Turbatus est a furore oculus meus; inveteravi inter omnes inimicos meos.
Ps	6	9	Discedite a me omnes qui operamini iniquitatem, quoniam exaudivit Dominus vocem fletus mei.
Ps	6	10	Exaudivit Dominus deprecationem meam; Dominus orationem meam suscepit.
Ps	6	11	Erubescant, et conturbentur vehementer, omnes inimici mei; convertantur, et erubescant valde velociter.
Ps	7	1	Psalmus David, quem cantavit Domino pro verbis Chusi, filii Jemini.
Ps	7	2	Domine Deus meus, in te speravi; salvum me fac ex omnibus persequentibus me, et libera me:
Ps	7	3	nequando rapiat ut leo animam meam, dum non est qui redimat, neque qui salvum faciat.
Ps	7	4	Domine Deus meus, si feci istud, si est iniquitas in manibus meis,
Ps	7	5	si reddidi retribuentibus mihi mala, decidam merito ab inimicis meis inanis.
Ps	7	6	Persequatur inimicus animam meam, et comprehendat; et conculcet in terra vitam meam, et gloriam meam in pulverem deducat.
Ps	7	7	Exsurge, Domine, in ira tua, et exaltare in finibus inimicorum meorum: et exsurge, Domine Deus meus, in præcepto quod mandasti,
Ps	7	8	et synagoga populorum circumdabit te: et propter hanc in altum regredere:
Ps	7	9	Dominus judicat populos. Judica me, Domine, secundum justitiam meam, et secundum innocentiam meam super me.
Ps	7	10	Consumetur nequitia peccatorum, et diriges justum, scrutans corda et renes, Deus.
Ps	7	11	Justum adjutorium meum a Domino, qui salvos facit rectos corde.
Ps	7	12	Deus judex justus, fortis, et patiens; numquid irascitur per singulos dies?
Ps	7	13	Nisi conversi fueritis, gladium suum vibrabit; arcum suum tetendit, et paravit illum.
Ps	7	14	Et in eo paravit vasa mortis, sagittas suas ardentibus effecit.
Ps	7	15	Ecce parturiit injustitiam; concepit dolorem, et peperit iniquitatem.
Ps	7	16	Lacum aperuit, et effodit eum; et incidit in foveam quam fecit.
Ps	7	17	Convertetur dolor ejus in caput ejus, et in verticem ipsius iniquitas ejus descendet.
Ps	7	18	Confitebor Domino secundum justitiam ejus, et psallam nomini Domini altissimi.
Ps	8	1	In finem, pro torcularibus. Psalmus David.
Ps	8	2	Domine, Dominus noster, quam admirabile est nomen tuum in universa terra ! quoniam elevata est magnificentia tua super cælos.
Ps	8	3	Ex ore infantium et lactentium perfecisti laudem propter inimicos tuos, ut destruas inimicum et ultorem.
Ps	8	4	Quoniam videbo cælos tuos, opera digitorum tuorum, lunam et stellas quæ tu fundasti.
Ps	8	5	Quid est homo, quod memor es ejus? aut filius hominis, quoniam visitas eum?
Ps	8	6	Minuisti eum paulominus ab angelis; gloria et honore coronasti eum;
Ps	8	7	et constituisti eum super opera manuum tuarum.
Ps	8	8	Omnia subjecisti sub pedibus ejus, oves et boves universas, insuper et pecora campi,
Ps	8	9	volucres cæli, et pisces maris qui perambulant semitas maris.
Ps	8	10	Domine, Dominus noster, quam admirabile est nomen tuum in universa terra !
Ps	9	1	In finem, pro occultis filii. Psalmus David.
Ps	9	2	Confitebor tibi, Domine, in toto corde meo; narrabo omnia mirabilia tua.
Ps	9	3	Lætabor et exsultabo in te; psallam nomini tuo, Altissime.
Ps	9	4	In convertendo inimicum meum retrorsum; infirmabuntur, et peribunt a facie tua.
Ps	9	5	Quoniam fecisti judicium meum et causam meam; sedisti super thronum, qui judicas justitiam.
Ps	9	6	Increpasti gentes, et periit impius: nomen eorum delesti in æternum, et in sæculum sæculi.
Ps	9	7	Inimici defecerunt frameæ in finem, et civitates eorum destruxisti. Periit memoria eorum cum sonitu;
Ps	9	8	et Dominus in æternum permanet. Paravit in judicio thronum suum,
Ps	9	9	et ipse judicabit orbem terræ in æquitate: judicabit populos in justitia.
Ps	9	10	Et factus est Dominus refugium pauperi; adjutor in opportunitatibus, in tribulatione.
Ps	9	11	Et sperent in te qui noverunt nomen tuum, quoniam non dereliquisti quærentes te, Domine.
Ps	9	12	Psallite Domino qui habitat in Sion; annuntiate inter gentes studia ejus:
Ps	9	13	quoniam requirens sanguinem eorum recordatus est; non est oblitus clamorem pauperum.
Ps	9	14	Miserere mei, Domine: vide humilitatem meam de inimicis meis,
Ps	9	15	qui exaltas me de portis mortis, ut annuntiem omnes laudationes tuas in portis filiæ Sion:
Ps	9	16	exultabo in salutari tuo. Infixæ sunt gentes in interitu quem fecerunt; in laqueo isto quem absconderunt comprehensus est pes eorum.
Ps	9	17	Cognoscetur Dominus judicia faciens; in operibus manuum suarum comprehensus est peccator.
Ps	9	18	Convertantur peccatores in infernum, omnes gentes quæ obliviscuntur Deum.
Ps	9	19	Quoniam non in finem oblivio erit pauperis; patientia pauperum non peribit in finem.
Ps	9	20	Exsurge, Domine; non confortetur homo: judicentur gentes in conspectu tuo.
Ps	9	21	Constitue, Domine, legislatorem super eos, ut sciant gentes quoniam homines sunt.
Ps	9	22	Ut quid, Domine, recessisti longe; despicis in opportunitatibus, in tribulatione?
Ps	9	23	Dum superbit impius, incenditur pauper: comprehenduntur in consiliis quibus cogitant.
Ps	9	24	Quoniam laudatur peccator in desideriis animæ suæ, et iniquus benedicitur.
Ps	9	25	Exacerbavit Dominum peccator: secundum multitudinem iræ suæ, non quæret.
Ps	9	26	Non est Deus in conspectu ejus; inquinatæ sunt viæ illius in omni tempore. Auferuntur judicia tua a facie ejus; omnium inimicorum suorum dominabitur.
Ps	9	27	Dixit enim in corde suo: Non movebor a generatione in generationem, sine malo.
Ps	9	28	Cujus maledictione os plenum est, et amaritudine, et dolo; sub lingua ejus labor et dolor.
Ps	9	29	Sedet in insidiis cum divitibus in occultis, ut interficiat innocentem.
Ps	9	30	Oculi ejus in pauperem respiciunt; insidiatur in abscondito, quasi leo in spelunca sua. Insidiatur ut rapiat pauperem; rapere pauperem dum attrahit eum.
Ps	9	31	In laqueo suo humiliabit eum; inclinabit se, et cadet cum dominatus fuerit pauperum.
Ps	9	32	Dixit enim in corde suo: Oblitus est Deus; avertit faciem suam, ne videat in finem.
Ps	9	33	Exsurge, Domine Deus, exaltetur manus tua; ne obliviscaris pauperum.
Ps	9	34	Propter quid irritavit impius Deum? dixit enim in corde suo: Non requiret.
Ps	9	35	Vides, quoniam tu laborem et dolorem consideras, ut tradas eos in manus tuas. Tibi derelictus est pauper; orphano tu eris adjutor.
Ps	9	36	Contere brachium peccatoris et maligni; quæretur peccatum illius, et non invenietur.
Ps	9	37	Dominus regnabit in æternum, et in sæculum sæculi; peribitis, gentes, de terra illius.
Ps	9	38	Desiderium pauperum exaudivit Dominus; præparationem cordis eorum audivit auris tua:
Ps	9	39	judicare pupillo et humili, ut non apponat ultra magnificare se homo super terram.
Ps	10	1	In finem. Psalmus David.
Ps	10	2	In Domino confido; quomodo dicitis animæ meæ: Transmigra in montem sicut passer?
Ps	10	3	Quoniam ecce peccatores intenderunt arcum; paraverunt sagittas suas in pharetra, ut sagittent in obscuro rectos corde:
Ps	10	4	quoniam quæ perfecisti destruxerunt; justus autem, quid fecit?
Ps	10	5	Dominus in templo sancto suo; Dominus in cælo sedes ejus. Oculi ejus in pauperem respiciunt; palpebræ ejus interrogant filios hominum.
Ps	10	6	Dominus interrogat justum et impium; qui autem diligit iniquitatem, odit animam suam.
Ps	10	7	Pluet super peccatores laqueos; ignis et sulphur, et spiritus procellarum, pars calicis eorum.
Ps	10	8	Quoniam justus Dominus, et justitias dilexit: æquitatem vidit vultus ejus.
Ps	11	1	In finem, pro octava. Psalmus David.
Ps	11	2	Salvum me fac, Domine, quoniam defecit sanctus, quoniam diminutæ sunt veritates a filiis hominum.
Ps	11	3	Vana locuti sunt unusquisque ad proximum suum; labia dolosa, in corde et corde locuti sunt.
Ps	11	4	Disperdat Dominus universa labia dolosa, et linguam magniloquam.
Ps	11	5	Qui dixerunt: Linguam nostram magnificabimus; labia nostra a nobis sunt. Quis noster dominus est?
Ps	11	6	Propter miseriam inopum, et gemitum pauperum, nunc exsurgam, dicit Dominus. Ponam in salutari; fiducialiter agam in eo.
Ps	11	7	Eloquia Domini, eloquia casta; argentum igne examinatum, probatum terræ, purgatum septuplum.
Ps	11	8	Tu, Domine, servabis nos, et custodies nos a generatione hac in æternum.
Ps	11	9	In circuitu impii ambulant: secundum altitudinem tuam multiplicasti filios hominum.
Ps	12	1	In finem. Psalmus David. Usquequo, Domine, oblivisceris me in finem? usquequo avertis faciem tuam a me?
Ps	12	2	quamdiu ponam consilia in anima mea; dolorem in corde meo per diem?
Ps	12	3	usquequo exaltabitur inimicus meus super me?
Ps	12	4	Respice, et exaudi me, Domine Deus meus. Illumina oculos meos, ne umquam obdormiam in morte;
Ps	12	5	nequando dicat inimicus meus: Prævalui adversus eum. Qui tribulant me exsultabunt si motus fuero;
