book	chapter	verse	text
Prov	1	1	Parabolæ Salomonis, filii David, regis Israël,
Prov	1	2	ad sciendam sapientiam et disciplinam;
Prov	1	3	ad intelligenda verba prudentiæ, et suscipiendam eruditionem doctrinæ, justitiam, et judicium, et æquitatem:
Prov	1	4	ut detur parvulis astutia, adolescenti scientia et intellectus.
Prov	1	5	Audiens sapiens, sapientior erit, et intelligens gubernacula possidebit.
Prov	1	6	Animadvertet parabolam et interpretationem, verba sapientum et ænigmata eorum.
Prov	1	7	Timor Domini principium sapientiæ; sapientiam atque doctrinam stulti despiciunt.
Prov	1	8	Audi, fili mi, disciplinam patris tui, et ne dimittas legem matris tuæ:
Prov	1	9	ut addatur gratia capiti tuo, et torques collo tuo.
Prov	1	10	Fili mi, si te lactaverint peccatores, ne acquiescas eis.
Prov	1	11	Si dixerint: Veni nobiscum, insidiemur sanguini; abscondamus tendiculas contra insontem frustra;
Prov	1	12	deglutiamus eum sicut infernus viventem, et integrum quasi descendentem in lacum;
Prov	1	13	omnem pretiosam substantiam reperiemus; implebimus domos nostras spoliis:
Prov	1	14	sortem mitte nobiscum, marsupium unum sit omnium nostrum:
Prov	1	15	fili mi, ne ambules cum eis; prohibe pedem tuum a semitis eorum:
Prov	1	16	pedes enim illorum ad malum currunt, et festinant ut effundant sanguinem.
Prov	1	17	Frustra autem jacitur rete ante oculos pennatorum.
Prov	1	18	Ipsi quoque contra sanguinem suum insidiantur, et moliuntur fraudes contra animas suas.
Prov	1	19	Sic semitæ omnis avari: animas possidentium rapiunt.
Prov	1	20	Sapientia foris prædicat; in plateis dat vocem suam:
Prov	1	21	in capite turbarum clamitat; in foribus portarum urbis profert verba sua, dicens:
Prov	1	22	Usquequo, parvuli, diligitis infantiam, et stulti ea quæ sibi sunt noxia cupient, et imprudentes odibunt scientiam?
Prov	1	23	convertimini ad correptionem meam. En proferam vobis spiritum meum, et ostendam vobis verba mea.
Prov	1	24	Quia vocavi, et renuistis; extendi manum meam, et non fuit qui aspiceret:
Prov	1	25	despexistis omne consilium meum, et increpationes meas neglexistis.
Prov	1	26	Ego quoque in interitu vestro ridebo, et subsannabo cum vobis id quod timebatis advenerit.
Prov	1	27	Cum irruerit repentina calamitas, et interitus quasi tempestas ingruerit; quando venerit super vos tribulatio et angustia:
Prov	1	28	tunc invocabunt me, et non exaudiam; mane consurgent, et non invenient me:
Prov	1	29	eo quod exosam habuerint disciplinam, et timorem Domini non susceperint,
Prov	1	30	nec acquieverint consilio meo, et detraxerint universæ correptioni meæ.
Prov	1	31	Comedent igitur fructus viæ suæ, suisque consiliis saturabuntur.
Prov	1	32	Aversio parvulorum interficiet eos, et prosperitas stultorum perdet illos.
Prov	1	33	Qui autem me audierit, absque terrore requiescet, et abundantia perfruetur, timore malorum sublato.
Prov	2	1	Fili mi, si susceperis sermones meos, et mandata mea absconderis penes te:
Prov	2	2	ut audiat sapientiam auris tua, inclina cor tuum ad cognoscendam prudentiam.
Prov	2	3	Si enim sapientiam invocaveris, et inclinaveris cor tuum prudentiæ;
Prov	2	4	si quæsieris eam quasi pecuniam, et sicut thesauros effoderis illam:
Prov	2	5	tunc intelliges timorem Domini, et scientiam Dei invenies,
Prov	2	6	quia Dominus dat sapientiam, et ex ore ejus prudentia et scientia.
Prov	2	7	Custodiet rectorum salutem, et proteget gradientes simpliciter,
Prov	2	8	servans semitas justitiæ, et vias sanctorum custodiens.
Prov	2	9	Tunc intelliges justitiam, et judicium, et æquitatem, et omnem semitam bonam.
Prov	2	10	Si intraverit sapientia cor tuum, et scientia animæ tuæ placuerit,
Prov	2	11	consilium custodiet te, et prudentia servabit te:
Prov	2	12	ut eruaris a via mala, et ab homine qui perversa loquitur;
