book	chapter	verse	text
Cant	1	1	Sponsa* Osculetur me osculo oris sui; quia meliora sunt ubera tua vino,
Cant	1	2	fragrantia unguentis optimis. Oleum effusum nomen tuum; ideo adolescentulæ dilexerunt te.
Cant	1	3	Chorus Adolescentularum* Trahe me, post te curremus in odorem unguentorum tuorum. Introduxit me rex in cellaria sua; exsultabimus et lætabimur in te, memores uberum tuorum super vinum. Recti diligunt te.
Cant	1	4	Sponsa* Nigra sum, sed formosa, filiæ Jerusalem, sicut tabernacula Cedar, sicut pelles Salomonis.
Cant	1	5	Nolite me considerare quod fusca sim, quia decoloravit me sol. Filii matris meæ pugnaverunt contra me; posuerunt me custodem in vineis: vineam meam non custodivi.
Cant	1	6	Indica mihi, quem diligit anima mea, ubi pascas, ubi cubes in meridie, ne vagari incipiam post greges sodalium tuorum.
Cant	1	7	Sponsus* Si ignoras te, o pulcherrima inter mulieres, egredere, et abi post vestigia gregum, et pasce hædos tuos juxta tabernacula pastorum.
Cant	1	8	Equitatui meo in curribus Pharaonis assimilavi te, amica mea.
Cant	1	9	Pulchræ sunt genæ tuæ sicut turturis; collum tuum sicut monilia.
Cant	1	10	Murenulas aureas faciemus tibi, vermiculatas argento.
Cant	1	11	Sponsa* Dum esset rex in accubitu suo, nardus mea dedit odorem suum.
Cant	1	12	Fasciculus myrrhæ dilectus meus mihi; inter ubera mea commorabitur.
Cant	1	13	Botrus cypri dilectus meus mihi in vineis Engaddi.
Cant	1	14	Sponsus* Ecce tu pulchra es, amica mea ! ecce tu pulchra es ! Oculi tui columbarum.
Cant	1	15	Sponsa* Ecce tu pulcher es, dilecte mi, et decorus ! Lectulus noster floridus.
Cant	1	16	Tigna domorum nostrarum cedrina, laquearia nostra cypressina.
Cant	2	1	Ego flos campi, et lilium convallium.
Cant	2	2	Sponsus* Sicut lilium inter spinas, sic amica mea inter filias.
Cant	2	3	Sponsa* Sicut malus inter ligna silvarum, sic dilectus meus inter filios. Sub umbra illius quem desideraveram sedi, et fructus ejus dulcis gutturi meo.
Cant	2	4	Introduxit me in cellam vinariam; ordinavit in me caritatem.
Cant	2	5	Fulcite me floribus, stipate me malis, quia amore langueo.
Cant	2	6	Læva ejus sub capite meo, et dextera illius amplexabitur me.
Cant	2	7	Sponsus* Adjuro vos, filiæ Jerusalem, per capreas cervosque camporum, ne suscitetis, neque evigilare faciatis dilectam, quoadusque ipsa velit.
Cant	2	8	Sponsa* Vox dilecti mei; ecce iste venit, saliens in montibus, transiliens colles.
Cant	2	9	Similis est dilectus meus capreæ, hinnuloque cervorum. En ipse stat post parietem nostrum, respiciens per fenestras, prospiciens per cancellos.
Cant	2	10	En dilectus meus loquitur mihi. Sponsus* Surge, propera, amica mea, columba mea, formosa mea, et veni:
Cant	2	11	jam enim hiems transiit; imber abiit, et recessit.
Cant	2	12	Flores apparuerunt in terra nostra; tempus putationis advenit: vox turturis audita est in terra nostra;
Cant	2	13	ficus protulit grossos suos; vineæ florentes dederunt odorem suum. Surge, amica mea, speciosa mea, et veni:
Cant	2	14	columba mea, in foraminibus petræ, in caverna maceriæ, ostende mihi faciem tuam, sonet vox tua in auribus meis: vox enim tua dulcis, et facies tua decora.
Cant	2	15	Sponsa* Capite nobis vulpes parvulas quæ demoliuntur vineas: nam vinea nostra floruit.
Cant	2	16	Dilectus meus mihi, et ego illi, qui pascitur inter lilia,
Cant	2	17	donec aspiret dies, et inclinentur umbræ. Revertere; similis esto, dilecte mi, capreæ, hinnuloque cervorum super montes Bether.
Cant	3	1	In lectulo meo, per noctes, quæsivi quem diligit anima mea: quæsivi illum, et non inveni.
Cant	3	2	Surgam, et circuibo civitatem: per vicos et plateas quæram quem diligit anima mea: quæsivi illum, et non inveni.
Cant	3	3	Invenerunt me vigiles qui custodiunt civitatem: Num quem diligit anima mea vidistis?
Cant	3	4	Paululum cum pertransissem eos, inveni quem diligit anima mea: tenui eum, nec dimittam, donec introducam illum in domum matris meæ, et in cubiculum genetricis meæ.
Cant	3	5	Sponsus* Adjuro vos, filiæ Jerusalem, per capreas cervosque camporum, ne suscitetis, neque evigilare faciatis dilectam, donec ipsa velit.
Cant	3	6	Chorus* Quæ est ista quæ ascendit per desertum sicut virgula fumi ex aromatibus myrrhæ, et thuris, et universi pulveris pigmentarii?
Cant	3	7	En lectulum Salomonis sexaginta fortes ambiunt ex fortissimis Israël,
Cant	3	8	omnes tenentes gladios, et ad bella doctissimi: uniuscujusque ensis super femur suum propter timores nocturnos.
Cant	3	9	Ferculum fecit sibi rex Salomon de lignis Libani;
Cant	3	10	columnas ejus fecit argenteas, reclinatorium aureum, ascensum purpureum; media caritate constravit, propter filias Jerusalem.
Cant	3	11	Egredimini et videte, filiæ Sion, regem Salomonem in diademate quo coronavit illum mater sua in die desponsationis illius, et in die lætitiæ cordis ejus.
Cant	4	1	Sponsus* Quam pulchra es, amica mea ! quam pulchra es ! Oculi tui columbarum, absque eo quod intrinsecus latet. Capilli tui sicut greges caprarum quæ ascenderunt de monte Galaad.
Cant	4	2	Dentes tui sicut greges tonsarum quæ ascenderunt de lavacro; omnes gemellis fœtibus, et sterilis non est inter eas.
Cant	4	3	Sicut vitta coccinea labia tua, et eloquium tuum dulce. Sicut fragmen mali punici, ita genæ tuæ, absque eo quod intrinsecus latet.
Cant	4	4	Sicut turris David collum tuum, quæ ædificata est cum propugnaculis; mille clypei pendent ex ea, omnis armatura fortium.
Cant	4	5	Duo ubera tua sicut duo hinnuli, capreæ gemelli, qui pascuntur in liliis.
Cant	4	6	Donec aspiret dies, et inclinentur umbræ, vadam ad montem myrrhæ, et ad collem thuris.
Cant	4	7	Tota pulchra es, amica mea, et macula non est in te.
Cant	4	8	Veni de Libano, sponsa mea: veni de Libano, veni, coronaberis: de capite Amana, de vertice Sanir et Hermon, de cubilibus leonum, de montibus pardorum.
Cant	4	9	Vulnerasti cor meum, soror mea, sponsa; vulnerasti cor meum in uno oculorum tuorum, et in uno crine colli tui.
Cant	4	10	Quam pulchræ sunt mammæ tuæ, soror mea sponsa ! pulchriora sunt ubera tua vino, et odor unguentorum tuorum super omnia aromata.
Cant	4	11	Favus distillans labia tua, sponsa; mel et lac sub lingua tua: et odor vestimentorum tuorum sicut odor thuris.
Cant	4	12	Hortus conclusus soror mea, sponsa, hortus conclusus, fons signatus.
Cant	4	13	Emissiones tuæ paradisus malorum punicorum, cum pomorum fructibus, cypri cum nardo.
Cant	4	14	Nardus et crocus, fistula et cinnamomum, cum universis lignis Libani; myrrha et aloë, cum omnibus primis unguentis.
Cant	4	15	Fons hortorum, puteus aquarum viventium, quæ fluunt impetu de Libano.
Cant	4	16	Sponsa* Surge, aquilo, et veni, auster: perfla hortum meum, et fluant aromata illius.
