book	chapter	verse	text
Wis	1	1	Diligite justitiam, qui judicatis terram. Sentite de Domino in bonitate, et in simplicitate cordis quærite illum:
Wis	1	2	quoniam invenitur ab his qui non tentant illum, apparet autem eis qui fidem habent in illum.
Wis	1	3	Perversæ enim cogitationes separant a Deo; probata autem virtus corripit insipientes.
Wis	1	4	Quoniam in malevolam animam non introibit sapientia, nec habitabit in corpore subdito peccatis.
Wis	1	5	Spiritus enim sanctus disciplinæ effugiet fictum, et auferet se a cogitationibus quæ sunt sine intellectu, et corripietur a superveniente iniquitate.
Wis	1	6	Benignus est enim spiritus sapientiæ, et non liberabit maledicum a labiis suis: quoniam renum illius testis est Deus, et cordis illius scrutator est verus, et linguæ ejus auditor.
Wis	1	7	Quoniam spiritus Domini replevit orbem terrarum, et hoc quod continet omnia, scientiam habet vocis.
Wis	1	8	Propter hoc qui loquitur iniqua non potest latere, nec præteriet illum corripiens judicium.
Wis	1	9	In cogitationibus enim impii interrogatio erit; sermonum autem illius auditio ad Deum veniet, ad correptionem iniquitatum illius.
Wis	1	10	Quoniam auris zeli audit omnia, et tumultus murmurationum non abscondetur.
Wis	1	11	Custodite ergo vos a murmuratione quæ nihil prodest, et a detractione parcite linguæ: quoniam sermo obscurus in vacuum non ibit, os autem quod mentitur occidit animam.
Wis	1	12	Nolite zelare mortem in errore vitæ vestræ, neque acquiratis perditionem in operibus manuum vestrarum.
Wis	1	13	Quoniam Deus mortem non fecit, nec lætatur in perditione vivorum.
Wis	1	14	Creavit enim ut essent omnia, et sanabiles fecit nationes orbis terrarum: et non est in illis medicamentum exterminii, nec inferorum regnum in terra.
Wis	1	15	Justitia enim perpetua est, et immortalis.
Wis	1	16	Impii autem manibus et verbis accersierunt illam, et æstimantes illam amicam, defluxerunt; et sponsiones posuerunt ad illam, quoniam digni sunt qui sint ex parte illius.
Wis	2	1	Dixerunt enim cogitantes apud se non recte: Exiguum et cum tædio est tempus vitæ nostræ, et non est refrigerium in fine hominis, et non est qui agnitus sit reversus ab inferis.
Wis	2	2	Quia ex nihilo nati sumus, et post hoc erimus tamquam non fuerimus. Quoniam fumus flatus est in naribus nostris, et sermo scintilla ad commovendum cor nostrum:
Wis	2	3	qua extincta, cinis erit corpus nostrum, et spiritus diffundetur tamquam mollis aër; et transibit vita nostra tamquam vestigium nubis, et sicut nebula dissolvetur quæ fugata est a radiis solis, et a calore illius aggravata.
Wis	2	4	Et nomen nostrum oblivionem accipiet per tempus, et nemo memoriam habebit operum nostrorum.
Wis	2	5	Umbræ enim transitus est tempus nostrum, et non est reversio finis nostri: quoniam consignata est, et nemo revertitur.
Wis	2	6	Venite ergo, et fruamur bonis quæ sunt, et utamur creatura tamquam in juventute celeriter.
Wis	2	7	Vino pretioso et unguentis nos impleamus, et non prætereat nos flos temporis.
Wis	2	8	Coronemus nos rosis antequam marcescant; nullum pratum sit quod non pertranseat luxuria nostra:
Wis	2	9	nemo nostrum exsors sit luxuriæ nostræ. Ubique relinquamus signa lætitiæ, quoniam hæc est pars nostra, et hæc est sors.
Wis	2	10	Opprimamus pauperem justum, et non parcamus viduæ, nec veterani revereamur canos multi temporis:
Wis	2	11	sit autem fortitudo nostra lex justitiæ; quod enim infirmum est, inutile invenitur.
Wis	2	12	Circumveniamus ergo justum, quoniam inutilis est nobis, et contrarius est operibus nostris, et improperat nobis peccata legis, et diffamat in nos peccata disciplinæ nostræ.
Wis	2	13	Promittit se scientiam Dei habere, et filium Dei se nominat.
Wis	2	14	Factus est nobis in traductionem cogitationum nostrarum.
Wis	2	15	Gravis est nobis etiam ad videndum, quoniam dissimilis est aliis vita illius, et immutatæ sunt viæ ejus.
Wis	2	16	Tamquam nugaces æstimati sumus ab illo, et abstinet se a viis nostris tamquam ab immunditiis, et præfert novissima justorum, et gloriatur patrem se habere Deum.
Wis	2	17	Videamus ergo si sermones illius veri sint, et tentemus quæ ventura sunt illi, et sciemus quæ erunt novissima illius.
Wis	2	18	Si enim est verus filius Dei, suscipiet illum, et liberabit eum de manibus contrariorum.
Wis	2	19	Contumelia et tormento interrogemus eum, ut sciamus reverentiam ejus, et probemus patientiam illius.
Wis	2	20	Morte turpissima condemnemus eum; erit enim ei respectus ex sermonibus illius.
Wis	2	21	Hæc cogitaverunt, et erraverunt: excæcavit enim illos malitia eorum.
Wis	2	22	Et nescierunt sacramenta Dei: neque mercedem speraverunt justitiæ, nec judicaverunt honorem animarum sanctarum.
Wis	2	23	Quoniam Deus creavit hominem inexterminabilem, et ad imaginem similitudinis suæ fecit illum.
Wis	2	24	Invidia autem diaboli mors introivit in orbem terrarum:
Wis	2	25	imitantur autem illum qui sunt ex parte illius.
Wis	3	1	Justorum autem animæ in manu Dei sunt, et non tangent illos tormentum mortis.
Wis	3	2	Visi sunt oculis insipientium mori, et æstimata est afflictio exitus illorum,
Wis	3	3	et quod a nobis est iter exterminium; illi autem sunt in pace:
Wis	3	4	etsi coram hominibus tormenta passi sunt, spes illorum immortalitate plena est.
Wis	3	5	In paucis vexati sunt, in multis bene disponentur, quoniam Deus tentavit eos, et invenit illos dignos se.
Wis	3	6	Tamquam aurum in fornace probavit illos, et quasi holocausti hostiam accepit illos, et in tempore erit respectus illorum.
Wis	3	7	Fulgebunt justi et tamquam scintillæ in arundineto discurrent.
Wis	3	8	Judicabunt nationes, et dominabuntur populis, et regnabit Dominus illorum in perpetuum.
Wis	3	9	Qui confidunt in illo intelligent veritatem, et fideles in dilectione acquiescent illi, quoniam donum et pax est electis ejus.
Wis	3	10	Impii autem secundum quæ cogitaverunt correptionem habebunt: qui neglexerunt justum, et a Domino recesserunt.
Wis	3	11	Sapientiam enim et disciplinam qui abjicit infelix est: et vacua est spes illorum, et labores sine fructu, et inutilia opera eorum.
Wis	3	12	Mulieres eorum insensatæ sunt, et nequissimi filii eorum.
Wis	3	13	Maledicta creatura eorum, quoniam felix est sterilis; et incoinquinata, quæ nescivit thorum in delicto, habebit fructum in respectione animarum sanctarum;
Wis	3	14	et spado qui non operatus est per manus suas iniquitatem, nec cogitavit adversus Deum nequissima: dabitur enim illi fidei donum electum, et sors in templo Dei acceptissima.
Wis	3	15	Bonorum enim laborum gloriosus est fructus, et quæ non concidat radix sapientiæ.
Wis	3	16	Filii autem adulterorum in inconsummatione erunt, et ab iniquo thoro semen exterminabitur.
Wis	3	17	Et si quidem longæ vitæ erunt, in nihilum computabuntur, et sine honore erit novissima senectus illorum:
Wis	3	18	et si celerius defuncti fuerint, non habebunt spem, nec in die agnitionis allocutionem.
Wis	3	19	Nationis enim iniquæ diræ sunt consummationes.
Wis	4	1	O quam pulchra est casta generatio, cum claritate ! immortalis est enim memoria illius, quoniam et apud Deum nota est, et apud homines.
Wis	4	2	Cum præsens est, imitantur illam, et desiderant eam cum se eduxerit; et in perpetuum coronata triumphat, incoinquinatorum certaminum præmium vincens.
