book	chapter	verse	text
Bar	1	1	Et hæc verba libri quæ scripsit Baruch filius Neriæ, filii Maasiæ, filii Sedeciæ, filii Sedei, filii Helciæ, in Babylonia,
Bar	1	2	in anno quinto, in septimo die mensis, in tempore quo ceperunt Chaldæi Jerusalem, et succenderunt eam igni.
Bar	1	3	Et legit Baruch verba libri hujus ad aures Jechoniæ filii Joakim regis Juda, et ad aures universi populi venientis ad librum,
Bar	1	4	et ad aures potentium, filiorum regum, et ad aures presbyterorum, et ad aures populi, a minimo usque ad maximum eorum, omnium habitantium in Babylonia, ad flumen Sodi.
Bar	1	5	Qui audientes plorabant, et jejunabant, et orabant in conspectu Domini.
Bar	1	6	Et collegerunt pecuniam, secundum quod potuit uniuscujusque manus,
Bar	1	7	et miserunt in Jerusalem ad Joakim filium Helciæ filii Salom sacerdotem, et ad sacerdotes, et ad omnem populum qui inventi sunt cum eo in Jerusalem:
Bar	1	8	cum acciperet vasa templi Domini, quæ ablata fuerant de templo, revocare in terram Juda, decima die mensis Sivan, vasa argentea quæ fecit Sedecias filius Josiæ rex Juda,
Bar	1	9	posteaquam cepisset Nabuchodonosor rex Babylonis Jechoniam, et principes, et cunctos potentes, et populum terræ, ab Jerusalem, et duxit eos vinctos in Babylonem.
Bar	1	10	Et dixerunt: Ecce misimus ad vos pecunias, de quibus emite holocautomata et thus: et facite manna, et offerte pro peccato, ad aram Domini Dei nostri:
Bar	1	11	et orate pro vita Nabuchodonosor regis Babylonis, et pro vita Baltassar filii ejus, ut sint dies eorum sicut dies cæli super terram:
Bar	1	12	et ut det Dominus virtutem nobis, et illuminet oculos nostros, ut vivamus sub umbra Nabuchodonosor regis Babylonis, et sub umbra Baltassar filii ejus, et serviamus eis multis diebus, et inveniamus gratiam in conspectu eorum.
Bar	1	13	Et pro nobis ipsis orate ad Dominum Deum nostrum, quia peccavimus Domino Deo nostro, et non est aversus furor ejus a nobis usque in hunc diem.
Bar	1	14	Et legite librum istum quem misimus ad vos recitari in templo Domini, in die solemni et in die opportuno:
