book	chapter	verse	text
Ezech	1	1	Et factum est in trigesimo anno, in quarto, in quinta mensis, cum essem in medio captivorum juxta fluvium Chobar, aperti sunt cæli, et vidi visiones Dei.
Ezech	1	2	In quinta mensis, ipse est annus quintus transmigrationis regis Joachin,
Ezech	1	3	factum est verbum Domini ad Ezechielem filium Buzi sacerdotem, in terra Chaldæorum, secus flumen Chobar: et facta est super eum ibi manus Domini.
Ezech	1	4	Et vidi, et ecce ventus turbinis veniebat ab aquilone, et nubes magna, et ignis involvens, et splendor in circuitu ejus: et de medio ejus, quasi species electri, id est, de medio ignis:
Ezech	1	5	et in medio ejus similitudo quatuor animalium. Et hic aspectus eorum, similitudo hominis in eis.
Ezech	1	6	Quatuor facies uni, et quatuor pennæ uni.
Ezech	1	7	Pedes eorum, pedes recti, et planta pedis eorum quasi planta pedis vituli: et scintillæ quasi aspectus æris candentis.
Ezech	1	8	Et manus hominis sub pennis eorum, in quatuor partibus: et facies et pennas per quatuor partes habebant.
Ezech	1	9	Junctæque erant pennæ eorum alterius ad alterum: non revertebantur cum incederent, sed unumquodque ante faciem suam gradiebatur.
Ezech	1	10	Similitudo autem vultus eorum, facies hominis et facies leonis a dextris ipsorum quatuor, facies autem bovis a sinistris ipsorum quatuor, et facies aquilæ desuper ipsorum quatuor.
Ezech	1	11	Facies eorum et pennæ eorum extentæ desuper: duæ pennæ singulorum jungebantur, et duæ tegebant corpora eorum.
Ezech	1	12	Et unumquodque eorum coram facie sua ambulabat: ubi erat impetus spiritus, illuc gradiebantur, nec revertebantur cum ambularent.
Ezech	1	13	Et similitudo animalium, aspectus eorum quasi carbonum ignis ardentium, et quasi aspectus lampadarum: hæc erat visio discurrens in medio animalium, splendor ignis, et de igne fulgur egrediens.
Ezech	1	14	Et animalia ibant et revertebantur, in similitudinem fulguris coruscantis.
Ezech	1	15	Cumque aspicerem animalia, apparuit rota una super terram juxta animalia, habens quatuor facies.
Ezech	1	16	Et aspectus rotarum et opus earum quasi visio maris: et una similitudo ipsarum quatuor: et aspectus earum et opera quasi sit rota in medio rotæ.
Ezech	1	17	Per quatuor partes earum euntes ibant, et non revertebantur cum ambularent.
Ezech	1	18	Statura quoque erat rotis, et altitudo, et horribilis aspectus: et totum corpus oculis plenum in circuitu ipsarum quatuor.
Ezech	1	19	Cumque ambularent animalia, ambulabant pariter et rotæ juxta ea: et cum elevarentur animalia de terra, elevabantur simul et rotæ.
Ezech	1	20	Quocumque ibat spiritus, illuc, eunte spiritu, et rotæ pariter elevabantur sequentes eum: spiritus enim vitæ erat in rotis.
Ezech	1	21	Cum euntibus ibant, et cum stantibus stabant: et cum elevatis a terra, pariter elevabantur et rotæ sequentes ea, quia spiritus vitæ erat in rotis.
Ezech	1	22	Et similitudo super capita animalium firmamenti, quasi aspectus crystalli horribilis, et extenti super capita eorum desuper.
Ezech	1	23	Sub firmamento autem pennæ eorum rectæ alterius ad alterum: unumquodque duabus alis velabat corpus suum, et alterum similiter velabatur.
Ezech	1	24	Et audiebam sonum alarum, quasi sonum aquarum multarum, quasi sonum sublimis Dei: cum ambularent, quasi sonus erat multitudinis ut sonus castrorum: cumque starent, demittebantur pennæ eorum.
Ezech	1	25	Nam cum fieret vox super firmamentum quod erat super caput eorum, stabant, et submittebant alas suas.
Ezech	1	26	Et super firmamentum quod erat imminens capiti eorum, quasi aspectus lapidis sapphiri similitudo throni: et super similitudinem throni similitudo quasi aspectus hominis desuper.
Ezech	1	27	Et vidi quasi speciem electri, velut aspectum ignis, intrinsecus ejus per circuitum: a lumbis ejus et desuper, et a lumbis ejus usque deorsum, vidi quasi speciem ignis splendentis in circuitu,
