book	chapter	verse	text
Os	1	1	Verbum Domini, quod factum est ad Osee, filium Beeri, in diebus Oziæ, Joathan, Achaz, Ezechiæ, regum Juda; et in diebus Jeroboam, filii Joas, regis Israël.
Os	1	2	Principium loquendi Domino in Osee. Et dixit Dominus ad Osee: Vade, sume tibi uxorem fornicationum, et fac tibi filios fornicationum, quia fornicans fornicabitur terra a Domino.
Os	1	3	Et abiit, et accepit Gomer, filiam Debelaim: et concepit, et peperit ei filium.
Os	1	4	Et dixit Dominus ad eum: Voca nomen ejus Jezrahel, quoniam adhuc modicum, et visitabo sanguinem Jezrahel super domum Jehu, et quiescere faciam regnum domus Israël.
Os	1	5	Et in illa die conteram arcum Israël in valle Jezrahel.
Os	1	6	Et concepit adhuc, et peperit filiam. Et dixit ei: Voca nomen ejus, Absque misericordia, quia non addam ultra misereri domui Israël, sed oblivione obliviscar eorum.
Os	1	7	Et domui Juda miserebor, et salvabo eos in Domino Deo suo; et non salvabo eos in arcu et gladio, et in bello, et in equis, et in equitibus.
Os	1	8	Et ablactavit eam quæ erat Absque misericordia. Et concepit, et peperit filium.
Os	1	9	Et dixit: Voca nomen ejus, Non populus meus, quia vos non populus meus, et ego non ero vester.
Os	1	10	Et erit numerus filiorum Israël quasi arena maris, quæ sine mensura est, et non numerabitur. Et erit in loco ubi dicetur eis: Non populus meus vos: dicetur eis: Filii Dei viventis.
Os	1	11	Et congregabuntur filii Juda et filii Israël pariter; et ponent sibimet caput unum, et ascendent de terra, quia magnus dies Jezrahel.
Os	2	1	Dicite fratribus vestris: Populus meus; et sorori vestræ: Misericordiam consecuta.
Os	2	2	Judicate matrem vestram, judicate, quoniam ipsa non uxor mea, et ego non vir ejus. Auferat fornicationes suas a facie sua, et adulteria sua de medio uberum suorum;
Os	2	3	ne forte expoliem eam nudam, et statuam eam secundum diem nativitatis suæ, et ponam eam quasi solitudinem, et statuam eam velut terram inviam, et interficiam eam siti.
Os	2	4	Et filiorum illius non miserebor, quoniam filii fornicationum sunt.
Os	2	5	Quia fornicata est mater eorum, confusa est quæ concepit eos; quia dixit: Vadam post amatores meos, qui dant panes mihi, et aquas meas, lanam meam, et linum meum, oleum meum, et potum meum.
Os	2	6	Propter hoc ecce ego sepiam viam tuam spinis, et sepiam eam maceria, et semitas suas non inveniet.
Os	2	7	Et sequetur amatores suos, et non apprehendet eos; et quæret eos, et non inveniet: et dicet: Vadam, et revertar ad virum meum priorem, quia bene mihi erat tunc magis quam nunc.
Os	2	8	Et hæc nescivit, quia ego dedi ei frumentum, et vinum, et oleum, et argentum multiplicavi ei, et aurum, quæ fecerunt Baal.
Os	2	9	Idcirco convertar, et sumam frumentum meum in tempore suo, et vinum meum in tempore suo. Et liberabo lanam meam et linum meum, quæ operiebant ignominiam ejus.
Os	2	10	Et nunc revelabo stultitiam ejus in oculis amatorum ejus; et vir non eruet eam de manu mea;
Os	2	11	et cessare faciam omne gaudium ejus, solemnitatem ejus, neomeniam ejus, sabbatum ejus, et omnia festa tempora ejus.
Os	2	12	Et corrumpam vineam ejus, et ficum ejus, de quibus dixit: Mercedes hæ meæ sunt, quas dederunt mihi amatores mei; et ponam eam in saltum, et comedet eam bestia agri.
Os	2	13	Et visitabo super eam dies Baalim, quibus accendebat incensum, et ornabatur in aure sua, et monili suo. Et ibat post amatores suos, et mei obliviscebatur, dicit Dominus.
Os	2	14	Propter hoc ecce ego lactabo eam, et ducam eam in solitudinem, et loquar ad cor ejus.
Os	2	15	Et dabo ei vinitores ejus ex eodem loco, et vallem Achor, ad aperiendam spem; et canet ibi juxta dies juventutis suæ, et juxta dies ascensionis suæ de terra Ægypti.
Os	2	16	Et erit in die illa, ait Dominus: vocabit me, Vir meus, et non vocabit me ultra Baali.
Os	2	17	Et auferam nomina Baalim de ore ejus, et non recordabitur ultra nominis eorum.
Os	2	18	Et percutiam cum eis fœdus in die illa, cum bestia agri, et cum volucre cæli, et cum reptili terræ; et arcum, et gladium, et bellum conteram de terra, et dormire eos faciam fiducialiter.
