book	chapter	verse	text
Zach	1	1	In mense octavo, in anno secundo Darii regis, factum est verbum Domini ad Zachariam filium Barachiæ filii Addo prophetam, dicens:
Zach	1	2	Iratus est Dominus super patres vestros iracundia.
Zach	1	3	Et dices ad eos: Hæc dicit Dominus exercituum: Convertimini ad me, ait Dominus exercituum, et convertar ad vos, dicit Dominus exercituum.
Zach	1	4	Ne sitis sicut patres vestri, ad quos clamabant prophetæ priores, dicentes: Hæc dicit Dominus exercituum: Convertimini de viis vestris malis, et de cogitationibus vestris pessimis: et non audierunt, neque attenderunt ad me, dicit Dominus.
Zach	1	5	Patres vestri, ubi sunt? et prophetæ numquid in sempiternum vivent?
Zach	1	6	Verumtamen verba mea, et legitima mea, quæ mandavi servis meis prophetis, numquid non comprehenderunt patres vestros, et conversi sunt, et dixerunt: Sicut cogitavit Dominus exercituum facere nobis secundum vias nostras, et secundum adinventiones nostras, fecit nobis?
Zach	1	7	In die vigesima et quarta undecimi mensis Sabath, in anno secundo Darii, factum est verbum Domini ad Zachariam filium Barachiæ filii Addo prophetam, dicens:
Zach	1	8	Vidi per noctem, et ecce vir ascendens super equum rufum, et ipse stabat inter myrteta, quæ erant in profundo, et post eum equi rufi, varii, et albi.
Zach	1	9	Et dixi: Quid sunt isti, domine mi? Et dixit ad me angelus qui loquebatur in me: Ego ostendam tibi quid sint hæc.
Zach	1	10	Et respondit vir qui stabat inter myrteta, et dixit: Isti sunt quos misit Dominus ut perambulent terram.
Zach	1	11	Et responderunt angelo Domini, qui stabat inter myrteta, et dixerunt: Perambulavimus terram, et ecce omnis terra habitatur, et quiescit.
Zach	1	12	Et respondit angelus Domini, et dixit: Domine exercituum, usquequo tu non misereberis Jerusalem, et urbium Juda, quibus iratus es? iste jam septuagesimus annus est.
Zach	1	13	Et respondit Dominus angelo qui loquebatur in me verba bona, verba consolatoria.
Zach	1	14	Et dixit ad me angelus qui loquebatur in me: Clama, dicens: Hæc dicit Dominus exercituum: Zelatus sum Jerusalem et Sion zelo magno,
Zach	1	15	et ira magna ego irascor super gentes opulentas, quia ego iratus sum parum, ipsi vero adjuverunt in malum.
Zach	1	16	Propterea hæc dicit Dominus: Revertar ad Jerusalem in misericordiis, et domus mea ædificabitur in ea, ait Dominus exercituum, et perpendiculum extendetur super Jerusalem.
Zach	1	17	Adhuc clama, dicens: Hæc dicit Dominus exercituum: Adhuc affluent civitates meæ bonis, et consolabitur adhuc Dominus Sion, et eliget adhuc Jerusalem.
Zach	1	18	Et levavi oculos meos, et vidi, et ecce quatuor cornua.
Zach	1	19	Et dixi ad angelum qui loquebatur in me: Quid sunt hæc? Et dixit ad me: Hæc sunt cornua quæ ventilaverunt Judam, et Israël, et Jerusalem.
Zach	1	20	Et ostendit mihi Dominus quatuor fabros.
Zach	1	21	Et dixi: Quid isti veniunt facere? Qui ait, dicens: Hæc sunt cornua quæ ventilaverunt Judam per singulos viros, et nemo eorum levavit caput suum: et venerunt isti deterrere ea, ut dejiciant cornua gentium, quæ levaverunt cornu super terram Juda ut dispergerent eam.
Zach	2	1	Et levavi oculos meos, et vidi, et ecce vir, et in manu ejus funiculus mensorum.
Zach	2	2	Et dixi: Quo tu vadis? Et dixit ad me: Ut metiar Jerusalem, et videam quanta sit latitudo ejus, et quanta longitudo ejus.
Zach	2	3	Et ecce angelus qui loquebatur in me egrediebatur, et angelus alius egrediebatur in occursum ejus:
Zach	2	4	et dixit ad eum: Curre, loquere ad puerum istum, dicens: Absque muro habitabitur Jerusalem, præ multitudine hominum et jumentorum in medio ejus.
Zach	2	5	Et ego ero ei, ait Dominus, murus ignis in circuitu, et in gloria ero in medio ejus.
Zach	2	6	O, o, fugite de terra aquilonis, dicit Dominus, quoniam in quatuor ventos cæli dispersi vos, dicit Dominus.
Zach	2	7	O Sion ! fuge, quæ habitas apud filiam Babylonis:
Zach	2	8	quia hæc dicit Dominus exercituum: Post gloriam misit me ad gentes quæ spoliaverunt vos: qui enim tetigerit vos, tangit pupillam oculi mei:
Zach	2	9	quia ecce ego levo manum meam super eos, et erunt prædæ his qui serviebant sibi: et cognoscetis quia Dominus exercituum misit me.
Zach	2	10	Lauda et lætare, filia Sion, quia ecce ego venio, et habitabo in medio tui, ait Dominus.
Zach	2	11	Et applicabuntur gentes multæ ad Dominum in die illa, et erunt mihi in populum, et habitabo in medio tui: et scies quia Dominus exercituum misit me ad te.
Zach	2	12	Et possidebit Dominus Judam partem suam in terra sanctificata, et eliget adhuc Jerusalem.
Zach	2	13	Sileat omnis caro a facie Domini, quia consurrexit de habitaculo sancto suo.
Zach	3	1	Et ostendit mihi Dominus Jesum sacerdotem magnum, stantem coram angelo Domini: et Satan stabat a dextris ejus ut adversaretur ei.
Zach	3	2	Et dixit Dominus ad Satan: Increpet Dominus in te, Satan ! et increpet Dominus in te, qui elegit Jerusalem ! numquid non iste torris est erutus de igne?
Zach	3	3	Et Jesus erat indutus vestibus sordidis, et stabat ante faciem angeli.
Zach	3	4	Qui respondit, et ait ad eos qui stabant coram se, dicens: Auferte vestimenta sordida ab eo. Et dixit ad eum: Ecce abstuli a te iniquitatem tuam, et indui te mutatoriis.
Zach	3	5	Et dixit: Ponite cidarim mundam super caput ejus. Et posuerunt cidarim mundam super caput ejus, et induerunt eum vestibus: et angelus Domini stabat.
Zach	3	6	Et contestabatur angelus Domini Jesum, dicens:
Zach	3	7	Hæc dicit Dominus exercituum: Si in viis meis ambulaveris, et custodiam meam custodieris, tu quoque judicabis domum meam, et custodies atria mea, et dabo tibi ambulantes de his qui nunc hic assistunt.
Zach	3	8	Audi, Jesu sacerdos magne, tu et amici tui, qui habitant coram te, quia viri portendentes sunt: ecce enim ego adducam servum meum Orientem.
Zach	3	9	Quia ecce lapis quem dedi coram Jesu: super lapidem unum septem oculi sunt: ecce ego cælabo sculpturam ejus, ait Dominus exercituum, et auferam iniquitatem terræ illius in die una.
Zach	3	10	In die illa, dicit Dominus exercituum, vocabit vir amicum suum subter vitem et subter ficum.
Zach	4	1	Et reversus est angelus qui loquebatur in me, et suscitavit me quasi virum qui suscitatur de somno suo.
Zach	4	2	Et dixit ad me: Quid tu vides? Et dixi: Vidi, et ecce candelabrum aureum totum, et lampas ejus super caput ipsius, et septem lucernæ ejus super illud, et septem infusoria lucernis quæ erant super caput ejus.
Zach	4	3	Et duæ olivæ super illud: una a dextris lampadis, et una a sinistris ejus.
Zach	4	4	Et respondi, et aio ad angelum qui loquebatur in me, dicens: Quid sunt hæc, domine mi?
Zach	4	5	Et respondit angelus qui loquebatur in me, et dixit ad me: Numquid nescis quid sunt hæc? Et dixi: Non, domine mi.
Zach	4	6	Et respondit, et ait ad me, dicens: Hoc est verbum Domini ad Zorobabel, dicens: Non in exercitu, nec in robore, sed in spiritu meo, dicit Dominus exercituum.
Zach	4	7	Quis tu, mons magne, coram Zorobabel? In planum: et educet lapidem primarium, et exæquabit gratiam gratiæ ejus.
Zach	4	8	Et factum est verbum Domini ad me, dicens:
Zach	4	9	Manus Zorobabel fundaverunt domum istam, et manus ejus perficient eam: et scietis quia Dominus exercituum misit me ad vos.
Zach	4	10	Quis enim despexit dies parvos? Et lætabuntur, et videbunt lapidem stanneum in manu Zorobabel. Septem isti oculi sunt Domini, qui discurrunt in universam terram.
Zach	4	11	Et respondi, et dixi ad eum: Quid sunt duæ olivæ istæ, ad dexteram candelabri, et ad sinistram ejus?
Zach	4	12	Et respondi secundo, et dixi ad eum: Quid sunt duæ spicæ olivarum quæ sunt juxta duo rostra aurea in quibus sunt suffusoria ex auro?
Zach	4	13	Et ait ad me, dicens: Numquid nescis quid sunt hæc? Et dixi: Non, domine mi.
Zach	4	14	Et dixit: Isti sunt duo filii olei, qui assistunt Dominatori universæ terræ.
Zach	5	1	Et conversus sum, et levavi oculos meos, et vidi, et ecce volumen volans.
Zach	5	2	Et dixit ad me: Quid tu vides? Et dixi: Ego video volumen volans: longitudo ejus viginti cubitorum, et latitudo ejus decem cubitorum.
Zach	5	3	Et dixit ad me: Hæc est maledictio quæ egreditur super faciem omnis terræ: quia omnis fur, sicut ibi scriptum est, judicabitur, et omnis jurans ex hoc similiter judicabitur.
Zach	5	4	Educam illud, dicit Dominus exercituum: et veniet ad domum furis, et ad domum jurantis in nomine meo mendaciter: et commorabitur in medio domus ejus, et consumet eam, et ligna ejus, et lapides ejus.
Zach	5	5	Et egressus est angelus qui loquebatur in me, et dixit ad me: Leva oculos tuos, et vide quid est hoc quod egreditur.
Zach	5	6	Et dixi: Quidnam est? Et ait: Hæc est amphora egrediens. Et dixit: Hæc est oculus eorum in universa terra.
Zach	5	7	Et ecce talentum plumbi portabatur, et ecce mulier una sedens in medio amphoræ.
Zach	5	8	Et dixit: Hæc est impietas. Et projecit eam in medio amphoræ, et misit massam plumbeam in os ejus.
Zach	5	9	Et levavi oculos meos, et vidi: et ecce duæ mulieres egredientes: et spiritus in alis earum, et habebant alas quasi alas milvi, et levaverunt amphoram inter terram et cælum.
Zach	5	10	Et dixi ad angelum qui loquebatur in me: Quo istæ deferunt amphoram?
Zach	5	11	Et dixit ad me: Ut ædificetur ei domus in terra Sennaar, et stabiliatur, et ponatur ibi super basem suam.
Zach	6	1	Et conversus sum, et levavi oculos meos, et vidi: et ecce quatuor quadrigæ egredientes de medio duorum montium: et montes, montes ærei.
Zach	6	2	In quadriga prima equi rufi, et in quadriga secunda equi nigri,
Zach	6	3	et in quadriga tertia equi albi, et in quadriga quarta equi varii et fortes.
Zach	6	4	Et respondi, et dixi ad angelum qui loquebatur in me: Quid sunt hæc, domine mi?
Zach	6	5	Et respondit angelus, et ait ad me: Isti sunt quatuor venti cæli, qui egrediuntur ut stent coram Dominatore omnis terræ.
Zach	6	6	In qua erant equi nigri, egrediebantur in terram aquilonis: et albi egressi sunt post eos, et varii egressi sunt ad terram austri.
