book	chapter	verse	text
Rom	1	1	Paulus, servus Jesu Christi, vocatus Apostolus, segregatus in Evangelium Dei,
Rom	1	2	quod ante promiserat per prophetas suos in Scripturis sanctis
Rom	1	3	de Filio suo, qui factus est ei ex semine David secundum carnem,
Rom	1	4	qui prædestinatus est Filius Dei in virtute secundum spiritum sanctificationis ex resurrectione mortuorum Jesu Christi Domini nostri:
Rom	1	5	per quem accepimus gratiam, et apostolatum ad obediendum fidei in omnibus gentibus pro nomine ejus,
Rom	1	6	in quibus estis et vos vocati Jesu Christi:
Rom	1	7	omnibus qui sunt Romæ, dilectis Dei, vocatis sanctis. Gratia vobis, et pax a Deo Patre nostro, et Domino Jesu Christo.
Rom	1	8	Primum quidem gratias ago Deo meo per Jesum Christum pro omnibus vobis: quia fides vestra annuntiatur in universo mundo.
Rom	1	9	Testis enim mihi est Deus, cui servio in spiritu meo in Evangelio Filii ejus, quod sine intermissione memoriam vestri facio
Rom	1	10	semper in orationibus meis: obsecrans, si quomodo tandem aliquando prosperum iter habeam in voluntate Dei veniendi ad vos.
Rom	1	11	Desidero enim videre vos, ut aliquid impertiar vobis gratiæ spiritualis ad confirmandos vos:
Rom	1	12	id est, simul consolari in vobis per eam quæ invicem est, fidem vestram atque meam.
Rom	1	13	Nolo autem vos ignorare fratres: quia sæpe proposui venire ad vos (et prohibitus sum usque adhuc) ut aliquem fructum habeam et in vobis, sicut et in ceteris gentibus.
Rom	1	14	Græcis ac barbaris, sapientibus, et insipientibus debitor sum:
Rom	1	15	ita (quod in me) promptum est et vobis, qui Romæ estis, evangelizare.
Rom	1	16	Non enim erubesco Evangelium. Virtus enim Dei est in salutem omni credenti, Judæo primum, et Græco.
Rom	1	17	Justitia enim Dei in eo revelatur ex fide in fidem: sicut scriptum est: Justus autem ex fide vivit.
Rom	1	18	Revelatur enim ira Dei de cælo super omnem impietatem, et injustitiam hominum eorum, qui veritatem Dei in injustitia detinent:
Rom	1	19	quia quod notum est Dei, manifestum est in illis. Deus enim illis manifestavit.
Rom	1	20	Invisibilia enim ipsius, a creatura mundi, per ea quæ facta sunt, intellecta, conspiciuntur: sempiterna quoque ejus virtus, et divinitas: ita ut sint inexcusabiles.
Rom	1	21	Quia cum cognovissent Deum, non sicut Deum glorificaverunt, aut gratias egerunt: sed evanuerunt in cogitationibus suis, et obscuratum est insipiens cor eorum:
Rom	1	22	dicentes enim se esse sapientes, stulti facti sunt.
Rom	1	23	Et mutaverunt gloriam incorruptibilis Dei in similitudinem imaginis corruptibilis hominis, et volucrum, et quadrupedum, et serpentium.
Rom	1	24	Propter quod tradidit illos Deus in desideria cordis eorum, in immunditiam, ut contumeliis afficiant corpora sua in semetipsis:
Rom	1	25	qui commutaverunt veritatem Dei in mendacium: et coluerunt, et servierunt creaturæ potius quam Creatori, qui est benedictus in sæcula. Amen.
Rom	1	26	Propterea tradidit illos Deus in passiones ignominiæ: nam feminæ eorum immutaverunt naturalem usum in eum usum qui est contra naturam.
Rom	1	27	Similiter autem et masculi, relicto naturali usu feminæ, exarserunt in desideriis suis in invicem, masculi in masculos turpitudinem operantes, et mercedem, quam oportuit, erroris sui in semetipsis recipientes.
Rom	1	28	Et sicut non probaverunt Deum habere in notitia, tradidit illos Deus in reprobum sensum, ut faciant ea quæ non conveniunt,
Rom	1	29	repletos omni iniquitate, malitia, fornicatione, avaritia, nequitia, plenos invidia, homicidio, contentione, dolo, malignitate: susurrones,
