book	chapter	verse	text
Gal	1	1	Paulus, Apostolus non ab hominibus, neque per hominem, sed per Jesum Christum, et Deum Patrem, qui suscitavit eum a mortuis:
Gal	1	2	et qui mecum sunt omnes fratres, ecclesiis Galatiæ.
Gal	1	3	Gratia vobis, et pax a Deo Patre, et Domino nostro Jesu Christo,
Gal	1	4	qui dedit semetipsum pro peccatis nostris, ut eriperet nos de præsenti sæculo nequam, secundum voluntatem Dei et Patris nostri,
Gal	1	5	cui est gloria in sæcula sæculorum. Amen.
Gal	1	6	Miror quod sic tam cito transferimini ab eo qui vos vocavit in gratiam Christi in aliud Evangelium:
Gal	1	7	quod non est aliud, nisi sunt aliqui qui vos conturbant, et volunt convertere Evangelium Christi.
Gal	1	8	Sed licet nos aut angelus de cælo evangelizet vobis præterquam quod evangelizavimus vobis, anathema sit.
Gal	1	9	Sicut prædiximus, et nunc iterum dico: si quis vobis evangelizaverit præter id quod accepistis, anathema sit.
Gal	1	10	Modo enim hominibus suadeo, an Deo? an quæro hominibus placere? si adhuc hominibus placerem, Christi servus non essem.
Gal	1	11	Notum enim vobis facio, fratres, Evangelium, quod evangelizatum est a me, quia non est secundum hominem:
Gal	1	12	neque enim ego ab homine accepi illud, neque didici, sed per revelationem Jesu Christi.
Gal	1	13	Audistis enim conversationem meam aliquando in Judaismo: quoniam supra modum persequebar Ecclesiam Dei, et expugnabam illam,
Gal	1	14	et proficiebam in Judaismo supra multos coætaneos meos in genere meo, abundantius æmulator existens paternarum mearum traditionum.
Gal	1	15	Cum autem placuit ei, qui me segregavit ex utero matris meæ, et vocavit per gratiam suam,
Gal	1	16	ut revelaret Filium suum in me, ut evangelizarem illum in gentibus: continuo non acquievi carni et sanguini,
Gal	1	17	neque veni Jerosolymam ad antecessores meos Apostolos: sed abii in Arabiam, et iterum reversus sum Damascum:
Gal	1	18	deinde post annos tres veni Jerosolymam videre Petrum, et mansi apud eum diebus quindecim:
Gal	1	19	alium autem Apostolorum vidi neminem, nisi Jacobum fratrem Domini.
Gal	1	20	Quæ autem scribo vobis, ecce coram Deo, quia non mentior.
Gal	1	21	Deinde veni in partes Syriæ, et Ciliciæ.
Gal	1	22	Eram autem ignotus facie ecclesiis Judææ, quæ erant in Christo:
Gal	1	23	tantum autem auditum habebant quoniam qui persequebatur nos aliquando, nunc evangelizat fidem, quam aliquando expugnabat:
Gal	1	24	et in me clarificabant Deum.
Gal	2	1	Deinde post annos quatuordecim, iterum ascendi Jerosolymam cum Barnaba, assumpto et Tito.
Gal	2	2	Ascendi autem secundum revelationem: et contuli cum illis Evangelium, quod prædico in gentibus, seorsum autem iis qui videbantur aliquid esse: ne forte in vacuum currerem, aut cucurrissem.
