book	chapter	verse	text
Col	1	1	Paulus Apostolus Jesu Christi per voluntatem Dei, et Timotheus frater:
Col	1	2	eis, qui sunt Colossis, sanctis, et fidelibus fratribus in Christo Jesu.
Col	1	3	Gratia vobis, et pax a Deo Patre nostro, et Domino Jesu Christo. Gratias agimus Deo, et Patri Domini nostri Jesu Christi semper pro vobis orantes:
Col	1	4	audientes fidem vestram in Christo Jesu, et dilectionem quam habetis in sanctos omnes
Col	1	5	propter spem, quæ reposita est vobis in cælis: quam audistis in verbo veritatis Evangelii:
Col	1	6	quod pervenit ad vos, sicut et in universo mundo est, et fructificat, et crescit sicut in vobis, ex ea die, qua audistis, et cognovistis gratiam Dei in veritate,
Col	1	7	sicut didicistis ab Epaphra carissimo conservo nostro, qui est fidelis pro vobis minister Christi Jesu,
Col	1	8	qui etiam manifestavit nobis dilectionem vestram in spiritu.
Col	1	9	Ideo et nos ex qua die audivimus, non cessamus pro vobis orantes, et postulantes ut impleamini agnitione voluntatis ejus, in omni sapientia et intellectu spiritali:
Col	1	10	ut ambuletis digne Deo per omnia placentes: in omni opere bono fructificantes, et crescentes in scientia Dei:
Col	1	11	in omni virtute confortati secundum potentiam claritatis ejus, in omni patientia et longanimitate cum gaudio,
Col	1	12	gratias agentes Deo Patri, qui dignos nos fecit in partem sortis sanctorum in lumine:
Col	1	13	qui eripuit nos de potestate tenebrarum, et transtulit in regnum filii dilectionis suæ,
Col	1	14	in quo habemus redemptionem per sanguinem ejus, remissionem peccatorum:
Col	1	15	qui est imago Dei invisibilis, primogenitus omnis creaturæ:
Col	1	16	quoniam in ipso condita sunt universa in cælis, et in terra, visibilia, et invisibilia, sive throni, sive dominationes, sive principatus, sive potestates: omnia per ipsum et in ipso creata sunt:
Col	1	17	et ipse est ante omnes, et omnia in ipso constant.
Col	1	18	Et ipse est caput corporis Ecclesiæ, qui est principium, primogenitus ex mortuis: ut sit in omnibus ipse primatum tenens:
Col	1	19	quia in ipso complacuit, omnem plenitudinem inhabitare:
Col	1	20	et per eum reconciliare omnia in ipsum, pacificans per sanguinem crucis ejus, sive quæ in terris, sive quæ in cælis sunt.
Col	1	21	Et vos cum essetis aliquando alienati, et inimici sensu in operibus malis:
Col	1	22	nunc autem reconciliavit in corpore carnis ejus per mortem, exhibere vos sanctos, et immaculatos, et irreprehensibiles coram ipso:
Col	1	23	si tamen permanetis in fide fundati, et stabiles, et immobiles a spe Evangelii, quod audistis, quod prædicatum est in universa creatura, quæ sub cælo est, cujus factus sum ego Paulus minister.
Col	1	24	Qui nunc gaudeo in passionibus pro vobis, et adimpleo ea quæ desunt passionem Christi, in carne mea pro corpore ejus, quod est Ecclesia:
Col	1	25	cujus factus sum ego minister secundum dispensationem Dei, quæ data est mihi in vos, ut impleam verbum Dei:
Col	1	26	mysterium, quod absconditum fuit a sæculis, et generationibus, nunc autem manifestatum est sanctis ejus,
Col	1	27	quibus voluit Deus notas facere divitias gloriæ sacramenti hujus in gentibus, quod est Christus, in vobis spes gloriæ,
Col	1	28	quem nos annuntiamus, corripientes omnem hominem, et docentes omnem hominem, in omni sapientia, ut exhibeamus omnem hominem perfectum in Christo Jesu:
Col	1	29	in quo et laboro, certando secundum operationem ejus, quam operatur in me in virtute.
Col	2	1	Volo enim vos scire qualem sollicitudinem habeam pro vobis, et pro iis qui sunt Laodiciæ, et quicumque non viderunt faciem meam in carne:
Col	2	2	ut consolentur corda ipsorum, instructi in caritate, et in omnes divitias plenitudinis intellectus, in agnitionem mysterii Dei Patris et Christi Jesu:
Col	2	3	in quo sunt omnes thesauri sapientiæ et scientiæ absconditi.
Col	2	4	Hoc autem dico, ut nemo vos decipiat in sublimitate sermonum.
Col	2	5	Nam etsi corpore absens sum, sed spiritu vobiscum sum: gaudens, et videns ordinem vestrum, et firmamentum ejus, quæ in Christo est, fidei vestræ.
Col	2	6	Sicut ergo accepistis Jesum Christum Dominum, in ipso ambulate,
