book	chapter	verse	text
Tit	1	1	Paulus servus Dei, Apostolus autem Jesu Christi secundum fidem electorum Dei, et agnitionem veritatis, quæ secundum pietatem est
Tit	1	2	in spem vitæ æternæ, quam promisit qui non mentitur, Deus, ante tempora sæcularia:
Tit	1	3	manifestavit autem temporibus suis verbum suum in prædicatione, quæ credita est mihi secundum præceptum Salvatoris nostri Dei:
Tit	1	4	Tito dilecto filio secundum communem fidem, gratia, et pax a Deo Patre, et Christo Jesu Salvatore nostro.
Tit	1	5	Hujus rei gratia reliqui te Cretæ, ut ea quæ desunt, corrigas, et constituas per civitates presbyteros, sicut et ego disposui tibi,
Tit	1	6	si quis sine crimine est, unius uxoris vir, filios habens fideles, non in accusatione luxuriæ, aut non subditos.
Tit	1	7	Oportet enim episcopum sine crimine esse, sicut Dei dispensatorem: non superbum, non iracundum, non vinolentum, non percussorem, non turpis lucri cupidum:
Tit	1	8	sed hospitalem, benignum, sobrium, justum, sanctum, continentem,
Tit	1	9	amplectentem eum, qui secundum doctrinam est, fidelem sermonem: ut potens sit exhortari in doctrina sana, et eos qui contradicunt, arguere.
Tit	1	10	Sunt enim multi etiam inobedientes, vaniloqui, et seductores: maxime qui de circumcisione sunt:
Tit	1	11	quos oportet redargui: qui universas domos subvertunt, docentes quæ non oportet, turpis lucri gratia.
Tit	1	12	Dixit quidam ex illis, proprius ipsorum propheta: Cretenses semper mendaces, malæ bestiæ, ventres pigri.
Tit	1	13	Testimonium hoc verum est. Quam ob causam increpa illos dure, ut sani sint in fide,
Tit	1	14	non intendentes judaicis fabulis, et mandatis hominum, aversantium se a veritate.
Tit	1	15	Omnia munda mundis: coinquinatis autem et infidelibus, nihil est mundum, sed inquinatæ sunt eorum et mens et conscientia.
Tit	1	16	Confitentur se nosse Deum, factis autem negant: cum sint abominati, et incredibiles, et ad omne opus bonum reprobi.
Tit	2	1	Tu autem loquere quæ decent sanam doctrinam:
Tit	2	2	senes ut sobrii sint, pudici, prudentes, sani in fide, in dilectione, in patientia:
Tit	2	3	anus similiter in habitu sancto, non criminatrices, non multo vino servientes, bene docentes:
Tit	2	4	ut prudentiam doceant adolescentulas, ut viros suos ament, filios suos diligant,
Tit	2	5	prudentes, castas, sobrias, domus curam habentes, benignas, subditas viris suis, ut non blasphemetur verbum Dei.
Tit	2	6	Juvenes similiter hortare ut sobrii sint.
Tit	2	7	In omnibus teipsum præbe exemplum bonorum operum, in doctrina, in integritate, in gravitate,
Tit	2	8	verbum sanum, irreprehensibile: ut is qui ex adverso est, vereatur, nihil habens malum dicere de nobis.
Tit	2	9	Servos dominis suis subditos esse, in omnibus placentes, non contradicentes,
Tit	2	10	non fraudantes, sed in omnibus fidem bonam ostendentes: ut doctrinam Salvatoris nostri Dei ornent in omnibus.
Tit	2	11	Apparuit enim gratia Dei Salvatoris nostri omnibus hominibus,
Tit	2	12	erudiens nos, ut abnegantes impietatem, et sæcularia desideria, sobrie, et juste, et pie vivamus in hoc sæculo,
Tit	2	13	exspectantes beatam spem, et adventum gloriæ magni Dei, et Salvatoris nostri Jesu Christi:
Tit	2	14	qui dedit semetipsum pro nobis, ut nos redimeret ab omni iniquitate, et mundaret sibi populum acceptabilem, sectatorem bonorum operum.
Tit	2	15	Hæc loquere, et exhortare, et argue cum omni imperio. Nemo te contemnat.
Tit	3	1	Admone illos principibus, et potestatibus subditos esse, dicto obedire, ad omne opus bonum paratos esse:
Tit	3	2	neminem blasphemare, non litigiosos esse, sed modestos, omnem ostendentes mansuetudinem ad omnes homines.
Tit	3	3	Eramus enim aliquando et nos insipientes, increduli, errantes, servientes desideriis, et voluptatibus variis, in malitia et invidia agentes, odibiles, odientes invicem.
Tit	3	4	Cum autem benignitas et humanitas apparuit Salvatoris nostri Dei,
Tit	3	5	non ex operibus justitiæ, quæ fecimus nos, sed secundum suam misericordiam salvos nos fecit per lavacrum regenerationis et renovationis Spiritus Sancti,
Tit	3	6	quem effudit in nos abunde per Jesum Christum Salvatorem nostrum:
Tit	3	7	ut justificati gratia ipsius, hæredes simus secundum spem vitæ æternæ.
Tit	3	8	Fidelis sermo est: et de his volo te confirmare: ut curent bonis operibus præesse qui credunt Deo. Hæc sunt bona, et utilia hominibus.
Tit	3	9	Stultas autem quæstiones, et genealogias, et contentiones, et pugnas legis devita: sunt enim inutiles, et vanæ.
Tit	3	10	Hæreticum hominem post unam et secundam correptionem devita:
Tit	3	11	sciens quia subversus est, qui ejusmodi est, et delinquit, cum sit proprio judicio condemnatus.
Tit	3	12	Cum misero ad te Artemam, aut Tychicum, festina ad me venire Nicopolim: ibi enim statui hiemare.
Tit	3	13	Zenam legisperitum et Apollo sollicite præmitte, ut nihil illis desit.
Tit	3	14	Discant autem et nostri bonis operibus præesse ad usus necessarios: ut non sint infructuosi.
Tit	3	15	Salutant te qui mecum sunt omnes: saluta eos qui nos amant in fide. Gratia Dei cum omnibus vobis. Amen.
