book	chapter	verse	text
Heb	1	1	Multifariam, multisque modis olim Deus loquens patribus in prophetis:
Heb	1	2	novissime, diebus istis locutus est nobis in Filio, quem constituit hæredem universorum, per quem fecit et sæcula:
Heb	1	3	qui cum sit splendor gloriæ, et figura substantiæ ejus, portansque omnia verbo virtutis suæ, purgationem peccatorum faciens, sedet ad dexteram majestatis in excelsis:
Heb	1	4	tanto melior angelis effectus, quanto differentius præ illis nomen hæreditavit.
Heb	1	5	Cui enim dixit aliquando angelorum: Filius meus es tu, ego hodie genui te? Et rursum: Ego ero illi in patrem, et ipse erit mihi in filium?
Heb	1	6	Et cum iterum introducit primogenitum in orbem terræ, dicit: Et adorent eum omnes angeli Dei.
Heb	1	7	Et ad angelos quidem dicit: Qui facit angelos suos spiritus, et ministros suos flammam ignis.
Heb	1	8	Ad Filium autem: Thronus tuus Deus in sæculum sæculi: virga æquitatis, virga regni tui.
Heb	1	9	Dilexisti justitiam, et odisti iniquitatem: propterea unxit te Deus, Deus tuus, oleo exultationis præ participibus tuis.
Heb	1	10	Et: Tu in principio, Domine, terram fundasti: et opera manuum tuarum sunt cæli.
Heb	1	11	Ipsi peribunt, tu autem permanebis, et omnes ut vestimentum veterascent:
Heb	1	12	et velut amictum mutabis eos, et mutabuntur: tu autem idem ipse es, et anni tui non deficient.
Heb	1	13	Ad quem autem angelorum dixit aliquando: Sede a dextris meis, quoadusque ponam inimicos tuos scabellum pedum tuorum?
Heb	1	14	Nonne omnes sunt administratorii spiritus, in ministerium missi propter eos, qui hæreditatem capient salutis?
Heb	2	1	Propterea abundantius oportet observare nos ea quæ audivimus, ne forte pereffluamus.
Heb	2	2	Si enim qui per angelos dictus est sermo, factus est firmus, et omnis prævaricatio, et inobedientia accepit justam mercedis retributionem:
Heb	2	3	quomodo nos effugiemus si tantam neglexerimus salutem? quæ cum initium accepisset enarrari per Dominum ab eis, qui audierunt, in nos confirmata est,
Heb	2	4	contestante Deo signis et portentis, et variis virtutibus, et Spiritus Sancti distributionibus secundum suam voluntatem.
Heb	2	5	Non enim angelis subjecit Deus orbem terræ futurum, de quo loquimur.
Heb	2	6	Testatus est autem in quodam loco quis, dicens: Quid est homo quod memor es ejus, aut filius hominis quoniam visitas eum?
Heb	2	7	Minuisti eum paulo minus ab angelis: gloria et honore coronasti eum: et constituisti eum super opera manuum tuarum.
Heb	2	8	Omnia subjecisti sub pedibus ejus. In eo enim quod omnia ei subjecit, nihil dimisit non subjectum ei. Nunc autem necdum videmus omnia subjecta ei.
Heb	2	9	Eum autem, qui modico quam angeli minoratus est, videmus Jesum propter passionem mortis, gloria et honore coronatum: ut, gratia Dei, pro omnibus gustaret mortem.
Heb	2	10	Decebat enim eum, propter quem omnia, et per quem omnia, qui multos filios in gloriam adduxerat, auctorem salutis eorum per passionem consummare.
Heb	2	11	Qui enim sanctificat, et qui sanctificantur, ex uno omnes. Propter quam causam non confunditur fratres eos vocare, dicens:
Heb	2	12	Nuntiabo nomen tuum fratribus meis: in medio ecclesiæ laudabo te.
Heb	2	13	Et iterum: Ego ero fidens in eum. Et iterum: Ecce ego, et pueri mei, quos dedit mihi Deus.
Heb	2	14	Quia ergo pueri communicaverunt carni, et sanguini, et ipse similiter participavit eisdem: ut per mortem destrueret eum qui habebat mortis imperium, id est, diabolum:
Heb	2	15	et liberaret eos qui timore mortis per totam vitam obnoxii erant servituti.
Heb	2	16	Nusquam enim angelos apprehendit, sed semen Abrahæ apprehendit.
Heb	2	17	Unde debuit per omnia fratribus similari, ut misericors fieret, et fidelis pontifex ad Deum, ut repropitiaret delicta populi.
Heb	2	18	In eo enim, in quo passus est ipse et tentatus, potens est et eis, qui tentantur, auxiliari.
Heb	3	1	Unde, fratres sancti, vocationis cælestis participes, considerate Apostolum, et pontificem confessionis nostræ Jesum:
Heb	3	2	qui fidelis est ei, qui fecit illum, sicut et Moyses in omni domo ejus.
Heb	3	3	Amplioris enim gloriæ iste præ Moyse dignus est habitus, quanto ampliorem honorem habet domus, qui fabricavit illam.
Heb	3	4	Omnis namque domus fabricatur ab aliquo: qui autem omnia creavit, Deus est.
Heb	3	5	Et Moyses quidem fidelis erat in tota domo ejus tamquam famulus, in testimonium eorum, quæ dicenda erant:
Heb	3	6	Christus vero tamquam filius in domo sua: quæ domus sumus nos, si fiduciam, et gloriam spei usque ad finem, firmam retineamus.
Heb	3	7	Quapropter sicut dicit Spiritus Sanctus: Hodie si vocem ejus audieritis,
Heb	3	8	nolite obdurare corda vestra, sicut in exacerbatione secundum diem tentationis in deserto,
Heb	3	9	ubi tentaverunt me patres vestri: probaverunt, et viderunt opera mea
Heb	3	10	quadraginta annis: propter quod infensus fui generationi huic, et dixi: Semper errant corde. Ipsi autem non cognoverunt vias meas,
Heb	3	11	sicut juravi in ira mea: Si introibunt in requiem meam.
Heb	3	12	Videte fratres, ne forte sit in aliquo vestrum cor malum incredulitatis, discedendi a Deo vivo:
Heb	3	13	sed adhortamini vosmetipsos per singulos dies, donec hodie cognominatur, ut non obduretur quis ex vobis fallacia peccati.
Heb	3	14	Participes enim Christi effecti sumus, si tamen initium substantiæ ejus usque ad finem firmum retineamus.
Heb	3	15	Dum dicitur: Hodie si vocem ejus audieritis, nolite obdurare corda vestra, quemadmodum in illa exacerbatione.
Heb	3	16	Quidam enim audientes exacerbaverunt: sed non universi qui profecti sunt ex Ægypto per Moysen.
Heb	3	17	Quibus autem infensus est quadraginta annis? nonne illis qui peccaverunt, quorum cadavera prostrata sunt in deserto?
Heb	3	18	Quibus autem juravit non introire in requiem ipsius, nisi illis qui increduli fuerunt?
Heb	3	19	Et videmus, quia non potuerunt introire propter incredulitatem.
Heb	4	1	Timeamus ergo ne forte relicta pollicitatione introëundi in requiem ejus, existimetur aliquis ex vobis deesse.
Heb	4	2	Etenim et nobis nuntiatum est, quemadmodum et illis: sed non profuit illis sermo auditus, non admistus fidei ex iis quæ audierunt.
Heb	4	3	Ingrediemur enim in requiem, qui credidimus: quemadmodum dixit: Sicut juravi in ira mea: Si introibunt in requiem meam: et quidem operibus ab institutione mundi perfectis.
Heb	4	4	Dixit enim in quodam loco de die septima sic: Et requievit Deus die septima ab omnibus operibus suis.
Heb	4	5	Et in isto rursum: Si introibunt in requiem meam.
Heb	4	6	Quoniam ergo superest introire quosdam in illam, et ii, quibus prioribus annuntiatum est, non introierunt propter incredulitatem:
Heb	4	7	iterum terminat diem quemdam, Hodie, in David dicendo, post tantum temporis, sicut supra dictum est: Hodie si vocem ejus audieritis, nolite obdurare corda vestra.
Heb	4	8	Nam si eis Jesus requiem præstitisset, numquam de alia loqueretur, posthac, die.
Heb	4	9	Itaque relinquitur sabbatismus populo Dei.
Heb	4	10	Qui enim ingressus est in requiem ejus, etiam ipse requievit ab operibus suis, sicut a suis Deus.
Heb	4	11	Festinemus ergo ingredi in illam requiem: ut ne in idipsum quis incidat incredulitatis exemplum.
Heb	4	12	Vivus est enim sermo Dei, et efficax et penetrabilior omni gladio ancipiti: et pertingens usque ad divisionem animæ ac spiritus: compagum quoque ac medullarum, et discretor cogitationum et intentionum cordis.
Heb	4	13	Et non est ulla creatura invisibilis in conspectu ejus: omnia autem nuda et aperta sunt oculis ejus, ad quem nobis sermo.
Heb	4	14	Habentes ergo pontificem magnum qui penetravit cælos, Jesum Filium Dei, teneamus confessionem.
Heb	4	15	Non enim habemus pontificem qui non possit compati infirmitatibus nostris: tentatum autem per omnia pro similitudine absque peccato.
Heb	4	16	Adeamus ergo cum fiducia ad thronum gratiæ: ut misericordiam consequamur, et gratiam inveniamus in auxilio opportuno.
Heb	5	1	Omnis namque pontifex ex hominibus assumptus, pro hominibus constituitur in iis quæ sunt ad Deum, ut offerat dona, et sacrificia pro peccatis:
Heb	5	2	qui condolere possit iis qui ignorant et errant: quoniam et ipse circumdatus est infirmitate:
Heb	5	3	et propterea debet, quemadmodum pro populo, ita etiam et pro semetipso offerre pro peccatis.
Heb	5	4	Nec quisquam sumit sibi honorem, sed qui vocatur a Deo, tamquam Aaron.
Heb	5	5	Sic et Christus non semetipsum clarificavit ut pontifex fieret: sed qui locutus est ad eum: Filius meus es tu, ego hodie genui te.
Heb	5	6	Quemadmodum et in alio loco dicit: Tu es sacerdos in æternum, secundum ordinem Melchisedech.
Heb	5	7	Qui in diebus carnis suæ preces, supplicationesque ad eum qui possit illum salvum facere a morte cum clamore valido, et lacrimis offerens, exauditus est pro sua reverentia.
Heb	5	8	Et quidem cum esset Filius Dei, didicit ex iis, quæ passus est, obedientiam:
Heb	5	9	et consummatus, factus est omnibus obtemperantibus sibi, causa salutis æternæ,
Heb	5	10	appellatus a Deo pontifex juxta ordinem Melchisedech.
Heb	5	11	De quo nobis grandis sermo, et ininterpretabilis ad dicendum: quoniam imbecilles facti estis ad audiendum.
Heb	5	12	Etenim cum deberetis magistri esse propter tempus, rursum indigetis ut vos doceamini quæ sint elementa exordii sermonum Dei: et facti estis quibus lacte opus sit, non solido cibo.
Heb	5	13	Omnis enim, qui lactis est particeps, expers est sermonis justitiæ: parvulus enim est.
Heb	5	14	Perfectorum autem est solidus cibus: eorum, qui pro consuetudine exercitatos habent sensus ad discretionem boni ac mali.
Heb	6	1	Quapropter intermittentes inchoationis Christi sermonem, ad perfectiora feramur, non rursum jacientes fundamentum pœnitentiæ ab operibus mortuis, et fidei ad Deum,
Heb	6	2	baptismatum doctrinæ, impositionis quoque manuum, ac resurrectionis mortuorum, et judicii æterni.
Heb	6	3	Et hoc faciemus, si quidem permiserit Deus.
Heb	6	4	Impossibile est enim eos qui semel sunt illuminati, gustaverunt etiam donum cæleste, et participes facti sunt Spiritus Sancti,
Heb	6	5	gustaverunt nihilominus bonum Dei verbum, virtutesque sæculi venturi,
Heb	6	6	et prolapsi sunt; rursus renovari ad pœnitentiam, rursum crucifigentes sibimetipsis Filium Dei, et ostentui habentes.
Heb	6	7	Terra enim sæpe venientem super se bibens imbrem, et generans herbam opportunam illis, a quibus colitur, accipit benedictionem a Deo:
Heb	6	8	proferens autem spinas ac tribulos, reproba est, et maledicto proxima: cujus consummatio in combustionem.
Heb	6	9	Confidimus autem de vobis dilectissimi meliora, et viciniora saluti: tametsi ita loquimur.
