book	chapter	verse	text
1John	1	1	Quod fuit ab initio, quod audivimus, quod vidimus oculis nostris, quod perspeximus, et manus nostræ contrectaverunt de verbo vitæ:
1John	1	2	et vita manifestata est, et vidimus, et testamur, et annuntiamus vobis vitam æternam, quæ erat apud Patrem, et apparuit nobis:
1John	1	3	quod vidimus et audivimus, annuntiamus vobis, ut et vos societatem habeatis nobiscum, et societas nostra sit cum Patre, et cum Filio ejus Jesu Christo.
1John	1	4	Et hæc scribimus vobis ut gaudeatis, et gaudium vestrum sit plenum.
1John	1	5	Et hæc est annuntiatio, quam audivimus ab eo, et annuntiamus vobis: quoniam Deus lux est, et tenebræ in eo non sunt ullæ.
1John	1	6	Si dixerimus quoniam societatem habemus cum eo, et in tenebris ambulamus, mentimur, et veritatem non facimus.
1John	1	7	Si autem in luce ambulamus sicut et ipse est in luce, societatem habemus ad invicem, et sanguis Jesu Christi, Filii ejus, emundat nos ab omni peccato.
1John	1	8	Si dixerimus quoniam peccatum non habemus, ipsi nos seducimus, et veritas in nobis non est.
1John	1	9	Si confiteamur peccata nostra: fidelis est, et justus, ut remittat nobis peccata nostra, et emundet nos ab omni iniquitate.
1John	1	10	Si dixerimus quoniam non peccavimus, mendacem facimus eum, et verbum ejus non est in nobis.
1John	2	1	Filioli mei, hæc scribo vobis, ut non peccetis. Sed et si quis peccaverit, advocatum habemus apud Patrem, Jesum Christum justum:
1John	2	2	et ipse est propitiatio pro peccatis nostris: non pro nostris autem tantum, sed etiam pro totius mundi.
1John	2	3	Et in hoc scimus quoniam cognovimus eum, si mandata ejus observemus.
1John	2	4	Qui dicit se nosse eum, et mandata ejus non custodit, mendax est, et in hoc veritas non est.
1John	2	5	Qui autem servat verbum ejus, vere in hoc caritas Dei perfecta est: et in hoc scimus quoniam in ipso sumus.
1John	2	6	Qui dicit se in ipso manere, debet, sicut ille ambulavit, et ipse ambulare.
1John	2	7	Carissimi, non mandatum novum scribo vobis, sed mandatum vetus, quod habuistis ab initio. Mandatum vetus est verbum, quod audistis.
1John	2	8	Iterum mandatum novum scribo vobis, quod verum est et in ipso, et in vobis: quia tenebræ transierunt, et verum lumen jam lucet.
1John	2	9	Qui dicit se in luce esse, et fratrem suum odit, in tenebris est usque adhuc.
1John	2	10	Qui diligit fratrem suum, in lumine manet, et scandalum in eo non est.
1John	2	11	Qui autem odit fratrem suum, in tenebris est, et in tenebris ambulat, et nescit quo eat: quia tenebræ obcæcaverunt oculos ejus.
1John	2	12	Scribo vobis, filioli, quoniam remittuntur vobis peccata propter nomen ejus.
1John	2	13	Scribo vobis, patres, quoniam cognovistis eum, qui ab initio est. Scribo vobis, adolescentes, quoniam vicistis malignum.
1John	2	14	Scribo vobis, infantes, quoniam cognovistis patrem. Scribo vobis juvenes, quoniam fortes estis, et verbum Dei manet in vobis, et vicistis malignum.
1John	2	15	Nolite diligere mundum, neque ea quæ in mundo sunt. Si quis diligit mundum, non est caritas Patris in eo:
1John	2	16	quoniam omne quod est in mundo, concupiscentia carnis est, et concupiscentia oculorum, et superbia vitæ: quæ non est ex Patre, sed ex mundo est.
1John	2	17	Et mundus transit, et concupiscentia ejus: qui autem facit voluntatem Dei manet in æternum.
1John	2	18	Filioli, novissima hora est: et sicut audistis quia antichristus venit, et nunc antichristi multi facti sunt; unde scimus, quia novissima hora est.
1John	2	19	Ex nobis prodierunt, sed non erant ex nobis, nam, si fuissent ex nobis, permansissent utique nobiscum: sed ut manifesti sint quoniam non sunt omnes ex nobis.
1John	2	20	Sed vos unctionem habetis a Sancto, et nostis omnia.
