ordinal	token	file	testament	kjv_title	douay_title	modern_name	missal_latin_abbreviation	alternate_names	chapters	verses	note
1	Gen	01-genesis.tsv	old	The First Book of Moses, called Genesis	The Book of Genesis	Genesis	Gen.	Gn	50	1533	
2	Ex	02-exodus.tsv	old	The Second Book of Moses, called Exodus	The Book of Exodus	Exodus	Exod.	Ex	40	1213	
3	Lev	03-leviticus.tsv	old	The Third Book of Moses, called Leviticus	The Book of Leviticus	Leviticus	Levit.	Lev	27	859	
4	Num	04-numbers.tsv	old	The Fourth Book of Moses, called Numbers	The Book of Numbers	Numbers	Num.	Nm	36	1288	
5	Deut	05-deuteronomy.tsv	old	The Fifth Book of Moses, called Deuteronomy	The Book of Deuteronomy	Deuteronomy	Deut.	Dt	34	959	
6	Jos	06-joshua.tsv	old	The Book of Joshua	The Book of Josue	Joshua	Jos.	Josue; Jos	24	658	
7	Judg	07-judges.tsv	old	The Book of Judges	The Book of Judges	Judges	Judic.	Jdg; Judg	21	618	
8	Ruth	08-ruth.tsv	old	The Book of Ruth	The Book of Ruth	Ruth	Ruth	Rt	4	85	
9	1Kings	09-1-samuel.tsv	old	The First Book of Samuel Otherwise Called The First Book of the Kings	The First Book of Samuel, otherwise called the First Book of Kings	1 Samuel	1 Reg.	1 Kings; 1 Samuel; 1 Sm	31	810	TRAP: the token 1Kings is the Douay-Rheims token for this book, which the King James Version prints as 1 Samuel. A modern “1 Kings” citation is the book under token 3Kings.
10	2Kings	10-2-samuel.tsv	old	The Second Book of Samuel Otherwise Called The Second Book of the Kings	The Second Book of Samuel, otherwise called the Second Book of Kings	2 Samuel	2 Reg.	2 Kings; 2 Samuel; 2 Sm	24	695	TRAP: the token 2Kings is the Douay-Rheims token for this book, which the King James Version prints as 2 Samuel. A modern “2 Kings” citation is the book under token 4Kings.
11	3Kings	11-1-kings.tsv	old	The First Book of the Kings, Commonly Called the Third Book of the Kings	The Third Book of Kings	1 Kings	3 Reg.	3 Kings; 1 Kings (modern)	22	816	TRAP: Douay 3 Kings is the King James 1 Kings.
12	4Kings	12-2-kings.tsv	old	The Second Book of the Kings, Commonly Called the Fourth Book of the Kings	The Fourth Book of Kings	2 Kings	4 Reg.	4 Kings; 2 Kings (modern)	25	719	TRAP: Douay 4 Kings is the King James 2 Kings.
13	1Par	13-1-chronicles.tsv	old	The First Book of the Chronicles	The First Book of Paralipomenon	1 Chronicles	1 Paral.	1 Paralipomenon; 1 Par	29	942	
14	2Par	14-2-chronicles.tsv	old	The Second Book of the Chronicles	The Second Book of Paralipomenon	2 Chronicles	2 Paral.	2 Paralipomenon; 2 Par	36	822	
15	1Esd	15-ezra.tsv	old	Ezra	The First Book of Esdras	Ezra	1 Esdr.	Esdras (Douay 1)	10	280	TRAP: the Douay-Rheims calls this book 1 Esdras. In this edition the name “1 Esdras” belongs to the apocryphal book under token 1Esdras, so the Douay name is deliberately not registered as an alias here.
16	2Esd	16-nehemiah.tsv	old	The Book of Nehemiah	The Book of Nehemias, which is called the Second of Esdras	Nehemiah	2 Esdr.	Nehemias; Neh	13	406	TRAP: the Douay-Rheims calls this book 2 Esdras. In this edition the name “2 Esdras” belongs to the apocryphal book under token 2Esdras, so the Douay name is deliberately not registered as an alias here.
17	Esth	17-esther.tsv	old	The Book of Esther	The Book of Esther	Esther	Esth.	Est	10	167	This is the Hebrew Esther only, 10 chapters ending at 10:3. The Greek additions the Vulgate and the Douay-Rheims print inside Esther at 10:4-16:24 stand in this edition as a separate book under token EsthGr.
18	Job	18-job.tsv	old	The Book of Job	The Book of Job	Job	Job	Jb	42	1070	
19	Ps	19-psalms.tsv	old	The Book of Psalms	The Book of Psalms	Psalms	Ps.	Psalmi; Pss; Psalm	150	2461	Psalm numbers are Hebrew/Masoretic numbers throughout, not the Vulgate and Septuagint numbers the 1962 Missal cites. Psalm inscriptions are printed but left unnumbered, so this edition's verse numbers run one or two lower than the Hebrew numbering the psalm concordance records; see the edition record.
20	Prov	20-proverbs.tsv	old	The Proverbs	The Book of Proverbs	Proverbs	Prov.	Prv	31	915	
21	Eccles	21-ecclesiastes.tsv	old	Ecclesiastes or, the Preacher	Ecclesiastes	Ecclesiastes	Eccle.	Qoheleth; Eccl	12	222	TRAP: the Missal abbreviation “Eccle.” is Ecclesiastes; “Eccli.” is Ecclesiasticus, which is under token Ecclus.
22	Cant	22-song-of-solomon.tsv	old	The Song of Solomon	Solomon’s Canticle of Canticles	Song of Songs	Cant.	Canticle of Canticles; Song of Solomon; Sg	8	117	
23	Is	23-isaiah.tsv	old	The Book of the Prophet Isaiah	The Prophecy of Isaias	Isaiah	Is.	Isaias; Isa	66	1292	
24	Jer	24-jeremiah.tsv	old	The Book of the Prophet Jeremiah	The Prophecy of Jeremias	Jeremiah	Jer.	Jeremias	52	1364	
25	Lam	25-lamentations.tsv	old	The Lamentations of Jeremiah	The Lamentations of Jeremias	Lamentations	Thren.	Threni; Lam	5	154	
26	Ezech	26-ezekiel.tsv	old	The Book of the Prophet Ezekiel	The Prophecy of Ezechiel	Ezekiel	Ezech.	Ezechiel; Ez	48	1273	
