book	chapter	verse	kind	marker	printed
Gen	1	3	prose	p	
Gen	1	6	prose	p	pilcrow
Gen	1	9	prose	p	pilcrow
Gen	1	14	prose	p	pilcrow
Gen	1	20	prose	p	
Gen	1	24	prose	p	pilcrow
Gen	1	26	prose	p	pilcrow
Gen	1	29	prose	p	pilcrow
Gen	2	4	prose	p	pilcrow
Gen	2	8	prose	p	pilcrow
Gen	2	16	prose	p	
Gen	2	18	prose	p	pilcrow
Gen	2	21	prose	p	
Gen	3	6	prose	p	
Gen	3	9	prose	p	
Gen	3	11	prose	p	
Gen	3	14	prose	p	
Gen	3	17	prose	p	
Gen	3	22	prose	p	pilcrow
Gen	4	3	prose	p	
Gen	4	6	prose	p	
Gen	4	9	prose	p	pilcrow
Gen	4	13	prose	p	
Gen	4	16	prose	p	pilcrow
Gen	4	19	prose	p	pilcrow
Gen	4	23	prose	p	
Gen	4	25	prose	p	pilcrow
Gen	5	3	prose	p	pilcrow
Gen	5	6	prose	p	
Gen	5	9	prose	p	pilcrow
Gen	5	12	prose	p	pilcrow
Gen	5	15	prose	p	pilcrow
Gen	5	18	prose	p	pilcrow
Gen	5	21	prose	p	pilcrow
Gen	5	25	prose	p	
Gen	5	28	prose	p	pilcrow
Gen	6	4	prose	p	
Gen	6	5	prose	p	pilcrow
Gen	6	6	prose	p	
Gen	6	8	prose	p	
Gen	6	9	prose	p	pilcrow
Gen	6	11	prose	p	
Gen	6	13	prose	p	
Gen	6	14	prose	p	pilcrow
Gen	7	5	prose	p	
Gen	7	7	prose	p	pilcrow
Gen	7	11	prose	p	pilcrow
Gen	7	13	prose	p	
Gen	7	17	prose	p	
Gen	7	21	prose	p	
Gen	8	4	prose	p	
Gen	8	6	prose	p	pilcrow
Gen	8	13	prose	p	pilcrow
Gen	8	15	prose	p	pilcrow
Gen	8	20	prose	p	pilcrow
Gen	9	8	prose	p	pilcrow
Gen	9	12	prose	p	
Gen	9	18	prose	p	pilcrow
Gen	9	24	prose	p	
Gen	9	28	prose	p	pilcrow
Gen	10	6	prose	p	pilcrow
Gen	10	15	prose	p	pilcrow
Gen	10	21	prose	p	pilcrow
Gen	11	5	prose	p	
Gen	11	10	prose	p	pilcrow
Gen	11	27	prose	p	pilcrow
Gen	12	4	prose	p	
Gen	12	6	prose	p	pilcrow
Gen	12	10	prose	p	pilcrow
Gen	12	14	prose	p	pilcrow
Gen	13	5	prose	p	pilcrow
Gen	13	10	prose	p	
Gen	13	14	prose	p	pilcrow
Gen	14	13	prose	p	pilcrow
Gen	14	17	prose	p	pilcrow
Gen	14	21	prose	p	
Gen	15	2	prose	p	
Gen	15	7	prose	p	
Gen	15	12	prose	p	
Gen	15	17	prose	p	
Gen	16	4	prose	p	pilcrow
Gen	16	7	prose	p	pilcrow
Gen	16	10	prose	p	
Gen	16	15	prose	p	pilcrow
Gen	17	4	prose	p	
Gen	17	7	prose	p	
Gen	17	9	prose	p	pilcrow
Gen	17	15	prose	p	pilcrow
Gen	17	23	prose	p	pilcrow
Gen	18	9	prose	p	pilcrow
Gen	18	16	prose	p	pilcrow
Gen	18	23	prose	p	pilcrow
Gen	19	4	prose	p	pilcrow
Gen	19	12	prose	p	pilcrow
Gen	19	15	prose	p	pilcrow
Gen	19	17	prose	p	pilcrow
Gen	19	23	prose	p	pilcrow
Gen	19	24	prose	p	
Gen	19	26	prose	p	pilcrow
Gen	19	27	prose	p	pilcrow
