cited_locus	resolves_to	kind	note
Dan.3.24		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Prayer of Azarias and the Canticle of the Three Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30
Dan.3.25		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Prayer of Azarias and the Canticle of the Three Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30
Dan.3.26		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Prayer of Azarias and the Canticle of the Three Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30
Dan.3.27		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Prayer of Azarias and the Canticle of the Three Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30
Dan.3.28		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Prayer of Azarias and the Canticle of the Three Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30
Dan.3.29		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Prayer of Azarias and the Canticle of the Three Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30
Dan.3.30		not-in-this-edition	a Vulgate citation of Daniel 3:24-90 means the Prayer of Azarias and the Canticle of the Three Children, which this edition prints as a separate book under token SgThree; its own Daniel 3 is the Aramaic chapter and ends at verse 30
Ps.13.3		numbering-not-recorded	the psalm concordance records Hebrew Psalm 13 as uniformly offset from the English convention and it is not: this edition's 13:2 carries the whole of Vulgate 12:2-3, so from here to the end of the psalm its verse stands one ahead of the number a Vulgate or Hebrew numbered citation means, and no correspondence is recorded to convert through
Ps.13.4		numbering-not-recorded	the psalm concordance records Hebrew Psalm 13 as uniformly offset from the English convention and it is not: this edition's 13:2 carries the whole of Vulgate 12:2-3, so from here to the end of the psalm its verse stands one ahead of the number a Vulgate or Hebrew numbered citation means, and no correspondence is recorded to convert through
Ps.13.5		numbering-not-recorded	the psalm concordance records Hebrew Psalm 13 as uniformly offset from the English convention and it is not: this edition's 13:2 carries the whole of Vulgate 12:2-3, so from here to the end of the psalm its verse stands one ahead of the number a Vulgate or Hebrew numbered citation means, and no correspondence is recorded to convert through
Ps.13.6		numbering-not-recorded	the psalm concordance records Hebrew Psalm 13 as uniformly offset from the English convention and it is not: this edition's 13:2 carries the whole of Vulgate 12:2-3, so from here to the end of the psalm its verse stands one ahead of the number a Vulgate or Hebrew numbered citation means, and no correspondence is recorded to convert through
