ordinal	token	file	testament	edition_title	douay_title	modern_name	missal_latin_abbreviation	alternate_names	chapters	verses	note
1	Gen	01-genesis.tsv	old	THE FIRST BOOK OF MOSES, COMMONLY CALLED GENESIS.	The Book of Genesis	Genesis	Gen.	Gn	50	1533	
2	Ex	02-exodus.tsv	old	THE SECOND BOOK OF MOSES, COMMONLY CALLED EXODUS.	The Book of Exodus	Exodus	Exod.	Ex	40	1213	
3	Lev	03-leviticus.tsv	old	THE THIRD BOOK OF MOSES, COMMONLY CALLED LEVITICUS.	The Book of Leviticus	Leviticus	Levit.	Lev	27	859	
4	Num	04-numbers.tsv	old	THE FOURTH BOOK OF MOSES, COMMONLY CALLED NUMBERS.	The Book of Numbers	Numbers	Num.	Nm	36	1288	
5	Deut	05-deuteronomy.tsv	old	THE FIFTH BOOK OF MOSES, COMMONLY CALLED DEUTERONOMY.	The Book of Deuteronomy	Deuteronomy	Deut.	Dt	34	959	
6	Jos	06-joshua.tsv	old	THE BOOK OF JOSHUA.	The Book of Josue	Joshua	Jos.	Josue; Jos	24	658	
7	Judg	07-judges.tsv	old	THE BOOK OF JUDGES.	The Book of Judges	Judges	Judic.	Jdg; Judg	21	618	
8	Ruth	08-ruth.tsv	old	THE BOOK OF RUTH.	The Book of Ruth	Ruth	Ruth	Rt	4	85	
9	1Kings	09-1-samuel.tsv	old	THE FIRST BOOK OF SAMUEL.	The First Book of Samuel, otherwise called the First Book of Kings	1 Samuel	1 Reg.	1 Kings; 1 Samuel; 1 Sm	31	810	TRAP: the token 1Kings is the King James and Douay-Rheims token for this book, which this edition prints as 1 Samuel. A modern “1 Kings” citation is the book under token 3Kings.
10	2Kings	10-2-samuel.tsv	old	THE SECOND BOOK OF SAMUEL.	The Second Book of Samuel, otherwise called the Second Book of Kings	2 Samuel	2 Reg.	2 Kings; 2 Samuel; 2 Sm	24	695	TRAP: the token 2Kings is this edition's 2 Samuel. A modern “2 Kings” citation is the book under token 4Kings.
11	3Kings	11-1-kings.tsv	old	THE FIRST BOOK OF THE KINGS.	The Third Book of Kings	1 Kings	3 Reg.	3 Kings; 1 Kings (modern)	22	816	TRAP: Douay 3 Kings is this edition's 1 Kings.
