book	chapter	verse	text	usfm
Deut	1	1	These be the words which Moses spake unto all Israel beyond Jordan in the wilderness, in the Arabah over against Suph, between Paran, and Tophel, and Laban, and Hazeroth, and Di-zahab.	DEU
Deut	1	2	It is eleven days’ journey from Horeb by the way of mount Seir unto Kadesh-barnea.	DEU
Deut	1	3	And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spake unto the children of Israel, according unto all that the LORD had given him in commandment unto them;	DEU
Deut	1	4	after he had smitten Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt in Ashtaroth, at Edrei:	DEU
Deut	1	5	beyond Jordan, in the land of Moab, began Moses to declare this law, saying,	DEU
Deut	1	6	The LORD our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mountain:	DEU
Deut	1	7	turn you, and take your journey, and go to the hill country of the Amorites, and unto all the places nigh thereunto, in the Arabah, in the hill country, and in the lowland, and in the South, and by the sea shore, the land of the Canaanites, and Lebanon, as far as the great river, the river Euphrates.	DEU
Deut	1	8	Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, to Abraham, to Isaac, and to Jacob, to give unto them and to their seed after them.	DEU
Deut	1	9	And I spake unto you at that time, saying, I am not able to bear you myself alone:	DEU
Deut	1	10	The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.	DEU
Deut	1	11	The LORD, the God of your fathers, make you a thousand times so many more as ye are, and bless you, as he hath promised you!	DEU
Deut	1	12	How can I myself alone bear your cumbrance, and your burden, and your strife?	DEU
Deut	1	13	Take you wise men, and understanding, and known, according to your tribes, and I will make them heads over you.	DEU
Deut	1	14	And ye answered me, and said, The thing which thou hast spoken is good for us to do.	DEU
Deut	1	15	So I took the heads of your tribes, wise men, and known, and made them heads over you, captains of thousands, and captains of hundreds, and captains of fifties, and captains of tens, and officers, according to your tribes.	DEU
Deut	1	16	And I charged your judges at that time, saying, Hear the causes between your brethren, and judge righteously between a man and his brother, and the stranger that is with him.	DEU
Deut	1	17	Ye shall not respect persons in judgment; ye shall hear the small and the great alike; ye shall not be afraid of the face of man; for the judgment is God’s: and the cause that is too hard for you ye shall bring unto me, and I will hear it.	DEU
Deut	1	18	And I commanded you at that time all the things which ye should do.	DEU
Deut	1	19	And we journeyed from Horeb, and went through all that great and terrible wilderness which ye saw, by the way to the hill country of the Amorites, as the LORD our God commanded us; and we came to Kadesh-barnea.	DEU
Deut	1	20	And I said unto you, Ye are come unto the hill country of the Amorites, which the LORD our God giveth unto us.	DEU
Deut	1	21	Behold, the LORD thy God hath set the land before thee: go up, take possession, as the LORD, the God of thy fathers, hath spoken unto thee; fear not, neither be dismayed.	DEU
Deut	1	22	And ye came near unto me every one of you, and said, Let us send men before us, that they may search the land for us, and bring us word again of the way by which we must go up, and the cities unto which we shall come.	DEU
Deut	1	23	And the thing pleased me well: and I took twelve men of you, one man for every tribe:	DEU
Deut	1	24	and they turned and went up into the mountain, and came unto the valley of Eshcol, and spied it out.	DEU
Deut	1	25	And they took of the fruit of the land in their hands, and brought it down unto us, and brought us word again, and said, It is a good land which the LORD our God giveth unto us.	DEU
Deut	1	26	Yet ye would not go up, but rebelled against the commandment of the LORD your God:	DEU
Deut	1	27	and ye murmured in your tents, and said, Because the LORD hated us, he hath brought us forth out of the land of Egypt, to deliver us into the hand of the Amorites, to destroy us.	DEU
Deut	1	28	Whither are we going up? our brethren have made our heart to melt, saying, The people is greater and taller than we; the cities are great and fenced up to heaven; and moreover we have seen the sons of the Anakim there.	DEU
Deut	1	29	Then I said unto you, Dread not, neither be afraid of them.	DEU
Deut	1	30	The LORD your God who goeth before you, he shall fight for you, according to all that he did for you in Egypt before your eyes;	DEU
