book	chapter	verse	text	usfm
Ruth	1	1	And it came to pass in the days when the judges judged, that there was a famine in the land. And a certain man of Beth-lehem-judah went to sojourn in the country of Moab, he, and his wife, and his two sons.	RUT
Ruth	1	2	And the name of the man was Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Beth-lehem-judah. And they came into the country of Moab, and continued there.	RUT
Ruth	1	3	And Elimelech Naomi’s husband died; and she was left, and her two sons.	RUT
Ruth	1	4	And they took them wives of the women of Moab; the name of the one was Orpah, and the name of the other Ruth: and they dwelled there about ten years.	RUT
Ruth	1	5	And Mahlon and Chilion died both of them; and the woman was left of her two children and of her husband.	RUT
Ruth	1	6	Then she arose with her daughters in law, that she might return from the country of Moab: for she had heard in the country of Moab how that the LORD had visited his people in giving them bread.	RUT
Ruth	1	7	And she went forth out of the place where she was, and her two daughters in law with her; and they went on the way to return unto the land of Judah.	RUT
Ruth	1	8	And Naomi said unto her two daughters in law, Go, return each of you to her mother’s house: the LORD deal kindly with you as ye have dealt with the dead, and with me.	RUT
Ruth	1	9	The LORD grant you that ye may find rest, each of you in the house of her husband. Then she kissed them; and they lifted up their voice, and wept.	RUT
Ruth	1	10	And they said unto her, Nay, but we will return with thee unto thy people.	RUT
Ruth	1	11	And Naomi said, Turn again, my daughters: why will ye go with me? have I yet sons in my womb, that they may be your husbands?	RUT
Ruth	1	12	Turn again, my daughters, go your way; for I am too old to have an husband. If I should say, I have hope, if I should even have an husband to-night, and should also bear sons;	RUT
Ruth	1	13	would ye therefore tarry till they were grown? would ye therefore stay from having husbands? nay, my daughters; for it grieveth me much for your sakes, for the hand of the LORD is gone forth against me.	RUT
Ruth	1	14	And they lifted up their voice, and wept again: and Orpah kissed her mother in law; but Ruth clave unto her.	RUT
Ruth	1	15	And she said, Behold, thy sister in law is gone back unto her people, and unto her god: return thou after thy sister in law.	RUT
Ruth	1	16	And Ruth said, Entreat me not to leave thee, and to return from following after thee: for whither thou goest, I will go; and where thou lodgest, I will lodge: thy people shall be my people, and thy God my God:	RUT
Ruth	1	17	where thou diest, will I die, and there will I be buried: the LORD do so to me, and more also, if aught but death part thee and me.	RUT
Ruth	1	18	And when she saw that she was stedfastly minded to go with her, she left speaking unto her.	RUT
Ruth	1	19	So they two went until they came to Beth-lehem. And it came to pass, when they were come to Beth-lehem, that all the city was moved about them, and the women said, Is this Naomi?	RUT
Ruth	1	20	And she said unto them, Call me not Naomi, call me Mara: for the Almighty hath dealt very bitterly with me.	RUT
Ruth	1	21	I went out full, and the LORD hath brought me home again empty: why call ye me Naomi, seeing the LORD hath testified against me, and the Almighty hath afflicted me?	RUT
Ruth	1	22	So Naomi returned, and Ruth the Moabitess, her daughter in law, with her, which returned out of the country of Moab: and they came to Beth-lehem in the beginning of barley harvest.	RUT
Ruth	2	1	And Naomi had a kinsman of her husband’s, a mighty man of wealth, of the family of Elimelech; and his name was Boaz.	RUT
Ruth	2	2	And Ruth the Moabitess said unto Naomi, Let me now go to the field, and glean among the ears of corn after him in whose sight I shall find grace. And she said unto her, Go, my daughter.	RUT
Ruth	2	3	And she went, and came and gleaned in the field after the reapers: and her hap was to light on the portion of the field belonging unto Boaz, who was of the family of Elimelech.	RUT
Ruth	2	4	And, behold, Boaz came from Beth-lehem, and said unto the reapers, The LORD be with you. And they answered him, The LORD bless thee.	RUT
Ruth	2	5	Then said Boaz unto his servant that was set over the reapers, Whose damsel is this? r	RUT
Ruth	2	6	And the servant that was set over the reapers answered and said, It is the Moabitish damsel that came back with Naomi out of the country of Moab:	RUT
Ruth	2	7	And she said, Let me glean, I pray you, and gather after the reapers among the sheaves: so she came, and hath continued even from the morning until now, save that she tarried a little in the house.	RUT
Ruth	2	8	Then said Boaz unto Ruth, Hearest thou not, my daughter? Go not to glean in another field, neither pass from hence, but abide here fast by my maidens.	RUT
Ruth	2	9	Let thine eyes be on the field that they do reap, and go thou after them: have I not charged the young men that they shall not touch thee? and when thou art athirst, go unto the vessels, and drink of that which the young men have drawn.	RUT
Ruth	2	10	Then she fell on her face, and bowed herself to the ground, and said unto him, Why have I found grace in thy sight, that thou shouldest take knowledge of me, seeing I am a stranger?	RUT
Ruth	2	11	And Boaz answered and said unto her, It hath fully been shewed me, all that thou hast done unto thy mother in law since the death of thine husband: and how thou hast left thy father and thy mother, and the land of thy nativity, and art come unto a people which thou knewest not heretofore.	RUT
Ruth	2	12	The LORD recompense thy work, and a full reward be given thee of the LORD, the God of Israel, under whose wings thou art come to take refuge.	RUT
Ruth	2	13	Then she said, Let me find grace in thy sight, my lord; for that thou hast comforted me, and for that thou hast spoken kindly unto thine handmaid, though I be not as one of thine handmaidens.	RUT
Ruth	2	14	And at meal-time Boaz said unto her, Come hither, and eat of the bread, and dip thy morsel in the vinegar. And she sat beside the reapers: and they reached her parched corn, and she did eat, and was sufficed, and left thereof.	RUT
Ruth	2	15	And when she was risen up to glean, Boaz commanded his young men, saying, Let her glean even among the sheaves, and reproach her not.	RUT
Ruth	2	16	And also pull out some for her from the bundles, and leave it, and let her glean, and rebuke her not.	RUT
Ruth	2	17	So she gleaned in the field until even; and she beat out that she had gleaned, and it was about an ephah of barley.	RUT
Ruth	2	18	And she took it up, and went into the city: and her mother in law saw what she had gleaned: and she brought forth and gave to her that she had left after she was sufficed.	RUT
Ruth	2	19	And her mother in law said unto her, Where hast thou gleaned today? and where wroughtest thou? blessed be he that did take knowledge of thee. And she shewed her mother in law with whom she had wrought, and said, The man’s name with whom I wrought today is Boaz.	RUT
Ruth	2	20	And Naomi said unto her daughter in law, Blessed be he of the LORD, who hath not left off his kindness to the living and to the dead. And Naomi said unto her, The man is nigh of kin unto us, one of our near kinsmen.	RUT
Ruth	2	21	And Ruth the Moabitess said, Yea, he said unto me, Thou shalt keep fast by my young men, until they have ended all my harvest.	RUT
