book	chapter	verse	text	usfm
1Kings	1	1	Now there was a certain man of Ramathaim-zophim, of the hill country of Ephraim, and his name was Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephraimite:	1SA
1Kings	1	2	and he had two wives; the name of the one was Hannah, and the name of the other Peninnah: and Peninnah had children, but Hannah had no children.	1SA
1Kings	1	3	And this man went up out of his city from year to year to worship and to sacrifice unto the LORD of hosts in Shiloh. And the two sons of Eli, Hophni and Phinehas, priests unto the LORD, were there.	1SA
1Kings	1	4	And when the day came that Elkanah sacrificed, he gave to Peninnah his wife, and to all her sons and her daughters portions:	1SA
1Kings	1	5	but unto Hannah he gave a double portion: for he loved Hannah, but the LORD had shut up her womb.	1SA
1Kings	1	6	And her rival provoked her sore, for to make her fret, because the LORD had shut up her womb.	1SA
1Kings	1	7	And as he did so year by year, when she went up to the house of the LORD, so she provoked her; therefore she wept, and did not eat.	1SA
1Kings	1	8	And Elkanah her husband said unto her, Hannah, why weepest thou? and why eatest thou not? and why is thy heart grieved? am not I better to thee than ten sons?	1SA
1Kings	1	9	So Hannah rose up after they had eaten in Shiloh, and after they had drunk. Now Eli the priest sat upon his seat by the door post of the temple of the LORD.	1SA
1Kings	1	10	And she was in bitterness of soul, and prayed unto the LORD, and wept sore.	1SA
1Kings	1	11	And she vowed a vow, and said, O LORD of hosts, if thou wilt indeed look on the affliction of thine handmaid, and remember me, and not forget thine handmaid, but wilt give unto thine handmaid a man child, then I will give him unto the LORD all the days of his life, and there shall no razor come upon his head.	1SA
1Kings	1	12	And it came to pass, as she continued praying before the LORD, that Eli marked her mouth.	1SA
1Kings	1	13	Now Hannah, she spake in her heart; only her lips moved, but her voice was not heard: therefore Eli thought she had been drunken.	1SA
1Kings	1	14	And Eli said unto her, How long wilt thou be drunken? put away thy wine from thee.	1SA
1Kings	1	15	And Hannah answered and said, No, my lord, I am a woman of a sorrowful spirit: I have drunk neither wine nor strong drink, but I poured out my soul before the LORD.	1SA
1Kings	1	16	Count not thine handmaid for a daughter of Belial: for out of the abundance of my complaint and my provocation have I spoken hitherto.	1SA
1Kings	1	17	Then Eli answered and said, Go in peace: and the God of Israel grant thy petition that thou hast asked of him.	1SA
1Kings	1	18	And she said, Let thy servant find grace in thy sight. So the woman went her way, and did eat, and her countenance was no more sad.	1SA
1Kings	1	19	And they rose up in the morning early, and worshipped before the LORD, and returned, and came to their house to Ramah: and Elkanah knew Hannah his wife; and the LORD remembered her.	1SA
1Kings	1	20	And it came to pass, when the time was come about, that Hannah conceived, and bare a son; and she called his name Samuel, saying, Because I have asked him of the LORD.	1SA
1Kings	1	21	And the man Elkanah, and all his house, went up to offer unto the LORD the yearly sacrifice, and his vow.	1SA
1Kings	1	22	But Hannah went not up; for she said unto her husband, I will not go up until the child be weaned, and then I will bring him, that he may appear before the LORD, and there abide for ever.	1SA
1Kings	1	23	And Elkanah her husband said unto her, Do what seemeth thee good; tarry until thou have weaned him; only the LORD establish his word. So the woman tarried and gave her son suck, until she weaned him.	1SA
1Kings	1	24	And when she had weaned him, she took him up with her, with three bullocks, and one ephah of meal, and a bottle of wine, and brought him unto the house of the LORD in Shiloh: and the child was young.	1SA
1Kings	1	25	And they slew the bullock, and brought the child to Eli.	1SA
1Kings	1	26	And she said, Oh my lord, as thy soul liveth, my lord, I am the woman that stood by thee here, praying unto the LORD.	1SA
1Kings	1	27	For this child I prayed; and the LORD hath given me my petition which I asked of him:	1SA
1Kings	1	28	wherefore I also have granted him to the LORD; as long as he liveth he is granted to the LORD. And he worshipped the LORD there.	1SA
1Kings	2	1	And Hannah prayed, and said: My heart exulteth in the LORD, mine horn is exalted in the LORD: my mouth is enlarged over mine enemies; because I rejoice in thy salvation.	1SA
1Kings	2	2	There is none holy as the LORD; for there is none beside thee: neither is there any rock like our God.	1SA
1Kings	2	3	Talk no more so exceeding proudly; let not arrogancy come out of your mouth: for the LORD is a God of knowledge, and by him actions are weighed.	1SA
1Kings	2	4	The bows of the mighty men are broken, and they that stumbled are girded with strength.	1SA
1Kings	2	5	They that were full have hired out themselves for bread; and they that were hungry have ceased: yea, the barren hath borne seven; and she that hath many children languisheth.	1SA
1Kings	2	6	The LORD killeth, and maketh alive: he bringeth down to the grave, and bringeth up.	1SA
1Kings	2	7	The LORD maketh poor, and maketh rich: he bringeth low, he also lifteth up.	1SA
1Kings	2	8	He raiseth up the poor out of the dust, he lifteth up the needy from the dunghill, to make them sit with princes, and inherit the throne of glory: for the pillars of the earth are the LORD’S, and he hath set the world upon them.	1SA
1Kings	2	9	He will keep the feet of his holy ones, but the wicked shall be put to silence in darkness; for by strength shall no man prevail.	1SA
1Kings	2	10	They that strive with the LORD shall be broken to pieces; against them shall he thunder in heaven: the LORD shall judge the ends of the earth; and he shall give strength unto his king, and exalt the horn of his anointed.	1SA
1Kings	2	11	And Elkanah went to Ramah to his house. And the child did minister unto the LORD before Eli the priest.	1SA
1Kings	2	12	Now the sons of Eli were sons of Belial; they knew not the LORD.	1SA
1Kings	2	13	And the custom of the priests with the people was, that, when any man offered sacrifice, the priest’s servant came, while the flesh was in seething, with a fleshhook of three teeth in his hand;	1SA
1Kings	2	14	and he struck it into the pan, or kettle, or caldron, or pot; all that the fleshhook brought up the priest took therewith. So they did in Shiloh unto all the Israelites that came thither.	1SA
1Kings	2	15	Yea, before they burnt the fat, the priest’s servant came, and said to the man that sacrificed, Give flesh to roast for the priest; for he will not have sodden flesh of thee, but raw.	1SA
1Kings	2	16	And if the man said unto him, They will surely burn the fat presently, and then take as much as thy soul desireth; then he would say, Nay, but thou shalt give it me now: and if not, I will take it by force.	1SA
1Kings	2	17	And the sin of the young men was very great before the LORD: for men abhorred the offering of the LORD.	1SA
1Kings	2	18	But Samuel ministered before the LORD, being a child, girded with a linen ephod.	1SA
1Kings	2	19	Moreover his mother made him a little robe, and brought it to him from year to year, when she came up with her husband to offer the yearly sacrifice.	1SA
1Kings	2	20	And Eli blessed Elkanah and his wife, and said, The LORD give thee seed of this woman for the loan which was lent to the LORD. And they went unto their own home.	1SA
1Kings	2	21	And the LORD visited Hannah, and she conceived, and bare three sons and two daughters. And the child Samuel grew before the LORD.	1SA
1Kings	2	22	Now Eli was very old; and he heard all that his sons did unto all Israel, and how that they lay with the women that did service at the door of the tent of meeting.	1SA
1Kings	2	23	And he said unto them, Why do ye such things? for I hear of your evil dealings from all this people.	1SA
1Kings	2	24	Nay, my sons; for it is no good report that I hear: ye make the LORD’S people to transgress.	1SA
1Kings	2	25	If one man sin against another, God shall judge him: but if a man sin against the LORD, who shall entreat for him? Notwithstanding they hearkened not unto the voice of their father, because the LORD would slay them.	1SA
1Kings	2	26	And the child Samuel grew on, and was in favour both with the LORD, and also with men.	1SA
1Kings	2	27	And there came a man of God unto Eli, and said unto him, Thus saith the LORD, Did I reveal myself unto the house of thy father, when they were in Egypt in bondage to Pharaoh’s house?	1SA
1Kings	2	28	and did I choose him out of all the tribes of Israel to be my priest, to go up unto mine altar to burn incense, to wear an ephod before me? and did I give unto the house of thy father all the offerings of the children of Israel made by fire?	1SA
1Kings	2	29	Wherefore kick ye at my sacrifice and at mine offering, which I have commanded in my habitation; and honourest thy sons above me, to make yourselves fat with the chiefest of all the offerings of Israel my people?	1SA
1Kings	2	30	Therefore the LORD, the God of Israel, saith, I said indeed that thy house, and the house of thy father, should walk before me for ever: but now the LORD saith, Be it far from me; for them that honour me I will honour, and they that despise me shall be lightly esteemed.	1SA
1Kings	2	31	Behold, the days come, that I will cut off thine arm, and the arm of thy father’s house, that there shall not be an old man in thine house.	1SA
1Kings	2	32	And thou shalt behold the affliction of my habitation, in all the wealth which God shall give Israel: and there shall not be an old man in thine house for ever.	1SA
1Kings	2	33	And the man of thine, whom I shall not cut off from mine altar, shall be to consume thine eyes, and to grieve thine heart: and all the increase of thine house shall die in the flower of their age.	1SA
1Kings	2	34	And this shall be the sign unto thee, that shall come upon thy two sons, on Hophni and Phinehas; in one day they shall die both of them.	1SA
1Kings	2	35	And I will raise me up a faithful priest, that shall do according to that which is in mine heart and in my mind: and I will build him a sure house; and he shall walk before mine anointed for ever.	1SA
1Kings	2	36	And it shall come to pass, that every one that is left in thine house shall come and bow down to him for a piece of silver and a loaf of bread, and shall say, Put me, I pray thee, into one of the priests’ offices, that I may eat a morsel of bread.	1SA
1Kings	3	1	And the child Samuel ministered unto the LORD before Eli. And the word of the LORD was precious in those days; there was no open vision.	1SA
1Kings	3	2	And it came to pass at that time, when Eli was laid down in his place, (now his eyes had begun to wax dim, that he could not see,)	1SA
1Kings	3	3	and the lamp of God was not yet gone out, and Samuel was laid down to sleep, in the temple of the LORD, where the ark of God was;	1SA
1Kings	3	4	that the LORD called Samuel: and he said, Here am I.	1SA
1Kings	3	5	And he ran unto Eli, and said, Here am I; for thou calledst me. And he said, I called not; lie down again. And he went and lay down.	1SA
1Kings	3	6	And the LORD called yet again, Samuel. And Samuel arose and went to Eli, and said, Here am I; for thou calledst me. And he answered, I called not, my son; lie down again.	1SA
1Kings	3	7	Now Samuel did not yet know the LORD, neither was the word of the LORD yet revealed unto him.	1SA
1Kings	3	8	And the LORD called Samuel again the third time. And he arose and went to Eli, and said, Here am I; for thou calledst me. And Eli perceived that the LORD had called the child.	1SA
1Kings	3	9	Therefore Eli said unto Samuel, Go, lie down: and it shall be, if he call thee, that thou shalt say, Speak, LORD; for thy servant heareth. So Samuel went and lay down in his place.	1SA
1Kings	3	10	And the LORD came, and stood and called as at other times, Samuel, Samuel. Then Samuel said, Speak; for thy servant heareth.	1SA
1Kings	3	11	And the LORD said to Samuel, Behold, I will do a thing in Israel, at which both the ears of every one that heareth it shall tingle.	1SA
1Kings	3	12	In that day I will perform against Eli all that I have spoken concerning his house, from the beginning even unto the end.	1SA
1Kings	3	13	For I have told him that I will judge his house for ever, for the iniquity which he knew, because his sons did bring a curse upon themselves, and he restrained them not.	1SA
1Kings	3	14	And therefore I have sworn unto the house of Eli, that the iniquity of Eli’s house shall not be purged with sacrifice nor offering for ever.	1SA
1Kings	3	15	And Samuel lay until the morning, and opened the doors of the house of the LORD. And Samuel feared to shew Eli the vision.	1SA
1Kings	3	16	Then Eli called Samuel, and said, Samuel, my son. And he said, Here Am I.	1SA
1Kings	3	17	And he said, What is the thing that the LORD hath spoken unto thee? I pray thee hide it not from me: God do so to thee, and more also, if thou hide any thing from me of all the things that he spake unto thee.	1SA
1Kings	3	18	And Samuel told him every whit, and hid nothing from him. And he said, It is the LORD: let him do what seemeth him good.	1SA
1Kings	3	19	And Samuel grew, and the LORD was with him, and did let none of his words fall to the ground.	1SA
1Kings	3	20	And all Israel from Dan even to Beer-sheba knew that Samuel was established to be a prophet of the LORD.	1SA
1Kings	3	21	And the LORD appeared again in Shiloh: for the LORD revealed himself to Samuel in Shiloh by the word of the LORD.	1SA
1Kings	4	1	And the word of Samuel came to all Israel. Now Israel went out against the Philistines to battle, and pitched beside Eben-ezer: and the Philistines pitched in Aphek.	1SA
1Kings	4	2	And the Philistines put themselves in array against Israel: and when they joined battle, Israel was smitten before the Philistines: and they slew of the army in the field about four thousand men.	1SA
1Kings	4	3	And when the people were come into the camp, the elders of Israel said, Wherefore hath the LORD smitten us today before the Philistines? Let as fetch the ark of the covenant of the LORD out of Shiloh unto us, that it may come among us, and save us out of the hand of our enemies.	1SA
1Kings	4	4	So the people sent to Shiloh, and they brought from thence the ark of the covenant of the LORD of hosts, which sitteth upon the cherubim: and the two sons of Eli, Hophni and Phinehas, were there with the ark of the covenant of God.	1SA
1Kings	4	5	And when the ark of the covenant of the LORD came into the camp, all Israel shouted with a great shout, so that the earth rang again.	1SA
1Kings	4	6	And when the Philistines heard the noise of the shout, they said, What meaneth the noise of this great shout in the camp of the Hebrews? And they understood that the ark of the LORD was come into the camp.	1SA
1Kings	4	7	And the Philistines were afraid, for they said, God is come into the camp. And they said, Woe unto us! for there hath not been such a thing heretofore.	1SA
1Kings	4	8	Woe unto us! who shall deliver us out of the hand of these mighty gods? these are the gods that smote the Egyptians with all manner of plagues in the wilderness.	1SA
1Kings	4	9	Be strong, and quit yourselves like men, O ye Philistines, that ye be not servants unto the Hebrews, as they have been to you: quit yourselves like men, and fight.	1SA
