book	chapter	verse	text	usfm
2Par	1	1	And Solomon the son of David was strengthened in his kingdom, and the LORD his God was with him, and magnified him exceedingly.	2CH
2Par	1	2	And Solomon spake unto all Israel, to the captains of thousands and of hundreds, and to the judges, and to every prince in all Israel, the heads of the fathers’ houses.	2CH
2Par	1	3	So Solomon, and all the congregation with him, went to the high place that was at Gibeon; for there was the tent of meeting of God, which Moses the servant of the LORD had made in the wilderness.	2CH
2Par	1	4	But the ark of God had David brought up from Kirjath-jearim to the place that David had prepared for it: for he had pitched a tent for it at Jerusalem.	2CH
2Par	1	5	Moreover the brasen altar, that Bezalel the son of Uri, the son of Hur, had made, was there before the tabernacle of the LORD: and Solomon and the congregation sought unto it.	2CH
2Par	1	6	And Solomon went up thither to the brasen altar before the LORD, which was at the tent of meeting, and offered a thousand burnt offerings upon it.	2CH
2Par	1	7	In that night did God appear unto Solomon, and said unto him, Ask what I shall give thee.	2CH
2Par	1	8	And Solomon said unto God, Thou hast shewed great kindness unto David my father, and hast made me king in his stead.	2CH
2Par	1	9	Now, O LORD God, let thy promise unto David my father be established: for thou hast made me king over a people like the dust of the earth in multitude.	2CH
2Par	1	10	Give me now wisdom and knowledge, that I may go out and come in before this people: for who can judge this thy people, that is so great?	2CH
2Par	1	11	And God said to Solomon, Because this was in thine heart, and thou hast not asked riches, wealth, or honour, nor the life of them that hate thee; neither yet hast asked long life; but hast asked wisdom and knowledge for thyself, that thou mayest judge my people, over whom I have made thee king:	2CH
2Par	1	12	wisdom and knowledge is granted unto thee; and I will give thee riches and wealth, and honour, such as none of the kings have had that have been before thee, neither shall there any after thee have the like.	2CH
2Par	1	13	So Solomon came from his journey to the high place that was at Gibeon, from before the tent of meeting, unto Jerusalem; and he reigned over Israel.	2CH
2Par	1	14	And Solomon gathered chariots and horsemen: and he had a thousand and four hundred chariots, and twelve thousand horsemen, which he placed in the chariot cities, and with the king at Jerusalem.	2CH
2Par	1	15	And the king made silver and gold to be in Jerusalem as stones, and cedars made he to be as the sycomore trees that are in the lowland, for abundance.	2CH
2Par	1	16	And the horses which Solomon had were brought out of Egypt; the king’s merchants received them in droves, each drove at a price.	2CH
2Par	1	17	And they fetched up, and brought out of Egypt a chariot for six hundred shekels of silver, and an horse for an hundred and fifty: and so for all the kings of the Hittites, and the kings of Syria, did they bring them out by their means.	2CH
2Par	2	1	Now Solomon purposed to build an house for the name of the LORD, and an house for his kingdom.	2CH
2Par	2	2	And Solomon told out threescore and ten thousand men to bear burdens, and fourscore thousand men that were hewers in the mountains, and three thousand and six hundred to oversee them.	2CH
2Par	2	3	And Solomon sent to Huram the king of Tyre, saying, As thou didst deal with David my father, and didst send him cedars to build him an house to dwell therein, even so deal with me.	2CH
