book	chapter	verse	text	usfm
Job	1	1	There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.	JOB
Job	1	2	And there were born unto him seven sons and three daughters.	JOB
Job	1	3	His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she-asses, and a very great household; so that this man was the greatest of all the children of the east.	JOB
Job	1	4	And his sons went and held a feast in the house of each one upon his day; and they sent and called for their three sisters to eat and to drink with them.	JOB
Job	1	5	And it was so, when the days of their feasting were gone about, that Job sent and sanctified them, and rose up early in the morning, and offered burn offerings according to the number of them all: for Job said, It may be that my sons have sinned, and renounced God in their hearts. Thus did Job continually.	JOB
Job	1	6	Now there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them.	JOB
Job	1	7	And the LORD said unto Satan, Whence comest thou? Then Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.	JOB
Job	1	8	And the LORD said unto Satan, Hast thou considered my servant Job? for there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil.	JOB
Job	1	9	Then Satan answered the LORD, and said, Doth Job fear God for nought?	JOB
Job	1	10	Hast not thou made an hedge about him, and about his house, and about all that he hath, on every side? thou hast blessed the work of his hands, and his substance is increased in the land.	JOB
Job	1	11	But put forth thine hand now, and touch all that he hath, and he will renounce thee to thy face.	JOB
Job	1	12	And the LORD said unto Satan, Behold, all that he hath is in thy power; only upon himself put not forth thine hand. So Satan went forth from the presence of the LORD.	JOB
Job	1	13	And it fell on a day when his sons and his daughters were eating and drinking wine in their eldest brother’s house,	JOB
Job	1	14	that there came a messenger unto Job, and said, The oxen were plowing, and the asses feeding beside them:	JOB
Job	1	15	and the Sabeans fell upon them, and took them away; yea, they have slain the servants with the edge of the sword; and I only am escaped alone to tell thee.	JOB
Job	1	16	While he was yet speaking, there came also another, and said, The fire of God is fallen from heaven, and hath burned up the sheep, and the servants, and consumed them; and I only am escaped alone to tell thee.	JOB
Job	1	17	While he was yet speaking, there came also another, and said, The Chaldeans made three bands, and fell upon the camels, and have taken them away, yea, and slain the servants with the edge of the sword; and I only am escaped alone to tell thee.	JOB
Job	1	18	While he was yet speaking, there came also another, and said, Thy sons and thy daughters were eating and drinking wine in their eldest brother’s house:	JOB
Job	1	19	and, behold, there came a great wind from the wilderness, and smote the four corners of the house, and it fell upon the young men, and they are dead; and I only am escaped alone to tell thee.	JOB
Job	1	20	Then Job arose, and rent his mantle, and shaved his head, and fell down upon the ground, and worshipped;	JOB
Job	1	21	and he said, Naked came I out of my mother’s womb, and naked shall I return thither: the LORD gave, and the LORD hath taken away; blessed be the name of the LORD.	JOB
Job	1	22	In all this Job sinned not, nor charged God with foolishness.	JOB
Job	2	1	Again there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them to present himself before the LORD.	JOB
Job	2	2	And the LORD said unto Satan, From whence comest thou? And Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.	JOB
Job	2	3	And the LORD said unto Satan, Hast thou considered my servant Job? for there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil: and he still holdeth fast his integrity, although thou movedst me against him, to destroy him without cause.	JOB
Job	2	4	And Satan answered the LORD, and said, Skin for skin, yea, all that a man hath will he give for his life.	JOB
Job	2	5	But put forth thine hand now, and touch his bone and his flesh, and he will renounce thee to thy face.	JOB
Job	2	6	And the LORD said unto Satan, Behold, he is in thine hand; only spare his life.	JOB
Job	2	7	So Satan went forth from the presence of the LORD, and smote Job with sore boils from the sole of his foot unto his crown.	JOB
Job	2	8	And he took him a potsherd to scrape himself withal; and he sat among the ashes.	JOB
Job	2	9	Then said his wife unto him, Dost thou still hold fast thine integrity? renounce God, and die.	JOB
Job	2	10	But he said unto her, Thou speakest as one of the foolish women speaketh. What? shall we receive good at the hand of God, and shall we not receive evil? In all this did not Job sin with his lips.	JOB
Job	2	11	Now when Job’s three friends heard of all this evil that was come upon him, they came every one from his own place; Eliphaz the Temanite, and Bildad the Shuhite, and Zophar the Naamathite: and they made an appointment together to come to bemoan him and to comfort him.	JOB
Job	2	12	And when they lifted up their eyes afar off, and knew him not, they lifted up their voice, and wept; and they rent every one his mantle, and sprinkled dust upon their heads toward heaven.	JOB
Job	2	13	So they sat down with him upon the ground seven days and seven nights, and none spake a word unto him: for they saw that his grief was very great.	JOB
Job	3	1	After this opened Job his mouth, and cursed his day.	JOB
Job	3	2	And Job answered and said:	JOB
Job	3	3	Let the day perish wherein I was born, and the night which said, There is a man child conceived.	JOB
Job	3	4	Let that day be darkness; let not God regard it from above, neither let the light shine upon it.	JOB
Job	3	5	Let darkness and the shadow of death claim it for their own; let a cloud dwell upon it; let all that maketh black the day terrify it.	JOB
Job	3	6	As for that night, let thick darkness seize upon it: let it not rejoice among the days of the year; let it not come into the number of the months.	JOB
Job	3	7	Lo, let that night be barren; let no joyful voice come therein.	JOB
Job	3	8	Let them curse it that curse the day, who are ready to rouse up leviathan.	JOB
Job	3	9	Let the stars of the twilight thereof be dark: let it look for light, but have none; neither let it behold the eyelids of the morning:	JOB
Job	3	10	Because it shut not up the doors of my mother’s womb, nor hid trouble from mine eyes.	JOB
Job	3	11	Why died I not from the womb? why did I not give up the ghost when I came out of the belly?	JOB
Job	3	12	Why did the knees receive me? or why the breasts, that I should suck?	JOB
Job	3	13	For now should I have lain down and been quiet; I should have slept; then had I been at rest:	JOB
Job	3	14	With kings and counsellors of the earth, which built up waste places for themselves;	JOB
Job	3	15	Or with princes that had gold, who filled their houses with silver:	JOB
Job	3	16	Or as an hidden untimely birth I had not been; as infants which never saw light.	JOB
Job	3	17	There the wicked cease from troubling; and there the weary be at rest.	JOB
Job	3	18	There the prisoners are at ease together; they hear not the voice of the taskmaster.	JOB
Job	3	19	The small and great are there; and the servant is free from his master.	JOB
Job	3	20	Wherefore is light given to him that is in misery, and life unto the bitter in soul;	JOB
Job	3	21	Which long for death, but it cometh not; and dig for it more than for hid treasures;	JOB
