book	chapter	verse	text	usfm
Ps	1	1	Blessed is the man that walketh not in the counsel of the wicked, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.	PSA
Ps	1	2	But his delight is in the law of the LORD; and in his law doth he meditate day and night.	PSA
Ps	1	3	And he shall be like a tree planted by the streams of water, that bringeth forth its fruit in its season, whose leaf also doth not wither; and whatsoever he doeth shall prosper.	PSA
Ps	1	4	The wicked are not so; but are like the chaff which the wind driveth away.	PSA
Ps	1	5	Therefore the wicked shall not stand in the judgment, nor sinners in the congregation of the righteous.	PSA
Ps	1	6	For the LORD knoweth the way of the righteous: but the way of the wicked shall perish.	PSA
Ps	2	1	Why do the nations rage, and the peoples imagine a vain thing?	PSA
Ps	2	2	The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, saying,	PSA
Ps	2	3	Let us break their bands asunder, and cast away their cords from us.	PSA
Ps	2	4	He that sitteth in the heavens shall laugh: the Lord shall have them in derision.	PSA
Ps	2	5	Then shall he speak unto them in his wrath, and vex them in his sore displeasure:	PSA
Ps	2	6	Yet I have set my king upon my holy hill of Zion.	PSA
Ps	2	7	I will tell of the decree: the LORD said unto me, Thou art my son; this day have I begotten thee.	PSA
Ps	2	8	Ask of me, and I will give thee the nations for thine inheritance, and the uttermost parts of the earth for thy possession.	PSA
Ps	2	9	Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter’s vessel.	PSA
Ps	2	10	Now therefore be wise, O ye kings: be instructed, ye judges of the earth.	PSA
Ps	2	11	Serve the LORD with fear, and rejoice with trembling.	PSA
Ps	2	12	Kiss the son, lest he be angry, and ye perish in the way, for his wrath will soon be kindled. Blessed are all they that put their trust in him.	PSA
Ps	3	1	LORD, how are mine adversaries increased! many are they that rise up against me.	PSA
Ps	3	2	Many there be which say of my soul, There is no help for him in God. Selah	PSA
Ps	3	3	But thou, O LORD, art a shield about me; my glory, and the lifter up of mine head.	PSA
Ps	3	4	I cry unto the LORD with my voice, and he answereth me out of his holy hill. Selah	PSA
Ps	3	5	I laid me down and slept; I awaked; for the LORD sustaineth me.	PSA
Ps	3	6	I will not be afraid of ten thousands of the people, that have set themselves against me round about.	PSA
Ps	3	7	Arise, O LORD; save me, O my God: for thou hast smitten all mine enemies upon the cheek bone; thou hast broken the teeth of the wicked.	PSA
Ps	3	8	Salvation belongeth unto the LORD: thy blessing be upon thy people. Selah	PSA
Ps	4	1	Answer me when I call, O God of my righteousness; thou hast set me at large when I was in distress: have mercy upon me, and hear my prayer.	PSA
