book	chapter	verse	text	usfm
Prov	1	1	The proverbs of Solomon the son of David, king of Israel:	PRO
Prov	1	2	To know wisdom and instruction; to discern the words of understanding;	PRO
Prov	1	3	To receive instruction in wise dealing, in righteousness and judgment and equity;	PRO
Prov	1	4	To give subtilty to the simple, to the young man knowledge and discretion:	PRO
Prov	1	5	That the wise man may hear, and increase in learning; and that the man of understanding may attain unto sound counsels:	PRO
Prov	1	6	To understand a proverb, and a figure; the words of the wise, and their dark sayings.	PRO
Prov	1	7	The fear of the LORD is the beginning of knowledge: but the foolish despise wisdom and instruction.	PRO
Prov	1	8	My son, hear the instruction of thy father, and forsake not the law of thy mother:	PRO
Prov	1	9	For they shall be a chaplet of grace unto thy head, and chains about thy neck.	PRO
Prov	1	10	My son, if sinners entice thee, consent thou not.	PRO
Prov	1	11	If they say, Come with us, let us lay wait for blood, let us lurk privily for the innocent without cause;	PRO
Prov	1	12	Let us swallow them up alive as Sheol, and whole, as those that go down into the pit;	PRO
Prov	1	13	We shall find all precious substance, we shall fill our houses with spoil;	PRO
Prov	1	14	Thou shalt cast thy lot among us; we will all have one purse:	PRO
Prov	1	15	My son, walk not thou in the way with them; refrain thy foot from their path:	PRO
Prov	1	16	For their feet run to evil, and they make haste to shed blood.	PRO
Prov	1	17	For in vain is the net spread, in the eyes of any bird:	PRO
Prov	1	18	And these lay wait for their own blood, they lurk privily for their own lives.	PRO
Prov	1	19	So are the ways of every one that is greedy of gain; it taketh away the life of the owners thereof.	PRO
Prov	1	20	Wisdom crieth aloud in the street; she uttereth her voice in the broad places;	PRO
Prov	1	21	She crieth in the chief place of concourse; at the entering in of the gates, in the city, she uttereth her words:	PRO
Prov	1	22	How long, ye simple ones, will ye love simplicity? and scorners delight them in scorning, and fools hate knowledge?	PRO
Prov	1	23	Turn you at my reproof: behold, I will pour out my spirit unto you, I will make known my words unto you.	PRO
Prov	1	24	Because I have called, and ye refused; I have stretched out my hand, and no man regarded;	PRO
Prov	1	25	But ye have set at nought all my counsel, and would none of my reproof:	PRO
Prov	1	26	I also will laugh in the day of your calamity; I will mock when your fear cometh;	PRO
Prov	1	27	When your fear cometh as a storm, and your calamity cometh on as a whirlwind; when distress and anguish come upon you.	PRO
Prov	1	28	Then shall they call upon me, but I will not answer; they shall seek me diligently, but they shall not find me:	PRO
Prov	1	29	For that they hated knowledge, and did not choose the fear of the LORD:	PRO
Prov	1	30	They would none of my counsel; they despised all my reproof:	PRO
Prov	1	31	Therefore shall they eat of the fruit of their own way, and be filled with their own devices.	PRO
Prov	1	32	For the backsliding of the simple shall slay them, and the prosperity of fools shall destroy them.	PRO
Prov	1	33	But whoso hearkeneth unto me shall dwell securely, and shall be quiet without fear of evil.	PRO
Prov	2	1	My son, if thou wilt receive my words, and lay up my commandments with thee;	PRO
Prov	2	2	So that thou incline thine ear unto wisdom, and apply thine heart to understanding;	PRO
Prov	2	3	Yea, if thou cry after discernment, and lift up thy voice for understanding;	PRO
Prov	2	4	If thou seek her as silver, and search for her as for hid treasures;	PRO
Prov	2	5	Then shalt thou understand the fear of the LORD, and find the knowledge of God.	PRO
Prov	2	6	For the LORD giveth wisdom; out of his mouth cometh knowledge and understanding:	PRO
Prov	2	7	He layeth up sound wisdom for the upright, he is a shield to them that walk in integrity;	PRO
Prov	2	8	That he may guard the paths of judgment, and preserve the way of his saints.	PRO
Prov	2	9	Then shalt thou understand righteousness and judgment, and equity, yea, every good path.	PRO
Prov	2	10	For wisdom shall enter into thine heart, and knowledge shall be pleasant unto thy soul;	PRO
Prov	2	11	Discretion shall watch over thee, understanding shall keep thee:	PRO
Prov	2	12	To deliver thee from the way of evil, from the men that speak froward things;	PRO
Prov	2	13	Who forsake the paths of uprightness, to walk in the ways of darkness;	PRO
Prov	2	14	Who rejoice to do evil, and delight in the frowardness of evil;	PRO
Prov	2	15	Who are crooked in their ways, and perverse in their paths:	PRO
Prov	2	16	To deliver thee from the strange woman, even from the stranger which flattereth with her words;	PRO
Prov	2	17	Which forsaketh the friend of her youth, and forgetteth the covenant of her God:	PRO
Prov	2	18	For her house inclineth unto death, and her paths unto the dead:	PRO
Prov	2	19	None that go unto her return again, neither do they attain unto the paths of life:	PRO
Prov	2	20	That thou mayest walk in the way of good men, and keep the paths of the righteous.	PRO
Prov	2	21	For the upright shall dwell in the land, and the perfect shall remain in it.	PRO
Prov	2	22	But the wicked shall be cut off from the land, and they that deal treacherously shall be rooted out of it.	PRO
Prov	3	1	My son, forget not my law; but let thine heart keep my commandments:	PRO
Prov	3	2	For length of days, and years of life, and peace, shall they add to thee.	PRO
Prov	3	3	Let not mercy and truth forsake thee: bind them about thy neck; write them upon the table of thine heart:	PRO
Prov	3	4	So shalt thou find favour and good understanding in the sight of God and man.	PRO
Prov	3	5	Trust in the LORD with all thine heart, and lean not upon thine own understanding:	PRO
Prov	3	6	In all thy ways acknowledge him, and he shall direct thy paths.	PRO
Prov	3	7	Be not wise in thine own eyes; fear the LORD, and depart from evil:	PRO
Prov	3	8	It shall be health to thy navel, and marrow to thy bones.	PRO
Prov	3	9	Honour the LORD with thy substance, and with the firstfruits of all thine increase:	PRO
Prov	3	10	So shall thy barns be filled with plenty, and thy vats shall overflow with new wine.	PRO
Prov	3	11	My son, despise not the chastening of the LORD; neither be weary of his reproof:	PRO
Prov	3	12	For whom the LORD loveth he reproveth; even as a father the son in whom he delighteth.	PRO
Prov	3	13	Happy is the man that findeth wisdom, and the man that getteth understanding.	PRO
Prov	3	14	For the merchandise of it is better than the merchandise of silver, and the gain thereof than fine gold.	PRO
Prov	3	15	She is more precious than rubies: and none of the things thou canst desire are to be compared unto her.	PRO
Prov	3	16	Length of days is in her right had; in her left hand are riches and honour.	PRO
Prov	3	17	Her ways are ways of pleasantness, and all her paths are peace.	PRO
Prov	3	18	She is a tree of life to them that lay hold upon her: and happy is every one that retaineth her.	PRO
Prov	3	19	The LORD by wisdom founded the earth; by understanding he established the heavens.	PRO
Prov	3	20	By his knowledge the depths were broken up, and the skies drop down the dew.	PRO
Prov	3	21	My son, let not them depart from thine eyes; keep sound wisdom and discretion;	PRO
Prov	3	22	So shall they be life unto thy soul, and grace to thy neck.	PRO
Prov	3	23	Then shalt thou walk in thy way securely, and thy foot shall not stumble.	PRO
Prov	3	24	When thou liest down, thou shalt not be afraid: yea, thou shalt lie down, and thy sleep shall be sweet.	PRO
Prov	3	25	Be not afraid of sudden fear, neither of the desolation of the wicked, when it cometh:	PRO
Prov	3	26	For the LORD shall be thy confidence, and shall keep thy foot from being taken.	PRO
Prov	3	27	Withhold not good from them to whom it is due, when it is in the power of thine hand to do it.	PRO
Prov	3	28	Say not unto thy neighbour, Go, and come again, and tomorrow I will give; when thou hast it by thee.	PRO
Prov	3	29	Devise not evil against thy neighbour, seeing he dwelleth securely by thee.	PRO
Prov	3	30	Strive not with a man without cause, if he have done thee no harm.	PRO
Prov	3	31	Envy thou not the man of violence, and choose none of his ways.	PRO
Prov	3	32	For the perverse is an abomination to the LORD: but his secret is with the upright.	PRO
Prov	3	33	The curse of the LORD is in the house of the wicked; but he blesseth the habitation of the righteous.	PRO
Prov	3	34	Surely he scorneth the scorners, but he giveth grace unto the lowly.	PRO
Prov	3	35	The wise shall inherit glory; but shame shall be the promotion of fools.	PRO
Prov	4	1	Hear, my sons, the instruction of a father, and attend to know understanding:	PRO
Prov	4	2	For I give you good doctrine; forsake ye not my law.	PRO
Prov	4	3	For I was a son unto my father, tender and only beloved in the sight of my mother.	PRO
Prov	4	4	And he taught me, and said unto me, Let thine heart retain my words; keep my commandments, and live:	PRO
Prov	4	5	Get wisdom, get understanding; forget it not, neither decline from the words of my mouth:	PRO
Prov	4	6	Forsake her not, and she shall preserve thee; love her, and she shall keep thee.	PRO
Prov	4	7	Wisdom is the principal thing; therefore get wisdom: yea, with all thou hast gotten get understanding.	PRO
Prov	4	8	Exalt her, and she shall promote thee: she shall bring thee to honour, when thou dost embrace her.	PRO
Prov	4	9	She shall give to thine head a chaplet of grace: a crown of beauty shall she deliver to thee.	PRO
Prov	4	10	Hear, O my son, and receive my sayings; and the years of thy life shall be many.	PRO
Prov	4	11	I have taught thee in the way of wisdom; I have led thee in paths of uprightness.	PRO
Prov	4	12	When thou goest, thy steps shall not be straitened; and if thou runnest, thou shalt not stumble.	PRO
Prov	4	13	Take fast hold of instruction; let her not go: keep her; for she is thy life.	PRO
Prov	4	14	Enter not into the path of the wicked, and walk not in the way of evil men.	PRO
Prov	4	15	Avoid it, pass not by it; turn from it, and pass on.	PRO
Prov	4	16	For they sleep not, except they have done mischief; and their sleep is taken away, unless they cause some to fall.	PRO
Prov	4	17	For they eat the bread of wickedness, and drink the wine of violence.	PRO
Prov	4	18	But the path of the righteous is as the shining light, that shineth more and more unto the perfect day.	PRO
Prov	4	19	The way of the wicked is as darkness: they know not at what they stumble.	PRO
Prov	4	20	My son, attend to my words; incline thine ear unto my sayings.	PRO
Prov	4	21	Let them not depart from thine eyes; keep them in the midst of thine heart.	PRO
Prov	4	22	For they are life unto those that find them, and health to all their flesh.	PRO
Prov	4	23	Keep thy heart with all diligence; for out of it are the issues of life.	PRO
Prov	4	24	Put away from thee a froward mouth, and perverse lips put far from thee.	PRO
Prov	4	25	Let thine eyes look right on, and let thine eyelids look straight before thee.	PRO
Prov	4	26	Make level the path of thy feet, and let all thy ways be established.	PRO
Prov	4	27	Turn not to the right hand nor to the left: remove thy foot from evil.	PRO
Prov	5	1	My son, attend unto my wisdom; incline thine ear to my understanding:	PRO
Prov	5	2	That thou mayest preserve discretion, and that thy lips may keep knowledge.	PRO
Prov	5	3	For the lips of a strange woman drop honey, and her mouth is smoother than oil:	PRO
Prov	5	4	But her latter end is bitter as wormwood, sharp as a two-edged sword.	PRO
Prov	5	5	Her feet go down to death; her steps take hold on Sheol;	PRO
Prov	5	6	So that she findeth not the level path of life: her ways are unstable and she knoweth it not.	PRO
Prov	5	7	Now therefore, my sons, hearken unto me, and depart not from the words of my mouth.	PRO
Prov	5	8	Remove thy way far from her, and come not nigh the door of her house:	PRO
Prov	5	9	Lest thou give thine honour unto others, and thy years unto the cruel:	PRO
Prov	5	10	Lest strangers be filled with thy strength; and thy labours be in the house of an alien;	PRO
Prov	5	11	And thou mourn at thy latter end, when thy flesh and thy body are consumed,	PRO
Prov	5	12	And say, How have I hated instruction, and my heart despised reproof;	PRO
Prov	5	13	Neither have I obeyed the voice of my teachers, nor inclined mine ear to them that instructed me!	PRO
Prov	5	14	I was well nigh in all evil in the midst of the congregation and assembly.	PRO
Prov	5	15	Drink waters out of thine own cistern, and running waters out of thine own well.	PRO
Prov	5	16	Should thy springs be dispersed abroad, and rivers of water in the streets?	PRO
Prov	5	17	Let them be for thyself alone, and not for strangers with thee.	PRO
Prov	5	18	Let thy fountain be blessed; and rejoice in the wife of thy youth.	PRO
Prov	5	19	As a loving hind and a pleasant doe, let her breasts satisfy thee at all times; and be thou ravished always with her love.	PRO
Prov	5	20	For why shouldest thou, my son, be ravished with a strange woman, and embrace the bosom of a stranger?	PRO
Prov	5	21	For the ways of man are before the eyes of the LORD, and he maketh level all his paths.	PRO
Prov	5	22	His own iniquities shall take the wicked, and he shall be holden with the cords of his sin.	PRO
Prov	5	23	He shall die for lack of instruction; and in the greatness of his folly he shall go astray.	PRO
Prov	6	1	My son, if thou art become surety for thy neighbour, if thou hast stricken thy hands for a stranger,	PRO
Prov	6	2	Thou art snared with the words of thy mouth, thou art taken with the words of thy mouth.	PRO
Prov	6	3	Do this now, my son, and deliver thyself, seeing thou art come into the hand of thy neighbour; go, humble thyself, and importune thy neighbour.	PRO
Prov	6	4	Give not sleep to thine eyes, nor slumber to thine eyelids.	PRO
Prov	6	5	Deliver thyself as a roe from the hand of the hunter, and as a bird from the hand of the fowler.	PRO
Prov	6	6	Go to the ant, thou sluggard; consider her ways, and be wise:	PRO
Prov	6	7	Which having no chief, overseer, or ruler,	PRO
Prov	6	8	Provideth her meat in the summer, and gathereth her food in the harvest.	PRO
Prov	6	9	How long wilt thou sleep, O sluggard? when wilt thou arise out of thy sleep?	PRO
Prov	6	10	Yet a little sleep, a little slumber, a little folding of the hands to sleep:	PRO
Prov	6	11	So shall thy poverty come as a robber, and thy want as an armed man.	PRO
Prov	6	12	A worthless person, a man of iniquity; he walketh with a froward mouth;	PRO
Prov	6	13	He winketh with his eyes, he speaketh with his feet, he maketh signs with his fingers;	PRO
Prov	6	14	Frowardness is in his heart, he deviseth evil continually; he soweth discord.	PRO
Prov	6	15	Therefore shall his calamity come suddenly; on a sudden shall he be broken and that without remedy.	PRO
Prov	6	16	There be six things which the LORD hateth; yea, seven which are an abomination unto him:	PRO
Prov	6	17	Haughty eyes, a lying tongue, and hands that shed innocent blood;	PRO
Prov	6	18	An heart that deviseth wicked imaginations, feet that be swift in running to mischief;	PRO
Prov	6	19	A false witness that uttereth lies, and he that soweth discord among brethren.	PRO
Prov	6	20	My son, keep the commandment of thy father, and forsake not the law of thy mother:	PRO
Prov	6	21	Bind them continually upon thine heart, tie them about thy neck.	PRO
Prov	6	22	When thou walkest, it shall lead thee; when thou sleepest, it shall watch over thee; and when thou awakest, it shall talk with thee.	PRO
Prov	6	23	For the commandment is a lamp; and the law is light; and reproofs of instruction are the way of life:	PRO
Prov	6	24	To keep thee from the evil woman, from the flattery of the stranger’s tongue.	PRO
Prov	6	25	Lust not after her beauty in thine heart; neither let her take thee with her eyelids.	PRO
Prov	6	26	For on account of a whorish woman a man is brought to a piece of bread: and the adulteress hunteth for the precious life.	PRO
Prov	6	27	Can a man take fire in his bosom, and his clothes not be burned?	PRO
Prov	6	28	Or can one walk upon hot coals, and his feet not be scorched?	PRO
Prov	6	29	So he that goeth in to his nieghbour’s wife; whosoever toucheth her shall not be unpunished.	PRO
