book	chapter	verse	text	usfm
Eccles	1	1	The words of the Preacher, the son of David, king in Jerusalem.	ECC
Eccles	1	2	Vanity of vanities, saith the Preacher; vanity of vanities, all is vanity.	ECC
Eccles	1	3	What profit hath man of all his labour wherein he laboureth under the sun?	ECC
Eccles	1	4	One generation goeth, and another generation cometh; and the earth abideth for ever.	ECC
Eccles	1	5	The sun also ariseth, and the sun goeth down, and hasteth to his place where he ariseth.	ECC
Eccles	1	6	The wind goeth toward the south, and turneth about unto the north; it turneth about continually in its course, and the wind returneth again to its circuits.	ECC
Eccles	1	7	All the rivers run into the sea, yet the sea is not full; unto the place whither the rivers go, thither they go again.	ECC
Eccles	1	8	All things are full of weariness; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.	ECC
Eccles	1	9	That which hath been is that which shall be; and that which hath been done is that which shall be done: and there is no new thing under the sun.	ECC
Eccles	1	10	Is there a thing whereof men say, See, this is new? it hath been already, in the ages which were before us.	ECC
Eccles	1	11	There is no remembrance of the former generations; neither shall there be any remembrance of the latter generations that are to come, among those that shall come after.	ECC
Eccles	1	12	I the Preacher was king over Israel in Jerusalem.	ECC
Eccles	1	13	And I applied my heart to seek and to search out by wisdom concerning all that is done under heaven: it is a sore travail that God hath given to the sons of men to be exercised therewith.	ECC
Eccles	1	14	I have seen all the works that are done under the sun; and, behold, all is vanity and a striving after wind.	ECC
Eccles	1	15	That which is crooked cannot be made straight: and that which is wanting cannot be numbered.	ECC
Eccles	1	16	I communed with mine own heart, saying, Lo, I have gotten me great wisdom above all that were before me in Jerusalem: yea, my heart hath had great experience of wisdom and knowledge.	ECC
Eccles	1	17	And I applied my heart to know wisdom, and to know madness and folly: I perceived that this also was a striving after wind.	ECC
Eccles	1	18	For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow.	ECC
Eccles	2	1	I SAID in mine heart, Go to now, I will prove thee with mirth; therefore enjoy pleasure: and, behold, this also was vanity.	ECC
Eccles	2	2	I said of laughter, It is mad: and of mirth, What doeth it?	ECC
Eccles	2	3	I searched in mine heart how to cheer my flesh with wine, mine heart yet guiding me with wisdom, and how to lay hold on folly, till I might see what it was good for the sons of men that they should do under the heaven all the days of their life.	ECC
Eccles	2	4	I made me great works; I builded me houses; I planted me vineyards;	ECC
Eccles	2	5	I made me gardens and parks, and I planted trees in them of all kinds of fruit:	ECC
Eccles	2	6	I made me pools of water, to water therefrom the forest where trees were reared:	ECC
Eccles	2	7	I bought menservants and maidens, and had servants born in my house; also I had great possessions of herds and flocks, above all that were before me in Jerusalem:	ECC
Eccles	2	8	I gathered me also silver and gold, and the peculiar treasure of kings and of the provinces: I gat me men singers and women singers, and the delights of the sons of men, concubines very many.	ECC
Eccles	2	9	So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me.	ECC
Eccles	2	10	And whatsoever mine eyes desired I kept not from them: I withheld not my heart from any joy, for my heart rejoiced because of all my labour; and this was my portion from all my labour.	ECC
Eccles	2	11	Then I looked on all the works that my hands had wrought, and on the labour that I had laboured to do: and, behold, all was vanity and a striving after wind, and there was no profit under the sun.	ECC
Eccles	2	12	And I turned myself to behold wisdom, and madness and folly; for what can the man do that cometh after the king? even that which hath been already done.	ECC
Eccles	2	13	Then I saw that wisdom excelleth folly, as far as light excelleth darkness.	ECC
Eccles	2	14	The wise man’s eyes are in his head, and the fool walketh in darkness: and yet I perceived that one event happeneth to them all.	ECC
Eccles	2	15	Then said I in my heart, As it happeneth to the fool, so will it happen even to me; and why was I then more wise? Then I said in my heart, that this also was vanity.	ECC
Eccles	2	16	For of the wise man, even as of the fool, there is no remembrance for ever; seeing that in the days to come all will have been already forgotten. And how doth the wise man die even as the fool!	ECC
Eccles	2	17	So I hated life; because the work that is wrought under the sun was grievous unto me: for all is vanity and a striving after wind.	ECC
Eccles	2	18	And I hated all my labour wherein I laboured under the sun: seeing that I must leave it unto the man that shall be after me.	ECC
Eccles	2	19	And who knoweth whether he shall be a wise man or a fool? yet shall he have rule over all my labour wherein I have laboured, and wherein I have shewed wisdom under the sun. This also is vanity.	ECC
Eccles	2	20	Therefore I turned about to cause my heart to despair concerning all the labour wherein I had laboured under the sun.	ECC
Eccles	2	21	For there is a man whose labour is with wisdom, and with knowledge, and with skilfulness; yet to a man that hath not laboured therein shall he leave it for his portion. This also is vanity and a great evil.	ECC
Eccles	2	22	For what hath a man of all his labour, and of the striving of his heart, wherein he laboureth under the sun?	ECC
Eccles	2	23	For all his days are but sorrows, and his travail is grief; yea, even in the night his heart taketh no rest. This also is vanity.	ECC
Eccles	2	24	There is nothing better for a man than that he should eat and drink, and make his soul enjoy good in his labour. This also I saw, that it is from the hand of God.	ECC
Eccles	2	25	For who can eat, or who can have enjoyment, more than I?	ECC
Eccles	2	26	For to the man that pleaseth him God giveth wisdom, and knowledge, and joy: but to the sinner he giveth travail, to gather and to heap up, that he may give to him that pleaseth God. This also is vanity and a striving after wind.	ECC
Eccles	3	1	To every thing there is a season, and a time to every purpose under the heaven:	ECC
Eccles	3	2	a time to be born, and a time to die; a time to plant, and a time to pluck up that which is planted;	ECC
Eccles	3	3	a time to kill, and a time to heal; a time to break down, and a time to build up;	ECC
Eccles	3	4	a time to weep, and a time to laugh; a time to mourn, and a time to dance;	ECC
Eccles	3	5	a time to cast away stones, and a time to gather stones together; a time to embrace, and a time to refrain from embracing;	ECC
Eccles	3	6	a time to seek, and a time to lose; a time to keep, and a time to cast away;	ECC
Eccles	3	7	a time to rend, and a time to sew; a time to keep silence, and a time to speak;	ECC
Eccles	3	8	a time to love, and a time to hate; a time for war, and a time for peace.	ECC
