book	chapter	verse	text	usfm
Lam	1	1	How doth the city sit solitary, that was full of people! how is she become as a widow! she that was great among the nations, and princess among the provinces, how is she become tributary!	LAM
Lam	1	2	She weepeth sore in the night, and her tears are on her cheeks; among all her lovers she hath none to comfort her: all her friends have dealt treacherously with her, they are become her enemies.	LAM
Lam	1	3	Judah is gone into captivity because of affliction, and because of great servitude; she dwelleth among the heathen, she findeth no rest: all her persecutors overtook her within the straits.	LAM
Lam	1	4	The ways of Zion do mourn, because none come to the solemn assembly; all her gates are desolate, her priests do sigh: her virgins are afflicted, and she herself is in bitterness.	LAM
Lam	1	5	Her adversaries are become the head, her enemies prosper; for the LORD hath afflicted her for the multitude of her transgressions: her young children are gone into captivity before the adversary.	LAM
Lam	1	6	And from the daughter of Zion all her majesty is departed: her princes are become like harts that find no pasture, and they are gone without strength before the pursuer.	LAM
Lam	1	7	Jerusalem remembereth in the days of her affliction and of her miseries all her pleasant things that were from the days of old: when her people fell into the hand of the adversary, and none did help her, the adversaries saw her, they did mock at her desolations.	LAM
Lam	1	8	Jerusalem hath grievously sinned; therefore she is become as an unclean thing: all that honoured her despise her, because they have seen her nakedness: yea, she sigheth, and turneth backward.	LAM
Lam	1	9	Her filthiness was in her skirts; she remembered not her latter end; therefore is she come down wonderfully; she hath no comforter: behold, O LORD, my affliction; for the enemy hath magnified himself.	LAM
Lam	1	10	The adversary hath spread out his hand upon all her pleasant things: for she hath seen that the heathen are entered into her sanctuary, concerning whom thou didst command that they should not enter into thy congregation.	LAM
Lam	1	11	All her people sigh, they seek bread; they have given their pleasant things for meat to refresh the soul: see, O LORD, and behold; for I am become vile.	LAM
Lam	1	12	Is it nothing to you, all ye that pass by? behold, and see if there be any sorrow like unto my sorrow, which is done unto me, wherewith the LORD hath afflicted me in the day of his fierce anger.	LAM
Lam	1	13	From on high hath he sent fire into my bones, and it prevaileth against them: he hath spread a net for my feet, he hath turned me back; he hath made me desolate and faint all the day.	LAM
Lam	1	14	The yoke of my transgressions is bound by his hand; they are knit together, they are come up upon my neck; he hath made my strength to fail: the Lord hath delivered me into their hands, against whom I am not able to stand.	LAM
Lam	1	15	The Lord hath set at nought all my mighty men in the midst of me; he hath called a solemn assembly against me to crush my young men: the Lord hath trodden as in a winepress the virgin daughter of Judah.	LAM
Lam	1	16	For these things I weep; mine eye, mine eye runneth down with water; because the comforter that should refresh my soul is far from me: my children are desolate, because the enemy hath prevailed.	LAM
Lam	1	17	Zion spreadeth forth her hands; there is none to comfort her; the LORD hath commanded concerning Jacob, that they that are round about him should be his adversaries: Jerusalem is among them as an unclean thing.	LAM
Lam	1	18	The LORD is righteous; for I have rebelled against his commandment: hear, I pray you, all ye peoples, and behold my sorrow: my virgins and my young men are gone into captivity.	LAM
Lam	1	19	I called for my lovers, but they deceived me: my priests and mine elders gave up the ghost in the city, while they sought them meat to refresh their souls.	LAM
Lam	1	20	Behold, O LORD; for I am in distress; my bowels are troubled; mine heart is turned within me; for I have grievously rebelled: abroad the sword bereaveth, at home there is as death.	LAM
Lam	1	21	They have heard that I sigh; there is none to comfort me; all mine enemies have heard of my trouble; they are glad that thou hast done it: thou wilt bring the day that thou hast proclaimed, and they shall be like unto me.	LAM
Lam	1	22	Let all their wickedness come before thee; and do unto them, as thou hast done unto me for all my transgressions: for my sighs are many, and my heart is faint.	LAM
