book	chapter	verse	text	usfm
Joel	1	1	The word of the LORD that came to Joel the son of Pethuel.	JOL
Joel	1	2	Hear this, ye old men, and give ear, all ye inhabitants of the land. Hath this been in your days, or in the days of your fathers?	JOL
Joel	1	3	Tell ye your children of it, and let your children tell their children, and their children another generation.	JOL
Joel	1	4	That which the palmerworm hath left hath the locust eaten; and that which the locust hath left hath the cankerworm eaten; and that which the cankerworm hath left hath the caterpiller eaten.	JOL
Joel	1	5	Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the sweet wine; for it is cut off from your mouth.	JOL
Joel	1	6	For a nation is come up upon my land, strong, and without number; his teeth are the teeth of a lion, and he hath the jaw teeth of a great lion.	JOL
Joel	1	7	He hath laid my vine waste, and barked my fig tree: he hath made it clean bare, and cast it away; the branches thereof are made white.	JOL
Joel	1	8	Lament like a virgin girded with sackcloth for the husband of her youth.	JOL
Joel	1	9	The meal offering and the drink offering is cut off from the house of the LORD; the priests, the LORD’S ministers, mourn.	JOL
Joel	1	10	The field is wasted, the land mourneth; for the corn is wasted, the new wine is dried up, the oil languisheth.	JOL
Joel	1	11	Be ashamed, O ye husbandmen, howl, O ye vinedressers, for the wheat and for the barley; for the harvest of the field is perished.	JOL
Joel	1	12	The vine is withered, and the fig tree languisheth; the pomegranate tree, the palm tree also, and the apple tree, even all the trees of the field are withered: for joy is withered away from the sons of men.	JOL
Joel	1	13	Gird yourselves with sackcloth, and lament, ye priests; howl, ye ministers of the altar; come, lie all night in sackcloth, ye ministers of my God: for the meal offering and the drink offering is withholden from the house of your God.	JOL
Joel	1	14	Sanctify a fast, call a solemn assembly, gather the old men and all the inhabitants of the land unto the house of the LORD your God, and cry unto the LORD.	JOL
Joel	1	15	Alas for the day! for the day of the LORD is at hand, and as destruction from the Almighty shall it come,	JOL
Joel	1	16	Is not the meat cut off before our eyes, yea, joy and gladness from the house of our God?	JOL
Joel	1	17	The seeds rot under their clods; the garners are laid desolate, the barns are broken down; for the corn is withered.	JOL
Joel	1	18	How do the beasts groan! the herds of cattle are perplexed, because they have no pasture; yea, the flocks of sheep are made desolate.	JOL
Joel	1	19	O LORD, to thee do I cry: for the fire hath devoured the pastures of the wilderness, and the flame hath burned all the trees of the field.	JOL
Joel	1	20	Yea, the beasts of the field pant unto thee: for the water brooks are dried up, and the fire hath devoured the pastures of the wilderness.	JOL
Joel	2	1	Blow ye the trumpet in Zion, and sound an alarm in my holy mountain; let all the inhabitants of the land tremble: for the day of the LORD cometh, for it is nigh at hand;	JOL
Joel	2	2	a day of darkness and gloominess, a day of clouds and thick darkness, as the dawn spread upon the mountains; a great people and a strong, there hath not been ever the like, neither shall be any more after them, even to the years of many generations.	JOL
Joel	2	3	A fire devoureth before them; and behind them a flame burneth: the land is as the garden of Eden before them, and behind them a desolate wilderness; yea, and none hath escaped them.	JOL
Joel	2	4	The appearance of them is as the appearance of horses; and as horsemen, so do they run.	JOL
Joel	2	5	Like the noise of chariots on the tops of the mountains do they leap, like the noise of a flame of fire that devoureth the stubble, as a strong people set in battle array.	JOL
Joel	2	6	At their presence the peoples are in anguish: all faces are waxed pale.	JOL
Joel	2	7	They run like mighty men; they climb the wall like men of war; and they march every one on his ways, and they break not their ranks.	JOL
Joel	2	8	Neither doth one thrust another; they march every one in his path: and they burst through the weapons, and break not off their course.	JOL
Joel	2	9	They leap upon the city; they run upon the wall; they climb up into the houses; they enter in at the windows like a thief.	JOL
Joel	2	10	The earth quaketh before them; the heavens tremble: the sun and the moon are darkened, and the stars withdraw their shining:	JOL
Joel	2	11	And the LORD uttereth his voice before his army; for his camp is very great; for he is strong that executeth his word: for the day of the LORD is great and very terrible; and who can abide it?	JOL
Joel	2	12	Yet even now, saith the LORD, turn ye unto me with all your heart, and with fasting, and with weeping, and with mourning:	JOL
Joel	2	13	and rend your heart, and not your garments, and turn unto the LORD your God, for he is gracious and full of compassion, slow to anger, and plenteous in mercy, and repenteth him of the evil.	JOL
Joel	2	14	Who knoweth whether he will not turn and repent, and leave a blessing behind him, even a meal offering and a drink offering unto the LORD your God?	JOL
Joel	2	15	Blow the trumpet in Zion, sanctify a fast, call a solemn assembly:	JOL
Joel	2	16	gather the people, sanctify the congregation, assemble the old men, gather the children, and those that suck the breasts: let the bridegroom go forth of his chamber, and the bride out of her closet.	JOL
Joel	2	17	Let the priests, the ministers of the LORD, weep between the porch and the altar, and let them say, Spare thy people, O LORD, and give not thine heritage to reproach, that the nations should rule over them: wherefore should they say among the peoples, Where is their God?	JOL
Joel	2	18	Then was the LORD jealous for his land, and had pity on his people.	JOL
Joel	2	19	And the LORD answered and said unto his people, Behold, I will send you corn, and wine, and oil, and ye shall be satisfied therewith: and I will no more make you a reproach among the nations:	JOL
Joel	2	20	but I will remove far off from you the northern army, and will drive him into a land barren and desolate, his forepart into the eastern sea, and his hinder part into the western sea; and his stink shall come up, and his ill savour shall come up, because he hath done great things.	JOL
Joel	2	21	Fear not, O land, be glad and rejoice; for the LORD hath done great things.	JOL
Joel	2	22	Be not afraid, ye beasts of the field; for the pastures of the wilderness do spring, for the tree beareth her fruit, the fig tree and the vine do yield their strength.	JOL
Joel	2	23	Be glad then, ye children of Zion, and rejoice in the LORD your God: for he giveth you the former rain in just measure, and he causeth to come down for you the rain, the former rain and the latter rain, in the first month.	JOL
Joel	2	24	And the floors shall be full of wheat, and the vats shall overflow with wine and oil.	JOL
Joel	2	25	And I will restore to you the years that the locust hath eaten, the cankerworm, and the caterpiller, and the palmerworm, my great army which I sent among you.	JOL
Joel	2	26	And ye shall eat in plenty and be satisfied, and shall praise the name of the LORD your God, that hath dealt wondrously with you: and my people shall never be ashamed.	JOL
Joel	2	27	And ye shall know that I am in the midst of Israel, and that I am the LORD your God, and there is none else: and my people shall never be ashamed.	JOL
Joel	2	28	And it shall come to pass afterward, that I will pour out my spirit upon all flesh; and your sons and your daughters shall prophesy, your old men shall dream dreams, your young men shall see visions:	JOL
Joel	2	29	and also upon the servants and upon the handmaids in those days will I pour out my spirit.	JOL
Joel	2	30	And I will shew wonders in the heavens and in the earth, blood, and fire, and pillars of smoke.	JOL
Joel	2	31	The sun shall be turned into darkness, and the moon into blood, before the great and terrible day of the LORD come.	JOL
Joel	2	32	And it shall come to pass, that whosoever shall call on the name of the LORD shall be delivered: for in mount Zion and in Jerusalem there shall be those that escape, as the LORD hath said, and among the remnant those whom the LORD doth call.	JOL
Joel	3	1	For, behold, in those days, and in that time, when I shall bring again the captivity of Judah and Jerusalem,	JOL
Joel	3	2	I will gather all nations, and will bring them down into the valley of Jehoshaphat; and I will plead with them there for my people and for my heritage Israel, whom they have scattered among the nations, and parted my land.	JOL
Joel	3	3	and they have cast lots for my people: and have given a boy for an harlot, and sold a girl for wine, that they might drink.	JOL
