book	chapter	verse	text	usfm
Jon	1	1	Now the word of the LORD came unto Jonah the son of Amittai, saying,	JON
Jon	1	2	Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.	JON
Jon	1	3	But Jonah rose up to flee unto Tarshish from the presence of the LORD; and he went down to Joppa, and found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the LORD.	JON
Jon	1	4	But the LORD sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken.	JON
Jon	1	5	Then the mariners were afraid, and cried every man unto his god; and they cast forth the wares that were in the ship into the sea, to lighten it unto them. But Jonah was gone down into the innermost parts of the ship; and he lay, and was fast asleep.	JON
Jon	1	6	So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not.	JON
Jon	1	7	And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil is upon us. So they cast lots, and the lot fell upon Jonah.	JON
Jon	1	8	Then said they unto him, Tell us, we pray thee, for whose cause this evil is upon us; what is thine occupation? and whence comest thou? what is thy country? and of what people art thou?	JON
Jon	1	9	And he said unto them, I am an Hebrew; and I fear the LORD, the God of heaven, which hath made the sea and the dry land.	JON
Jon	1	10	Then were the men exceedingly afraid, and said unto him, What is this that thou hast done? For the men knew that he fled from the presence of the LORD, because he had told them.	JON
Jon	1	11	Then said they unto him, What shall we do unto thee, that the sea may be calm unto us? for the sea grew more and more tempestuous.	JON
Jon	1	12	And he said unto them, Take me up, and cast me forth into the sea; so shall the sea be calm unto you: for I know that for my sake this great tempest is upon you.	JON
Jon	1	13	Nevertheless the men rowed hard to get them back to the land; but they could not: for the sea grew more and more tempestuous against them.	JON
Jon	1	14	Wherefore they cried unto the LORD, and said, We beseech thee, O LORD, we beseech thee, let us not perish for this man’s life, and lay not upon us innocent blood: for thou, O LORD, hast done as it pleased thee.	JON
Jon	1	15	So they took up Jonah, and cast him forth into the sea: and the sea ceased from her raging.	JON
Jon	1	16	Then the men feared the LORD exceedingly; and they offered a sacrifice unto the LORD, and made vows.	JON
Jon	1	17	And the LORD prepared a great fish to swallow up Jonah; and Jonah was in the belly of the fish three days and three nights.	JON
Jon	2	1	Then Jonah prayed unto the LORD his God out of the fish’s belly.	JON
Jon	2	2	And he said, I called by reason of mine affliction unto the LORD, and he answered me; out of the belly of hell cried I, and thou heardest my voice.	JON
Jon	2	3	For thou didst cast me into the depth, in the heart of the seas, and the flood was round about me; all thy waves and thy billows passed over me.	JON
Jon	2	4	And I said, am cast out from before thine eyes; yet I will look again toward thy holy temple.	JON
Jon	2	5	The waters compassed me about, even to the soul; the deep was round about me; the weeds were wrapped about my head.	JON
Jon	2	6	I went down to the bottoms of the mountains; the earth with her bars closed upon me for ever: yet hast thou brought up my life from the pit, O LORD my God.	JON
Jon	2	7	When my soul fainted within me, I remembered the LORD: and my prayer came in unto thee, into thine holy temple.	JON
Jon	2	8	They that regard lying vanities forsake their own mercy.	JON
Jon	2	9	But I will sacrifice unto thee with the voice of thanksgiving; I will pay that which I have vowed. Salvation is of the LORD.	JON
Jon	2	10	And the LORD spake unto the fish, and it vomited out Jonah upon the dry land.	JON
Jon	3	1	And the word of the LORD came unto Jonah the second time, saying,	JON
Jon	3	2	Arise, go unto Nineveh, that great city, and preach unto it the preaching that I bid thee.	JON
Jon	3	3	So Jonah arose, and went unto Nineveh, according to the word of the LORD. Now Nineveh was an exceeding great city, of three days’ journey.	JON
Jon	3	4	And Jonah began to enter into the city a day’s journey, and he cried, and said, Yet forty days, and Nineveh shall be overthrown.	JON
Jon	3	5	And the people of Nineveh believed God; and they proclaimed a fast, and put on sackcloth, from the greatest of them even to the least of them.	JON
Jon	3	6	And the tidings reached the king of Nineveh, and he arose from his throne, and laid his robe from him, and covered him with sackcloth, and sat in ashes.	JON
Jon	3	7	And he made proclamation and published through Nineveh by the decree of the king and his nobles, saying, Let neither man nor beast, herd nor flock, taste any thing: let them not feed, nor drink water:	JON
Jon	3	8	but let them be covered with sackcloth, both man and beast, and let them cry mightily unto God: yea, let them turn every one from his evil way, and from the violence that is in their hands.	JON
Jon	3	9	Who knoweth whether God will not turn and repent, and turn away from his fierce anger, that we perish not?	JON
Jon	3	10	And God saw their works, that they turned from their evil way; and God repented of the evil, which he said he would do unto them; and he did it not.	JON
Jon	4	1	But it displeased Jonah exceedingly, and he was angry.	JON
Jon	4	2	And he prayed unto the LORD, and said, I pray thee, O LORD, was not this my saying, when I was yet in my country? Therefore I hasted to flee unto Tarshish: for I knew that thou art a gracious God, and full of compassion, slow to anger, and plenteous in mercy, and repentest thee of the evil.	JON
Jon	4	3	Therefore now, O LORD, take, I beseech thee, my life from me; for it is better for me to die than to live.	JON
Jon	4	4	And the LORD said, Doest thou well to be angry?	JON
Jon	4	5	Then Jonah went out of the city, and sat on the east side of the city, and there made him a booth, and sat under it in the shadow, till he might see what would become of the city.	JON
Jon	4	6	And the LORD God prepared a gourd, and made it to come up over Jonah, that it might be a shadow over his head, to deliver him from his evil case. So Jonah was exceeding glad because of the gourd.	JON
Jon	4	7	But God prepared a worm when the morning rose the next day, and it smote the gourd, that it withered.	JON
Jon	4	8	And it came to pass, when the sun arose, that God prepared a sultry east wind; and the sun beat upon the head of Jonah, that he fainted, and requested for himself that he might die, and said, It is better for me to die than to live.	JON
Jon	4	9	And God said to Jonah, Doest thou well to be angry for the gourd? And he said, I do well to be angry even unto death.	JON
Jon	4	10	And the LORD said, Thou hast had pity on the gourd; for the which thou hast not laboured, neither madest it grow; which came up in a night, and perished in a night:	JON
Jon	4	11	and should not I have pity on Nineveh, that great city; wherein are more than sixscore thousand persons that cannot discern between their right hand and their left hand; and also much cattle?	JON
