book	chapter	verse	text	usfm
Mich	1	1	The word of the LORD that came to Micah the Morashtite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.	MIC
Mich	1	2	Hear, ye peoples, all of you; hearken, O earth, and all that therein is: and let the Lord GOD be witness against you, the Lord from his holy temple.	MIC
Mich	1	3	For, behold, the LORD cometh forth out of his place, and will come down, and tread upon the high places of the earth.	MIC
Mich	1	4	And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, as waters that are poured down a steep place.	MIC
Mich	1	5	For the transgression of Jacob is all this, and for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?	MIC
Mich	1	6	Therefore I will make Samaria as an heap of the field, and as the plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof.	MIC
Mich	1	7	And all her graven images shall be beaten to pieces, and all her hires shall be burned with fire, and all her idols will I lay desolate: for of the hire of an harlot hath she gathered them, and unto the hire of an harlot shall they return.	MIC
Mich	1	8	For this will I wail and howl, I will go stripped and naked: I will make a wailing like the jackals, and a mourning like the ostriches.	MIC
Mich	1	9	For her wounds are incurable: for it is come even unto Judah; it reacheth unto the gate of my people, even to Jerusalem.	MIC
Mich	1	10	Tell it not in Gath, weep not at all: at Beth-le-Aphrah have I rolled myself in the dust.	MIC
Mich	1	11	Pass ye away, O inhabitant of Shaphir, in nakedness and shame: the inhabitant of Zaanan is not come forth; the wailing of Beth-ezel shall take from you the stay thereof.	MIC
Mich	1	12	For the inhabitant of Maroth waiteth anxiously for good: because evil is come down from the LORD unto the gate of Jerusalem.	MIC
Mich	1	13	Bind the chariot to the swift steed, O inhabitant of Lachish: she was the beginning of sin to the daughter of Zion; for the transgressions of Israel were found in thee.	MIC
Mich	1	14	Therefore shalt thou give a parting gift to Moresheth-gath: the houses of Achzib shall be a deceitful thing unto the kings of Israel.	MIC
Mich	1	15	I will yet bring unto thee, O inhabitant of Mareshah, him that shall possess thee: the glory of Israel shall come even unto Adullam.	MIC
Mich	1	16	Make thee bald, and poll thee for the children of thy delight: enlarge thy baldness as the eagle; for they are gone into captivity from thee.	MIC
Mich	2	1	Woe to them that devise iniquity and work evil upon their beds! when the morning is light, they practise it, because it is in the power of their hand.	MIC
Mich	2	2	And they covet fields, and seize them; and houses, and take them away: and they oppress a man and his house, even a man and his heritage.	MIC
Mich	2	3	Therefore thus saith the LORD: Behold, against this family do I devise an evil, from which ye shall not remove your necks, neither shall ye walk haughtily; for it is an evil time.	MIC
Mich	2	4	In that day shall they take up a parable against you, and lament with a doleful lamentation, and say, We be utterly spoiled: he changeth the portion of my people: how doth he remove it from me! to the rebellious he divideth our fields.	MIC
Mich	2	5	Therefore thou shalt have none that shall cast the line by lot in the congregation of the LORD.	MIC
Mich	2	6	Prophesy ye not, thus they prophesy. They shall not prophesy to these: reproaches shall not depart.	MIC
Mich	2	7	Shall it be said, O house of Jacob, Is the spirit of the LORD straitened? are these his doings? Do not my words do good to him that walketh uprightly?	MIC
Mich	2	8	But of late my people is risen up as an enemy: ye strip the robe from off the garment from them that pass by securely as men averse from war.	MIC
Mich	2	9	The women of my people ye cast out from their pleasant houses; from their young children ye take away my glory for ever.	MIC
Mich	2	10	Arise ye, and depart; for this is not your rest: because of uncleanness that destroyeth, even with a grievous destruction.	MIC
Mich	2	11	If a man walking in wind and falsehood do lie, saying, I will prophesy unto thee of wine and of strong drink; he shall even be the prophet of this people.	MIC
Mich	2	12	I will surely assemble, O Jacob, all of thee; I will surely gather the remnant of Israel; I will put them together as the sheep of Bozrah: as a flock in the midst of their pasture, they shall make great noise by reason of the multitude of men.	MIC
Mich	2	13	The breaker is gone up before them: they have broken forth and passed on to the gate, and are gone out thereat: and their king is passed on before them, and the LORD at the head of them.	MIC
Mich	3	1	And I said, Hear, I pray you, ye heads of Jacob, and rulers of the house of Israel: is it not for you to know judgment?	MIC
Mich	3	2	who hate the good, and love the evil; who pluck off their skin from off them, and their flesh from off their bones;	MIC
Mich	3	3	who also eat the flesh of my people; and they flay their skin from off them, and break their bones: yea, they chop them in pieces, as for the pot, and as flesh within the caldron.	MIC
Mich	3	4	Then shall they cry unto the LORD, but he will not answer them: yea, he will hide his face from them at that time, according as they have wrought evil in their doings.	MIC
Mich	3	5	Thus saith the LORD concerning the prophets that make my people to err; that bite with their teeth and cry, Peace; and whoso putteth not into their mouths, they even prepare war against him:	MIC
Mich	3	6	Therefore it shall be night unto you, that ye shall have no vision; and it shall be dark unto you, that ye shall not divine; and the sun shall go down upon the prophets, and the day shall be black over them.	MIC
Mich	3	7	And the seers shall be ashamed, and the diviners confounded; yea, they shall all cover their lips: for there is no answer of God.	MIC
Mich	3	8	But I truly am full of power by the spirit of the LORD, and of judgment, and of might, to declare unto Jacob his transgression, and to Israel his sin.	MIC
Mich	3	9	Hear this, I pray you, ye heads of the house of Jacob, and rulers of the house of Israel, that abhor judgment, and pervert all equity.	MIC
Mich	3	10	They build up Zion with blood, and Jerusalem with iniquity.	MIC
Mich	3	11	The heads thereof judge for reward, and the priests thereof teach for hire, and the prophets thereof divine for money: yet will they lean upon the LORD, and say, Is not the LORD in the midst of us? no evil shall come upon us.	MIC
Mich	3	12	Therefore shall Zion for your sake be plowed as a field, and Jerusalem shall become heaps, and the mountain of the house as the high places of a forest.	MIC
Mich	4	1	But in the latter days it shall come to pass, that the mountain of the LORD’S house shall be established in the top of the mountains, and it shall be exalted above the hills; and peoples shall flow unto it.	MIC
Mich	4	2	And many nations shall go and say, Come ye, and let us go up to the mountain of the LORD, and to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths: for out of Zion shall go forth the law, and the word of the LORD from Jerusalem.	MIC
Mich	4	3	and he shall judge between many peoples, and shall reprove strong nations afar off; and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up sword against nation, neither shall they learn war any more.	MIC
Mich	4	4	But they shall sit every man under his vine and under his fig tree; and none shall make them afraid: for the mouth of the LORD of hosts hath spoken it.	MIC
Mich	4	5	For all the peoples will walk every one in the name of his god, and we will walk in the name of the LORD our God for ever and ever.	MIC
Mich	4	6	In that day, saith the LORD, will I assemble her that halteth, and I will gather her that is driven away, and her that I have afflicted;	MIC
Mich	4	7	and I will make her that halted a remnant, and her that was cast far off a strong nation: and the LORD shall reign over them in mount Zion from henceforth even for ever.	MIC
Mich	4	8	And thou, O tower of the flock, the hill of the daughter of Zion, unto thee shall it come; yea, the former dominion shall come, the kingdom of the daughter of Jerusalem.	MIC
Mich	4	9	Now why dost thou cry out aloud? Is there no king in thee, is thy counsellor perished, that pangs have taken hold of thee as of a woman in travail?	MIC
Mich	4	10	Be in pain, and labour to bring forth, O daughter of Zion, like a woman in travail: for now shalt thou go forth out of the city, and shalt dwell in the field, and shalt come even unto Babylon; there shalt thou be rescued; there shall the LORD redeem thee from the hand of thine enemies.	MIC
Mich	4	11	And now many nations are assembled against thee, that say, Let her be defiled, and let our eye see its desire upon Zion.	MIC
Mich	4	12	But they know not the thoughts of the LORD, neither understand they his counsel: for he hath gathered them as the sheaves to the threshingfloor.	MIC
Mich	4	13	Arise and thresh, O daughter of Zion: for I will make thine horn iron, and I will make thy hoofs brass: and thou shalt beat in pieces many peoples: and thou shalt devote their gain unto the LORD, and their substance unto the Lord of the whole earth.	MIC
Mich	5	1	Now shalt thou gather thyself in troops, O daughter of troops: he hath laid siege against us: they shall smite the judge of Israel with a rod upon the cheek.	MIC
Mich	5	2	But thou, Beth-lehem Ephrathah, which art little to be among the thousands of Judah, out of thee shall one come forth unto me that is to be ruler in Israel; whose goings forth are from of old, from everlasting.	MIC
