book	chapter	verse	text	usfm
Nah	1	1	The burden of Nineveh. The book of the vision of Nahum the Elkoshite.	NAM
Nah	1	2	The LORD is a jealous God and avengeth; the LORD avengeth and is full of wrath; the LORD taketh vengeance on his adversaries, and he reserveth wrath for his enemies.	NAM
Nah	1	3	The LORD is slow to anger, and great in power, and will by no means clear the guilty: the LORD hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet.	NAM
Nah	1	4	He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.	NAM
Nah	1	5	The mountains quake at him, and the hills melt; and the earth is upheaved at his presence, yea, the world, and all that dwell therein.	NAM
Nah	1	6	Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are broken asunder by him.	NAM
Nah	1	7	The LORD is good, a strong hold in the day of trouble; and he knoweth them that put their trust in him.	NAM
Nah	1	8	But with an overrunning flood he will make a full end of the place thereof, and will pursue his enemies into darkness.	NAM
Nah	1	9	What do ye imagine against the LORD? he will make a full end: affliction shall not rise up the second time.	NAM
Nah	1	10	For though they be like tangled thorns, told be drenched as it were in their drink, they shall be devoured utterly as dry stubble.	NAM
Nah	1	11	There is one gone forth out of thee, that imagineth evil against the LORD, that counselleth wickedness.	NAM
Nah	1	12	Thus saith the LORD: Though they be in full strength, and likewise many, even so shall they be cut down, and he shall pass away. Though I have afflicted thee, I will afflict thee no more.	NAM
Nah	1	13	And now will I break his yoke from off thee, and will burst thy bonds in sunder.	NAM
Nah	1	14	And the LORD hath given commandment concerning thee, that no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image; I will make thy grave; for thou art vile.	NAM
Nah	1	15	Behold, upon the mountains the feet of him that bringeth good tidings, that publisheth peace! Keep thy feasts, O Judah, perform thy vows: for the wicked one shall no more pass through thee; he is utterly cut off.	NAM
Nah	2	1	He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make thy loins strong, fortify thy power mightily.	NAM
Nah	2	2	For the LORD bringeth again the excellency of Jacob, as the excellency of Israel: for the emptiers have emptied them out, and marred their vine branches.	NAM
Nah	2	3	The shield of his mighty men is made red, the valiant men are in scarlet: the chariots flash with steel in the day of his preparation, and the spears are shaken terribly.	NAM
