book	chapter	verse	text	usfm
Hab	1	1	The burden which Habakkuk the prophet did see.	HAB
Hab	1	2	O LORD, how long shall I cry, and thou wilt not hear? I cry out unto thee of violence, and thou wilt not save.	HAB
Hab	1	3	Why dost thou shew me iniquity, and look upon perverseness? for spoiling and violence are before me: and there is strife, and contention riseth up.	HAB
Hab	1	4	Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore judgment goeth forth perverted.	HAB
Hab	1	5	Behold ye among the nations, and regard, and wonder marvelously: for I work a work in your days, which ye will not believe though it be told you.	HAB
Hab	1	6	For, lo, I raise up the Chaldeans, that bitter and hasty nation; which march through the breadth of the earth, to possess dwelling places that are not theirs.	HAB
Hab	1	7	They are terrible and dreadful: their judgment and their dignity proceed from themselves.	HAB
Hab	1	8	Their horses also are swifter than leopards, and are more fierce than the evening wolves; and their horsemen spread themselves: yea, their horsemen come from far; they fly as an eagle that hasteth to devour.	HAB
Hab	1	9	They come all of them for violence; their faces are set eagerly as the east wind; and they gather captives as the sand.	HAB
Hab	1	10	Yea, he scoffeth at kings, and princes are a derision unto him: he derideth every strong hold; for he heapeth up dust, and taketh it.	HAB
Hab	1	11	Then shall he sweep by as a wind, and shall pass over, and be guilty: even he whose might is his god.	HAB
Hab	1	12	Art not thou from everlasting, O LORD my God, mine Holy One? we shall not die. O LORD, thou hast ordained him for judgment; and thou, O Rock, hast established him for correction.	HAB
Hab	1	13	Thou that art of purer eyes than to behold evil, and that canst not look on perverseness, wherefore lookest thou upon them that deal treacherously, and holdest thy peace when the wicked swalloweth up the man that is more righteous than he;	HAB
Hab	1	14	and makest men as the fishes of the sea, as the creeping things, that have no ruler over them?	HAB
Hab	1	15	He taketh up all of them with the angle, he catcheth them in his net, and gathereth them in his drag: therefore he rejoiceth and is glad.	HAB
Hab	1	16	Therefore he sacrificeth unto his net, and burneth incense unto his drag; because by them his portion is fat, and his meat plenteous.	HAB
Hab	1	17	Shall he therefore empty his net, and not spare to slay the nations continually?	HAB
Hab	2	1	I WILL stand upon my watch, and set me upon the tower, and will look forth to see what he will speak with me, and what I shall answer concerning my complaint.	HAB
Hab	2	2	And the LORD answered me, and said, Write the vision, and make it plain upon tables, that he may run that readeth it.	HAB
Hab	2	3	For the vision is yet for the appointed time, and it hasteth toward the end, and shall not lie: though it tarry, wait for it; because it will surely come, it will not delay.	HAB
Hab	2	4	Behold, his soul is puffed up, it is not upright in him: but the just shall live by his faith.	HAB
Hab	2	5	Yea, moreover, wine is a treacherous dealer, a haughty man, and that keepeth not at home; who enlargeth his desire as hell, and he is as death, and cannot be satisfied, but gathereth unto him all nations, and heapeth unto him all peoples.	HAB
Hab	2	6	Shall not all these take up a parable against him, and a taunting proverb against him, and say, Woe to him that increaseth that which is not his! how long? and that ladeth himself with pledges!	HAB
Hab	2	7	Shall they not rise up suddenly that shall bite thee, and awake that shall vex thee, and thou shalt be for booties unto them?	HAB
Hab	2	8	Because thou hast spoiled many nations, all the remnant of the peoples shall spoil thee; because of men’s blood, and for the violence done to the land, to the city and to all that dwell therein.	HAB
Hab	2	9	Woe to him that getteth an evil gain for his house, that he may set his nest on high, that he may be delivered from the hand of evil!	HAB
Hab	2	10	Thou hast consulted shame to thy house, by cutting off many peoples, and hast sinned against thy soul.	HAB
Hab	2	11	For the stone shall cry out of the wall, and the beam out of the timber shall answer it.	HAB
Hab	2	12	Woe to him that buildeth a town with blood, and stablisheth a city by iniquity!	HAB
