book	chapter	verse	text	usfm
Agg	1	1	In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the LORD by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Jehozadak, the high priest, saying,	HAG
Agg	1	2	Thus speaketh the LORD of hosts, saying, This people say, It is not the time for us to come, the time for the LORD’S house to be built.	HAG
Agg	1	3	Then came the word of the LORD by Haggai the prophet, saying,	HAG
Agg	1	4	Is it a time for you yourselves to dwell in your cieled houses, while this house lieth waste?	HAG
Agg	1	5	Now therefore thus saith the LORD of hosts: Consider your ways,	HAG
Agg	1	6	Ye have sown much, and bring in little; ye eat, but ye have not enough; ye drink, but ye are not filled with drink; ye clothe you, but there is none warm; and he that earneth wages earneth wages to put it into a bag with holes.	HAG
Agg	1	7	Thus saith the LORD of hosts: Consider your ways.	HAG
Agg	1	8	Go up to the mountain, and bring wood, and build the house; and I will take pleasure in it, and I will be glorified, saith the LORD.	HAG
Agg	1	9	Ye looked for much, and, lo, it came to little; and when ye brought it home, I did blow upon it. Why? saith the LORD of hosts. Because of mine house that lieth waste, while ye run every man to his own house.	HAG
Agg	1	10	Therefore for your sake the heaven is stayed from dew, and the earth is stayed from her fruit.	HAG
Agg	1	11	And I called for a drought upon the land, and upon the mountains, and upon the corn, and upon the wine, and upon the oil, and upon that which the ground bringeth forth, and upon men, and upon cattle, and upon all the labour of the hands.	HAG
Agg	1	12	Then Zerubbabel the son of Shealtiel, and Joshua the son of Jehozadak, the high priest, with all the remnant of the people, obeyed the voice of the LORD their God, and the words of Haggai the prophet, as the LORD their God had sent him; and the people did fear before the LORD.	HAG
Agg	1	13	Then spake Haggai the LORD’S messenger in the LORD’S message unto the people, saying, I am with you, saith the LORD.	HAG
Agg	1	14	And the LORD stirred up the spirit of Zerubbabel the son of Shealtiel, governor of Judah, and the spirit of Joshua the son of Jehozadak, the high priest, and the spirit of all the remnant of the people; and they came and did work in the house of the LORD of hosts, their God,	HAG
Agg	1	15	in the four and twentieth day of the month, in the sixth month, in the second year of Darius the king.	HAG
Agg	2	1	In the seventh month, in the one and twentieth day of the month, came the word of the LORD by Haggai the prophet, saying,	HAG
Agg	2	2	Speak now to Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Jehozadak, the high priest, and to the remnant of the people, saying,	HAG
Agg	2	3	Who is left among you that saw this house in its former glory? and how do ye see it now? is it not in your eyes as nothing?	HAG
Agg	2	4	Yet now be strong, O Zerubbabel, saith the LORD; and be strong, O Joshua, son of Jehozadak, the high priest; and be strong, all ye people of the land, saith the LORD, and work: for I am with you, saith the LORD of hosts,	HAG
Agg	2	5	according to the word that I covenanted with you when ye came out of Egypt, and my spirit abode among you: fear ye not.	HAG
Agg	2	6	For thus saith the LORD of hosts: Yet once, it is a little while, and I will shake the heavens, and the earth, and the sea, and the dry land;	HAG
Agg	2	7	and I will shake all nations, and the desirable things of all nations shall come, and I will fill this house with glory, saith the LORD of hosts.	HAG
Agg	2	8	The silver is mine, and the gold is mine, saith the LORD of hosts.	HAG
Agg	2	9	The latter glory of this house shall be greater than the former, saith the LORD of hosts: and in this place will I give peace, saith the LORD of hosts.	HAG
Agg	2	10	In the four and twentieth day of the ninth month, in the second year of Darius, came the word of the LORD by Haggai the prophet, saying,	HAG
Agg	2	11	Thus saith the LORD of hosts: Ask now the priests concerning the law, saying,	HAG
Agg	2	12	If one bear holy flesh in the skirt of his garment, and with his skirt do touch bread, or pottage, or wine, or oil, or any meat, shall it become holy? And the priests answered and said, No.	HAG
Agg	2	13	Then said Haggai, If one that is unclean by a dead body touch any of these, shall it be unclean? And the priests answered and said, It shall be unclean.	HAG
Agg	2	14	Then answered Haggai and said, So is this people, and so is this nation before me, saith the LORD; and so is every work of their hands; and that which they offer there is unclean.	HAG
Agg	2	15	And now, I pray you, consider from this day and upward, from before a stone was laid upon a stone in the temple of the LORD:	HAG
Agg	2	16	Through all that time, when one came to an heap of twenty measures, there were but ten; when one came to the winefat for to draw out fifty vessels, there were but twenty.	HAG
Agg	2	17	I smote you with blasting and with mildew and with hail in all the work of your hands; yet ye turned not to me, saith the LORD.	HAG
Agg	2	18	Consider, I pray you, from this day and upward, from the four and twentieth day of the ninth month, since the day that the foundation of the LORD’S temple was laid, consider it.	HAG
Agg	2	19	Is the seed yet in the barn? yea, the vine, and the fig tree, and the pomegranate, and the olive tree hath not brought forth; from this day will I bless you.	HAG
Agg	2	20	And the word of the LORD came the second time unto Haggai in the four and twentieth day of the month, saying,	HAG
Agg	2	21	Speak to Zerubbabel, governor of Judah, saying, I will shake the heavens and the earth:	HAG
Agg	2	22	and I will overthrow the throne of kingdoms, and I will destroy the strength of the kingdoms of the nations; and I will overthrow the chariots, and those that ride in them; and the horses and their riders shall come down, every one by the sword of his brother.	HAG
Agg	2	23	In that day, saith the LORD of hosts, will I take thee, O Zerubbabel, my servant, the son of Shealtiel, saith the LORD, and will make thee as a signet: for I have chosen thee, saith the LORD of hosts.	HAG
