book	chapter	verse	text	usfm
Zach	1	1	In the eighth month, in the second year of Darius, came the word of the LORD unto Zechariah the son of Berechiah, the son of Iddo, the prophet, saying,	ZEC
Zach	1	2	The LORD hath been sore displeased with your fathers.	ZEC
Zach	1	3	Therefore say thou unto them, Thus saith the LORD of hosts: Return unto me, saith the LORD of hosts, and I will return unto you, saith the LORD of hosts.	ZEC
Zach	1	4	Be ye not as your fathers, unto whom the former prophets cried, saying, Thus saith the LORD of hosts, Return ye now from your evil ways, and from your evil doings: but they did not hear, nor hearken unto me, saith the LORD.	ZEC
Zach	1	5	Your fathers, where are they? and the prophets, do they live for ever?	ZEC
Zach	1	6	But my words and my statutes, which I commanded my servants the prophets, did they not overtake your fathers? and they turned and said, Like as the LORD of hosts thought to do unto us, according to our ways, and according to our doings, so hath he dealt with us.	ZEC
Zach	1	7	Upon the four and twentieth day of the eleventh month, which is the month Shebat, in the second year of Darius, came the word of the LORD unto Zechariah the son of Berechiah, the son of Iddo, the prophet, saying,	ZEC
Zach	1	8	I saw in the night, and behold a man riding upon a red horse, and he stood among the myrtle trees that were in the bottom; and behind him there were horses, red, sorrel, and white.	ZEC
Zach	1	9	Then said I, O my lord, what are these? And the angel that talked with me said unto me, I will shew thee what these be.	ZEC
Zach	1	10	And the man that stood among the myrtle trees answered and said, These are they whom the LORD hath sent to walk to and fro through the earth.	ZEC
Zach	1	11	And they answered the angel of the LORD that stood among the myrtle trees, and said, We have walked to and fro through the earth, and, behold, all the earth sitteth still, and is at rest.	ZEC
Zach	1	12	Then the angel of the LORD answered and said, O LORD of hosts, how long wilt thou not have mercy on Jerusalem and on the cities of Judah, against which thou hast had indignation these threescore and ten years?	ZEC
Zach	1	13	And the LORD answered the angel that talked with me with good words, even comfortable words.	ZEC
Zach	1	14	So the angel that talked with me said unto me, Cry thou, saying, Thus saith the LORD of hosts: I am jealous for Jerusalem and for Zion with a great jealousy.	ZEC
Zach	1	15	And I am very sore displeased with the nations that are at ease: for I was but a little displeased, and they helped forward the affliction.	ZEC
Zach	1	16	Therefore thus saith the LORD: I am returned to Jerusalem with mercies; my house shall be built in it, saith the LORD of hosts, and a line shall be stretched forth over Jerusalem.	ZEC
Zach	1	17	Cry yet again, saying, Thus saith the LORD of hosts: My cities through prosperity shall yet be spread abroad; and the LORD shall yet comfort Zion, and shall yet choose Jerusalem.	ZEC
Zach	1	18	And I lifted up mine eyes, and saw, and behold four horns.	ZEC
Zach	1	19	And I said unto the angel that talked with me, What be these? And he answered me, These are the horns which have scattered Judah, Israel, and Jerusalem.	ZEC
Zach	1	20	And the LORD shewed me four smiths.	ZEC
Zach	1	21	Then said I, What come these to do? And he spake, saying, These are the horns which scattered Judah, so that no man did lift up his head: but these are come to fray them, to cast down the horns of the nations, which lifted up their horn against the land of Judah to scatter it.	ZEC
Zach	2	1	And I lifted up mine eyes, and saw, and behold a man with a measuring line in his hand.	ZEC
Zach	2	2	Then said I, Whither goest thou? And he said unto me, To measure Jerusalem, to see what is the breadth thereof, and what is the length thereof.	ZEC
Zach	2	3	And, behold, the angel that talked with me went forth, and another angel went out to meet him,	ZEC
