book	chapter	verse	text	usfm
1Esdras	1	1	AND Josias held the passover in Jerusalem unto his Lord, and offered the passover the fourteenth day of the first month;	1ES
1Esdras	1	2	having set the priests according to their daily courses, being arrayed in their vestments, in the temple of the Lord.	1ES
1Esdras	1	3	And he spake unto the Levites, the temple-servants of Israel, that they should hallow themselves unto the Lord, to set the holy ark of the Lord in the house that King Solomon the son of David had built:	1ES
1Esdras	1	4	and said, Ye shall no more have need to bear it upon your shoulders: now therefore serve the Lord your God, and minister unto his people Israel, and prepare you after your fathers’ houses and kindreds,	1ES
1Esdras	1	5	according to the writing of David king of Israel, and according to the magnificence of Solomon his son: and standing in the holy place according to the several divisions of the families of you the Levites, who minister in the presence of your brethren the children of Israel,	1ES
1Esdras	1	6	offer the passover in order, and make ready the sacrifices for your brethren, and keep the passover according to the commandment of the Lord, which was given unto Moses.	1ES
1Esdras	1	7	And unto the people which were present Josias gave thirty thousand lambs and kids, and three thousand calves: these things were given of the king’s substance, according as he promised, to the people, and to the priests and Levites.	1ES
1Esdras	1	8	And Helkias, and Zacharias, and Esyelus, the rulers of the temple, gave to the priests for the passover two thousand and six hundred sheep, and three hundred calves.	1ES
1Esdras	1	9	And Jeconias, and Samaias and Nathanael his brother, and Sabias, and Ochielus, and Joram, captains over thousands, gave to the Levites for the passover five thousand sheep, and seven hundred calves.	1ES
1Esdras	1	10	And when these things were done, the priests and Levites, having the unleavened bread, stood in comely order according to the kindreds,	1ES
1Esdras	1	11	and according to the several divisions by fathers’ houses, before the people, to offer to the Lord, as it is written in the book of Moses: and thus did they in the morning.	1ES
1Esdras	1	12	And they roasted the passover with fire, as appertaineth: and the sacrifices they sod in the brazen vessels and caldrons with a good savour,	1ES
1Esdras	1	13	and set them before all the people: and afterward they prepared for themselves, and for the priests their brethren, the sons of Aaron.	1ES
1Esdras	1	14	For the priests offered the fat until night: and the Levites prepared for themselves, and for the priests their brethren, the sons of Aaron.	1ES
1Esdras	1	15	The holy singers also, the sons of Asaph, were in their order, according to the appointment of David, to wit, Asaph, Zacharias, and Eddinus, who was of the king’s retinue.	1ES
1Esdras	1	16	Moreover the porters were at every gate; none had need to depart from his daily course: for their brethren the Levites prepared for them.	1ES
1Esdras	1	17	Thus were the things that belonged to the sacrifices of the Lord accomplished in that day, in holding the passover,	1ES
1Esdras	1	18	and offering sacrifices upon the altar of the Lord, according to the commandment of King Josias.	1ES
1Esdras	1	19	So the children of Israel which were present at that time held the passover, and the feast of unleavened bread seven days.	1ES
1Esdras	1	20	And such a passover was not held in Israel since the time of the prophet Samuel.	1ES
1Esdras	1	21	Yea, all the kings of Israel held not such a passover as Josias, and the priests, and the Levites, and the Jews, held with all Israel that were present in their dwelling place at Jerusalem.	1ES
1Esdras	1	22	In the eighteenth year of the reign of Josias was this passover held.	1ES
1Esdras	1	23	And the works of Josias were upright before his Lord with a heart full of godliness.	1ES
1Esdras	1	24	Moreover the things that came to pass in his days have been written in times past, concerning those that sinned, and did wickedly against the Lord above every people and kingdom, and how they grieved him exceedingly, so that the words of the Lord were confirmed against Israel.	1ES
1Esdras	1	25	Now after all these acts of Josias it came to pass, that Pharaoh the king of Egypt came to raise war at Carchemish upon Euphrates: and Josias went out against him.	1ES
1Esdras	1	26	But the king of Egypt sent to him, saying, What have I to do with thee, O king of Judaea?	1ES
1Esdras	1	27	I am not sent out from the Lord God against thee; for my war is upon Euphrates: and now the Lord is with me, yea, the Lord is with me hasting me forward: depart from me, and be not against the Lord.	1ES
1Esdras	1	28	Howbeit Josias did not turn back unto his chariot, but undertook to fight with him, not regarding the words of the prophet Jeremy spoken by the mouth of the Lord:	1ES
1Esdras	1	29	but joined battle with him in the plain of Megiddo, and the princes came down against King Josias.	1ES
1Esdras	1	30	Then said the king unto his servants, Carry me away out of the battle; for I am very weak. And immediately his servants carried him away out of the host.	1ES
1Esdras	1	31	Then gat he up upon his second chariot; and being brought back to Jerusalem he died, and was buried in the sepulchre of his fathers.	1ES
1Esdras	1	32	And in all Jewry they mourned for Josias; and Jeremy the prophet lamented for Josias, and the chief men with the women made lamentation for him, unto this day: and this was given out for an ordinance to be done continually in all the nation of Israel.	1ES
1Esdras	1	33	These things are written in the book of the histories of the kings of Judea, and every one of the acts that Josias did, and his glory, and his understanding in the law of the Lord, and the things that he had done before, and the things now recited, are reported in the book of the kings of Israel and Judah.	1ES
1Esdras	1	34	And the people took Joachaz the son of Josias, and made him king instead of Josias his father, when he was twenty and three years old.	1ES
1Esdras	1	35	And he reigned in Judah and in Jerusalem three months: and then the king of Egypt deposed him from reigning in Jerusalem.	1ES
1Esdras	1	36	And he set a tax upon the people of a hundred talents of silver and one talent of gold.	1ES
1Esdras	1	37	The king of Egypt also made King Joakim his brother king of Judaea and Jerusalem.	1ES
1Esdras	1	38	And Joakim bound the nobles: but Zarakes his brother he apprehended, and brought him up out of Egypt.	1ES
1Esdras	1	39	Five and twenty years old was Joakim when he began to reign in Judaea and Jerusalem; and he did that which was evil in the sight of the Lord.	1ES
1Esdras	1	40	And against him Nabuchodonosor the king of Babylon came up, and bound him with a chain of brass, and carried him unto Babylon.	1ES
1Esdras	1	41	Nabuchodonosor also took of the holy vessels of the Lord, and carried them away, and set them up in his own temple at Babylon.	1ES
1Esdras	1	42	But those things that are reported of him, and of his uncleanness and impiety, are written in the chronicles of the kings.	1ES
1Esdras	1	43	And Joakim his son reigned in his stead: for when he was made king he was eighteen years old;	1ES
1Esdras	1	44	and he reigned three months and ten days in Jerusalem; and did that which was evil before the Lord.	1ES
1Esdras	1	45	So after a year Nabuchodonosor sent and caused him to be brought unto Babylon with the holy vessels of the Lord;	1ES
1Esdras	1	46	and made Sedekias king of Judaea and Jerusalem, when he was one and twenty years old; and he reigned eleven years:	1ES
1Esdras	1	47	and he also did that which was evil in the sight of the Lord, and cared not for the words that were spoken by Jeremy the prophet from the mouth of the Lord.	1ES
1Esdras	1	48	And after that king Nabuchodonosor had made him to swear by the name of the Lord, he forswore himself, and rebelled; and hardening his neck, and his heart, he transgressed the laws of the Lord, the God of Israel.	1ES
1Esdras	1	49	Moreover the governors of the people and of the priests did many things wickedly, and passed all the pollutions of all nations, and defiled the temple of the Lord, which was sanctified in Jerusalem.	1ES
1Esdras	1	50	And the God of their fathers sent by his messenger to call them back, because he had compassion on them and on his dwelling place.	1ES
1Esdras	1	51	But they mocked his messengers; and in the day when the Lord spake unto them, they scoffed at his prophets:	1ES
1Esdras	1	52	so far forth, that he, being wroth with his people for their great ungodliness, commanded to bring up the kings of the Chaldeans against them;	1ES
1Esdras	1	53	who slew their young men with the sword, round about their holy temple, and spared neither young man nor maid, old man nor child; but he delivered all into their hands.	1ES
1Esdras	1	54	And they took all the holy vessels of the Lord, both great and small, with the vessels of the ark of the Lord, and the king’s treasures, and carried them away unto Babylon.	1ES
1Esdras	1	55	And they burnt the house of the Lord, and brake down the walls of Jerusalem, and burnt the towers thereof with fire:	1ES
1Esdras	1	56	and as for her glorious things, they never ceased till they had brought them all to nought: and the people that were not slain with the sword he carried unto Babylon:	1ES
1Esdras	1	57	and they were servants unto him and unto his children, till the Persians reigned, to fulfil the word of the Lord by the mouth of Jeremy:	1ES
1Esdras	1	58	Until the land hath enjoyed her sabbaths, the whole time of her desolation shall she keep sabbath, to fulfil threescore and ten years.	1ES
1Esdras	2	1	In the first year of Cyrus king of the Persians, that the word of the Lord by the mouth of Jeremy might be accomplished,	1ES
1Esdras	2	2	the Lord stirred up the spirit of Cyrus king of the Persians, and he made proclamation through all his kingdom, and also by writing,	1ES
1Esdras	2	3	saying, Thus saith Cyrus king of the Persians; The Lord of Israel, the Most High Lord, hath made me king of the whole world,	1ES
1Esdras	2	4	and commanded me to build him a house at Jerusalem that is in Judaea.	1ES
1Esdras	2	5	If therefore there be any of you that are of his people, let the Lord, even his Lord, be with him, and let him go up to Jerusalem that is in Judaea, and build the house of the Lord of Israel: he is the Lord that dwelleth in Jerusalem.	1ES
1Esdras	2	6	Of such therefore as dwell in divers places, let them that are in his own place help each one with gold, and with silver,	1ES
1Esdras	2	7	with gifts, with horses also and cattle, beside the other things which have been added by vow for the temple of the Lord which is in Jerusalem.	1ES
1Esdras	2	8	Then the chief of the families of Judah and of the tribe of Benjamin stood up; the priests also, and the Levites, and all they whose spirit the Lord had stirred to go up, to build the house for the Lord which is in Jerusalem.	1ES
1Esdras	2	9	And they that dwelt round about them helped them in all things with silver and gold, with horses and cattle, and with very many gifts that were vowed of a great number whose minds were stirred up thereto.	1ES
1Esdras	2	10	King Cyrus also brought forth the holy vessels of the Lord, which Nabuchodonosor had carried away from Jerusalem, and had set up in his temple of idols.	1ES
1Esdras	2	11	Now when Cyrus king of the Persians had brought them forth, he delivered them to Mithradates his treasurer,	1ES
1Esdras	2	12	and by him they were delivered to Sanabassar the governor of Judaea.	1ES
1Esdras	2	13	And this was the number of them: A thousand golden cups, a thousand cups of silver, censers of silver twenty nine, vials of gold thirty, and of silver two thousand four hundred and ten, and other vessels a thousand.	1ES
1Esdras	2	14	So all the vessels of gold and of silver were brought up, even five thousand four hundred threescore and nine,	1ES
1Esdras	2	15	and were carried back by Sanabassar, together with them of the captivity, from Babylon to Jerusalem.	1ES
1Esdras	2	16	But in the time of Artaxerxes king of the Persians Belemus, and Mithradates, and Tabellius, and Rathumus, and Beeltethmus, and Samellius the scribe, with the others that were in commission with them, dwelling in Samaria and other places, wrote unto him against them that dwelt in Judaea and Jerusalem the letter following:	1ES
1Esdras	2	17	To king Artaxerxes our Lord, Thy servants, Rathumus the storywriter, and Samellius the scribe, and the rest of their council, and the judges that are in Coelesyria and Phoenicia.	1ES
1Esdras	2	18	Be it now known to our lord the king, that the Jews that are come up from you to us, being come unto Jerusalem, do build that rebellious and wicked city, and do repair the marketplaces and the walls of it, and do lay the foundation of a temple.	1ES
1Esdras	2	19	Now if this city be builded and the walls thereof be finished, they will not only refuse to give tribute, but will even stand up against kings.	1ES
1Esdras	2	20	And forasmuch as the things pertaining to the temple are now in hand, we think it meet not to neglect such a matter,	1ES
1Esdras	2	21	but to speak unto our lord the king, to the intent that, if it be thy pleasure, search may be made in the books of thy fathers:	1ES
1Esdras	2	22	and thou shalt find in the chronicles what is written concerning these things, and shalt understand that that city was rebellious, troubling both kings and cities:	1ES
1Esdras	2	23	and that the Jews were rebellious, and raised always wars therein of old time; for the which cause even this city was laid waste.	1ES
1Esdras	2	24	Wherefore now we do declare unto thee, O lord the king, that if this city be builded again, and the walls thereof set up anew, thou shalt from henceforth have no passage into Coelesyria and Phoenicia.	1ES
1Esdras	2	25	Then the king wrote back again to Rathumus the storywriter, and Beeltethmus, and Samellius the scribe, and to the rest that were in commission, and dwelt in Samaria and Syria and Phoenicia, after this manner:	1ES
1Esdras	2	26	I have read the epistle which ye have sent unto me: therefore I commanded to make search, and it hath been found that that city of old time hath made insurrection against kings;	1ES
1Esdras	2	27	and the men were given to rebellion and war therein: and that mighty kings and fierce were in Jerusalem, who reigned and exacted tribute in Coelesyria and Phoenicia.	1ES
1Esdras	2	28	Now therefore I have commanded to hinder those men from building the city, and heed to be taken that there be nothing done contrary to this order;	1ES
1Esdras	2	29	and that those wicked doings proceed no further to the annoyance of kings.	1ES
1Esdras	2	30	Then king Artaxerxes his letters being read, Rathumus, and Samellius the scribe, and the rest that were in commission with them, removing in haste unto Jerusalem with horsemen and a multitude of people in battle array, began to hinder the builders; and the building of the temple in Jerusalem ceased until the second year of the reign of Darius king of the Persians.	1ES
1Esdras	3	1	Now king Darius made a great feast unto all his subjects, and unto all that were born in his house, and unto all the princes of Media and of Persia,	1ES
1Esdras	3	2	and to all the satraps and captains and governors that were under him, from India unto Ethiopia, in the hundred twenty and seven provinces.	1ES
1Esdras	3	3	And when they had eaten and drunken, and being satisfied were gone home, then Darius the king went into his bedchamber, and slept, and awaked out of his sleep.	1ES
1Esdras	3	4	Then the three young men of the body-guard, that kept the king’s person, spake one to another:	1ES
1Esdras	3	5	Let every one of us say one thing which shall be strongest: and he whose sentence shall seem wiser than the others, unto him shall Darius the king give great gifts, and great honours in token of victory:	1ES
1Esdras	3	6	as, to be clothed in purple, to drink in gold, and to sleep upon gold, and a chariot with bridles of gold, and a headtire of fine linen, and a chain about his neck:	1ES
1Esdras	3	7	and he shall sit next to Darius because of his wisdom, and shall be called Darius his cousin.	1ES
1Esdras	3	8	And then they wrote every one his sentence, and set to their seals, and laid the writing under king Darius his pillow,	1ES
1Esdras	3	9	and said, When the king is risen, some shall give him the writing; and of whose side the king and the three princes of Persia shall judge that his sentence is the wisest, to him shall the victory be given, as it is written.	1ES
1Esdras	3	10	The first wrote, Wine is the strongest.	1ES
1Esdras	3	11	The second wrote, The king is strongest.	1ES
1Esdras	3	12	The third wrote, Women are strongest: but above all things Truth beareth away the victory.	1ES
1Esdras	3	13	Now when the king was risen up, they took the writing, and gave it unto him, and so he read it:	1ES
1Esdras	3	14	and sending forth he called all the princes of Persia and of Media, and the satraps, and the captains, and the governors, and the chief officers;	1ES
1Esdras	3	15	and sat him down in the royal seat of judgment; and the writing was read before them.	1ES
1Esdras	3	16	And he said, Call the young men, and they shall explain their own sentences. So they were called, and came in.	1ES
1Esdras	3	17	And they said unto them, Declare unto us your mind concerning the things ye have written. Then began the first, who had spoken of the strength of wine,	1ES
1Esdras	3	18	and said thus, O sirs, how exceeding strong is wine! it causeth all men to err that drink it:	1ES
1Esdras	3	19	it maketh the mind of the king and of the fatherless child to be all one; of the bondman and of the freeman, of the poor man and of the rich:	1ES
1Esdras	3	20	it turneth also every thought into jollity and mirth, so that a man remembereth neither sorrow nor debt:	1ES
1Esdras	3	21	and it maketh every heart rich, so that a man remembereth neither king nor satrap; and it maketh to speak all things by talents:	1ES
1Esdras	3	22	and when they are in their cups, they forget their love both to friends and brethren, and a little after draw their swords:	1ES
1Esdras	3	23	but when they awake from their wine, they remember not what they have done.	1ES
1Esdras	3	24	O sirs, is not wine the strongest, seeing that it enforceth to do thus? And when he had so spoken, he held his peace.	1ES
1Esdras	4	1	Then the second, that had spoken of the strength of the king, began to say,	1ES
1Esdras	4	2	O sirs, do not men excel in strength, that bear rule over the sea and land, and all things in them?	1ES
1Esdras	4	3	But yet is the king stronger: and he is their lord, and hath dominion over them; and in whatsoever he commandeth them they obey him.	1ES
1Esdras	4	4	If he bid them make war the one against the other, they do it: and if he send them out against the enemies, they go, and overcome mountains, walls, and towers.	1ES
1Esdras	4	5	They slay and are slain, and transgress not the king’s commandment: if they get the victory, they bring all to the king, as well the spoil, as all things else.	1ES
1Esdras	4	6	Likewise for those that are no soldiers, and have not to do with wars, but use husbandry, when they have reaped again that which they had sown, they bring it to the king, and compel one another to pay tribute unto the king.	1ES
1Esdras	4	7	And he is but one man: if he command to kill, they kill; if he command to spare, they spare;	1ES
1Esdras	4	8	if he command to smite, they smite; if he command to make desolate, they make desolate; if he command to build, they build;	1ES
