book	chapter	verse	text	usfm
2Esdras	1	1	THE second book of the prophet Esdras, the son of Saraias, the son of Azaraias, the son of Helkias, the son of Salemas, the son of Sadoc, the son of Ahitob,	2ES
2Esdras	1	2	the son of Achias, the son of Phinees, the son of Heli, the son of Amarias, the son of Aziei, the son of Marimoth, the son of Arna, the son of Ozias, the son of Borith, the son of Abissei, the son of Phinees, the son of Eleazar,	2ES
2Esdras	1	3	the son of Aaron, of the tribe of Levi; which was captive in the land of the Medes, in the reign of Artaxerxes king of the Persians.	2ES
2Esdras	1	4	And the word of the Lord came unto me, saying,	2ES
2Esdras	1	5	Go thy way, and shew my people their sinful deeds, and their children their wickedness which they have done against me; that they may tell their children’s children:	2ES
2Esdras	1	6	because the sins of their fathers are increased in them: for they have forgotten me, and have done sacrifice unto strange gods.	2ES
2Esdras	1	7	Did I not bring them out of the land of Egypt, out of the house of bondage? but they have provoked me unto wrath, and have despised my counsels.	2ES
2Esdras	1	8	Shake thou then the hair of thy head, and cast all evils upon them, for they have not been obedient unto my law, but it is a rebellious people.	2ES
2Esdras	1	9	How long shall I forbear them, unto whom I have done so much good?	2ES
2Esdras	1	10	Many kings have I overthrown for their sakes; Pharoah with his servants and all his host have I smitten down.	2ES
2Esdras	1	11	All the nations have I destroyed before them, and in the east I have scattered the people of two provinces, even of Tyre and Sidon, and have slain all their adversaries.	2ES
2Esdras	1	12	Speak thou therefore unto them, saying,	2ES
2Esdras	1	13	Thus saith the Lord, of a truth I brought you through the sea, and where there was no path I made for you highways; I gave you Moses for a leader, and Aaron for a priest.	2ES
2Esdras	1	14	I gave you light in a pillar of fire, and great wonders have I done among you; yet have ye forgotten me, saith the Lord.	2ES
2Esdras	1	15	Thus saith the Lord Almighty, The quails were for a token to you; I gave you a camp for your safeguard, nevertheless ye murmured there:	2ES
2Esdras	1	16	and ye triumphed not in my name for the destruction of your enemies, but ever to this day do ye yet murmur.	2ES
2Esdras	1	17	Where are the benefits that I have done for you? when ye were hungry and thirsty in the wilderness, did ye not cry unto me,	2ES
2Esdras	1	18	saying, Why hast thou brought us into this wilderness to kill us? it had been better for us to have served the Egyptians, than to die in this wilderness.	2ES
2Esdras	1	19	I had pity upon your mournings, and gave you manna for food; ye did eat angels’ bread.	2ES
2Esdras	1	20	When ye were thirsty, did I not cleave the rock, and waters flowed out to your fill? for the heat I covered you with the leaves of the trees.	2ES
2Esdras	1	21	I divided among you fruitful lands; I cast out the Canaanites, the Pherezites, and the Philistines, before you: what shall I yet do more for you? saith the Lord.	2ES
2Esdras	1	22	Thus saith the Lord Almighty, When ye were in the wilderness, at the bitter river, being athirst, and blaspheming my name,	2ES
2Esdras	1	23	I gave you not fire for your blasphemies, but cast a tree in the water, and made the river sweet.	2ES
2Esdras	1	24	What shall I do unto thee, O Jacob? thou, Judah, wouldest not obey me: I will turn me to other nations, and unto them will I give my name, that they may keep my statutes.	2ES
2Esdras	1	25	Seeing ye have forsaken me, I also will forsake you; when ye ask me to be merciful unto you, I will have no mercy upon you.	2ES
2Esdras	1	26	Whensoever ye shall call upon me, I will not hear you: for ye have defiled your hands with blood, and your feet are swift to commit manslaughter.	2ES
2Esdras	1	27	Ye have not as it were forsaken me, but your own selves, saith the Lord.	2ES
2Esdras	1	28	Thus saith the Lord Almighty, Have I not prayed you as a father his sons, as a mother her daughters, and a nurse her young babes,	2ES
2Esdras	1	29	that ye would be my people, and I should be your God; that ye would be my children, and I should be your father?	2ES
2Esdras	1	30	I gathered you together, as a hen gathereth her chickens under her wings: but now, what shall I do unto you? I will cast you out from my presence.	2ES
2Esdras	1	31	When ye offer oblations unto me, I will turn my face from you: for your solemn feast days, your new moons, and your circumcisions of the flesh, have I rejected.	2ES
2Esdras	1	32	I sent unto you my servants the prophets, whom ye have taken and slain, and torn their bodies in pieces, whose blood I will require of your hands, saith the Lord.	2ES
2Esdras	1	33	Thus saith the Lord Almighty, Your house is desolate, I will cast you out as the wind doth stubble.	2ES
2Esdras	1	34	And your children shall not be fruitful; for they have neglected my commandment unto you, and done that which is evil before me.	2ES
2Esdras	1	35	Your houses will I give to a people that shall come; which not having heard of me yet believe me; they to whom I have shewed no signs shall do that which I have commanded.	2ES
2Esdras	1	36	They have seen no prophets, yet they shall call their former estate to remembrance.	2ES
2Esdras	1	37	I take to witness the grace of the people that shall come, whose little ones rejoice with gladness: and though they see me not with bodily eyes, yet in spirit they shall believe the thing that I say.	2ES
