book	chapter	verse	text	usfm
Wis	1	1	Love righteousness, ye that be judges of the earth, Think ye of the Lord with a good mind, And in singleness of heart seek ye him;	WIS
Wis	1	2	Because he is found of them that tempt him not, And is manifested to them that do not distrust him.	WIS
Wis	1	3	For crooked thoughts separate from God; And the supreme Power, when it is brought to the proof, putteth to confusion the foolish:	WIS
Wis	1	4	Because wisdom will not enter into a soul that deviseth evil, Nor dwell in a body that is held in pledge by sin.	WIS
Wis	1	5	For a holy spirit of discipline will flee deceit. And will start away from thoughts that are without understanding, And will be put to confusion when unrighteousness hath come in.	WIS
Wis	1	6	For wisdom is a spirit that loveth man, And she will not hold a blasphemer guiltless for his lips; Because God beareth witness of his reins, And is a true overseer of his heart, And a hearer of his tongue:	WIS
Wis	1	7	Because the spirit of the Lord hath filled the world, And that which holdeth all things together hath knowledge of every voice.	WIS
Wis	1	8	Therefore no man that uttereth unrighteous things shall be unseen; Neither shall Justice, when it convicteth, pass him by.	WIS
Wis	1	9	For in the midst of his counsels the ungodly shall be searched out; And the sound of his words shall come unto the Lord To bring to conviction his lawless deeds:	WIS
Wis	1	10	Because there is an ear of jealousy that listeneth to all things, And the noise of murmurings is not hid.	WIS
Wis	1	11	Beware then of unprofitable murmuring, And refrain your tongue from backbiting; Because no secret utterance shall go on its way void, And a mouth that belieth destroyeth a soul.	WIS
Wis	1	12	Court not death in the error of your life; Neither draw upon yourselves destruction by the works of your hands:	WIS
Wis	1	13	Because God made not death; Neither delighteth he when the living perish:	WIS
Wis	1	14	For he created all things that they might have being: And the generative powers of the world are healthsome, And there is no poison of destruction in them: Nor hath Hades royal dominion upon earth,	WIS
Wis	1	15	For righteousness is immortal:	WIS
Wis	1	16	But ungodly men by their hands and their words called death unto them: Deeming him a friend they consumed away, And they made a covenant with him, Because they are worthy to be of his portion.	WIS
Wis	2	1	For they said within themselves, reasoning not aright, Short and sorrowful is our life; And there is no healing when a man cometh to his end, And none was ever known that gave release from Hades.	WIS
Wis	2	2	Because by mere chance were we born, And hereafter we shall be as though we had never been: Because the breath in our nostrils is smoke, And while our heart beateth reason is a spark,	WIS
Wis	2	3	Which being extinguished, the body shall be turned into ashes, And the spirit shall be dispersed as thin air;	WIS
Wis	2	4	And our name shall be forgotten in time, And no man shall remember our works; And our life shall pass away as the traces of a cloud, And shall be scattered as is a mist, When it is chased by the beams of the sun, And overcome by the heat thereof.	WIS
Wis	2	5	For our alloted time is the passing of a shadow, And our end retreateth not; Because it is fast sealed, and none turneth it back.	WIS
Wis	2	6	Come therefore and let us enjoy the good things that now are; And let us use the creation with all our soul as youth’s possession.	WIS
Wis	2	7	Let us fill ourselves with costly wine and perfumes; And let no flower of spring pass us by:	WIS
Wis	2	8	Let us crown ourselves with rosebuds, before they be withered:	WIS
Wis	2	9	Let none of us go without his share in our proud revelry: Everywhere let us leave tokens of our mirth: Because this is our portion, and our lot is this.	WIS
Wis	2	10	Let us oppress the righteous poor; Let us not spare the widow, Nor reverence the hairs of the old man gray for length of years.	WIS
Wis	2	11	But let our strength be to us a law of righteousness; For that which is weak is found to be of no service.	WIS
Wis	2	12	But let us lie in wait for the righteous man, Because he is of disservice to us, And is contrary to our works, And upbraideth us with sins against the law, And layeth to our charge sins against our discipline.	WIS
Wis	2	13	He professeth to have knowledge of God, And nameth himself servant of the Lord.	WIS
Wis	2	14	He became to us a reproof of our thoughts.	WIS
Wis	2	15	He is grievous unto us even to behold, Because his life is unlike other men’s, And his paths are of strange fashion.	WIS
