book	chapter	verse	text	usfm
Ecclus	1	1	All wisdom cometh from the Lord, And is with him for ever.	SIR
Ecclus	1	2	The sand of the seas, and the drops of rain, And the days of eternity, who shall number?	SIR
Ecclus	1	3	The height of the heaven, and the breadth of the earth, And the deep, and wisdom, who shall search them out?	SIR
Ecclus	1	4	Wisdom hath been created before all things, And the understanding of prudence from everlasting.	SIR
Ecclus	1	6	To whom hath the root of wisdom been revealed? And who hath known her shrewd counsels?	SIR
Ecclus	1	8	There is one wise, greatly to be feared, The Lord sitting upon his throne:	SIR
Ecclus	1	9	He created her, And saw, and numbered her, And poured her out upon all his works.	SIR
Ecclus	1	10	She is with all flesh according to his gift; And he gave her freely to them that love him.	SIR
Ecclus	1	11	The fear of the Lord is glory, and exultation, And gladness, and a crown of rejoicing.	SIR
Ecclus	1	12	The fear of the Lord shall delight the heart, And shall give gladness, and joy, and length of days.	SIR
Ecclus	1	13	Whoso feareth the Lord, it shall go well with him at the last, And in the day of his death he shall be blessed.	SIR
Ecclus	1	14	To fear the Lord is the beginning of wisdom; And it was created together with the faithful in the womb.	SIR
Ecclus	1	15	With men she laid an eternal foundation; And with their seed shall she be had in trust.	SIR
Ecclus	1	16	To fear the Lord is the fulness of wisdom; And she satiateth men with her fruits.	SIR
Ecclus	1	17	She shall fill all her house with desirable things, And her garners with her produce.	SIR
Ecclus	1	18	The fear of the Lord is the crown of wisdom, Making peace and perfect health to flourish.	SIR
Ecclus	1	19	He both saw and numbered her; He rained down skill and knowledge of understanding, And exalted the honour of them that hold her fast.	SIR
Ecclus	1	20	To fear the Lord is the root of wisdom; And her branches are length of days.	SIR
Ecclus	1	22	Unjust wrath can never be justified; For the sway of his wrath is his downfall.	SIR
Ecclus	1	23	A man that is longsuffering will bear for a season, And afterward gladness shall spring up unto him;	SIR
Ecclus	1	24	He will hide his words for a season, And the lips of many shall tell forth his understanding.	SIR
Ecclus	1	25	A parable of knowledge is in the treasures of wisdom; But godliness is an abomination to a sinner.	SIR
Ecclus	1	26	If thou desire wisdom, keep the commandments, And the Lord shall give her unto thee freely:	SIR
Ecclus	1	27	For the fear of the Lord is wisdom and instruction; And in faith and meekness is his good pleasure.	SIR
Ecclus	1	28	Disobey not the fear of the Lord; And come not unto him with a double heart.	SIR
Ecclus	1	29	Be not a hypocrite in the mouths of men; And take good heed to thy lips.	SIR
Ecclus	1	30	Exalt not thyself, lest thou fall, And bring dishonour upon thy soul; And so the Lord shall reveal thy secrets, And shall cast thee down in the midst of the congregation; Because thou camest not unto the fear of the Lord, And thy heart was full of deceit.	SIR
Ecclus	2	1	My son, if thou comest to serve the Lord, Prepare thy soul for temptation.	SIR
Ecclus	2	2	Set thy heart aright, and constantly endure, And make not haste in time of calamity.	SIR
Ecclus	2	3	Cleave unto him, and depart not, That thou mayest be increased at thy latter end.	SIR
Ecclus	2	4	Accept whatsoever is brought upon thee, And be longsuffering when thou passest into humiliation.	SIR
Ecclus	2	5	For gold is tried in the fire, And acceptable men in the furnace of humiliation.	SIR
Ecclus	2	6	Put thy trust in him, and he will help thee: Order thy ways aright, and set thy hope on him.	SIR
Ecclus	2	7	Ye that fear the Lord, wait for his mercy; And turn not aside, lest ye fall.	SIR
Ecclus	2	8	Ye that fear the Lord, put your trust in him; And your reward shall not fail.	SIR
Ecclus	2	9	Ye that fear the Lord, hope for good things, And for eternal gladness and mercy.	SIR
Ecclus	2	10	Look at the generations of old, and see: Who did ever put his trust in the Lord, and was ashamed? Or who did abide in his fear, and was forsaken? Or who did call upon him, and he despised him?	SIR
Ecclus	2	11	For the Lord is full of compassion and mercy; And he forgiveth sins, and saveth in time of affliction.	SIR
Ecclus	2	12	Woe unto fearful hearts, and to faint hands, And to the sinner that goeth two ways!	SIR
Ecclus	2	13	Woe unto the faint heart! for it believeth not; Therefore shall it not be defended.	SIR
Ecclus	2	14	Woe unto you that have lost your patience! And what will ye do when the Lord shall visit you?	SIR
Ecclus	2	15	They that fear the Lord will not disobey his words; And they that love him will keep his ways.	SIR
Ecclus	2	16	They that fear the Lord will seek his good pleasure; And they that love him shall be filled with the law.	SIR
Ecclus	2	17	They that fear the Lord will prepare their hearts, And will humble their souls in his sight,	SIR
Ecclus	2	18	saying, We will fall into the hands of the Lord, And not into the hands of men: For as his majesty is, So also is his mercy.	SIR
Ecclus	3	1	Hear me your father, O my children, And do thereafter, that ye may be saved.	SIR
Ecclus	3	2	For the Lord hath given the father glory as touching the children, And hath confirmed the judgement of the mother as touching the sons.	SIR
Ecclus	3	3	He that honoureth his father shall make atonement for sins:	SIR
Ecclus	3	4	And he that giveth glory to his mother is as one that layeth up treasure.	SIR
Ecclus	3	5	Whoso honoureth his father shall have joy of his children; And in the day of his prayer he shall be heard.	SIR
Ecclus	3	6	He that giveth glory to his father shall have length of days; And he that hearkeneth unto the Lord shall bring rest unto his mother,	SIR
Ecclus	3	7	And will do service under his parents, as unto masters.	SIR
Ecclus	3	8	In deed and word honour thy father, That a blessing may come upon thee from him.	SIR
Ecclus	3	9	For the blessing of the father establisheth the houses of children; But the curse of the mother rooteth out the foundations.	SIR
Ecclus	3	10	Glorify not thyself in the dishonour of thy father; For thy father’s dishonour is no glory unto thee.	SIR
Ecclus	3	11	For the glory of a man is from the honour of his father; And a mother in dishonour is a reproach to her children.	SIR
Ecclus	3	12	My son, help thy father in his old age; And grieve him not as long as he liveth.	SIR
Ecclus	3	13	And if he fail in understanding, have patience with him; And dishonour him not while thou art in thy full strength.	SIR
Ecclus	3	14	For the relieving of thy father shall not be forgotten: And instead of sins it shall be added to build thee up.	SIR
Ecclus	3	15	In the day of thine affliction it shall remember thee; As fair weather upon ice, So shall thy sins also melt away.	SIR
Ecclus	3	16	He that forsaketh his father is as a blasphemer; And he that provoketh his mother is cursed of the Lord.	SIR
Ecclus	3	17	My son, go on with thy business in meekness; So shalt thou be beloved of an acceptable man.	SIR
Ecclus	3	18	The greater thou art, humble thyself the more, And thou shalt find favour before the Lord.	SIR
Ecclus	3	20	For great is the potency of the Lord, And he is glorified of them that are lowly.	SIR
Ecclus	3	21	Seek not things that are too hard for thee, And search not out things that are above thy strength.	SIR
Ecclus	3	22	The things that have been commanded thee, think thereupon; For thou hast no need of the things that are secret.	SIR
Ecclus	3	23	Be not over busy in thy superfluous works: For more things are shewed unto thee than men can understand.	SIR
Ecclus	3	24	For the conceit of many hath led them astray; And evil surmising hath caused their judgement to slip.	SIR
Ecclus	3	26	A stubborn heart shall fare ill at the last; And he that loveth danger shall perish therein.	SIR
Ecclus	3	27	A stubborn heart shall be laden with troubles; And the sinner shall heap sin upon sin.	SIR
Ecclus	3	28	The calamity of the proud is no healing; For a plant of wickedness hath taken root in him.	SIR
Ecclus	3	29	The heart of the prudent will understand a parable; And the ear of a listener is the desire of a wise man.	SIR
Ecclus	3	30	Water will quench a flaming fire; And almsgiving will make atonement for sins.	SIR
Ecclus	3	31	He that requiteth good turns is mindful of that which cometh afterward; And in the time of his falling he shall find a support.	SIR
Ecclus	4	1	My son, deprive not the poor of his living, And make not the needy eyes to wait long.	SIR
Ecclus	4	2	Make not a hungry soul sorrowful; Neither provoke a man in his distress.	SIR
Ecclus	4	3	To a heart that is provoked add not more trouble; And defer not to give to him that is in need.	SIR
Ecclus	4	4	Reject not a suppliant in his affliction; And turn not away thy face from a poor man.	SIR
Ecclus	4	5	Turn not away thine eye from one that asketh of thee, And give none occasion to a man to curse thee:	SIR
Ecclus	4	6	For if he curse thee in the bitterness of his soul, He that made him will hear his supplication.	SIR
Ecclus	4	7	Get thyself the love of the congregation; And to a great man bow thy head.	SIR
Ecclus	4	8	Incline thine ear to a poor man, And answer him with peaceable words in meekness.	SIR
Ecclus	4	9	Deliver him that is wronged from the hand of him that wrongeth him; And be not fainthearted in giving judgement.	SIR
Ecclus	4	10	Be as a father unto the fatherless, And instead of a husband unto their mother: So shalt thou be as a son of the Most High, And he shall love thee more than thy mother doth.	SIR
Ecclus	4	11	Wisdom exalteth her sons, And taketh hold of them that seek her.	SIR
Ecclus	4	12	He that loveth her loveth life; And they that seek to her early shall be filled with gladness.	SIR
Ecclus	4	13	He that holdeth her fast shall inherit glory; And where he entereth, the Lord will bless.	SIR
Ecclus	4	14	They that do her service shall minister to the Holy One; And them that love her the Lord doth love.	SIR
Ecclus	4	15	He that giveth ear unto her shall judge the nations; And he that giveth heed unto her shall dwell securely.	SIR
Ecclus	4	16	If he trust her, he shall inherit her; And his generations shall have her in possession.	SIR
Ecclus	4	17	For at the first she will walk with him in crooked ways, And will bring fear and dread upon him, And torment him with her discipline, Until she may trust his soul, and try him by her judgements:	SIR
Ecclus	4	18	Then will she return again the straight way unto him, And will gladden him, and reveal to him her secrets.	SIR
Ecclus	4	19	If he go astray, she will forsake him, And give him over to his fall.	SIR
Ecclus	4	20	Observe the opportunity, and beware of evil; And be not ashamed concerning thy soul.	SIR
Ecclus	4	21	For there is a shame that bringeth sin; And there is a shame that is glory and grace.	SIR
Ecclus	4	22	Accept not the person of any against thy soul; And reverence no man unto thy falling.	SIR
Ecclus	4	23	Refrain not speech, when it tendeth to safety; And hide not thy wisdom for the sake of fair-seeming.	SIR
Ecclus	4	24	For by speech wisdom shall be known; And instruction by the word of the tongue.	SIR
Ecclus	4	25	Speak not against the truth; And be abashed for thine ignorance.	SIR
Ecclus	4	26	Be not ashamed to make confession of thy sins; And force not the current of the river.	SIR
Ecclus	4	27	Lay not thyself down for a fool to tread upon; And accept not the person of one that is mighty.	SIR
Ecclus	4	28	Strive for the truth unto death, and the Lord God shall fight for thee.	SIR
Ecclus	4	29	Be not hasty in thy tongue, And in thy deeds slack and remiss.	SIR
