book	chapter	verse	text	usfm
SgThree	1	1	AND they walked in the midst of the fire, praising God, and blessing the Lord.	S3Y
SgThree	1	2	Then Azarias stood, and prayed on this manner; and opening his mouth in the midst of the fire said,	S3Y
SgThree	1	3	Blessed art thou, O Lord, thou God of our fathers, and worthy to be praised; and thy name is glorified for evermore:	S3Y
SgThree	1	4	For thou art righteous in all the things that thou hast done: yea, true are all thy works, and thy ways are right, and all thy judgements truth.	S3Y
SgThree	1	5	In all the things that thou hast brought upon us, and upon the holy city of our fathers, even Jerusalem, thou hast executed true judgements: for according to truth and justice hast thou brought all these things upon us because of our sins.	S3Y
SgThree	1	6	For we have sinned and committed iniquity, in departing from thee.	S3Y
SgThree	1	7	In all things have we trespassed, and not obeyed thy commandments, nor kept them, neither done as thou hast commanded us, that it might go well with us.	S3Y
SgThree	1	8	Wherefore all that thou hast brought upon us, and everything that thou hast done to us, thou hast done in true judgement.	S3Y
SgThree	1	9	And thou didst deliver us into the hands of lawless enemies, and most hateful forsakers of God, and to an unjust king, and the most wicked in all the world.	S3Y
SgThree	1	10	And now we cannot open our mouth; shame and reproach have befallen thy servants, and them that worship thee.	S3Y
SgThree	1	11	Deliver us not up utterly, for thy name’s sake, neither disannul thou thy covenant:	S3Y
SgThree	1	12	and cause not thy mercy to depart from us, for the sake of Abraham that is beloved of thee, and for the sake of Isaac thy servant, and Israel thy holy one;	S3Y
SgThree	1	13	to whom thou didst promise, that thou wouldest multiply their seed as the stars of heaven, and as the sand that is upon the sea shore.	S3Y
SgThree	1	14	For we, O Lord, are become less than any nation, and be kept under this day in all the world because of our sins.	S3Y
SgThree	1	15	Neither is there at this time prince, or prophet, or leader, or burnt offering, or sacrifice, or oblation, or incense, or place to offer before thee, and to find mercy.	S3Y
SgThree	1	16	Nevertheless in a contrite heart and a humble spirit let us be accepted;	S3Y
SgThree	1	17	like as in the burnt offerings of rams and bullocks, and like as in ten thousands of fat lambs; so let our sacrifice be in thy sight this day, and grant that we may wholly go after thee, for they shall not be ashamed that put their trust in thee.	S3Y
SgThree	1	18	And now we follow thee with all our heart, we fear thee, and seek thy face.	S3Y
SgThree	1	19	Put us not to shame: but deal with us after thy kindness, and according to the multitude of thy mercy.	S3Y
