book	chapter	verse	text	usfm
Bel	1	1	AND king Astyages was gathered to his fathers, and Cyrus the Persian received his kingdom.	BEL
Bel	1	2	And Daniel lived with the king, and was honoured above all his friends.	BEL
Bel	1	3	Now the Babylonians had an idol, called Bel, and there were spent upon him every day twelve great measures of fine flour, and forty sheep, and six firkins of wine.	BEL
Bel	1	4	And the king did honour to it, and went daily to worship it: but Daniel worshipped his own God. And the king said unto him, Why dost thou not worship Bel?	BEL
Bel	1	5	And he said, Because I may not do honour to idols made with hands, but to the living God, who hath created the heaven and the earth, and hath sovereignty over all flesh.	BEL
Bel	1	6	Then said the king unto him, Thinkest thou not that Bel is a living god? or seest thou not how much he eateth and drinketh every day?	BEL
Bel	1	7	Then Daniel laughed, and said, O king, be not deceived: for this is but clay within, and brass without, and did never eat or drink anything.	BEL
Bel	1	8	So the king was wroth, and called for his priests, and said unto them, If ye tell me not who this is that devoureth these expenses, ye shall die.	BEL
Bel	1	9	But if ye can shew me that Bel devoureth them, then Daniel shall die: for he hath spoken blasphemy against Bel. And Daniel said unto the king, Let it be according to thy word.	BEL
Bel	1	10	Now the priests of Bel were threescore and ten, beside their wives and children. And the king went with Daniel into the temple of Bel.	BEL
Bel	1	11	So Bel’s priests said, Lo, we will get us out: but thou, O king, set on the meat, and mingle the wine and set it forth, and shut the door fast, and seal it with thine own signet;	BEL
Bel	1	12	and when thou comest in the morning, if thou find not that Bel hath eaten up all, we will suffer death: or else Daniel, that speaketh falsely against us.	BEL
Bel	1	13	And they little regarded it: for under the table they had made a privy entrance, whereby they entered in continually, and consumed those things.	BEL
Bel	1	14	And it came to pass, when they were gone forth, the king set the meat before Bel. Now Daniel had commanded his servants to bring ashes, and they strewed all the temple with them in the presence of the king alone: then went they out, and shut the door, and sealed it with the king’s signet, and so departed.	BEL
Bel	1	15	Now in the night came the priests with their wives and children, as they were wont to do, and did eat and drink up all.	BEL
Bel	1	16	In the morning betime the king arose, and Daniel with him.	BEL
Bel	1	17	And the king said, Daniel, are the seals whole? And he said, Yea, O king, they be whole.	BEL
Bel	1	18	And as soon as he had opened the door, the king looked upon the table, and cried with a loud voice, Great art thou, O Bel, and with thee is no deceit at all.	BEL
Bel	1	19	Then laughed Daniel, and held the king that he should not go in, and said, Behold now the pavement, and mark well whose footsteps are these.	BEL
Bel	1	20	And the king said, I see the footsteps of men, women, and children. And then the king was angry,	BEL
Bel	1	21	and took the priests with their wives and children, who shewed him the privy doors, where they came in, and consumed such things as were upon the table.	BEL
Bel	1	22	Therefore the king slew them, and delivered Bel into Daniel’s power, who overthrew him and his temple.	BEL
Bel	1	23	And in that same place there was a great dragon, which they of Babylon worshipped.	BEL
Bel	1	24	And the king said unto Daniel, Wilt thou also say that this is of brass? lo, he liveth, and eateth and drinketh; thou canst not say that he is no living god: therefore worship him.	BEL
Bel	1	25	Then said Daniel, I will worship the Lord my God: for he is a living God.	BEL
Bel	1	26	But give me leave, O king, and I shall slay this dragon without sword or staff. The king said, I give thee leave.	BEL
Bel	1	27	Then Daniel took pitch, and fat, and hair, and did seethe them together, and made lumps thereof: this he put in the dragon’s mouth, so the dragon did eat and burst in sunder: and Daniel said, Lo, these are the gods ye worship.	BEL
Bel	1	28	When they of Babylon heard that, they took great indignation, and conspired against the king, saying, The king is become a Jew, and he hath pulled down Bel, and slain the dragon, and put the priests to the sword.	BEL
Bel	1	29	So they came to the king, and said, Deliver us Daniel, or else we will destroy thee and thine house.	BEL
Bel	1	30	Now when the king saw that they pressed him sore, being constrained, the king delivered Daniel unto them:	BEL
Bel	1	31	who cast him into the lion’s den: where he was six days.	BEL
Bel	1	32	And in the den there were seven lions, and they had given them every day two carcases, and two sheep: which then were not given to them, to the intent they might devour Daniel.	BEL
Bel	1	33	Now there was in Jewry the prophet Habakkuk, who had made pottage, and had broken bread into a bowl, and was going into the field, for to bring it to the reapers.	BEL
Bel	1	34	But the angel of the Lord said unto Habakkuk, Go carry the dinner that thou hast into Babylon unto Daniel, in the lions’ den.	BEL
Bel	1	35	And Habakkuk said, Lord, I never saw Babylon; neither do I know where the den is.	BEL
Bel	1	36	Then the angel of the Lord took him by the crown, and lifted him up by the hair of his head, and with the blast of his breath set him in Babylon over the den.	BEL
Bel	1	37	And Habakkuk cried, saying, O Daniel, Daniel, take the dinner which God hath sent thee.	BEL
Bel	1	38	And Daniel said, Thou hast remembered me, O God: neither hast thou forsaken them that love thee.	BEL
Bel	1	39	So Daniel arose, and did eat: and the angel of God set Habakkuk in his own place again immediately.	BEL
Bel	1	40	Upon the seventh day the king came to bewail Daniel: and when he came to the den, he looked in, and, behold, Daniel was sitting.	BEL
Bel	1	41	Then cried the king with a loud voice, saying, Great art thou, O Lord, thou God of Daniel, and there is none other beside thee.	BEL
Bel	1	42	And he drew him out, and cast those that were the cause of his destruction into the den: and they were devoured in a moment before his face.	BEL
