book	chapter	verse	text	usfm
2Mach	1	1	THE brethren, the Jews that are in Jerusalem and they that are in the country of Judaea, send greeting to the brethren, the Jews that are throughout Egypt, and wish them good peace:	2MA
2Mach	1	2	and may God do good unto you, and remember his covenant with Abraham and Isaac and Jacob, his faithful servants;	2MA
2Mach	1	3	and give you all a heart to worship him and do his pleasure with a great heart and a willing soul;	2MA
2Mach	1	4	and open your heart in his law and in his statutes, and make peace,	2MA
2Mach	1	5	and hearken to your supplications, and be reconciled with you, and not forsake you in an evil time.	2MA
2Mach	1	6	And now we here are praying for you.	2MA
2Mach	1	7	In the reign of Demetrius, in the hundred threescore and ninth year, we the Jews have already written unto you in the tribulation and in the extremity that hath come upon us in these years, from the time that Jason and his company revolted from the holy land and the kingdom,	2MA
2Mach	1	8	and set the gate on fire, and shed innocent blood: and we besought the Lord, and were heard; and we offered sacrifice and meal offering, and we lighted the lamps, and we set forth the shewbread.	2MA
2Mach	1	9	And now see that ye keep the days of the feast of tabernacles of the month Chislev.	2MA
2Mach	1	10	Written in the hundred fourscore and eighth year. THEY that are in Jerusalem and they that are in Judaea and the senate and Judas, unto Aristobulus, king Ptolemy’s teacher, who is also of the stock of the anointed priests, and unto the Jews that are in Egypt, send greeting and health.	2MA
2Mach	1	11	Having been saved by God out of great perils, as men arrayed against a king, we thank him greatly.	2MA
2Mach	1	12	For himself cast forth into Persia them that arrayed themselves against us in the holy city.	2MA
2Mach	1	13	For when the prince was come there, and the army with him that seemed irresistible, they were cut to pieces in the temple of Nanaea by the treachery of Nanaea’s priests.	2MA
2Mach	1	14	For Antiochus, on the pretence that he would marry her, came into the place, he and his Friends that were with him, that they might take a great part of the treasures in name of a dowry.	2MA
2Mach	1	15	And when the priests of Nanaea’s temple had set the treasures forth, and he was come there with a small company within the wall of the precincts, they shut to the temple when Antiochus was come in:	2MA
2Mach	1	16	and opening the secret door of the panelled cieling, they threw stones and struck down the prince, and they hewed him and his company in pieces, and smote off their heads, and cast them to those that were without.	2MA
2Mach	1	17	Blessed be our God in all things, who gave for a prey them that had committed impiety.	2MA
2Mach	1	18	Whereas we are now about to keep the purification of the temple in the month Chislev, on the five and twentieth day, we thought it necessary to certify you thereof, that ye also may keep a feast of tabernacles, and a memorial of the fire which was given when Nehemiah offered sacrifices, after that he had builded both the temple and the altar.	2MA
2Mach	1	19	For indeed when our fathers were about to be led into the land of Persia, the godly priests of that time took of the fire of the altar, and hid it privily in the hollow of a well that was without water, wherein they made it sure, so that the place was unknown to all men.	2MA
2Mach	1	20	Now after many years, when it pleased God, Nehemiah, having received a charge from the king of Persia, sent in quest of the fire the descendants of the priests that hid it. When they declared to us that they had found no fire, but thick water,	2MA
2Mach	1	21	he commanded them to draw out thereof and bring to him: and when the sacrifices had been offered on the altar, Nehemiah commanded the priests to sprinkle with the water both the wood and the things laid thereupon.	2MA
2Mach	1	22	And when it was done, and some time had passed, and the sun shone out, which before was hid with clouds, there was kindled a great blaze, so that all men marvelled.	2MA
2Mach	1	23	And the priests made a prayer while the sacrifice was consuming, both the priests and all others, Jonathan leading and the rest answering, as Nehemiah did.	2MA
2Mach	1	24	And the prayer was after this manner: O Lord, Lord God, the Creator of all things, who art terrible and strong and righteous and merciful, who alone art King and gracious,	2MA
2Mach	1	25	who alone suppliest every need, who alone art righteous and almighty and eternal, thou that savest Israel out of all evil, who madest the fathers thy chosen, and didst sanctify them:	2MA
2Mach	1	26	accept the sacrifice for all thy people Israel, and guard thine own portion, and consecrate it.	2MA
2Mach	1	27	Gather together our Dispersion, set at liberty them that are in bondage among the heathen, look upon them that are despised and abhorred, and let the heathen know that thou art our God.	2MA
2Mach	1	28	Torment them that oppress us and in arrogancy shamefully entreat us.	2MA
2Mach	1	29	Plant thy people in thy holy place, even as Moses said.	2MA
2Mach	1	30	And thereupon the priests sang the hymns.	2MA
2Mach	1	31	And as soon as the sacrifice was consumed, then Nehemiah commanded to pour on great stones the water that was left.	2MA
2Mach	1	32	And when this was done, a flame was kindled; but when the light from the altar shone over against it, all was consumed.	2MA
2Mach	1	33	And when the matter became known, and it was told the king of the Persians, that, in the place where the priests that were led away had hid the fire, there appeared the water, wherewith also Nehemiah and they that were with him purified the sacrifice,	2MA
2Mach	1	34	then the king, inclosing the place, made it sacred, after he had proved the matter.	2MA
2Mach	1	35	And when the king would shew favour to any, he would take from them many presents and give them some of this water.	2MA
2Mach	1	36	And Nehemiah and they that were with him called this thing Nephthar, which is by interpretation, Cleansing; but most men call it Nephthai.	2MA
2Mach	2	1	It is also found in the records, that Jeremiah the prophet commanded them that were carried away to take of the fire, as hath been signified above:	2MA
2Mach	2	2	and how that the prophet charged them that were carried away, having given them the law, that they should not forget the statutes of the Lord, neither be led astray in their minds, when they saw images of gold and silver, and the adornment thereof.	2MA
2Mach	2	3	And with other such words exhorted he them, that the law should not depart from their heart.	2MA
2Mach	2	4	And it was contained in the writing, that the prophet, being warned of God, commanded that the tabernacle and the ark should follow with him, when he went forth into the mountain where Moses went up and beheld the heritage of God.	2MA
2Mach	2	5	And Jeremiah came and found a chamber in the rock, and there he brought in the tabernacle, and the ark, and the altar of incense; and he made fast the door.	2MA
2Mach	2	6	And some of those that followed with him came there that they might mark the way, and could not find it.	2MA
2Mach	2	7	But when Jeremiah perceived it, he blamed them, saying, Yea and the place shall be unknown until God gather the people again together, and mercy come:	2MA
2Mach	2	8	and then shall the Lord disclose these things, and the glory of the Lord shall be seen, and the cloud. As also it was shewed with Moses; as also Solomon besought that the place might be consecrated greatly,	2MA
2Mach	2	9	and it was also declared that he, having wisdom, offered a sacrifice of dedication, and of the finishing of the temple; so we would have it now.	2MA
2Mach	2	10	As Moses prayed unto the Lord, and fire came down out of heaven and consumed the sacrifice, even so prayed Solomon also, and the fire came down and consumed the burnt offerings;	2MA
2Mach	2	11	(and Moses said, Because the sin offering had not been eaten, it was consumed in like manner with the rest;)	2MA
2Mach	2	12	and Solomon kept the eight days.	2MA
2Mach	2	13	And the same things were related both in the public archives and in the records that concern Nehemiah; and how he, founding a library, gathered together the books about the kings and prophets, and the books of David, and letters of kings about sacred gifts.	2MA
2Mach	2	14	And in like manner Judas also gathered together for us all those writings that had been scattered by reason of the war that befell, and they are still with us.	2MA
2Mach	2	15	If therefore ye have need thereof, send some to fetch them unto you.	2MA
2Mach	2	16	Seeing then that we are about to keep the purification, we write unto you; ye will therefore do well if ye keep the days.	2MA
2Mach	2	17	Now God, who saved all his people, and restored the heritage to all, and the kingdom, and the priesthood, and the hallowing,	2MA
2Mach	2	18	even as he promised through the law,— in God have we hope, that he will quickly have mercy upon us, and gather us together out of all the earth unto the holy place: for he delivered us out of great evils, and purified the place. ____________________	2MA
2Mach	2	19	Now the things concerning Judas Maccabaeus and his brethren, and the purification of the great temple, and the dedication of the altar,	2MA
2Mach	2	20	and further the wars against Antiochus Epiphanes, and Eupator his son,	2MA
2Mach	2	21	and the manifestations that came from heaven unto those that vied with one another in manful deeds for the religion of the Jews; so that, being but a few, they rescued the whole country, and chased the barbarous multitudes,	2MA
2Mach	2	22	and recovered again the temple renowned all the world over, and freed the city, and restored the laws which were like to be overthrown, seeing the Lord became gracious unto them with all forbearance:	2MA
2Mach	2	23	these things, I say, which have been declared by Jason of Cyrene in five books, we will assay to abridge in one work.	2MA
2Mach	2	24	For having in view the confused mass of the numbers, and the difficulty which awaiteth them that would enter into the narratives of the history, by reason of the abundance of the matter,	2MA
2Mach	2	25	we were careful that they who choose to read may be attracted, and that they who wish well to our cause may find it easy to recall what we have written, and that all readers may have profit.	2MA
2Mach	2	26	And although to us, who have taken upon us the painful labour of the abridgement, the task is not easy, but a matter of sweat and watching	2MA
2Mach	2	27	(even as it is no light thing unto him that prepareth a banquet, and seeketh the benefit of others); yet for the sake of the gratitude of the many we will gladly endure the painful labour,	2MA
2Mach	2	28	leaving to the historian the exact handling of every particular, and again having no strength to fill in the outlines of our abridgement.	2MA
2Mach	2	29	For as the masterbuilder of a new house must care for the whole structure, and again he that undertaketh to decorate and paint it must seek out the things fit for the adorning thereof; even so I think it is also with us.	2MA
2Mach	2	30	To occupy the ground, and to indulge in long discussions, and to be curious in particulars, becometh the first author of the history:	2MA
2Mach	2	31	but to strive after brevity of expression, and to avoid a laboured fulness in the treatment, is to be granted to him that would bring a writing into a new form.	2MA
2Mach	2	32	Here then let us begin the narration, only adding thus much to that which hath been already said; for it is a foolish thing to make a long prologue to the history, and to abridge the history itself.	2MA
2Mach	3	1	WHEN the holy city was inhabited with all peace, and the laws were kept very well, because of the godliness of Onias the high priest, and his hatred of wickedness,	2MA
2Mach	3	2	it came to pass that even the kings themselves did honour the place, and glorify the temple with the noblest presents;	2MA
2Mach	3	3	insomuch that even Seleucus the king of Asia of his own revenues bare all the costs belonging to the services of the sacrifices.	2MA
2Mach	3	4	But one Simon of the tribe of Benjamin, having been made guardian of the temple, fell out with the high priest about the ruling of the market in the city.	2MA
2Mach	3	5	And when he could not overcome Onias, he gat him to Apollonius the son of Thrasaeus, who at that time was governor of Coelesyria and Phoenicia:	2MA
2Mach	3	6	and he brought him word how that the treasury in Jerusalem was full of untold sums of money, so that the multitude of the funds was innumerable, and that they did not pertain to the account of the sacrifices, but that it was possible that these should fall under the king’s power.	2MA
2Mach	3	7	And when Apollonius met the king, he informed him of the money whereof he had been told; and the king appointed Heliodorus, who was his chancellor, and sent him with a commandment to accomplish the removal of the aforesaid money.	2MA
2Mach	3	8	So forthwith Heliodorus took his journey, under a colour of visiting the cities of Coelesyria and Phoenicia, but in fact to execute the king’s purpose.	2MA
2Mach	3	9	And when he was come to Jerusalem, and had been courteously received by the high priest of the city, he laid before them an account of the information which had been given him, and declared wherefore he was come; and he inquired if in truth these things were so.	2MA
2Mach	3	10	And the high priest explained to him that there were in the treasury deposits of widows and orphans,	2MA
