book	chapter	verse	text	usfm
Matt	1	1	The book of the generation of Jesus Christ, the son of David, the son of Abraham.	MAT
Matt	1	2	Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judah and his brethren;	MAT
Matt	1	3	and Judah begat Perez and Zerah of Tamar; and Perez begat Hezron; and Hezron begat Ram;	MAT
Matt	1	4	and Ram begat Amminadab; and Amminadab begat Nahshon; and Nahshon begat Salmon;	MAT
Matt	1	5	and Salmon begat Boaz of Rahab; and Boaz begat Obed of Ruth; and Obed begat Jesse;	MAT
Matt	1	6	and Jesse begat David the king. And David begat Solomon of her that had been the wife of Uriah;	MAT
Matt	1	7	and Solomon begat Rehoboam; and Rehoboam begat Abijah; and Abijah begat Asa;	MAT
Matt	1	8	and Asa begat Jehoshaphat; and Jehoshaphat begat Joram; and Joram begat Uzziah;	MAT
Matt	1	9	and Uzziah begat Jotham; and Jotham begat Ahaz; and Ahaz begat Hezekiah;	MAT
Matt	1	10	and Hezekiah begat Manasseh; and Manasseh begat Amon; and Amon begat Josiah;	MAT
Matt	1	11	and Josiah begat Jechoniah and his brethren, at the time of the carrying away to Babylon.	MAT
Matt	1	12	And after the carrying away to Babylon, Jechoniah begat Shealtiel; and Shealtiel begat Zerubbabel;	MAT
Matt	1	13	and Zerubbabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;	MAT
Matt	1	14	and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;	MAT
Matt	1	15	and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;	MAT
Matt	1	16	and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.	MAT
Matt	1	17	So all the generations from Abraham unto David are fourteen generations; and from David unto the carrying away to Babylon fourteen generations; and from the carrying away to Babylon unto the Christ fourteen generations.	MAT
Matt	1	18	Now the birth of Jesus Christ was on this wise: When his mother Mary had been betrothed to Joseph, before they came together she was found with child of the Holy Ghost.	MAT
Matt	1	19	And Joseph her husband, being a righteous man, and not willing to make her a public example, was minded to put her away privily.	MAT
Matt	1	20	But when he thought on these things, behold, an angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost.	MAT
Matt	1	21	And she shall bring forth a son; and thou shalt call his name JESUS; for it is he that shall save his people from their sins.	MAT
Matt	1	22	Now all this is come to pass, that it might be fulfilled which was spoken by the Lord through the prophet, saying,	MAT
Matt	1	23	Behold, the virgin shall be with child, and shall bring forth a son, And they shall call his name Immanuel; which is, being interpreted, God with us.	MAT
Matt	1	24	And Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took unto him his wife;	MAT
Matt	1	25	and knew her not till she had brought forth a son: and he called his name JESUS.	MAT
Matt	2	1	Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, wise men from the east came to Jerusalem,	MAT
Matt	2	2	saying, Where is he that is born King of the Jews? for we saw his star in the east, and are come to worship him.	MAT
Matt	2	3	And when Herod the king heard it, he was troubled, and all Jerusalem with him.	MAT
Matt	2	4	And gathering together all the chief priests and scribes of the people, he inquired of them where the Christ should be born.	MAT
Matt	2	5	And they said unto him, In Bethlehem of Judaea: for thus it is written by the prophet,	MAT
Matt	2	6	And thou Bethlehem, land of Judah, Art in no wise least among the princes of Judah: For out of thee shall come forth a governor, Which shall be shepherd of my people Israel.	MAT
Matt	2	7	Then Herod privily called the wise men, and learned of them carefully what time the star appeared.	MAT
Matt	2	8	And he sent them to Bethlehem, and said, Go and search out carefully concerning the young child; and when ye have found him, bring me word, that I also may come and worship him.	MAT
Matt	2	9	And they, having heard the king, went their way; and lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.	MAT
Matt	2	10	And when they saw the star, they rejoiced with exceeding great joy.	MAT
Matt	2	11	And they came into the house and saw the young child with Mary his mother; and they fell down and worshipped him; and opening their treasures they offered unto him gifts, gold and frankincense and myrrh.	MAT
Matt	2	12	And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.	MAT
Matt	2	13	Now when they were departed, behold, an angel of the Lord appeareth to Joseph in a dream, saying, Arise and take the young child and his mother, and flee into Egypt, and be thou there until I tell thee: for Herod will seek the young child to destroy him.	MAT
Matt	2	14	And he arose and took the young child and his mother by night, and departed into Egypt;	MAT
Matt	2	15	and was there until the death of Herod: that it might be fulfilled which was spoken by the Lord through the prophet, saying, Out of Egypt did I call my son.	MAT
Matt	2	16	Then Herod, when he saw that he was mocked of the wise men, was exceeding wroth, and sent forth, and slew all the male children that were in Bethlehem, and in all the borders thereof, from two years old and under, according to the time which he had carefully learned of the wise men.	MAT
Matt	2	17	Then was fulfilled that which was spoken by Jeremiah the prophet, saying,	MAT
Matt	2	18	A voice was heard in Ramah, Weeping and great mourning, Rachel weeping for her children; And she would not be comforted, because they are not.	MAT
Matt	2	19	But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,	MAT
Matt	2	20	saying, Arise and take the young child and his mother, and go into the land of Israel: for they are dead that sought the young child’s life.	MAT
Matt	2	21	And he arose and took the young child and his mother, and came into the land of Israel.	MAT
Matt	2	22	But when he heard that Archelaus was reigning over Judaea in the room of his father Herod, he was afraid to go thither; and being warned of God in a dream, he withdrew into the parts of Galilee,	MAT
Matt	2	23	and came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, that he should be called a Nazarene.	MAT
Matt	3	1	And in those days cometh John the Baptist, preaching in the wilderness of Judaea,	MAT
Matt	3	2	saying, Repent ye; for the kingdom of heaven is at hand.	MAT
Matt	3	3	For this is he that was spoken of by Isaiah the prophet, saying, The voice of one crying in the wilderness, Make ye ready the way of the Lord, Make his paths straight.	MAT
Matt	3	4	Now John himself had his raiment of camel’s hair, and a leathern girdle about his loins; and his food was locusts and wild honey.	MAT
