book	chapter	verse	text	usfm
Col	1	1	Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother,	COL
Col	1	2	To the saints and faithful brethren in Christ which are at Colossae: Grace to you and peace from God our Father.	COL
Col	1	3	We give thanks to God the Father of our Lord Jesus Christ, praying always for you,	COL
Col	1	4	having heard of your faith in Christ Jesus, and of the love which ye have toward all the saints,	COL
Col	1	5	because of the hope which is laid up for you in the heavens, whereof ye heard before in the word of the truth of the gospel,	COL
Col	1	6	which is come unto you; even as it is also in all the world bearing fruit and increasing, as it doth in you also, since the day ye heard and knew the grace of God in truth;	COL
Col	1	7	even as ye learned of Epaphras our beloved fellow-servant, who is a faithful minister of Christ on our behalf,	COL
Col	1	8	who also declared unto us your love in the Spirit.	COL
Col	1	9	For this cause we also, since the day we heard it, do not cease to pray and make request for you, that ye may be filled with the knowledge of his will in all spiritual wisdom and understanding,	COL
Col	1	10	to walk worthily of the Lord unto all pleasing, bearing fruit in every good work, and increasing in the knowledge of God;	COL
Col	1	11	strengthened with all power, according to the might of his glory, unto all patience and longsuffering with joy;	COL
Col	1	12	giving thanks unto the Father, who made us meet to be partakers of the inheritance of the saints in light;	COL
Col	1	13	who delivered us out of the power of darkness, and translated us into the kingdom of the Son of his love;	COL
Col	1	14	in whom we have our redemption, the forgiveness of our sins:	COL
Col	1	15	who is the image of the invisible God, the firstborn of all creation;	COL
Col	1	16	for in him were all things created, in the heavens and upon the earth, things visible and things invisible, whether thrones or dominions or principalities or powers; all things have been created through him, and unto him;	COL
Col	1	17	and he is before all things, and in him all things consist.	COL
Col	1	18	And he is the head of the body, the church: who is the beginning, the firstborn from the dead; that in all things he might have the preeminence.	COL
Col	1	19	For it was the good pleasure of the Father that in him should all the fulness dwell;	COL
Col	1	20	and through him to reconcile all things unto himself, having made peace through the blood of his cross; through him, I say, whether things upon the earth, or things in the heavens.	COL
Col	1	21	And you, being in time past alienated and enemies in your mind in your evil works, yet now hath he reconciled	COL
Col	1	22	in the body of his flesh through death, to present you holy and without blemish and unreproveable before him:	COL
