ordinal	token	file	testament	edition_title	douay_title	modern_name	missal_latin_abbreviation	alternate_names	chapters	verses	note
1	Gen	01-genesis.tsv	old	The First Book of Moses, Commonly Called Genesis	The Book of Genesis	Genesis	Gen.	Gn	50	1533	
2	Ex	02-exodus.tsv	old	The Second Book of Mosis, Commonly Called Exodus	The Book of Exodus	Exodus	Exod.	Ex	40	1213	
3	Lev	03-leviticus.tsv	old	The Third Book of Mosis, Commonly Called Leviticus	The Book of Leviticus	Leviticus	Levit.	Lev	27	859	
4	Num	04-numbers.tsv	old	The Fourth Book of Moses, Commonly Called Numbers	The Book of Numbers	Numbers	Num.	Nm	36	1288	
5	Deut	05-deuteronomy.tsv	old	The Fifth Book of Moses, Commonly Called Deuteronomy	The Book of Deuteronomy	Deuteronomy	Deut.	Dt	34	959	
6	Jos	06-josue.tsv	old	The Book of Joshua	The Book of Josue	Joshua	Jos.	Josue; Jos	24	658	
7	Judg	07-judges.tsv	old	The Book of Judges	The Book of Judges	Judges	Judic.	Jdg; Judg	21	618	
8	Ruth	08-ruth.tsv	old	The Book of Ruth	The Book of Ruth	Ruth	Ruth	Rt	4	85	
9	1Kings	09-1-kings.tsv	old	The First Book of Samuel	The First Book of Samuel, otherwise called the First Book of Kings	1 Samuel	1 Reg.	1 Kings; 1 Samuel; 1 Sm	31	810	TRAP: the token 1Kings is the Douay-Rheims token for this book, which this edition prints as 1 Samuel. A modern “1 Kings” citation is the book under token 3Kings.
10	2Kings	10-2-kings.tsv	old	The Second Book of Samuel	The Second Book of Samuel, otherwise called the Second Book of Kings	2 Samuel	2 Reg.	2 Kings; 2 Samuel; 2 Sm	24	695	TRAP: the token 2Kings is the Douay-Rheims token for this book, which this edition prints as 2 Samuel. A modern “2 Kings” citation is the book under token 4Kings.
11	3Kings	11-3-kings.tsv	old	The First Book of Kings	The Third Book of Kings	1 Kings	3 Reg.	3 Kings; 1 Kings (modern)	22	816	TRAP: Douay 3 Kings is this edition's 1 Kings.
12	4Kings	12-4-kings.tsv	old	The Second Book of Kings	The Fourth Book of Kings	2 Kings	4 Reg.	4 Kings; 2 Kings (modern)	25	719	TRAP: Douay 4 Kings is this edition's 2 Kings.
13	1Par	13-1-paralipomenon.tsv	old	The First Book of Chronicles	The First Book of Paralipomenon	1 Chronicles	1 Paral.	1 Paralipomenon; 1 Par	29	942	
14	2Par	14-2-paralipomenon.tsv	old	The Second Book of Chronicles	The Second Book of Paralipomenon	2 Chronicles	2 Paral.	2 Paralipomenon; 2 Par	36	822	
15	1Esd	15-1-esdras.tsv	old	The Book of Ezra	The First Book of Esdras	Ezra	1 Esdr.	1 Esdras; Esdras	10	280	The Douay-Rheims calls this book 1 Esdras; this edition prints it as Ezra.
16	2Esd	16-2-esdras.tsv	old	The Book of Nehemiah	The Book of Nehemias, which is called the Second of Esdras	Nehemiah	2 Esdr.	2 Esdras; Nehemias; Neh	13	406	The Douay-Rheims calls this book 2 Esdras; this edition prints it as Nehemiah.
17	Tob	17-tobias.tsv	old	Tobit	The Book of Tobias	Tobit	Tob.	Tobias; Tb	14	244	Deuterocanonical, and in the Catholic canon. This edition follows the Greek, whose chapter and verse division differs from the Vulgate the Douay-Rheims translates: 244 verses here against the Douay-Rheims's 298. A Vulgate-numbered citation may land on different words.
18	Jdt	18-judith.tsv	old	Judith	The Book of Judith	Judith	Judith	Jdt	16	339	Deuterocanonical, and in the Catholic canon. This edition follows the Greek, whose chapter and verse division differs from the Vulgate: 339 verses here against the Douay-Rheims's 345.
