book	chapter	verse	kind	marker	printed
Gen	1	3	prose	p	
Gen	1	6	prose	p	
Gen	1	9	prose	p	
Gen	1	14	prose	p	
Gen	1	20	prose	p	
Gen	1	24	prose	p	
Gen	1	26	prose	p	
Gen	1	31	prose	p	
Gen	2	4	prose	p	
Gen	2	18	prose	p	
Gen	3	2	prose	p	
Gen	3	4	prose	p	
Gen	3	6	prose	p	
Gen	3	9	prose	p	
Gen	3	10	prose	p	
Gen	3	11	prose	p	
Gen	3	12	prose	p	
Gen	3	13	prose	p	
Gen	3	14	prose	p	
Gen	3	15	poetry	q1	
Gen	3	16	prose	p	
Gen	3	17	prose	p	
Gen	3	18	poetry	q2	
Gen	3	19	poetry	q1	
Gen	3	20	prose	p	
Gen	3	22	prose	p	
Gen	4	9	prose	p	
Gen	4	10	prose	p	
Gen	4	13	prose	p	
Gen	4	15	prose	p	
Gen	4	16	prose	p	
Gen	4	24	poetry	q1	
Gen	4	25	prose	p	
Gen	5	6	prose	p	
Gen	5	9	prose	p	
Gen	5	12	prose	p	
Gen	5	15	prose	p	
Gen	5	18	prose	p	
Gen	5	21	prose	p	
Gen	5	25	prose	p	
Gen	5	28	prose	p	
Gen	5	32	prose	p	
Gen	6	5	prose	p	
Gen	6	9	prose	p	
Gen	6	13	prose	p	
Gen	7	5	prose	p	
Gen	7	6	prose	p	
Gen	7	13	prose	p	
Gen	8	6	prose	p	
Gen	8	13	prose	p	
Gen	8	15	prose	p	
Gen	8	18	prose	p	
Gen	8	20	prose	p	
Gen	9	8	prose	p	
Gen	9	18	prose	p	
Gen	9	20	prose	p	
Gen	9	26	prose	p	
Gen	9	27	poetry	q1	
Gen	9	28	prose	p	
Gen	10	2	prose	p	
Gen	10	6	prose	p	
Gen	10	15	prose	p	
Gen	10	21	prose	p	
Gen	10	32	prose	p	
Gen	11	5	prose	p	
Gen	11	10	prose	p	
Gen	11	12	prose	p	
Gen	11	14	prose	p	
Gen	11	16	prose	p	
Gen	11	18	prose	p	
Gen	11	20	prose	p	
Gen	11	22	prose	p	
Gen	11	24	prose	p	
Gen	11	26	prose	p	
Gen	11	27	prose	p	
Gen	12	4	prose	p	
Gen	12	7	prose	p	
Gen	12	8	prose	p	
Gen	12	10	prose	p	
Gen	12	14	prose	p	
Gen	12	20	prose	p	
Gen	13	10	prose	p	
Gen	13	14	prose	p	
Gen	13	18	prose	p	
Gen	14	13	prose	p	
Gen	14	17	prose	p	
Gen	14	21	prose	p	
Gen	14	22	prose	p	
Gen	15	2	prose	p	
Gen	15	4	prose	p	
Gen	15	8	prose	p	
Gen	15	9	prose	p	
Gen	15	12	prose	p	
Gen	16	6	prose	p	
Gen	16	7	prose	p	
Gen	16	9	prose	p	
Gen	16	13	prose	p	
Gen	16	15	prose	p	
Gen	17	3	prose	p	
Gen	17	9	prose	p	
Gen	17	15	prose	p	
Gen	17	17	prose	p	
Gen	17	19	prose	p	
Gen	17	22	prose	p	
Gen	18	6	prose	p	
Gen	18	9	prose	p	
Gen	18	10	prose	p	
Gen	18	11	prose	p	
Gen	18	13	prose	p	
Gen	18	15	prose	p	
Gen	18	16	prose	p	
Gen	18	22	prose	p	
Gen	18	26	prose	p	
Gen	18	29	prose	p	
Gen	18	30	prose	p	
Gen	18	31	prose	p	
Gen	18	32	prose	p	
Gen	18	33	prose	p	
Gen	19	3	prose	p	
Gen	19	6	prose	p	
Gen	19	9	prose	p	
Gen	19	12	prose	p	
Gen	19	14	prose	p	
Gen	19	15	prose	p	
Gen	19	18	prose	p	
Gen	19	21	prose	p	
Gen	19	23	prose	p	
Gen	19	27	prose	p	
Gen	19	29	prose	p	
Gen	19	30	prose	p	
Gen	20	4	prose	p	
Gen	20	6	prose	p	
Gen	20	8	prose	p	
Gen	20	11	prose	p	
Gen	20	14	prose	p	
Gen	20	17	prose	p	
Gen	21	8	prose	p	
Gen	21	11	prose	p	
Gen	21	18	prose	p	
Gen	21	19	prose	p	
Gen	21	20	prose	p	
Gen	21	22	prose	p	
Gen	21	24	prose	p	
Gen	21	27	prose	p	
Gen	21	30	prose	p	
Gen	22	2	prose	p	
Gen	22	3	prose	p	
Gen	22	8	prose	p	
Gen	22	11	prose	p	
Gen	22	12	prose	p	
Gen	22	13	prose	p	
Gen	22	15	prose	p	
Gen	22	19	prose	p	
Gen	22	20	prose	p	
Gen	23	5	prose	p	
Gen	23	7	prose	p	
Gen	23	10	prose	p	
Gen	23	12	prose	p	
Gen	23	14	prose	p	
Gen	23	16	prose	p	
Gen	23	17	prose	p	
Gen	24	5	prose	p	
Gen	24	6	prose	p	
Gen	24	9	prose	p	
Gen	24	15	prose	p	
Gen	24	18	prose	p	
Gen	24	21	prose	p	
Gen	24	24	prose	p	
Gen	24	26	prose	p	
Gen	24	28	prose	p	
Gen	24	32	prose	p	
Gen	24	34	prose	p	
Gen	24	50	prose	p	
Gen	24	52	prose	p	
Gen	24	55	prose	p	
Gen	24	56	prose	p	
Gen	24	57	prose	p	
Gen	24	59	prose	p	
Gen	24	61	prose	p	
Gen	24	66	prose	p	
Gen	25	12	prose	p	
Gen	25	19	prose	p	
Gen	25	24	prose	p	
Gen	25	27	prose	p	
Gen	25	31	prose	p	
Gen	25	32	prose	p	
Gen	25	33	prose	p	
Gen	25	34	prose	p	
Gen	26	6	prose	p	
Gen	26	10	prose	p	
Gen	26	11	prose	p	
Gen	26	12	prose	p	
Gen	26	17	prose	p	
Gen	26	18	prose	p	
Gen	26	23	prose	p	
Gen	26	25	prose	p	
Gen	26	26	prose	p	
Gen	26	28	prose	p	
Gen	26	30	prose	p	
Gen	26	34	prose	p	
Gen	27	2	prose	p	
Gen	27	5	prose	p	
Gen	27	11	prose	p	
Gen	27	13	prose	p	
Gen	27	14	prose	p	
Gen	27	18	prose	p	
Gen	27	19	prose	p	
Gen	27	20	prose	p	
Gen	27	21	prose	p	
Gen	27	22	prose	p	
Gen	27	25	prose	p	
Gen	27	26	prose	p	
Gen	27	28	poetry	q1	
Gen	27	29	poetry	q1	
Gen	27	30	prose	p	
Gen	27	32	prose	p	
Gen	27	33	prose	p	
Gen	27	34	prose	p	
Gen	27	35	prose	p	
Gen	27	36	prose	p	
Gen	27	37	prose	p	
Gen	27	38	prose	p	
Gen	27	39	prose	p	
Gen	27	40	poetry	q1	
Gen	27	41	prose	p	
Gen	27	42	prose	p	
Gen	27	46	prose	p	
Gen	28	5	prose	p	
Gen	28	6	prose	p	
Gen	28	10	prose	p	
Gen	28	16	prose	p	
Gen	28	18	prose	p	
Gen	29	5	prose	p	
Gen	29	6	prose	p	
Gen	29	7	prose	p	
Gen	29	8	prose	p	
Gen	29	9	prose	p	
Gen	29	13	prose	p	
Gen	29	16	prose	p	
Gen	29	19	prose	p	
Gen	29	20	prose	p	
Gen	29	21	prose	p	
Gen	29	22	prose	p	
Gen	29	26	prose	p	
Gen	29	28	prose	p	
Gen	29	31	prose	p	
Gen	30	2	prose	p	
Gen	30	3	prose	p	
Gen	30	9	prose	p	
Gen	30	14	prose	p	
Gen	30	15	prose	p	
Gen	30	16	prose	p	
Gen	30	17	prose	p	
Gen	30	22	prose	p	
Gen	30	25	prose	p	
Gen	30	27	prose	p	
Gen	30	29	prose	p	
Gen	30	31	prose	p	
Gen	30	32	prose	p	
Gen	30	34	prose	p	
Gen	30	35	prose	p	
Gen	30	37	prose	p	
Gen	31	4	prose	p	
Gen	31	14	prose	p	
Gen	31	17	prose	p	
Gen	31	20	prose	p	
Gen	31	22	prose	p	
Gen	31	25	prose	p	
Gen	31	31	prose	p	
Gen	31	33	prose	p	
Gen	31	36	prose	p	
Gen	31	38	prose	p	
Gen	31	43	prose	p	
Gen	31	45	prose	p	
Gen	32	3	prose	p	
Gen	32	13	prose	p	
Gen	32	21	prose	p	
Gen	32	22	prose	p	
Gen	32	27	prose	p	
Gen	32	28	prose	p	
Gen	32	29	prose	p	
Gen	32	30	prose	p	
Gen	33	4	prose	p	
Gen	33	6	prose	p	
Gen	33	8	prose	p	
Gen	33	9	prose	p	
Gen	33	10	prose	p	
Gen	33	12	prose	p	
Gen	33	13	prose	p	
Gen	33	15	prose	p	
Gen	33	16	prose	p	
Gen	33	18	prose	p	
Gen	34	5	prose	p	
Gen	34	11	prose	p	
Gen	34	13	prose	p	
Gen	34	18	prose	p	
Gen	34	24	prose	p	
Gen	34	31	prose	p	
Gen	35	2	prose	p	
Gen	35	4	prose	p	
Gen	35	9	prose	p	
Gen	35	13	prose	p	
Gen	35	16	prose	p	
Gen	35	18	prose	p	
Gen	35	23	prose	p	
Gen	35	28	prose	p	
Gen	36	9	prose	p	
Gen	36	15	prose	p	
Gen	36	20	prose	p	
Gen	36	31	prose	p	
Gen	36	40	prose	p	
Gen	37	5	prose	p	
Gen	37	8	prose	p	
Gen	37	12	prose	p	
Gen	37	14	prose	p	
Gen	37	16	prose	p	
Gen	37	17	prose	p	
Gen	37	18	prose	p	
Gen	37	21	prose	p	
Gen	37	25	prose	p	
Gen	37	29	prose	p	
Gen	37	33	prose	p	
Gen	38	12	prose	p	
Gen	38	17	prose	p	
Gen	38	18	prose	p	
Gen	38	19	prose	p	
Gen	38	22	prose	p	
Gen	38	24	prose	p	
Gen	38	25	prose	p	
Gen	38	26	prose	p	
Gen	38	27	prose	p	
Gen	39	7	prose	p	
Gen	39	8	prose	p	
Gen	39	10	prose	p	
Gen	39	13	prose	p	
Gen	39	19	prose	p	
Gen	40	8	prose	p	
Gen	40	9	prose	p	
Gen	40	12	prose	p	
Gen	40	16	prose	p	
Gen	40	18	prose	p	
Gen	41	9	prose	p	
Gen	41	14	prose	p	
Gen	41	16	prose	p	
Gen	41	17	prose	p	
Gen	41	25	prose	p	
Gen	41	33	prose	p	
Gen	41	37	prose	p	
Gen	41	46	prose	p	
Gen	41	53	prose	p	
Gen	42	8	prose	p	
Gen	42	10	prose	p	
Gen	42	12	prose	p	
Gen	42	13	prose	p	
Gen	42	14	prose	p	
Gen	42	18	prose	p	
Gen	42	21	prose	p	
Gen	42	26	prose	p	
Gen	42	35	prose	p	
Gen	42	37	prose	p	
Gen	42	38	prose	p	
Gen	43	3	prose	p	
Gen	43	6	prose	p	
Gen	43	7	prose	p	
Gen	43	8	prose	p	
Gen	43	11	prose	p	
Gen	43	15	prose	p	
Gen	43	17	prose	p	
Gen	43	23	prose	p	
Gen	43	26	prose	p	
Gen	43	28	prose	p	
Gen	43	32	prose	p	
Gen	44	7	prose	p	
Gen	44	10	prose	p	
Gen	44	11	prose	p	
Gen	44	14	prose	p	
Gen	44	16	prose	p	
Gen	44	17	prose	p	
Gen	44	18	prose	p	
Gen	45	4	prose	p	
Gen	45	5	prose	p	
Gen	45	16	prose	p	
Gen	45	21	prose	p	
Gen	45	25	prose	p	
Gen	46	3	prose	p	
Gen	46	5	prose	p	
Gen	46	8	prose	p	
Gen	46	28	prose	p	
Gen	46	31	prose	p	
Gen	47	4	prose	p	
Gen	47	5	prose	p	
Gen	47	7	prose	p	
Gen	47	9	prose	p	
