cited_locus	resolves_to	kind	note
Dan.3.52		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.53		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.54		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.55		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.56		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.57		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.58		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.59		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.60		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.61		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.62		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.63		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.64		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.65		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.66		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.67		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.68		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
Dan.3.69		not-in-this-edition	between 3:52 and 3:78 this edition numbers the Canticle of the Three Children as the Greek does and not as the Vulgate does, by no uniform offset: the Vulgate's 3:53 is this edition's 3:54, its 3:54 is this edition's 3:56, its 3:57 is this edition's 3:58, and its 3:77, “O ye fountains”, is not this edition's 3:77, which reads “O sea and rivers”
