book	chapter	verse	text	usfm
Job	1	1	There was a man in the land of Uz, whose name was Job. That man was blameless and upright, and one who feared God, and turned away from evil.	JOB
Job	1	2	There were born to him seven sons and three daughters.	JOB
Job	1	3	His possessions also were seven thousand sheep, three thousand camels, five hundred yoke of oxen, five hundred female donkeys, and a very great household; so that this man was the greatest of all the children of the east.	JOB
Job	1	4	His sons went and held a feast in the house of each one on his birthday; and they sent and called for their three sisters to eat and to drink with them.	JOB
Job	1	5	It was so, when the days of their feasting had run their course, that Job sent and sanctified them, and rose up early in the morning, and offered burnt offerings according to the number of them all. For Job said, “It may be that my sons have sinned, and renounced God in their hearts.” Job did so continually.	JOB
Job	1	6	Now on the day when God’s sons came to present themselves before the LORD, Satan also came among them.	JOB
Job	1	7	The LORD said to Satan, “Where have you come from?” Then Satan answered the LORD, and said, “From going back and forth on the earth, and from walking up and down in it.”	JOB
Job	1	8	The LORD said to Satan, “Have you considered my servant, Job? For there is no one like him on the earth, a blameless and an upright man, one who fears God, and turns away from evil.”	JOB
Job	1	9	Then Satan answered the LORD, and said, “Does Job fear God for nothing?	JOB
Job	1	10	Haven’t you made a hedge around him, and around his house, and around all that he has, on every side? You have blessed the work of his hands, and his substance is increased in the land.	JOB
Job	1	11	But stretch out your hand now, and touch all that he has, and he will renounce you to your face.”	JOB
Job	1	12	The LORD said to Satan, “Behold, all that he has is in your power. Only on himself don’t stretch out your hand.” So Satan went out from the presence of the LORD.	JOB
Job	1	13	It fell on a day when his sons and his daughters were eating and drinking wine in their oldest brother’s house,	JOB
Job	1	14	that a messenger came to Job, and said, “The oxen were plowing, and the donkeys feeding beside them,	JOB
Job	1	15	and the Sabeans attacked, and took them away. Yes, they have killed the servants with the edge of the sword, and I alone have escaped to tell you.”	JOB
Job	1	16	While he was still speaking, another also came and said, “The fire of God has fallen from the sky, and has burned up the sheep and the servants, and consumed them, and I alone have escaped to tell you.”	JOB
Job	1	17	While he was still speaking, another also came and said, “The Chaldeans made three bands, and swept down on the camels, and have taken them away, yes, and killed the servants with the edge of the sword; and I alone have escaped to tell you.”	JOB
Job	1	18	While he was still speaking, there came also another, and said, “Your sons and your daughters were eating and drinking wine in their oldest brother’s house,	JOB
Job	1	19	and behold, there came a great wind from the wilderness, and struck the four corners of the house, and it fell on the young men, and they are dead. I alone have escaped to tell you.”	JOB
Job	1	20	Then Job arose, and tore his robe, and shaved his head, and fell down on the ground, and worshiped.	JOB
Job	1	21	He said, “Naked I came out of my mother’s womb, and naked will I return there. The LORD gave, and the LORD has taken away. Blessed be the LORD’s name.”	JOB
Job	1	22	In all this, Job didn’t sin, nor charge God with wrongdoing.	JOB
Job	2	1	Again, on the day when God’s sons came to present themselves before the LORD, Satan came also among them to present himself before the LORD.	JOB
Job	2	2	The LORD said to Satan, “Where have you come from?” Satan answered the LORD, and said, “From going back and forth on the earth, and from walking up and down in it.”	JOB
Job	2	3	The LORD said to Satan, “Have you considered my servant Job? For there is no one like him on the earth, a blameless and an upright man, one who fears God, and turns away from evil. He still maintains his integrity, although you incited me against him, to ruin him without cause.”	JOB
Job	2	4	Satan answered the LORD, and said, “Skin for skin. Yes, all that a man has he will give for his life.	JOB
Job	2	5	But stretch out your hand now, and touch his bone and his flesh, and he will renounce you to your face.”	JOB
Job	2	6	The LORD said to Satan, “Behold, he is in your hand. Only spare his life.”	JOB
Job	2	7	So Satan went out from the presence of the LORD, and struck Job with painful sores from the sole of his foot to his head.	JOB
Job	2	8	He took for himself a potsherd to scrape himself with, and he sat among the ashes.	JOB
Job	2	9	Then his wife said to him, “Do you still maintain your integrity? Renounce God, and die.”	JOB
Job	2	10	But he said to her, “You speak as one of the foolish women would speak. What? Shall we receive good at the hand of God, and shall we not receive evil?” In all this Job didn’t sin with his lips.	JOB
Job	2	11	Now when Job’s three friends heard of all this evil that had come on him, they each came from his own place: Eliphaz the Temanite, Bildad the Shuhite, and Zophar the Naamathite; and they made an appointment together to come to sympathize with him and to comfort him.	JOB
Job	2	12	When they lifted up their eyes from a distance, and didn’t recognize him, they raised their voices, and wept; and they each tore his robe, and sprinkled dust on their heads toward the sky.	JOB
Job	2	13	So they sat down with him on the ground seven days and seven nights, and no one spoke a word to him, for they saw that his grief was very great.	JOB
Job	3	1	After this Job opened his mouth, and cursed the day of his birth.	JOB
Job	3	2	Job answered:	JOB
Job	3	3	“Let the day perish in which I was born, the night which said, ‘There is a boy conceived.’	JOB
Job	3	4	Let that day be darkness. Don’t let God from above seek for it, neither let the light shine on it.	JOB
Job	3	5	Let darkness and the shadow of death claim it for their own. Let a cloud dwell on it. Let all that makes the day black terrify it.	JOB
Job	3	6	As for that night, let thick darkness seize on it. Let it not rejoice among the days of the year. Let it not come into the number of the months.	JOB
Job	3	7	Behold, let that night be barren. Let no joyful voice come therein.	JOB
Job	3	8	Let them curse it who curse the day, who are ready to rouse up leviathan.	JOB
Job	3	9	Let the stars of its twilight be dark. Let it look for light, but have none, neither let it see the eyelids of the morning,	JOB
Job	3	10	because it didn’t shut up the doors of my mother’s womb, nor did it hide trouble from my eyes.	JOB
Job	3	11	“Why didn’t I die from the womb? Why didn’t I give up the spirit when my mother bore me?	JOB
Job	3	12	Why did the knees receive me? Or why the breast, that I should nurse?	JOB
Job	3	13	For now I should have lain down and been quiet. I should have slept, then I would have been at rest,	JOB
Job	3	14	with kings and counselors of the earth, who built up waste places for themselves;	JOB
Job	3	15	or with princes who had gold, who filled their houses with silver;	JOB
Job	3	16	or as a hidden untimely birth I had not been, as infants who never saw light.	JOB
Job	3	17	There the wicked cease from troubling. There the weary are at rest.	JOB
Job	3	18	There the prisoners are at ease together. They don’t hear the voice of the taskmaster.	JOB
Job	3	19	The small and the great are there. The servant is free from his master.	JOB
Job	3	20	“Why is light given to him who is in misery, life to the bitter in soul,	JOB
Job	3	21	who long for death, but it doesn’t come; and dig for it more than for hidden treasures,	JOB
Job	3	22	who rejoice exceedingly, and are glad, when they can find the grave?	JOB
