book	chapter	verse	text	usfm
Ps	1	1	Blessed is the man who doesn’t walk in the counsel of the wicked, nor stand on the path of sinners, nor sit in the seat of scoffers;	PSA
Ps	1	2	but his delight is in the LORD’s law. On his law he meditates day and night.	PSA
Ps	1	3	He will be like a tree planted by the streams of water, that produces its fruit in its season, whose leaf also does not wither. Whatever he does shall prosper.	PSA
Ps	1	4	The wicked are not so, but are like the chaff which the wind drives away.	PSA
Ps	1	5	Therefore the wicked shall not stand in the judgment, nor sinners in the congregation of the righteous.	PSA
Ps	1	6	For the LORD knows the way of the righteous, but the way of the wicked shall perish.	PSA
Ps	2	1	Why do the nations rage, and the peoples plot a vain thing?	PSA
Ps	2	2	The kings of the earth take a stand, and the rulers take counsel together, against the LORD, and against his Anointed, saying,	PSA
Ps	2	3	“Let’s break their bonds apart, and cast their cords from us.”	PSA
Ps	2	4	He who sits in the heavens will laugh. The Lord will have them in derision.	PSA
Ps	2	5	Then he will speak to them in his anger, and terrify them in his wrath:	PSA
Ps	2	6	“Yet I have set my King on my holy hill of Zion.”	PSA
Ps	2	7	I will tell of the decree: The LORD said to me, “You are my son. Today I have become your father.	PSA
Ps	2	8	Ask of me, and I will give the nations for your inheritance, the uttermost parts of the earth for your possession.	PSA
Ps	2	9	You shall break them with a rod of iron. You shall dash them in pieces like a potter’s vessel.”	PSA
Ps	2	10	Now therefore be wise, you kings. Be instructed, you judges of the earth.	PSA
Ps	2	11	Serve the LORD with fear, and rejoice with trembling.	PSA
Ps	2	12	Give sincere homage to the Son, lest he be angry, and you perish on the way, for his wrath will soon be kindled. Blessed are all those who take refuge in him.	PSA
Ps	3	1	LORD, how my adversaries have increased! Many are those who rise up against me.	PSA
Ps	3	2	Many there are who say of my soul, “There is no help for him in God.” Selah.	PSA
Ps	3	3	But you, LORD, are a shield around me, my glory, and the one who lifts up my head.	PSA
Ps	3	4	I cry to the LORD with my voice, and he answers me out of his holy hill. Selah.	PSA
Ps	3	5	I laid myself down and slept. I awakened, for the LORD sustains me.	PSA
Ps	3	6	I will not be afraid of tens of thousands of people who have set themselves against me on every side.	PSA
Ps	3	7	Arise, LORD! Save me, my God! For you have struck all of my enemies on the cheek bone. You have broken the teeth of the wicked.	PSA
Ps	3	8	Salvation belongs to the LORD. May your blessing be on your people. Selah.	PSA
Ps	4	1	Answer me when I call, God of my righteousness. Give me relief from my distress. Have mercy on me, and hear my prayer.	PSA
Ps	4	2	You sons of men, how long shall my glory be turned into dishonor? Will you love vanity and seek after falsehood? Selah.	PSA
Ps	4	3	But know that the LORD has set apart for himself him who is godly; The LORD will hear when I call to him.	PSA
Ps	4	4	Stand in awe, and don’t sin. Search your own heart on your bed, and be still. Selah.	PSA
Ps	4	5	Offer the sacrifices of righteousness. Put your trust in the LORD.	PSA
Ps	4	6	Many say, “Who will show us any good?” LORD, let the light of your face shine on us.	PSA
Ps	4	7	You have put gladness in my heart, more than when their grain and their new wine are increased.	PSA
Ps	4	8	In peace I will both lay myself down and sleep, for you alone, LORD, make me live in safety.	PSA
Ps	5	1	Give ear to my words, LORD. Consider my meditation.	PSA
Ps	5	2	Listen to the voice of my cry, my King and my God, for I pray to you.	PSA
Ps	5	3	LORD, in the morning you will hear my voice. In the morning I will lay my requests before you, and will watch expectantly.	PSA
Ps	5	4	For you are not a God who has pleasure in wickedness. Evil can’t live with you.	PSA
Ps	5	5	The arrogant will not stand in your sight. You hate all workers of iniquity.	PSA
Ps	5	6	You will destroy those who speak lies. The LORD abhors the bloodthirsty and deceitful man.	PSA
Ps	5	7	But as for me, in the abundance of your loving kindness I will come into your house. I will bow toward your holy temple in reverence of you.	PSA
Ps	5	8	Lead me, LORD, in your righteousness because of my enemies. Make your way straight before my face.	PSA
Ps	5	9	For there is no faithfulness in their mouth. Their heart is destruction. Their throat is an open tomb. They flatter with their tongue.	PSA
Ps	5	10	Hold them guilty, God. Let them fall by their own counsels. Thrust them out in the multitude of their transgressions, for they have rebelled against you.	PSA
Ps	5	11	But let all those who take refuge in you rejoice. Let them always shout for joy, because you defend them. Let them also who love your name be joyful in you.	PSA
Ps	5	12	For you will bless the righteous. LORD, you will surround him with favor as with a shield.	PSA
Ps	6	1	LORD, don’t rebuke me in your anger, neither discipline me in your wrath.	PSA
Ps	6	2	Have mercy on me, LORD, for I am faint. LORD, heal me, for my bones are troubled.	PSA
Ps	6	3	My soul is also in great anguish. But you, LORD—how long?	PSA
Ps	6	4	Return, LORD. Deliver my soul, and save me for your loving kindness’ sake.	PSA
Ps	6	5	For in death there is no memory of you. In Sheol, who shall give you thanks?	PSA
Ps	6	6	I am weary with my groaning. Every night I flood my bed. I drench my couch with my tears.	PSA
Ps	6	7	My eye wastes away because of grief. It grows old because of all my adversaries.	PSA
Ps	6	8	Depart from me, all you workers of iniquity, for the LORD has heard the voice of my weeping.	PSA
Ps	6	9	The LORD has heard my supplication. The LORD accepts my prayer.	PSA
Ps	6	10	May all my enemies be ashamed and dismayed. They shall turn back, they shall be disgraced suddenly.	PSA
Ps	7	1	LORD, my God, I take refuge in you. Save me from all those who pursue me, and deliver me,	PSA
Ps	7	2	lest they tear apart my soul like a lion, ripping it in pieces, while there is no one to deliver.	PSA
Ps	7	3	LORD, my God, if I have done this, if there is iniquity in my hands,	PSA
Ps	7	4	if I have rewarded evil to him who was at peace with me (yes, I have plundered him who without cause was my adversary),	PSA
Ps	7	5	let the enemy pursue my soul, and overtake it; yes, let him tread my life down to the earth, and lay my glory in the dust. Selah.	PSA
Ps	7	6	Arise, LORD, in your anger. Lift up yourself against the rage of my adversaries. Awake for me. You have commanded judgment.	PSA
Ps	7	7	Let the congregation of the peoples surround you. Rule over them on high.	PSA
Ps	7	8	The LORD administers judgment to the peoples. Judge me, LORD, according to my righteousness, and to my integrity that is in me.	PSA
