book	chapter	verse	text	usfm
Lam	1	1	How the city sits solitary, that was full of people! She has become as a widow, who was great among the nations! She who was a princess among the provinces has become a slave!	LAM
Lam	1	2	She weeps bitterly in the night. Her tears are on her cheeks. Among all her lovers she has no one to comfort her. All her friends have dealt treacherously with her. They have become her enemies.	LAM
Lam	1	3	Judah has gone into captivity because of affliction and because of great servitude. She dwells among the nations. She finds no rest. All her persecutors overtook her in her distress.	LAM
Lam	1	4	The roads to Zion mourn, because no one comes to the solemn assembly. All her gates are desolate. Her priests sigh. Her virgins are afflicted, and she herself is in bitterness.	LAM
Lam	1	5	Her adversaries have become the head. Her enemies prosper; for the LORD has afflicted her for the multitude of her transgressions. Her young children have gone into captivity before the adversary.	LAM
Lam	1	6	All majesty has departed from the daughter of Zion. Her princes have become like deer that find no pasture. They have gone without strength before the pursuer.	LAM
Lam	1	7	Jerusalem remembers in the days of her affliction and of her miseries all her pleasant things that were from the days of old; when her people fell into the hand of the adversary, and no one helped her. The adversaries saw her. They mocked at her desolations.	LAM
Lam	1	8	Jerusalem has grievously sinned. Therefore she has become unclean. All who honored her despise her, because they have seen her nakedness. Yes, she sighs and turns backward.	LAM
Lam	1	9	Her filthiness was in her skirts. She didn’t remember her latter end. Therefore she has come down astoundingly. She has no comforter. “See, LORD, my affliction; for the enemy has magnified himself.”	LAM
Lam	1	10	The adversary has spread out his hand on all her pleasant things; for she has seen that the nations have entered into her sanctuary, concerning whom you commanded that they should not enter into your assembly.	LAM
Lam	1	11	All her people sigh. They seek bread. They have given their pleasant things for food to refresh their soul. “Look, LORD, and see, for I have become despised.”	LAM
Lam	1	12	“Is it nothing to you, all you who pass by? Look, and see if there is any sorrow like my sorrow, which is brought on me, with which the LORD has afflicted me in the day of his fierce anger.	LAM
Lam	1	13	“From on high has he sent fire into my bones, and it prevails against them. He has spread a net for my feet. He has turned me back. He has made me desolate and I faint all day long.	LAM
Lam	1	14	“The yoke of my transgressions is bound by his hand. They are knit together. They have come up on my neck. He made my strength fail. The Lord has delivered me into their hands, against whom I am not able to stand.	LAM
Lam	1	15	“The Lord has set at nothing all my mighty men within me. He has called a solemn assembly against me to crush my young men. The Lord has trodden the virgin daughter of Judah as in a wine press.	LAM
Lam	1	16	“For these things I weep. My eye, my eye runs down with water, because the comforter who should refresh my soul is far from me. My children are desolate, because the enemy has prevailed.”	LAM
Lam	1	17	Zion spreads out her hands. There is no one to comfort her. The LORD has commanded concerning Jacob, that those who are around him should be his adversaries. Jerusalem is among them as an unclean thing.	LAM
Lam	1	18	“The LORD is righteous, for I have rebelled against his commandment. Please hear all you peoples, and see my sorrow. My virgins and my young men have gone into captivity.	LAM
Lam	1	19	“I called for my lovers, but they deceived me. My priests and my elders gave up the spirit in the city, while they sought food for themselves to refresh their souls.	LAM
Lam	1	20	“Look, LORD; for I am in distress. My heart is troubled. My heart turns over within me, for I have grievously rebelled. Abroad, the sword bereaves. At home, it is like death.	LAM
Lam	1	21	“They have heard that I sigh. There is no one to comfort me. All my enemies have heard of my trouble. They are glad that you have done it. You will bring the day that you have proclaimed, and they will be like me.	LAM
Lam	1	22	“Let all their wickedness come before you. Do to them as you have done to me for all my transgressions. For my sighs are many, and my heart is faint.	LAM
Lam	2	1	How has the Lord covered the daughter of Zion with a cloud in his anger! He has cast the beauty of Israel down from heaven to the earth, and hasn’t remembered his footstool in the day of his anger.	LAM
Lam	2	2	The Lord has swallowed up all the dwellings of Jacob without pity. He has thrown down in his wrath the strongholds of the daughter of Judah. He has brought them down to the ground. He has profaned the kingdom and its princes.	LAM
Lam	2	3	He has cut off all the horn of Israel in fierce anger. He has drawn back his right hand from before the enemy. He has burned up Jacob like a flaming fire, which devours all around.	LAM
Lam	2	4	He has bent his bow like an enemy. He has stood with his right hand as an adversary. He has killed all that were pleasant to the eye. In the tent of the daughter of Zion, he has poured out his wrath like fire.	LAM
Lam	2	5	The Lord has become as an enemy. He has swallowed up Israel. He has swallowed up all her palaces. He has destroyed his strongholds. He has multiplied mourning and lamentation in the daughter of Judah.	LAM
Lam	2	6	He has violently taken away his tabernacle, as if it were a garden. He has destroyed his place of assembly. The LORD has caused solemn assembly and Sabbath to be forgotten in Zion. In the indignation of his anger, he has despised the king and the priest.	LAM
Lam	2	7	The Lord has cast off his altar. He has abhorred his sanctuary. He has given the walls of her palaces into the hand of the enemy. They have made a noise in the LORD’s house, as in the day of a solemn assembly.	LAM
Lam	2	8	The LORD has purposed to destroy the wall of the daughter of Zion. He has stretched out the line. He has not withdrawn his hand from destroying; He has made the rampart and wall lament. They languish together.	LAM
Lam	2	9	Her gates have sunk into the ground. He has destroyed and broken her bars. Her king and her princes are among the nations where the law is not. Yes, her prophets find no vision from the LORD.	LAM
Lam	2	10	The elders of the daughter of Zion sit on the ground. They keep silence. They have cast up dust on their heads. They have clothed themselves with sackcloth. The virgins of Jerusalem hang down their heads to the ground.	LAM
Lam	2	11	My eyes fail with tears. My heart is troubled. My bile is poured on the earth, because of the destruction of the daughter of my people, because the young children and the infants swoon in the streets of the city.	LAM
Lam	2	12	They ask their mothers, “Where is grain and wine?” when they swoon as the wounded in the streets of the city, when their soul is poured out into their mothers’ bosom.	LAM
Lam	2	13	What shall I testify to you? What shall I liken to you, daughter of Jerusalem? What shall I compare to you, that I may comfort you, virgin daughter of Zion? For your breach is as big as the sea. Who can heal you?	LAM
Lam	2	14	Your prophets have seen false and foolish visions for you. They have not uncovered your iniquity, to reverse your captivity, but have seen for you false revelations and causes of banishment.	LAM
Lam	2	15	All that pass by clap their hands at you. They hiss and wag their head at the daughter of Jerusalem, saying, “Is this the city that men called ‘The perfection of beauty, the joy of the whole earth’?”	LAM
Lam	2	16	All your enemies have opened their mouth wide against you. They hiss and gnash their teeth. They say, “We have swallowed her up. Certainly this is the day that we looked for. We have found it. We have seen it.”	LAM
Lam	2	17	The LORD has done that which he planned. He has fulfilled his word that he commanded in the days of old. He has thrown down, and has not pitied. He has caused the enemy to rejoice over you. He has exalted the horn of your adversaries.	LAM
Lam	2	18	Their heart cried to the Lord. O wall of the daughter of Zion, let tears run down like a river day and night. Give yourself no relief. Don’t let your eyes rest.	LAM
Lam	2	19	Arise, cry out in the night, at the beginning of the watches! Pour out your heart like water before the face of the Lord. Lift up your hands toward him for the life of your young children, who faint for hunger at the head of every street.	LAM
Lam	2	20	“Look, LORD, and see to whom you have done thus! Should the women eat their offspring, the children that they held and bounced on their knees? Should the priest and the prophet be killed in the sanctuary of the Lord?	LAM
Lam	2	21	“The youth and the old man lie on the ground in the streets. My virgins and my young men have fallen by the sword. You have killed them in the day of your anger. You have slaughtered, and not pitied.	LAM
Lam	2	22	“You have called, as in the day of a solemn assembly, my terrors on every side. There was no one that escaped or remained in the day of the LORD’s anger. My enemy has consumed those whom I have cared for and brought up.	LAM
Lam	3	1	I am the man who has seen affliction by the rod of his wrath.	LAM
Lam	3	2	He has led me and caused me to walk in darkness, and not in light.	LAM
Lam	3	3	Surely he turns his hand against me again and again all day long.	LAM
Lam	3	4	He has made my flesh and my skin old. He has broken my bones.	LAM
Lam	3	5	He has built against me, and surrounded me with bitterness and hardship.	LAM
Lam	3	6	He has made me dwell in dark places, as those who have been long dead.	LAM
Lam	3	7	He has walled me about, so that I can’t go out. He has made my chain heavy.	LAM
Lam	3	8	Yes, when I cry, and call for help, he shuts out my prayer.	LAM
Lam	3	9	He has walled up my ways with cut stone. He has made my paths crooked.	LAM
Lam	3	10	He is to me as a bear lying in wait, as a lion in hiding.	LAM
Lam	3	11	He has turned away my path, and pulled me in pieces. He has made me desolate.	LAM
Lam	3	12	He has bent his bow, and set me as a mark for the arrow.	LAM
Lam	3	13	He has caused the shafts of his quiver to enter into my kidneys.	LAM
Lam	3	14	I have become a derision to all my people, and their song all day long.	LAM
Lam	3	15	He has filled me with bitterness. He has stuffed me with wormwood.	LAM
Lam	3	16	He has also broken my teeth with gravel. He has covered me with ashes.	LAM
Lam	3	17	You have removed my soul far away from peace. I forgot prosperity.	LAM
Lam	3	18	I said, “My strength has perished, along with my expectation from the LORD.”	LAM
Lam	3	19	Remember my affliction and my misery, the wormwood and the bitterness.	LAM
Lam	3	20	My soul still remembers them, and is bowed down within me.	LAM
Lam	3	21	This I recall to my mind; therefore I have hope.	LAM
Lam	3	22	It is because of the LORD’s loving kindnesses that we are not consumed, because his mercies don’t fail.	LAM
Lam	3	23	They are new every morning. Great is your faithfulness.	LAM
Lam	3	24	“The LORD is my portion,” says my soul. “Therefore I will hope in him.”	LAM
Lam	3	25	The LORD is good to those who wait for him, to the soul who seeks him.	LAM
Lam	3	26	It is good that a man should hope and quietly wait for the salvation of the LORD.	LAM
Lam	3	27	It is good for a man that he bear the yoke in his youth.	LAM
Lam	3	28	Let him sit alone and keep silence, because he has laid it on him.	LAM
Lam	3	29	Let him put his mouth in the dust, if it is so that there may be hope.	LAM
Lam	3	30	Let him give his cheek to him who strikes him. Let him be filled full of reproach.	LAM
