book	chapter	verse	text	usfm
Dan	1	1	In the third year of the reign of Jehoiakim king of Judah, Nebuchadnezzar king of Babylon came to Jerusalem and besieged it.	DAG
Dan	1	2	The Lord gave Jehoiakim king of Judah into his hand, with part of the vessels of the house of God; and he carried them into the land of Shinar to the house of his god. He brought the vessels into the treasure house of his god.	DAG
Dan	1	3	The king spoke to Ashpenaz the master of his eunuchs, that he should bring in some of the children of Israel, even of the royal offspring and of the nobles—	DAG
Dan	1	4	youths in whom was no defect, but well-favored, and skillful in all wisdom, and endowed with knowledge, and understanding science, and who had the ability to serve in the king’s palace; and that he should teach them the learning and the language of the Chaldeans.	DAG
Dan	1	5	The king appointed for them a daily portion of the king’s delicacies, and of the wine which he drank, and that they should be nourished three years; that at its end they should serve the king.	DAG
Dan	1	6	Now among these were of the children of Judah: Daniel, Hananiah, Mishael, and Azariah.	DAG
Dan	1	7	The prince of the eunuchs gave names to them: to Daniel he gave the name Belteshazzar; to Hananiah, Shadrach; to Mishael, Meshach; and to Azariah, Abednego.	DAG
Dan	1	8	But Daniel purposed in his heart that he would not defile himself with the king’s delicacies, nor with the wine which he drank. Therefore he requested of the prince of the eunuchs that he might not defile himself.	DAG
Dan	1	9	Now God made Daniel find kindness and compassion in the sight of the prince of the eunuchs.	DAG
Dan	1	10	The prince of the eunuchs said to Daniel, “I fear my lord the king, who has appointed your food and your drink. For why should he see your faces worse looking than the youths who are of your own age? Then you would endanger my head with the king.”	DAG
Dan	1	11	Then Daniel said to the steward whom the prince of the eunuchs had appointed over Daniel, Hananiah, Mishael, and Azariah:	DAG
Dan	1	12	“Test your servants, I beg you, ten days; and let them give us vegetables to eat and water to drink.	DAG
Dan	1	13	Then let our faces be examined before you, and the face of the youths who eat of the king’s delicacies; and as you see, deal with your servants.”	DAG
Dan	1	14	So he listened to them in this matter, and tested them for ten days.	DAG
Dan	1	15	At the end of ten days, their faces appeared fairer, and they were fatter in flesh, than all the youths who ate of the king’s delicacies.	DAG
Dan	1	16	So the steward took away their delicacies, and the wine that they would drink, and gave them vegetables.	DAG
Dan	1	17	Now as for these four youths, God gave them knowledge and skill in all learning and wisdom; and Daniel had understanding in all visions and dreams.	DAG
Dan	1	18	At the end of the days which the king had appointed for bringing them in, the prince of the eunuchs brought them in before Nebuchadnezzar.	DAG
Dan	1	19	The king talked with them; and among them all was found no one like Daniel, Hananiah, Mishael, and Azariah. Therefore they served the king.	DAG
Dan	1	20	In every matter of wisdom and understanding concerning which the king inquired of them, he found them ten times better than all the magicians and enchanters who were in all his realm.	DAG
Dan	1	21	Daniel continued serving even to the first year of King Cyrus.	DAG
Dan	2	1	In the second year of the reign of Nebuchadnezzar, Nebuchadnezzar dreamed dreams; and his spirit was troubled, and his sleep went from him.	DAG
Dan	2	2	Then the king commanded that the magicians, the enchanters, the sorcerers, and the Chaldeans be called to tell the king his dreams. So they came in and stood before the king.	DAG
Dan	2	3	The king said to them, “I have dreamed a dream, and my spirit is troubled to know the dream.”	DAG
Dan	2	4	Then the Chaldeans spoke to the king in the Syrian language, “O king, live forever! Tell your servants the dream, and we will show the interpretation.”	DAG
Dan	2	5	The king answered the Chaldeans, “The thing has gone from me. If you don’t make known to me the dream and its interpretation, you will be cut in pieces, and your houses will be made a dunghill.	DAG
Dan	2	6	But if you show the dream and its interpretation, you will receive from me gifts, rewards, and great honor. Therefore show me the dream and its interpretation.”	DAG
Dan	2	7	They answered the second time and said, “Let the king tell his servants the dream, and we will show the interpretation.”	DAG
Dan	2	8	The king answered, “I know of a certainty that you are trying to gain time, because you see the thing has gone from me.	DAG
Dan	2	9	But if you don’t make known to me the dream, there is but one law for you; for you have prepared lying and corrupt words to speak before me, until the situation changes. Therefore tell me the dream, and I will know that you can show me its interpretation.”	DAG
Dan	2	10	The Chaldeans answered before the king, and said, “There is not a man on the earth who can show the king’s matter, because no king, lord, or ruler, has asked such a thing of any magician, enchanter, or Chaldean.	DAG
Dan	2	11	It is a rare thing that the king requires, and there is no other who can show it before the king, except the gods, whose dwelling is not with flesh.”	DAG
Dan	2	12	Because of this, the king was angry and very furious, and commanded that all the wise men of Babylon be destroyed.	DAG
