book	chapter	verse	text	usfm
Mich	1	1	The LORD’s word that came to Micah of Morasheth in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.	MIC
Mich	1	2	Hear, you peoples, all of you! Listen, O earth, and all that is therein. Let the Lord GOD be witness against you, the Lord from his holy temple.	MIC
Mich	1	3	For behold, the LORD comes out of his place, and will come down and tread on the high places of the earth.	MIC
Mich	1	4	The mountains melt under him, and the valleys split apart like wax before the fire, like waters that are poured down a steep place.	MIC
Mich	1	5	“All this is for the disobedience of Jacob, and for the sins of the house of Israel. What is the disobedience of Jacob? Isn’t it Samaria? And what are the high places of Judah? Aren’t they Jerusalem?	MIC
Mich	1	6	Therefore I will make Samaria like a rubble heap of the field, like places for planting vineyards; and I will pour down its stones into the valley, and I will uncover its foundations.	MIC
Mich	1	7	All her idols will be beaten to pieces, all her temple gifts will be burned with fire, and I will destroy all her images; for of the hire of a prostitute has she gathered them, and to the hire of a prostitute shall they return.”	MIC
Mich	1	8	For this I will lament and wail. I will go stripped and naked. I will howl like the jackals and mourn like the ostriches.	MIC
Mich	1	9	For her wounds are incurable; for it has come even to Judah. It reaches to the gate of my people, even to Jerusalem.	MIC
Mich	1	10	Don’t tell it in Gath. Don’t weep at all. At Beth Ophrah I have rolled myself in the dust.	MIC
Mich	1	11	Pass on, inhabitant of Shaphir, in nakedness and shame. The inhabitant of Zaanan won’t come out. The wailing of Beth Ezel will take from you his protection.	MIC
Mich	1	12	For the inhabitant of Maroth waits anxiously for good, because evil has come down from the LORD to the gate of Jerusalem.	MIC
Mich	1	13	Harness the chariot to the swift steed, inhabitant of Lachish. She was the beginning of sin to the daughter of Zion; for the transgressions of Israel were found in you.	MIC
Mich	1	14	Therefore you will give a parting gift to Moresheth Gath. The houses of Achzib will be a deceitful thing to the kings of Israel.	MIC
Mich	1	15	I will yet bring a conqueror to you, inhabitants of Mareshah. The glory of Israel will come to Adullam.	MIC
Mich	1	16	Shave your heads, and cut off your hair for the children of your delight. Enlarge your baldness like the vulture, for they have gone into captivity from you!	MIC
Mich	2	1	Woe to those who devise iniquity and work evil on their beds! When the morning is light, they practice it, because it is in the power of their hand.	MIC
Mich	2	2	They covet fields and seize them, and houses, then take them away. They oppress a man and his house, even a man and his heritage.	MIC
Mich	2	3	Therefore the LORD says: “Behold, I am planning against these people a disaster, from which you will not remove your necks, neither will you walk haughtily, for it is an evil time.	MIC
Mich	2	4	In that day they will take up a parable against you, and lament with a doleful lamentation, saying, ‘We are utterly ruined! My people’s possession is divided up. Indeed he takes it from me and assigns our fields to traitors!’”	MIC
Mich	2	5	Therefore you will have no one who divides the land by lot in the LORD’s assembly.	MIC
Mich	2	6	“Don’t prophesy!”—they prophesy— “Don’t prophesy about these things. Disgrace won’t overtake us.”	MIC
Mich	2	7	Shall it be said, O house of Jacob, “Is the LORD’s Spirit angry? Are these his doings? Don’t my words do good to him who walks blamelessly?”	MIC
Mich	2	8	But lately my people have risen up as an enemy. You strip the robe and clothing from those who pass by without a care, returning from battle.	MIC
Mich	2	9	You drive the women of my people out from their pleasant houses; from their young children you take away my blessing forever.	MIC
Mich	2	10	Arise, and depart! For this is not your resting place, because of uncleanness that destroys, even with a grievous destruction.	MIC
Mich	2	11	If a man walking in a spirit of falsehood lies, saying, “I will prophesy to you of wine and of strong drink,” he would be the prophet of this people.	MIC
Mich	2	12	I will surely assemble all of you, Jacob. I will surely gather the remnant of Israel. I will put them together as the sheep of Bozrah, as a flock in the middle of their pasture. They will swarm with people.	MIC
Mich	2	13	He who breaks open the way goes up before them. They break through the gate, and go out. Their king passes on before them, with the LORD at their head.	MIC
Mich	3	1	I said, “Please listen, you heads of Jacob, and rulers of the house of Israel: Isn’t it for you to know justice?	MIC
Mich	3	2	You who hate the good, and love the evil; who tear off their skin, and their flesh from off their bones;	MIC
Mich	3	3	who also eat the flesh of my people, and peel their skin from off them, and break their bones, and chop them in pieces, as for the pot, and as meat within the cauldron.	MIC
Mich	3	4	Then they will cry to the LORD, but he will not answer them. Yes, he will hide his face from them at that time, because they made their deeds evil.”	MIC
Mich	3	5	The LORD says concerning the prophets who lead my people astray—for those who feed their teeth, they proclaim, “Peace!” and whoever doesn’t provide for their mouths, they prepare war against him:	MIC
Mich	3	6	“Therefore night is over you, with no vision, and it is dark to you, that you may not divine; and the sun will go down on the prophets, and the day will be black over them.	MIC
Mich	3	7	The seers shall be disappointed, and the diviners confounded. Yes, they shall all cover their lips, for there is no answer from God.”	MIC
Mich	3	8	But as for me, I am full of power by the LORD’s Spirit, and of judgment, and of might, to declare to Jacob his disobedience, and to Israel his sin.	MIC
Mich	3	9	Please listen to this, you heads of the house of Jacob, and rulers of the house of Israel, who abhor justice, and pervert all equity,	MIC
Mich	3	10	who build up Zion with blood, and Jerusalem with iniquity.	MIC
Mich	3	11	Her leaders judge for bribes, and her priests teach for a price, and her prophets of it tell fortunes for money; yet they lean on the LORD, and say, “Isn’t the LORD among us? No disaster will come on us.”	MIC
Mich	3	12	Therefore Zion for your sake will be plowed like a field, and Jerusalem will become heaps of rubble, and the mountain of the temple like the high places of a forest.	MIC
Mich	4	1	But in the latter days, it will happen that the mountain of the LORD’s temple will be established on the top of the mountains, and it will be exalted above the hills; and peoples will stream to it.	MIC
Mich	4	2	Many nations will go and say, “Come! Let’s go up to the mountain of the LORD, and to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths.” For the law will go out of Zion, and the LORD’s word from Jerusalem;	MIC
Mich	4	3	and he will judge between many peoples, and will decide concerning strong nations afar off. They will beat their swords into plowshares, and their spears into pruning hooks. Nation will not lift up sword against nation, neither will they learn war any more.	MIC
Mich	4	4	But every man will sit under his vine and under his fig tree. No one will make them afraid, for the mouth of the LORD of Armies has spoken.	MIC
Mich	4	5	Indeed all the nations may walk in the name of their gods, but we will walk in the name of the LORD our God forever and ever.	MIC
Mich	4	6	“In that day,” says the LORD, “I will assemble that which is lame, and I will gather that which is driven away, and that which I have afflicted;	MIC
Mich	4	7	and I will make that which was lame a remnant, and that which was cast far off a strong nation: and the LORD will reign over them on Mount Zion from then on, even forever.”	MIC
Mich	4	8	You, tower of the flock, the hill of the daughter of Zion, to you it will come. Yes, the former dominion will come, the kingdom of the daughter of Jerusalem.	MIC
Mich	4	9	Now why do you cry out aloud? Is there no king in you? Has your counselor perished, that pains have taken hold of you as of a woman in travail?	MIC
Mich	4	10	Be in pain, and labor to give birth, daughter of Zion, like a woman in travail; for now you will go out of the city, and will dwell in the field, and will come even to Babylon. There you will be rescued. There the LORD will redeem you from the hand of your enemies.	MIC
Mich	4	11	Now many nations have assembled against you, that say, “Let her be defiled, and let our eye gloat over Zion.”	MIC
Mich	4	12	But they don’t know the thoughts of the LORD, neither do they understand his counsel; for he has gathered them like the sheaves to the threshing floor.	MIC
