book	chapter	verse	text	usfm
Matt	1	1	The book of the genealogy of Jesus Christ, the son of David, the son of Abraham.	MAT
Matt	1	2	Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers.	MAT
Matt	1	3	Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.	MAT
Matt	1	4	Ram became the father of Amminadab. Amminadab became the father of Nahshon. Nahshon became the father of Salmon.	MAT
Matt	1	5	Salmon became the father of Boaz by Rahab. Boaz became the father of Obed by Ruth. Obed became the father of Jesse.	MAT
Matt	1	6	Jesse became the father of King David. David the king became the father of Solomon by her who had been Uriah’s wife.	MAT
Matt	1	7	Solomon became the father of Rehoboam. Rehoboam became the father of Abijah. Abijah became the father of Asa.	MAT
Matt	1	8	Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah.	MAT
Matt	1	9	Uzziah became the father of Jotham. Jotham became the father of Ahaz. Ahaz became the father of Hezekiah.	MAT
Matt	1	10	Hezekiah became the father of Manasseh. Manasseh became the father of Amon. Amon became the father of Josiah.	MAT
Matt	1	11	Josiah became the father of Jechoniah and his brothers at the time of the exile to Babylon.	MAT
Matt	1	12	After the exile to Babylon, Jechoniah became the father of Shealtiel. Shealtiel became the father of Zerubbabel.	MAT
Matt	1	13	Zerubbabel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor.	MAT
Matt	1	14	Azor became the father of Zadok. Zadok became the father of Achim. Achim became the father of Eliud.	MAT
Matt	1	15	Eliud became the father of Eleazar. Eleazar became the father of Matthan. Matthan became the father of Jacob.	MAT
Matt	1	16	Jacob became the father of Joseph, the husband of Mary, from whom was born Jesus, who is called Christ.	MAT
Matt	1	17	So all the generations from Abraham to David are fourteen generations; from David to the exile to Babylon fourteen generations; and from the carrying away to Babylon to the Christ, fourteen generations.	MAT
Matt	1	18	Now the birth of Jesus Christ was like this: After his mother, Mary, was engaged to Joseph, before they came together, she was found pregnant by the Holy Spirit.	MAT
Matt	1	19	Joseph, her husband, being a righteous man, and not willing to make her a public example, intended to put her away secretly.	MAT
Matt	1	20	But when he thought about these things, behold, an angel of the Lord appeared to him in a dream, saying, “Joseph, son of David, don’t be afraid to take to yourself Mary as your wife, for that which is conceived in her is of the Holy Spirit.	MAT
Matt	1	21	She shall give birth to a son. You shall name him Jesus, for it is he who shall save his people from their sins.”	MAT
Matt	1	22	Now all this has happened that it might be fulfilled which was spoken by the Lord through the prophet, saying,	MAT
Matt	1	23	“Behold, the virgin shall be with child, and shall give birth to a son. They shall call his name Immanuel,” which is, being interpreted, “God with us.”	MAT
Matt	1	24	Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took his wife to himself;	MAT
Matt	1	25	and didn’t know her sexually until she had given birth to her firstborn son. He named him Jesus.	MAT
Matt	2	1	Now when Jesus was born in Bethlehem of Judea in the days of King Herod, behold, wise men from the east came to Jerusalem, saying,	MAT
Matt	2	2	“Where is he who is born King of the Jews? For we saw his star in the east, and have come to worship him.”	MAT
Matt	2	3	When King Herod heard it, he was troubled, and all Jerusalem with him.	MAT
Matt	2	4	Gathering together all the chief priests and scribes of the people, he asked them where the Christ would be born.	MAT
Matt	2	5	They said to him, “In Bethlehem of Judea, for this is written through the prophet,	MAT
Matt	2	6	‘You Bethlehem, land of Judah, are in no way least among the princes of Judah; for out of you shall come a governor who shall shepherd my people, Israel.’”	MAT
Matt	2	7	Then Herod secretly called the wise men, and learned from them exactly what time the star appeared.	MAT
Matt	2	8	He sent them to Bethlehem, and said, “Go and search diligently for the young child. When you have found him, bring me word, so that I also may come and worship him.”	MAT
