book	chapter	verse	text	usfm
Col	1	1	Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother,	COL
Col	1	2	to the saints and faithful brothers in Christ at Colossae: Grace to you and peace from God our Father and the Lord Jesus Christ.	COL
Col	1	3	We give thanks to God the Father of our Lord Jesus Christ, praying always for you,	COL
Col	1	4	having heard of your faith in Christ Jesus and of the love which you have toward all the saints,	COL
Col	1	5	because of the hope which is laid up for you in the heavens, of which you heard before in the word of the truth of the Good News	COL
Col	1	6	which has come to you, even as it is in all the world and is bearing fruit and growing, as it does in you also, since the day you heard and knew the grace of God in truth,	COL
Col	1	7	even as you learned from Epaphras our beloved fellow servant, who is a faithful servant of Christ on your behalf,	COL
Col	1	8	who also declared to us your love in the Spirit.	COL
Col	1	9	For this cause, we also, since the day we heard this, don’t cease praying and making requests for you, that you may be filled with the knowledge of his will in all spiritual wisdom and understanding,	COL
Col	1	10	that you may walk worthily of the Lord, to please him in all respects, bearing fruit in every good work and increasing in the knowledge of God,	COL
Col	1	11	strengthened with all power, according to the might of his glory, for all endurance and perseverance with joy,	COL
Col	1	12	giving thanks to the Father, who made us fit to be partakers of the inheritance of the saints in light,	COL
Col	1	13	who delivered us out of the power of darkness, and translated us into the Kingdom of the Son of his love,	COL
Col	1	14	in whom we have our redemption, the forgiveness of our sins.	COL
Col	1	15	He is the image of the invisible God, the firstborn of all creation.	COL
Col	1	16	For by him all things were created in the heavens and on the earth, visible things and invisible things, whether thrones or dominions or principalities or powers. All things have been created through him and for him.	COL
Col	1	17	He is before all things, and in him all things are held together.	COL
Col	1	18	He is the head of the body, the assembly, who is the beginning, the firstborn from the dead, that in all things he might have the preeminence.	COL
Col	1	19	For all the fullness was pleased to dwell in him,	COL
Col	1	20	and through him to reconcile all things to himself by him, whether things on the earth or things in the heavens, having made peace through the blood of his cross.	COL
Col	1	21	You, being in past times alienated and enemies in your mind in your evil deeds,	COL
Col	1	22	yet now he has reconciled in the body of his flesh through death, to present you holy and without defect and blameless before him,	COL
Col	1	23	if it is so that you continue in the faith, grounded and steadfast, and not moved away from the hope of the Good News which you heard, which was proclaimed in all creation under heaven, of which I, Paul, was made a servant.	COL
Col	1	24	Now I rejoice in my sufferings for your sake, and fill up on my part that which is lacking of the afflictions of Christ in my flesh for his body’s sake, which is the assembly,	COL
Col	1	25	of which I was made a servant according to the stewardship of God which was given me toward you to fulfill the word of God,	COL
Col	1	26	the mystery which has been hidden for ages and generations. But now it has been revealed to his saints,	COL
Col	1	27	to whom God was pleased to make known what are the riches of the glory of this mystery among the Gentiles, which is Christ in you, the hope of glory.	COL
Col	1	28	We proclaim him, admonishing every man and teaching every man in all wisdom, that we may present every man perfect in Christ Jesus;	COL
Col	1	29	for which I also labor, striving according to his working, which works in me mightily.	COL
Col	2	1	For I desire to have you know how greatly I struggle for you and for those at Laodicea, and for as many as have not seen my face in the flesh;	COL
Col	2	2	that their hearts may be comforted, they being knit together in love, and gaining all riches of the full assurance of understanding, that they may know the mystery of God, both of the Father and of Christ,	COL
Col	2	3	in whom all the treasures of wisdom and knowledge are hidden.	COL
Col	2	4	Now I say this that no one may delude you with persuasiveness of speech.	COL
Col	2	5	For though I am absent in the flesh, yet I am with you in the spirit, rejoicing and seeing your order, and the steadfastness of your faith in Christ.	COL
Col	2	6	As therefore you received Christ Jesus the Lord, walk in him,	COL
Col	2	7	rooted and built up in him and established in the faith, even as you were taught, abounding in it in thanksgiving.	COL
Col	2	8	Be careful that you don’t let anyone rob you through his philosophy and vain deceit, after the tradition of men, after the elemental spirits of the world, and not after Christ.	COL
Col	2	9	For in him all the fullness of the Deity dwells bodily,	COL
Col	2	10	and in him you are made full, who is the head of all principality and power.	COL
Col	2	11	In him you were also circumcised with a circumcision not made with hands, in the putting off of the body of the sins of the flesh, in the circumcision of Christ,	COL
Col	2	12	having been buried with him in baptism, in which you were also raised with him through faith in the working of God, who raised him from the dead.	COL
Col	2	13	You were dead through your trespasses and the uncircumcision of your flesh. He made you alive together with him, having forgiven us all our trespasses,	COL
Col	2	14	wiping out the handwriting in ordinances which was against us. He has taken it out of the way, nailing it to the cross.	COL
Col	2	15	Having stripped the principalities and the powers, he made a show of them openly, triumphing over them in it.	COL
Col	2	16	Let no one therefore judge you in eating or drinking, or with respect to a feast day or a new moon or a Sabbath day,	COL
Col	2	17	which are a shadow of the things to come; but the body is Christ’s.	COL
Col	2	18	Let no one rob you of your prize by self-abasement and worshiping of the angels, dwelling in the things which he has not seen, vainly puffed up by his fleshly mind,	COL
Col	2	19	and not holding firmly to the Head, from whom all the body, being supplied and knit together through the joints and ligaments, grows with God’s growth.	COL
Col	2	20	If you died with Christ from the elemental spirits of the world, why, as though living in the world, do you subject yourselves to ordinances,	COL
Col	2	21	“Don’t handle, nor taste, nor touch”	COL
Col	2	22	(all of which perish with use), according to the precepts and doctrines of men?	COL
Col	2	23	These things indeed appear like wisdom in self-imposed worship, humility, and severity to the body, but aren’t of any value against the indulgence of the flesh.	COL
Col	3	1	If then you were raised together with Christ, seek the things that are above, where Christ is, seated on the right hand of God.	COL
Col	3	2	Set your mind on the things that are above, not on the things that are on the earth.	COL
Col	3	3	For you died, and your life is hidden with Christ in God.	COL
Col	3	4	When Christ, our life, is revealed, then you will also be revealed with him in glory.	COL
Col	3	5	Put to death therefore your members which are on the earth: sexual immorality, uncleanness, depraved passion, evil desire, and covetousness, which is idolatry.	COL
Col	3	6	For these things’ sake the wrath of God comes on the children of disobedience.	COL
Col	3	7	You also once walked in those, when you lived in them,	COL
Col	3	8	but now you must put them all away: anger, wrath, malice, slander, and shameful speaking out of your mouth.	COL
Col	3	9	Don’t lie to one another, seeing that you have put off the old man with his doings,	COL
Col	3	10	and have put on the new man, who is being renewed in knowledge after the image of his Creator,	COL
Col	3	11	where there can’t be Greek and Jew, circumcision and uncircumcision, barbarian, Scythian, bondservant, or free person; but Christ is all, and in all.	COL
