book	chapter	verse	text	usfm
Heb	1	1	God, having in the past spoken to the fathers through the prophets at many times and in various ways,	HEB
Heb	1	2	has at the end of these days spoken to us by his Son, whom he appointed heir of all things, through whom also he made the worlds.	HEB
Heb	1	3	His Son is the radiance of his glory, the very image of his substance, and upholding all things by the word of his power, who, when he had by himself purified us of our sins, sat down on the right hand of the Majesty on high,	HEB
Heb	1	4	having become as much better than the angels as the more excellent name he has inherited is better than theirs.	HEB
Heb	1	5	For to which of the angels did he say at any time, “You are my Son. Today I have become your father?” and again, “I will be to him a Father, and he will be to me a Son?”	HEB
Heb	1	6	When he again brings in the firstborn into the world he says, “Let all the angels of God worship him.”	HEB
Heb	1	7	Of the angels he says, “He makes his angels winds, and his servants a flame of fire.”	HEB
Heb	1	8	But of the Son he says, “Your throne, O God, is forever and ever. The scepter of uprightness is the scepter of your Kingdom.	HEB
Heb	1	9	You have loved righteousness and hated iniquity; therefore God, your God, has anointed you with the oil of gladness above your fellows.”	HEB
Heb	1	10	And, “You, Lord, in the beginning, laid the foundation of the earth. The heavens are the works of your hands.	HEB
Heb	1	11	They will perish, but you continue. They all will grow old like a garment does.	HEB
Heb	1	12	You will roll them up like a mantle, and they will be changed; but you are the same. Your years won’t fail.”	HEB
Heb	1	13	But which of the angels has he told at any time, “Sit at my right hand, until I make your enemies the footstool of your feet?”	HEB
Heb	1	14	Aren’t they all serving spirits, sent out to do service for the sake of those who will inherit salvation?	HEB
Heb	2	1	Therefore we ought to pay greater attention to the things that were heard, lest perhaps we drift away.	HEB
Heb	2	2	For if the word spoken through angels proved steadfast, and every transgression and disobedience received a just penalty,	HEB
Heb	2	3	how will we escape if we neglect so great a salvation—which at the first having been spoken through the Lord, was confirmed to us by those who heard,	HEB
Heb	2	4	God also testifying with them, both by signs and wonders, by various works of power, and by gifts of the Holy Spirit, according to his own will?	HEB
Heb	2	5	For he didn’t subject the world to come, of which we speak, to angels.	HEB
Heb	2	6	But one has somewhere testified, saying, “What is man, that you think of him? Or the son of man, that you care for him?	HEB
Heb	2	7	You made him a little lower than the angels. You crowned him with glory and honor.	HEB
Heb	2	8	You have put all things in subjection under his feet.” For in that he subjected all things to him, he left nothing that is not subject to him. But now we don’t yet see all things subjected to him.	HEB
Heb	2	9	But we see him who has been made a little lower than the angels, Jesus, because of the suffering of death crowned with glory and honor, that by the grace of God he should taste of death for everyone.	HEB
Heb	2	10	For it became him, for whom are all things and through whom are all things, in bringing many children to glory, to make the author of their salvation perfect through sufferings.	HEB
Heb	2	11	For both he who sanctifies and those who are sanctified are all from one, for which cause he is not ashamed to call them brothers,	HEB
Heb	2	12	saying, “I will declare your name to my brothers. Among the congregation I will sing your praise.”	HEB
Heb	2	13	Again, “I will put my trust in him.” Again, “Behold, here I am with the children whom God has given me.”	HEB
Heb	2	14	Since then the children have shared in flesh and blood, he also himself in the same way partook of the same, that through death he might bring to nothing him who had the power of death, that is, the devil,	HEB
Heb	2	15	and might deliver all of them who through fear of death were all their lifetime subject to bondage.	HEB
Heb	2	16	For most certainly, he doesn’t give help to angels, but he gives help to the offspring of Abraham.	HEB
Heb	2	17	Therefore he was obligated in all things to be made like his brothers, that he might become a merciful and faithful high priest in things pertaining to God, to make atonement for the sins of the people.	HEB
Heb	2	18	For in that he himself has suffered being tempted, he is able to help those who are tempted.	HEB
Heb	3	1	Therefore, holy brothers, partakers of a heavenly calling, consider the Apostle and High Priest of our confession: Jesus,	HEB
Heb	3	2	who was faithful to him who appointed him, as also Moses was in all his house.	HEB
Heb	3	3	For he has been counted worthy of more glory than Moses, because he who built the house has more honor than the house.	HEB
Heb	3	4	For every house is built by someone; but he who built all things is God.	HEB
Heb	3	5	Moses indeed was faithful in all his house as a servant, for a testimony of those things which were afterward to be spoken,	HEB
Heb	3	6	but Christ is faithful as a Son over his house. We are his house, if we hold fast our confidence and the glorying of our hope firm to the end.	HEB
Heb	3	7	Therefore, even as the Holy Spirit says, “Today if you will hear his voice,	HEB
Heb	3	8	don’t harden your hearts as in the rebellion, in the day of the trial in the wilderness,	HEB
Heb	3	9	where your fathers tested me and tried me, and saw my deeds for forty years.	HEB
Heb	3	10	Therefore I was displeased with that generation, and said, ‘They always err in their heart, but they didn’t know my ways.’	HEB
Heb	3	11	As I swore in my wrath, ‘They will not enter into my rest.’”	HEB
Heb	3	12	Beware, brothers, lest perhaps there might be in any one of you an evil heart of unbelief, in falling away from the living God;	HEB
Heb	3	13	but exhort one another day by day, so long as it is called “today”, lest any one of you be hardened by the deceitfulness of sin.	HEB
Heb	3	14	For we have become partakers of Christ, if we hold the beginning of our confidence firm to the end,	HEB
Heb	3	15	while it is said, “Today if you will hear his voice, don’t harden your hearts, as in the rebellion.”	HEB
Heb	3	16	For who, when they heard, rebelled? Wasn’t it all those who came out of Egypt led by Moses?	HEB
Heb	3	17	With whom was he displeased forty years? Wasn’t it with those who sinned, whose bodies fell in the wilderness?	HEB
Heb	3	18	To whom did he swear that they wouldn’t enter into his rest, but to those who were disobedient?	HEB
Heb	3	19	We see that they weren’t able to enter in because of unbelief.	HEB
Heb	4	1	Let’s fear therefore, lest perhaps anyone of you should seem to have come short of a promise of entering into his rest.	HEB
Heb	4	2	For indeed we have had good news preached to us, even as they also did, but the word they heard didn’t profit them, because it wasn’t mixed with faith by those who heard.	HEB
Heb	4	3	For we who have believed do enter into that rest, even as he has said, “As I swore in my wrath, they will not enter into my rest;” although the works were finished from the foundation of the world.	HEB
Heb	4	4	For he has said this somewhere about the seventh day, “God rested on the seventh day from all his works;”	HEB
Heb	4	5	and in this place again, “They will not enter into my rest.”	HEB
Heb	4	6	Seeing therefore it remains that some should enter into it, and they to whom the good news was preached before failed to enter in because of disobedience,	HEB
Heb	4	7	he again defines a certain day, “today”, saying through David so long a time afterward (just as has been said), “Today if you will hear his voice, don’t harden your hearts.”	HEB
Heb	4	8	For if Joshua had given them rest, he would not have spoken afterward of another day.	HEB
Heb	4	9	There remains therefore a Sabbath rest for the people of God.	HEB
Heb	4	10	For he who has entered into his rest has himself also rested from his works, as God did from his.	HEB
Heb	4	11	Let’s therefore give diligence to enter into that rest, lest anyone fall after the same example of disobedience.	HEB
Heb	4	12	For the word of God is living and active, and sharper than any two-edged sword, piercing even to the dividing of soul and spirit, of both joints and marrow, and is able to discern the thoughts and intentions of the heart.	HEB
Heb	4	13	There is no creature that is hidden from his sight, but all things are naked and laid open before the eyes of him to whom we must give an account.	HEB
Heb	4	14	Having then a great high priest who has passed through the heavens, Jesus, the Son of God, let’s hold tightly to our confession.	HEB
Heb	4	15	For we don’t have a high priest who can’t be touched with the feeling of our infirmities, but one who has been in all points tempted like we are, yet without sin.	HEB
Heb	4	16	Let’s therefore draw near with boldness to the throne of grace, that we may receive mercy and may find grace for help in time of need.	HEB
Heb	5	1	For every high priest, being taken from among men, is appointed for men in things pertaining to God, that he may offer both gifts and sacrifices for sins.	HEB
Heb	5	2	The high priest can deal gently with those who are ignorant and going astray, because he himself is also surrounded with weakness.	HEB
Heb	5	3	Because of this, he must offer sacrifices for sins for the people, as well as for himself.	HEB
Heb	5	4	Nobody takes this honor on himself, but he is called by God, just like Aaron was.	HEB
Heb	5	5	So also Christ didn’t glorify himself to be made a high priest, but it was he who said to him, “You are my Son. Today I have become your father.”	HEB
Heb	5	6	As he says also in another place, “You are a priest forever, after the order of Melchizedek.”	HEB
