book	chapter	verse	text	usfm
1Pet	1	1	Peter, an apostle of Jesus Christ, to the chosen ones who are living as foreigners in the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia,	1PE
1Pet	1	2	according to the foreknowledge of God the Father, in sanctification of the Spirit, that you may obey Jesus Christ and be sprinkled with his blood: Grace to you and peace be multiplied.	1PE
1Pet	1	3	Blessed be the God and Father of our Lord Jesus Christ, who according to his great mercy caused us to be born again to a living hope through the resurrection of Jesus Christ from the dead,	1PE
1Pet	1	4	to an incorruptible and undefiled inheritance that doesn’t fade away, reserved in Heaven for you,	1PE
1Pet	1	5	who by the power of God are guarded through faith for a salvation ready to be revealed in the last time.	1PE
1Pet	1	6	In this you greatly rejoice, though now for a little while, if need be, you have been grieved in various trials,	1PE
1Pet	1	7	that the proof of your faith, which is more precious than gold that perishes, even though it is tested by fire, may be found to result in praise, glory, and honor at the revelation of Jesus Christ—	1PE
1Pet	1	8	whom, not having known, you love. In him, though now you don’t see him, yet believing, you rejoice greatly with joy that is unspeakable and full of glory,	1PE
1Pet	1	9	receiving the result of your faith, the salvation of your souls.	1PE
1Pet	1	10	Concerning this salvation, the prophets sought and searched diligently. They prophesied of the grace that would come to you,	1PE
1Pet	1	11	searching for who or what kind of time the Spirit of Christ which was in them pointed to when he predicted the sufferings of Christ and the glories that would follow them.	1PE
1Pet	1	12	To them it was revealed that they served not themselves, but you, in these things, which now have been announced to you through those who preached the Good News to you by the Holy Spirit sent out from heaven; which things angels desire to look into.	1PE
1Pet	1	13	Therefore prepare your minds for action. Be sober, and set your hope fully on the grace that will be brought to you at the revelation of Jesus Christ—	1PE
1Pet	1	14	as children of obedience, not conforming yourselves according to your former lusts as in your ignorance,	1PE
1Pet	1	15	but just as he who called you is holy, you yourselves also be holy in all of your behavior,	1PE
1Pet	1	16	because it is written, “You shall be holy, for I am holy.”	1PE
1Pet	1	17	If you call on him as Father, who without respect of persons judges according to each man’s work, pass the time of your living as foreigners here in reverent fear,	1PE
1Pet	1	18	knowing that you were redeemed, not with corruptible things like silver or gold, from the useless way of life handed down from your fathers,	1PE
1Pet	1	19	but with precious blood, as of a lamb without blemish or spot, the blood of Christ,	1PE
1Pet	1	20	who was foreknown indeed before the foundation of the world, but was revealed in this last age for your sake,	1PE
